"id","start","end","text"
"oIDHtSsZZYQ","0","7000"," Let's see if this works."
"oIDHtSsZZYQ","30000","37000"," Okay, let's see."
"oIDHtSsZZYQ","37000","42000"," Why is this saying 909?"
"oIDHtSsZZYQ","42000","50000"," Let's see if this is..."
"oIDHtSsZZYQ","50000","56000"," Okay, so this should be..."
"oIDHtSsZZYQ","56000","57000"," Is this better?"
"oIDHtSsZZYQ","57000","59000"," This looks like the feed's not tracked."
"oIDHtSsZZYQ","59000","61000"," It's weird how the..."
"oIDHtSsZZYQ","61000","63000"," It's like the feed's fine right now,"
"oIDHtSsZZYQ","63000","67000"," and then there's this slow latency that takes place over time."
"oIDHtSsZZYQ","67000","72000"," It's like right now it's showing the time as within a minute."
"oIDHtSsZZYQ","72000","79000"," I don't know if that's YouTube, if that's my internet connection."
"oIDHtSsZZYQ","79000","82000"," So you guys have got me in live stream now again."
"oIDHtSsZZYQ","82000","85000"," Actually live and not a six minute delay."
"oIDHtSsZZYQ","85000","88000"," Hopefully, or maybe a one minute delay."
"oIDHtSsZZYQ","88000","93000"," That shouldn't be too bad."
"oIDHtSsZZYQ","93000","98000"," So I do want you to see, so there's some things to understand that we still have more buyers."
"oIDHtSsZZYQ","98000","103000"," Buyers are still being consumed on the spy this morning."
"oIDHtSsZZYQ","103000","110000"," I do want you to see that the hero indicator is high on the spy as well."
"oIDHtSsZZYQ","110000","114000"," The hero indicator is showing that people are buying calls on the spy."
"oIDHtSsZZYQ","114000","117000"," It looks like, you know, it's like dip buyers."
"oIDHtSsZZYQ","117000","120000"," You're buying the dip and then riding it up for ten minutes."
"oIDHtSsZZYQ","120000","124000"," Like, boiler rooms would do."
"oIDHtSsZZYQ","124000","133000"," There is a conversation out there that JPM is actually going to buy the market on Friday."
"oIDHtSsZZYQ","133000","137000"," Anywhere from ten to fifteen billion dollars."
"oIDHtSsZZYQ","137000","141000"," Now, if they buy the market, that should be a positive on the market."
"oIDHtSsZZYQ","142000","144000"," There is some problems though."
"oIDHtSsZZYQ","144000","153000"," We have flow for expansion on individual tickers into January, February and March and beyond."
"oIDHtSsZZYQ","153000","160000"," But we don't have any expansion of flow, positive flow or negative flow either."
"oIDHtSsZZYQ","160000","166000"," On the major tickers on Tesla, Apple, spy, IWM."
"oIDHtSsZZYQ","166000","168000"," You're not seeing anything."
"oIDHtSsZZYQ","169000","176000"," You have to differentiate between hedging activity and call and put flow activity because"
"oIDHtSsZZYQ","176000","183000"," they're treated separately and differently by the market makers, by the dealers, the brokers."
"oIDHtSsZZYQ","183000","188000"," What does my point behind that?"
"oIDHtSsZZYQ","188000","194000"," The point behind that is that what will end up happening is we will end up trading sideways"
"oIDHtSsZZYQ","194000","196000"," into Thursday, Friday."
"oIDHtSsZZYQ","196000","204000"," As people don't make money on their conservative in the money positions that they're taking,"
"oIDHtSsZZYQ","204000","209000"," they'll start to burn their positions, they'll panic, sell out of their positions and then"
"oIDHtSsZZYQ","209000","215000"," of course the market will either swoop up or even just sell down and consolidate down,"
"oIDHtSsZZYQ","215000","219000"," down, down as time passes."
"oIDHtSsZZYQ","219000","222000"," What does that mean for you as a trader?"
"oIDHtSsZZYQ","222000","227000"," That means that you should be trading theta burning strategies, condors, butterflies."
"oIDHtSsZZYQ","227000","235000"," It means you don't trade and you wait."
"oIDHtSsZZYQ","235000","239000"," The hero indicator is great on the spy right now though, so I don't say to you."
"oIDHtSsZZYQ","239000","244000"," What I'm going to say to you is this is that I've basically got a straddle on the market myself"
"oIDHtSsZZYQ","244000","249000"," right now and, or at least on the spy, I've got a straddle and I'm looking for one side"
"oIDHtSsZZYQ","249000","257000"," of the other to print at some point between now and the weekend."
"oIDHtSsZZYQ","257000","260000"," Okay, so let's talk about the hero indicator."
"oIDHtSsZZYQ","260000","262000"," We'll talk about that once more."
"oIDHtSsZZYQ","262000","267000"," So on the hero indicator, okay?"
"oIDHtSsZZYQ","267000","269000"," This is the green line that's right here."
"oIDHtSsZZYQ","269000","271000"," This is the hero indicator."
"oIDHtSsZZYQ","271000","275000"," You have the bubbles, see the red bubble here and the green bubble here."
