"start","end","text"
"350","8930"," Check it out down Well,"
"11270","18930"," okay, let's go check and see what's going on."
"26710","27630"," Risk off."
"59460","61520"," Good morning out there. "
"61960","63160"," I can see you some of you guys are commenting."
"63420","63620"," Good morning."
"63620","63900"," How are y "
"63900","76610","'all doing?"
"79490","80170"," Let's see here. "
"80230","83750"," We turn some of this newest customization."
"84350","87410"," I wonder if I should raise this up a little bit."
"89390","91290"," Members save. "
"93730","95550"," And then I got out."
"95830","97270"," I got to put this link out."
"98050","99090"," This out close. "
"100010","100990"," What's everybody doing out there?"
"101070","101750"," How y'all doing out there?"
"102490","103170"," Let's get ready to do it."
"103170","104870"," All right."
"105390","106950"," Good morning out there. "
"108150","110210"," And give me one quick second here."
"112950","116410"," This is going to be specifically to spy SPX."
"118290","119010"," Yes. "
"119650","119790"," Yes."
"120390","120430"," F."
"121850","123850"," S and P 500."
"124350","125390"," S and P 500. "
"125770","126510"," All the love today."
"128570","129509"," Live stream."
"133070","136830"," Okay, we're going to get some special S and P 500 love now. "
"137210","145790"," I hate doing these warnings because this is up or down doesn't matter because we're going to take a"
"145790","147470"," look at I think December."
"148650","152310"," And we're going to talk about I think December right around there."
"152390","153390"," We're going to talk about this morning. "
"154490","156630"," So I think that's it right there."
"157250","158330"," Risk off warning."
"159170","159650"," Okay. "
"160030","161090"," Good morning."
"161470","162110"," We're going to see."
"162190","163670"," I'm going to leave this post up here. "
"163850","168770"," If any of you are watching right now, if you could do me a solid this morning."
"170090","175130"," And repost that link to the live stream on your social media."
"175130","176090"," I would appreciate it. "
"177290","183190"," Just so it's hard for me between the discord, Twitter, YouTube."
"185050","190530"," Oftentimes people say, oh, they'll say things like you said this or you said that or whatever the"
"190530","191110"," fuck they say."
"191930","196090"," And mostly it's because they don't follow all different socials. "
"196850","197830"," No where I'm at."
"198030","198770"," You need like one."
"201550","205090"," One way to get information to people like experts. "
"206270","206810"," That's weird."
"207050","209750"," Like some people are like, you know, this or that or whatever."
"210050","211050"," I don't know how to explain that better. "
"211210","211290"," But."
"212810","218070"," Anyways, if you could read this specific live stream, if you could just repost it that way."
"218610","221190"," No one's like, hey, didn't say this or didn't say that or whatever. "
"221630","222670"," We have to talk about it."
"222750","222990"," It's important."
"223710","225290"," This is an important moment to the market. "
"226310","232330"," For you as a participant, even if you're a seller, there's a lot of important information you need"
"232330","232630"," to have."
"234330","237490"," For where we are and what's what's taking place this morning."
"237490","240630"," I'm going to try to get James Roland on today if I can as well. "
