"start","end","text"
"33590","131990"," Turn this thing off, GME, we're"
"131990","133090"," going to talk about GME today."
"143940","151880"," Use today and do."
"153780","155660"," I think that's enough. "
"160260","161360"," Just taking a guess."
"163360","216980"," I've got a couple of things"
"216980","217660"," I've got to do in the background."
"217800","220720"," I'm having some mornings I have technical difficulties. "
"223380","224900"," So what happens if you have a live show?"
"240130","241550"," You should be able to hear me now."
"244370","250690"," Some mornings I've got computers that want to change settings, that kind of stuff."
"251290","252170"," Good morning, everybody. "
"252650","254550"," We've got a few technical things I'm doing here in the background."
"254550","255450"," Just give me a second here."
"270720","271860"," Why is this not?"
"272480","279990"," All right, hot sauce. "
"280270","281730"," I'm starting to see y'all out there right now."
"282450","283070"," Good morning, everybody."
"283070","283870"," How's everybody doing?"
"284870","285970"," Happy Thursday. "
"291520","292880"," Phone's blowing up this morning."
"292880","303530"," Morning, everybody."
"303690","304530"," How's everybody doing out there?"
"308840","315940"," So I did take a chance here down below and I purchased, I added to my call position down here. "
"316100","317120"," So just the heads up to you."
"317460","323100"," Many of you were buying some strangles or straddles into the clothes yesterday."
"323340","327860"," I added to a position for today and for Friday down here. "
"327860","329600"," I did not buy any puts or anything like that."
"329700","332540"," We're going to talk about what to expect today."
"333280","334740"," We're going to take a quick look around the market. "
"338060","340640"," We got a low pin strike."
"341040","341880"," Let me show you this."
"343460","344980"," A bunch of stuff we'll get right now. "
"345240","351820"," We'll pause this book map for a second."
"354460","356940"," Let's start with the spy on its own."
"356940","357240"," Okay. "
"358940","362260"," So we've got the daily trigger way down here somewhere."
"362520","363700"," Let me see if I can find the daily trigger."
"365220","365860"," Come up. "
"366060","366760"," Comes up every day."
"368400","370260"," That four eighteen twenty four."
"370540","371740"," I think we talked about. "
"376970","378290"," That was the daily trigger."
"378590","379310"," We made a new one."
"381030","385450"," I think earlier in the week, we had said, you know, you expect the daily trigger to be at four"
"385450","388530"," sixteen on Monday and then four eighteen by later in the week. "
"389470","399010"," The good news for bulls is that as it comes up, it's like a shark from the deep."
"401530","406790"," So as every day passes, it comes up, steps up as time passes."
"407190","410910"," The more time that passes, there's a couple positives here. "
"411050","418510"," The more times that more time that passes, right?"
"419410","423170"," The more bullish it can be interpreted as when you see."
"425490","431290"," Large price movements to the downside one day down two days down three days down."
"431390","434610"," That's indicative of a volatile environment, right?"
"435450","440750"," We saw a lot of this in twenty twenty one, not twenty twenty. "
"441110","444530"," Excuse me, twenty twenty two, not twenty twenty three."
"446310","453090"," So long as we spend in the sideways range, even if we get some lower prices, long as we spend"
"453090","463950"," here, this is more indicative of market rotation, market digestion, buying"
"463950","465390"," the dip, believe it or not, right?"
"465510","467530"," We're not seeing massive downside moves."
"469130","473130"," We're not seeing liquidation events in the market. "
"473130","479390"," We actually saw liquidation of some of the top heavy tickers in Nasdaq yesterday."
"481950","483790"," So this is a good sign down here, right?"
"483950","485290"," One way or another, this is a good sign."
"488950","494770"," We know where the buyers, we think where the buyers and the sellers are, where we think the sellers"
"494770","496270"," are, we think the buyers are, right?"
"496870","498670"," I think the buyers are down here. "
"499390","501650"," So far, so far they've been down here, right?"
"501650","502870"," They bought the dip down here."
"503050","504290"," They bought the dip down here."
"505070","506330"," They bought the dip down here. "
"506750","510070"," They bought the dip this morning, right on this bar."
"510790","514090"," Looks like they bought it again on this bar right here."
"514350","519309"," So far, nothing says that support is still not, hold on here. "
"520530","523030"," That was a previous low, like a lower sum."
"530830","535190"," So far, nothing says that demand is still not here, right?"
"536390","542850"," The moment that we do trade under and begin to reject, we know that demand is gone."
"543390","546250"," We're likely going to clean up this big gap down here, right?"
"547170","548430"," We'll go back down here. "
"548570","550150"," I know the bears want this."
"550490","551470"," You know that I want this."
"552470","555230"," You know that ultimately for the move higher, that's what I want. "
"555230","557330"," I'm a cheap bull."
"558370","560810"," I like, oh, look at that, huh?"
"563270","569930"," Another note about where we are right now is this little note that I put in here this morning."
"570530","574910"," This is a zigzag bottom of the channel, no bueno below. "
"575750","577050"," And why does that matter?"
"586020","587640"," Why does this matter?"
"587640","590680"," We'll talk about why this little green bar right here matters."
"592160","593280"," That's the hourly trigger."
"593940","600340"," This is the price that I posted for you on FinTwit this morning, I said. "
"601180","602740"," This is the no-go right here."
"602920","612400"," Like right here, these sellers know that if you break above this, that's not quite right there."
"612520","615100"," It's more like right here. "
"616760","623820"," These sellers know, right, the sell side knows that if you break above this, you test this and you"
"623820","627480"," start to move higher, they're going to get run over."
"629000","631000"," And I mean run over."
"632800","634960"," You'll be trending for two days, right?"
"637020","643460"," And you also know here that Thursdays have a high probability. "
"643460","645020"," It's two points here."
"646040","650180"," Thursdays have a high probability of trending up."
"651420","658920"," What's fascinating is if we don't get a trend day on Thursday, that that probability goes to like"
"658920","660740"," 80 or 90% on Friday. "
"662560","667240"," So if you have a down Thursday, sideways, Thursday, Friday usually becomes explosive."
"667640","670280"," And I mean like 80% of the time, 90% of the time."
"671240","678080"," So even if you don't get your trend day on Thursday, and if it's ever down on Wednesday, look out"
"678080","678580"," to the upside. "
"683190","687010"," We also know that we've had a down week, right?"
"687650","689150"," We started out the week nice and high."
"689910","692690"," We hit the high range, I believe, in the weekly up here on Monday."
"694150","699110"," We kind of have not hit the low range on the weekly implied move to the down side this week"
"699110","699330"," yet. "
"701250","702890"," So we have that going on."
"703010","705310"," Then we also have the pin in the market, right?"
"705450","706110"," We know about the pin."
"706210","709670"," We've been talking about it nonstop since Monday. "
"710730","712930"," And where do we wind up ending the day?"
"713610","721290"," And this has a lot to do with huge options expiring this week."
"723890","730270"," And in this consolidation, you also have theta gang out there, piling in on this trade."
"733230","735590"," See for today, we got going on for today. "
"736230","736750"," Hold on here."
"738170","742210"," Of course, this isn't the OI on daily options."
"743890","747090"," We have a pin today at 427. "
"751800","759080"," And off the bell this morning, you've got sell side with 111,000."
"759080","762720"," And puts on 426."
"764940","772080"," So you can already see that these sellers do not want this market exploding to the upside, right?"
"775180","778220"," Now the structure of the market today is quite fascinating. "
"779700","789480"," All the five volume chart maturity has a giant concentration of calls"
"789480","790040"," and puts."
"790960","799660"," They got a giant concentration on 426 P and 427 C."
"802420","809760"," So I did wonder if we bounced around up and down all day long today without going too crazy."
"813260","817500"," Now all that shit being said, blah, blah, blah, got all that out of the way. "
"822580","825140"," What is fascinating here, this is the spy chart."
"825980","827720"," These are zigzag channels here."
"834260","841720"," This specific channel off of this daily here has been like clockwork. "
"841960","845720"," It's been like bottom of that channel."
"846260","850300"," But I want you to take note here that we were at the bottom of velocity, right?"
"851280","853860"," It's like a no brainer and we're on daily."
"855360","856660"," So you get this nice free trick. "
"856660","858700"," That's pretty sure we blast up, right?"
"858900","859600"," Rip it faces."
"860520","866720"," Another beautiful thing about this is right here."
"867920","870200"," See how we're rounding velocity to the upside?"
"872260","873660"," See our rounding velocity here. "
"875220","877260"," And we got a nice big fat dipped by velocity."
"877720","877980"," Looks great."
"879320","885660"," Then down here, you know, and you notice how we're on the bottom here of this zigzag. "
"885660","887620"," Zigzag chart the whole way."
"888800","889680"," Right here."
"890060","892080"," Regularly scheduled dip by boom. "
"892460","894200"," Regularly scheduled dip by boom."
"894840","897680"," It works until you do it until it breaks, right?"
"900400","902580"," Now this guy right here."
"904000","911440"," I bet in your mind you're like, well, we're regularly scheduled at the bottom of the channel of the"
"911440","912100"," zigzag chart. "
"912600","916160"," That's a little white box that I drew for you on the weebull chart."
"917340","919280"," Expectation is we're going to rip some faces off, right?"
"920920","926220"," The one issue that we have today is velocity is kind of light on the spy."
"927780","930720"," So do you temper your expectations for an upside move?"
"933520","944290"," Do you actually get not this"
"944290","950290"," right here, but like dupe, dupe, is that all you get?"
"952070","953630"," Velocity here is not on your side. "
"954030","956630"," Trend is not on your side to the upside."
"960310","961750"," So big question mark, right?"
