"id","start","end","text"
"p9_hrD5_XrE","0","5000"," Good morning, traders, Captain Jim James here."
"p9_hrD5_XrE","7240","8920"," Hopefully I can get this video out to you"
"p9_hrD5_XrE","8920","10820"," before the news drops this morning."
"p9_hrD5_XrE","11920","14040"," I'm going to keep today's video brief"
"p9_hrD5_XrE","14040","17320"," and then try to do a video with an explain like"
"p9_hrD5_XrE","17320","20560"," I'm five posts about where we actually are"
"p9_hrD5_XrE","20560","22680"," in the market and why we're here."
"p9_hrD5_XrE","22680","26680"," And I know that some of you understand what's going on."
"p9_hrD5_XrE","26680","30720"," I know that a lot of you say that you have"
"p9_hrD5_XrE","30720","33280"," the firm idea of what's going on."
"p9_hrD5_XrE","33280","36800"," And then a lot of you don't have any idea"
"p9_hrD5_XrE","36800","41080"," and it's too complicated maybe to want to dive into."
"p9_hrD5_XrE","41080","44200"," I know a lot of new traders that must be the case."
"p9_hrD5_XrE","44200","46880"," But anyways, that doesn't really matter"
"p9_hrD5_XrE","46880","47800"," at this point this morning."
"p9_hrD5_XrE","47800","51040"," What I'll try to explain where we are"
"p9_hrD5_XrE","52360","53840"," on a very basic level."
"p9_hrD5_XrE","54760","59760"," So on the first two days ago on Wednesday,"
"p9_hrD5_XrE","60400","65400"," this move down below here was a manipulation tactic."
"p9_hrD5_XrE","65800","69400"," And what it did, it was an onslaught,"
"p9_hrD5_XrE","69400","73440"," so some bank or hedge fund at this moment above here"
"p9_hrD5_XrE","73440","78000"," at 457 overloaded, dealers, brokers,"
"p9_hrD5_XrE","78000","80280"," in that moment when we went down,"
"p9_hrD5_XrE","80280","84080"," it gave a chance for whoever did this"
"p9_hrD5_XrE","84080","89080"," to buy longer dated, cheap, deep, much deeper puts options."
"p9_hrD5_XrE","92640","97640"," That also at the same time forced dealers and brokers,"
"p9_hrD5_XrE","99040","104120"," market makers to de-risk themselves above"
"p9_hrD5_XrE","104120","109120"," and take on, well, it's being delta neutral."
"p9_hrD5_XrE","109400","110960"," But I'll explain more of this in a second."
"p9_hrD5_XrE","110960","114200"," Point being is they had to cut loose their calls up here"
"p9_hrD5_XrE","114200","118680"," and buy, follow along with puts down below."
"p9_hrD5_XrE","118680","123680"," So the put wall was moved from 4,500 to 4,100."
"p9_hrD5_XrE","124840","127920"," That increases, and there's more to this,"
"p9_hrD5_XrE","127920","129760"," but it increases the volatility"
"p9_hrD5_XrE","130960","133620"," or the range expansion where we can trade."
"p9_hrD5_XrE","134480","137880"," So where our range expansion was smaller"
"p9_hrD5_XrE","137880","142800"," before Wednesday, it's now expanded, right?"
"p9_hrD5_XrE","142800","145880"," So what does that open us up to?"
"p9_hrD5_XrE","145880","149000"," Well, as long as volatility stays high, right?"
"p9_hrD5_XrE","149000","151600"," And if we have events or manufactured events"
"p9_hrD5_XrE","151600","154240"," or if we have low liquidity environments to dump,"
"p9_hrD5_XrE","155240","157120"," we can continue to expand that range."
"p9_hrD5_XrE","157120","159720"," Our levels are getting all over the place."
"p9_hrD5_XrE","159720","161720"," And that's why some people on Twitter"
"p9_hrD5_XrE","161720","164400"," are saying things like doom and gloom,"
"p9_hrD5_XrE","164400","166600"," that I posted the other day about a market"
"p9_hrD5_XrE","166600","168960"," collapse as possible in this environment."
"p9_hrD5_XrE","168960","170320"," I agree with that."
"p9_hrD5_XrE","170320","172240"," And it's, you know, if you're a bull,"
"p9_hrD5_XrE","172240","173800"," if you're just a new trader or something,"
"p9_hrD5_XrE","173800","175240"," you can look at this perspective"
"p9_hrD5_XrE","175240","178040"," like when SoftBank pumps the market,"
"p9_hrD5_XrE","178040","180000"," but this is in the reverse."
"p9_hrD5_XrE","180000","183480"," Now, the problem with the reverse is"
"p9_hrD5_XrE","183480","185400"," that you start to trigger sell-offs"
"p9_hrD5_XrE","185400","187440"," and it could create an actual collapse in our market,"
"p9_hrD5_XrE","187440","188280"," in my view."
"p9_hrD5_XrE","188280","191640"," But so this is like a reverse gamma squeeze, right?"
"p9_hrD5_XrE","191640","194960"," Does that make any sense to any of you out there?"
"p9_hrD5_XrE","194960","196560"," So what that does is it really does."
"p9_hrD5_XrE","196560","201280"," It expands our support levels, our resistance levels."
"p9_hrD5_XrE","201280","205440"," It expands where the liquidity is."
"p9_hrD5_XrE","206880","211440"," And the market's going to seek that liquidity out, right?"
"p9_hrD5_XrE","211440","214960"," And it also brings down where the sellers are."
"p9_hrD5_XrE","214960","218440"," So the key in this, sorry,"
"p9_hrD5_XrE","218440","220960"," I'm kind of chopping this up this morning."
"p9_hrD5_XrE","220960","223640"," And it's not entirely accurate what I'm telling you."
"p9_hrD5_XrE","223640","225440"," There's more to this puzzle"
"p9_hrD5_XrE","225440","226680"," what I'm telling you right now."
"p9_hrD5_XrE","226680","229400"," But the things that you need to know today for Friday"
"p9_hrD5_XrE","229400","232800"," until I get a video out to you is this, okay?"
"p9_hrD5_XrE","232800","237480"," That somewhere above 460, 461-ish,"
"p9_hrD5_XrE","237480","241520"," somewhere in there, this is where sellers are hiding, okay?"
"p9_hrD5_XrE","241520","244480"," That's, that means that if we get up here,"
"p9_hrD5_XrE","244480","246760"," there you're going to see volume or flow"
"p9_hrD5_XrE","246760","248240"," of equity is selling,"
"p9_hrD5_XrE","250120","252240"," which will make the market go down, right?"
"p9_hrD5_XrE","252600","254440"," It's pretty, pretty simple."
"p9_hrD5_XrE","254440","259240"," Now, and that's mostly because we're in a negative gamma environment."
"p9_hrD5_XrE","259240","262920"," Now the gamma flip to turn into a positive environment"
"p9_hrD5_XrE","262920","267280"," where you can safely take trades going forward as a bull"
"p9_hrD5_XrE","267280","271200"," is somewhere above 464, which is right up in this area here."
"p9_hrD5_XrE","271200","274120"," We have to break through this area here, okay?"
"p9_hrD5_XrE","274120","277640"," And what that would do, or two ways for us to get there"
"p9_hrD5_XrE","277640","280840"," is to trade sideways for a day, right?"
"p9_hrD5_XrE","280880","283520"," And then have a quick move up and break above."
"p9_hrD5_XrE","283520","287040"," That would flip us to a positive gamma situation."
"p9_hrD5_XrE","287040","291040"," And it would force dealers to get rid of their hedging down below"
"p9_hrD5_XrE","291040","295240"," at that 4100, push up to 4500, then to 5,000,"
"p9_hrD5_XrE","295240","296680"," or we're not going there that soon."
"p9_hrD5_XrE","296680","297440"," Well, it's possible."
"p9_hrD5_XrE","297440","298720"," There is some weird shit going on."
"p9_hrD5_XrE","298720","302080"," But my point is that we have to get above this level here."
"p9_hrD5_XrE","302080","307200"," So you are looking to buy lower, right?"
"p9_hrD5_XrE","307200","309920"," This is where volatility is down below."
"p9_hrD5_XrE","309920","315080"," And it actually extends down now to the 4100 level, okay?"
"p9_hrD5_XrE","315080","316880"," And that's really dangerous for us."
"p9_hrD5_XrE","316880","320960"," So that means we have a more volatility expansion down below."
"p9_hrD5_XrE","320960","323560"," So whenever you see us heading down here and you're like,"
"p9_hrD5_XrE","323560","327600"," oh, I'm going to buy the dip, your dip extends right now"
"p9_hrD5_XrE","327600","330200"," down to 4500."
"p9_hrD5_XrE","330200","331880"," That's just a norm now."
"p9_hrD5_XrE","331880","336360"," 45, we can go to 4500 at any time at this point."
"p9_hrD5_XrE","336360","341120"," And if there's any more manipulation like this for us to ease,"
"p9_hrD5_XrE","341120","344240"," it's easy for us with more anything, any event like this,"
"p9_hrD5_XrE","344240","348280"," again, can easily send us down to the 4100 level"
"p9_hrD5_XrE","348280","352320"," that would open us up even deeper, 39, 36."
"p9_hrD5_XrE","352320","355760"," Okay, some crazy numbers will start to come into play."
"p9_hrD5_XrE","355760","358800"," Even if you don't believe this, this is true."
"p9_hrD5_XrE","358800","360720"," And this can truly happen."
"p9_hrD5_XrE","360720","365840"," So I want you to understand how dangerous of a situation we're in."
"p9_hrD5_XrE","365840","368760"," Even though we're in that dangerous situation,"
"p9_hrD5_XrE","368760","370600"," there are some things helping us."
"p9_hrD5_XrE","370600","373200"," And that is that today's Friday,"
"p9_hrD5_XrE","373200","375240"," so no one's going to be working today."
"p9_hrD5_XrE","375240","379080"," You'll see, typically, you'll see hedge funds and banks work"
"p9_hrD5_XrE","379080","381720"," and have their trades done by 10 a.m."
"p9_hrD5_XrE","381720","385080"," So you're going to see this attempt by some hedge fund"
"p9_hrD5_XrE","385080","390880"," between now and the open to either get weak enough, right?"
"p9_hrD5_XrE","390880","395000"," Let's say we get weak enough that they can possibly set the market"
"p9_hrD5_XrE","395000","398720"," by overloading the system with zero-date puts"
"p9_hrD5_XrE","398720","400880"," that would drop us severely"
"p9_hrD5_XrE","400880","404280"," and then give us even more range expansion into next week."
"p9_hrD5_XrE","404280","407240"," But if they aren't able to do that at the open,"
"p9_hrD5_XrE","407240","409360"," they're kind of fucking fucked today."
"p9_hrD5_XrE","409360","412000"," And not only are they fucked today, sorry to swear,"
"p9_hrD5_XrE","412000","416680"," but they're fucked today because if that plan"
"p9_hrD5_XrE","416680","420480"," by these hedge funds does not work at the bell today,"
"p9_hrD5_XrE","420480","422560"," what will happen, because we've been chewing"
"p9_hrD5_XrE","422600","424360"," on this iceberg above here."
