"start","end","text"
"77060","77840"," Good morning."
"78100","79800"," How are you, Saudi, how are you?"
"103110","104650"," Let's see if I can get."
"108940","110820"," Good morning out there if you're just joining us. "
"114230","116950"," Hope everybody's getting ready for the weekend here this week."
"117190","122030"," This week yesterday, Seder said it's not even Friday yet."
"122550","123550"," That's how I feel today. "
"123550","133250"," I think the past few weeks leading up into today has been long at best."
"135730","137710"," At worst, it's been brutal."
"140310","141550"," Let me take a look here. "
"152520","154740"," Some of this over here for me this morning."
"155560","156580"," All right."
"157480","158360"," Good morning, everybody. "
"158580","159340"," How's everybody doing out there?"
"159720","163860"," We're going to try it over and get right into it."
"164060","165600"," So, I'm going to set the chart up for it."
"165820","175500"," So, for, for things to get too crazy in the bell, we'll set them up together. "
"177580","181520"," We do know that we, we do know that we turned this."
"183900","187080"," Support into resistance as of right now."
"187080","189260"," We've got a giant gap above this morning. "
"193540","201120"," We definitely, we targeted right where we wanted to target that 3503 was turning someone into"
"201120","202360"," resistance this morning."
"203140","205860"," So, we'll see if this holds today."
"205860","215780"," And let me, let me just put some, pump some numbers in here, 390.92. We have fact,"
"215860","217900"," we'll just get rid of a, hold on a second here. "
"221060","221780"," Right here."
"222660","224060"," We're going to get rid of this big old."
"224060","228680"," Oh, let's see. "
"229980","230620"," Wait."
"232360","234520"," I'll read your comments here in just a moment."
"236880","246840"," 390.92. We are way below the pinpoint right pinpoint today is 390 "
"246840","250420",".92. Good giant gap down below. "
"254010","255970"," We're sitting, we're sitting close this."
"258850","259750"," Close this."
"262990","269510"," Book map so you can see what everything looks like this morning pinpoint 390.92. And then we've"
"269510","269690"," got. "
"270610","281560"," First port 3 to 6.59. There"
"281560","288340"," we go."
"289340","291060"," S2 is at 3,356."
"295070","295890"," Right there. "
"296690","297670"," And we're right on S."
"302370","307090"," Right on S2 typically on a day when we open lower."
"308590","310370"," I'm missing some of this stuff here."
"312710","313790"," So these up here. "
"316960","319360"," Not always, but hold on a minute."
"320940","328240"," 379.23. We'll look below to that."
"328560","328840"," Yes. "
"328980","333880"," Very look below to 375, 373 closing that gap."
"335340","337280"," So the interesting to see the open this morning."
"337280","341740"," If we immediately start ripping higher off the bell before we even get into the resistance levels"
"341740","342040"," here. "
"344140","348180"," It's going to be interesting to see if we just start trading higher right off the bell."
"348180","348580"," We could."
"349400","353140"," I always like to see the STX number if we can get it. "
"354060","358540"," Some kind of STX by or just come straight down here would be great."
"359060","363120"," The deeper that we go, the easier it is to trade in safety."
"363880","364860"," Whether you're a bull or a bear. "
"365260","368900"," You know, if you're a bear, you want to see that gap get closed down below."
"369760","372200"," If you're a bull in the yesterday's live stream."
"373400","375520"," Towards the close yesterday, we're talking about. "
"376740","378520"," Wanting to see 385 today."
"379560","380640"," We got this right in the open."
"383380","388620"," The the cool part is we were talking yesterday about being a bull and I was like, I want to"
"388620","390820"," buy a holiday rally. "
"391420","394780"," With that gap close, like 373, 373, 375."
"395660","399960"," If you can get that right, it's way more safer to get yourself a holiday rally."
"400640","401800"," It's proven itself out today. "
"401800","407480"," We also talked about yesterday and the day and the day before about how you'll see futures get"
"407480","407780"," bought."
"408060","411720"," And then as soon as you come into cash market, saw it again back here too, right?"
"412420","415840"," Just sell it right down and just staring stepping down each day."
"416380","422460"," There is an argument to be made for how big that swing was from from way up at four. "
"422840","426300"," Was that for 14 or something way back here a bunch of days ago."
"426820","428140"," So just been cleaning house."
"428600","429200"," What's the drop?"
"429200","435820"," I think it was five percent and currently we've got another one percent here and I believe another"
"435820","436520"," one percent. "
"436660","438760"," I think maybe yesterday was like five or six percent."
"439100","440120"," This is pretty big, right?"
"440320","442020"," Like seven percent after a few days."
"442560","444440"," We'll try to measure it today and see. "
"445260","447500"," And here's that last tag that we have down below here."
"448540","450360"," This is that gap closure down here."
"450540","452560"," 376.22 I think is where it's at. "
"454040","459040"," We'll look back and I don't even get that far back just to see where it's at."
"460160","461260"," It's right in here somewhere."
"462020","463780"," You can see that it was bought right here. "
"463860","464800"," We could lower it a little bit."
"466080","470500"," We just give a somewhere down in here."
"473600","480300"," So you got 373.56. We'll turn that green for the bulls. "
"480300","487540"," And you're going to want to buy this down here regardless for reaction trade."
"488840","489980"," Let's see if we can put this back."
"492260","494220"," We've only got four minutes left until about. "
"496800","498020"," And hold on here."
"500320","501900"," And get some levels in here at least."
"506810","508290"," Yeah, there's the pivot of here. "
"512070","518309"," We've got our three, our two, our one up here."
"522260","523500"," There's the second here."
"524900","525520"," Okay. "
"528200","529760"," Our one 39396."
"537990","541490"," Roughly that close enough close enough for horse using hand grenades."
"542310","543270"," We're not trying to get. "
"543270","556500"," And the last thing that I would point out to you today would be that three 98.29. I"
"556500","557960"," don't think it's irrational at all."
"558280","559260"," I'll be honest with you."
"559320","561480"," I don't think it's irrational at all to see. "
"563120","564200"," Our three today."
"564940","567920"," I don't think I mean, my mind is saying we're not going to get there, but."
"568560","573280"," It being a triple or quad witching, depending upon how you, how you look at it. "
"575860","582080"," So we got three or three 98.29. And then four one 32."
"582760","584980"," And I think that's the key point here is."
"588780","594440"," I think that Jenny Marcus was talking about this and I think his key point was they can look. "
"595960","598200"," Like one thing and become something else."
"598400","599760"," I think that works on both sides."
"600460","601900"," To where you end up getting. "
"602480","606640"," You know, this blast off right off the bell or we just start plunging off the bell."
"607920","612160"," But either way, let's say you're short here and we start blasting off."
"612640","615540"," You can get trapped in here and you know, we come back here. "
"615960","617120"," You don't have to get a margin call."
"617960","619180"," Same thing with being long."
"620140","623580"," If we start heading down levels, we come down to three seventies. "
"624280","627280"," And let's say we trade that range then for the next few weeks."
"628140","630200"," And you're on the long side, you can get a margin call as well."
"630200","635600"," You get some big trouble on both ends of this trade regardless of which way it goes. "
"636060","637420"," We're pretty close down here."
"637880","638860"," I'd like to see this."
"639020","642360"," If this wasn't a triple or quad witching, I would be. "
"643440","647820"," I would be what normally I would say we're closing this gap."
"648320","651220"," I mean, regard, I don't care what kind of relief you get in here."
"651260","652300"," We close this gap above. "
"652960","655240"," This is this is ultimately where we're going now today."
"655980","658020"," I can't tell you which way it's going."
"658020","661980"," I'm honest with you, these days can get absolutely wild. "
"663260","667560"," No reason not to see five, six percent days."
"667900","671040"," Those are big days, huge days."
"672060","675620"," So we'll get back down in here to a one minute chart for the bell. "
"678020","680820"," You can see this is this being supportive right now."
"680820","683080"," So we'll wonder about this right here."
"684080","687800"," Here's that here's that target right three eighty five oh three. "
"687920","689200"," We got right underneath it."
"690400","691840"," On the opening bell."
"693980","695640"," Right on the opening bell. "
"695640","697460"," There's this park that's right here."
"701400","704680"," I'm going to assume that Jamie Diamond is happy this morning."
"705380","709280"," Didn't even have to wait for the thirty for the thirtieth to get here. "
"711320","715000"," And from my understanding, I posted this yesterday's brief."
"716020","718660"," He starts making more money as we head down."
"718840","720100"," I'm almost positive on that. "
"720280","722580"," Nobody could confirm that for me yesterday."
"723540","727120"," I had asked people if they knew exactly what the what the caller was."
"727500","731180"," But from my assumption, he starts cranking underneath three eighty five down here. "
"733060","735520"," I'll try to go back and find the numbers again."
"736480","738520"," We got 22 seconds to the opening bell."
"738700","739940"," I'm going to take a look at some calls here. "
"745390","746870"," Give me just a second."
"749010","751730"," I haven't haven't looked at anything you guys are saying so."
"754970","755910"," Don't go up yet. "
"756150","756710"," Don't go up yet."
"756830","757130"," Spy."
"757330","757570"," Hold on. "
"758430","759090"," Oh no."
"765830","769910"," They haven't even reset the the options chain is wild right now too."
"773340","776120"," My options chain is all wonky. "
"776240","777500"," There's a bunch of calls coming in."
"777500","781340"," Like calls in out in out right now."
"782300","787680"," So I'm watching this waiting for a reprice real quick to try and not to reprice the stuff. "
"794490","798650"," For a brief moment, three eighty fours were dirt cheap and then they just went straight to the moon"
"798650","798910"," again."
"809550","813750"," I was trying to get I was trying to grab some three eighty fours and they repriced them briefly"
"813750","815870"," like three seconds four seconds."
"816570","818030"," And they jacked him back up again. "
"818030","819710"," They went down like a dollar forty or something."
"820390","822230"," Now they're back up to a dollar sixty eight."
"823090","823870"," No, they're more now. "
"823990","825350"," They're two three dollars now."
"825570","827270"," They were there were a dollar forty for a moment."
"828410","829690"," Those are three eighty fours. "
"829750","830670"," Now they're almost three bucks."
"842990","846170"," Yeah, I'm interested in the three eighty sixes and might have to grab some of these."
"846390","846590"," Hold on. "
"846630","847710"," I want to see how long."
"849910","851070"," They immediately took it up."
"858660","860320"," I hate buying right off the bell. "
"860800","861420"," Well, I do."
"861600","862680"," I would have bought that after bell."
"864120","865660"," But we'll see if we can just give it a minute. "
"865660","866580"," See if it cools off."
"871070","872030"," How y'all doing?"
"872670","873730"," Good morning, everybody."
"875090","876530"," Let me change this to the host. "
"876770","877050"," Take a break."
"877050","877470"," Crap."
"884470","889320"," I need to put something up there. "
"889440","890020"," I don't have a."
"892220","894200"," Anything really to put up there this morning."
"897900","898800"," Will that work?"
"899620","900580"," See if that works."
"901400","902380"," Well, that works right there. "
"903700","904840"," I don't know if I can put that in here."
"905580","905920"," Hold on."
"906020","906580"," Maybe I can't. "
"906760","908000"," That might cause a."
"909620","911240"," That might cause a."
"915520","916240"," A violation."
"931260","932560"," I don't know if that'll."
"934480","935560"," No, that's not going to work. "
"949960","950500"," It's Friday."
"950680","951380"," We can do this one."
"952160","953000"," See if that works. "
"953660","954300"," Goddamn it."
"970810","972130"," Seeing as it's Friday."
"981720","983300"," Maybe that works Friday. "
"986750","988330"," Let this cool off for a minute."
"994750","996530"," Looking for the volume this morning."
"996670","998190"," That's not showing the right volume, so. "
"1008180","1010100"," To get rid of Elon jet."
"1010300","1010740"," I remember that."
"1016080","1016740"," Where are the. "
"1018180","1019280"," Movies over here."
"1024599","1025040"," Morning."
"1025079","1025800"," How are you?"
"1025940","1026619"," Happy holidays, brother. "
"1028400","1029119"," I have a week."
"1029260","1030040"," You have to get you a."
"1030680","1031480"," I have to remember to."
"1031720","1033000"," After dinner today to get you. "
"1033339","1034260"," Your own room."
"1034280","1036440"," Or I'm some admin privileges over there."
"1039599","1040780"," I want to write that down. "
"1040780","1050460"," I need to get make a winky room or let him get in there and start"
"1050460","1051320"," messing around."
"1058160","1060900"," There's a bunch of calls on 390 for today."
"1078790","1081790"," There's 12,000 someone's buying calls. "
"1082830","1083550"," I'm in them."
"1083790","1084630"," I'm on 390 C's."
"1085370","1086470"," We'll see how that works out. "
"1086570","1088670"," If you guys want to know I'm in 390 C's."
"1089610","1091530"," Gonna put a price target right here."
"1101170","1103370"," So I'm in 390 C's if you want to know. "
"1112330","1114630"," There's a there's someone's buying them."
"1114690","1116710"," I don't know why they're buying that part of the money, but."
"1117370","1118490"," Probably because of the swing. "
"1159560","1161920"," I haven't checked my asked out yet either."
"1161920","1163140"," I need to check mask though."
"1168800","1170660"," Did that bounce this morning. "
"1173040","1174620"," Yeah, but right off the bell."
"1177000","1178780"," Came down a little bit off the bell."
"1178920","1180260"," It's at the highs of yesterday. "
"1197980","1199300"," Just a second here."
"1200120","1202560"," A bunch of stuff going on the background here."
"1208300","1210620"," US defense department spokesman Kirby. "
"1211920","1213460"," Seeing signs that Russia is planning."
"1213460","1215780"," Imminent moves on Kiev soon."
"1217320","1225520"," A US effective funds rate at 4.33% on the 15th of December on 150 104 billion in trades"
"1225520","1233200"," versus 3.83% on 101 billion on the 14th of December fed funds rate. "
