"start","end","text"
"190390","191430"," Good morning."
"191870","192730"," Give me just a second here."
"213040","214320"," My own Twitter. "
"237200","258570"," Morning, how's"
"269480","270140"," everybody doing out there?"
"271740","279660"," We've got Jerome Powell back on again this morning at 11 or 10 a.m. Can you guys hear me"
"279660","279920"," out there?"
"282880","283680"," Check one."
"284220","285380"," Seems like I got you out there."
"286440","288400"," Check two, check two, check two. "
"288860","296140"," There we go."
"303820","304520"," The H."
"304580","304680"," Y."
"304860","304880"," G."
"305040","305160"," left."
"305400","306580"," I let a try G."
"306840","308340"," Just left a huge gap. "
"310060","311960"," On the opening bell this morning."
"317840","319520"," Dixie looking bullish as well."
"319520","321160"," It's got a bull cross coming on it. "
"321680","325620"," Nasdaq had a gap that had left on the opening bell this morning on the 15 minute."
"326900","328460"," I've got it."
"328740","334020"," Nasdaq on the 15 minutes specifically here. "
"334380","339500"," You saw remember yesterday that it did not recover off of that."
"340100","342880"," That was where the trap was on spa yesterday."
"343980","346440"," Can you remember that when we were sitting up in here?"
"347560","350900"," We had said there was a potential bull trap up in here. "
"351460","354060"," And they teed right off on this on the clothes yesterday."
"354060","355340"," Came right down here."
"356180","358060"," We had some nice selling in the overnight. "
"358880","363180"," But of course, you saw some of that recovery into this opening bell this morning."
"364560","365700"," I was kind of fascinated."
"366320","368840"," I was I was slightly fascinated yesterday. "
"369160","370600"," I read some of the articles that came out."
"371340","373060"," Can you guys hear me?"
"373620","374300"," All right."
"374380","374440"," Good. "
"374540","374600"," Good."
"375180","381040"," So it was kind of fascinated reading the recap of Jerome yesterday."
"381220","387600"," When he was speaking yesterday and we saw him say I never said pause. "
"388660","395000"," I was kind of dumbfounded and was dumbfounded as to the to the wasn't dumbfounded."
"395000","401160"," But what he said I was dumbfounded by how I was reported in the news yesterday because I'm like,"
"401160","402560"," wait a minute, we got a pause."
"404040","405560"," I'm like, we got a fucking pause. "
"407180","408740"," There's no rate increase, right?"
"410240","414420"," And he also said that we were getting two rate hikes in the future."
"414860","420180"," This is at the last rate hike meeting rate or rate decision."
"420960","429540"," So I was kind of scratching my head there as to how the person or what the perception was or"
