"start","end","text"
"1740","7240"," This leader is provided to permit the projectionist to complete adjustment of focus and sound level"
"7240","8860"," before the film begins."
"83390","84370"," Check 1-2."
"91820","92620"," Good morning. "
"95180","100360"," We'll get right into it this morning so we can just take a couple of things we're going to do."
"104710","107530"," We're going to throw an ad in there if you're just joining us to apologize."
"113620","114900"," Just a second here. "
"130100","130900"," All right."
"131260","134000"," I apologize for being a little late for it."
"134080","135820"," I've got a broken or broken. "
"136160","140900"," That's the tab that I have in the video this morning."
"142360","145780"," I've got a stolen SUV out in front of my house this morning."
"147480","148680"," So I'm like, oh, fuck. "
"151360","152420"," And it's weird."
"152620","153720"," I just put up security camera."
"153940","157860"," I just bought this house and started rewiring it as a smart home. "
"159080","160420"," So I do have cameras outside."
"163530","167350"," I'm not impressed with what the cameras showed late last night."
"167830","169410"," We'll talk about that at some point today. "
"171530","174010"," Okay, so let's see here."
"174950","176470"," So I did leave up."
"176470","182810"," I did chart out the support and resistance levels for this morning. "
"183490","189070"," I did leave the path that I had shown you here yesterday."
"190410","192790"," We're taking some of that path this morning."
"194230","197010"," It's not exact, but it's pretty good to kind of see it, right?"
"197890","200070"," And actually the overnight we dipped kind of low. "
"200510","204970"," I'll try to show you this on ES, what happened in the overnight and the path that we took."
"205130","208950"," We didn't quite get where I wanted to see us get this morning though."
"209610","214490"," So we're not quite getting as high as I expected before we started to sell down. "
"215270","218890"," We'll take a look at that right now as before we do anything else this morning."
"219070","221110"," We'll give people a few minutes to roll in here."
"221910","226650"," So you can let you see that path that we did trade up and then we're trading down at this"
"226650","226930"," point. "
"227810","228830"," Give me a second here."
"231840","233900"," And what I'll do is I'll bring over."
"235660","238360"," The good thing is here we're at some kind of a bottom. "
"239340","240980"," Whether you believe that or not."
"241720","246380"," The title card this morning has a wall of broken clocks on it."
"246620","248240"," That's the title of the program this morning. "
"249500","254700"," We're going to talk about where we should be inside of the selling."
"255500","257779"," How far down we've sold at this point."
"261019","263000"," We've only had two legs down here. "
"263120","264060"," I'll show you both."
"265000","267260"," So somewhere in here we knew this was going to roll over here."
"267980","271680"," But we did have this one leg down right here, another leg right here. "
"272140","273740"," We should get a third leg."
"274360","276740"," Now this could take two to three sessions."
"276740","278180"," Could be today. "
"278440","282660"," It might not be today, but there should be one more leg down."
"282660","284060"," At least there's one right there."
"284140","284660"," There's two. "
"285040","286460"," We still haven't had a third yet."
"287540","290500"," This wasn't convincing enough for me at this point."
"291020","295460"," This morning I figured we might get this in the overnight and then start the next leg today. "
"296100","298120"," And that hasn't produced itself yet."
"299160","302580"," So we'll take a look and see if we're going to get this third leg down."
"303600","305160"," How long does this take?"
"305160","307280"," Sometimes this could take two, three days. "
"307960","310200"," If we're not going to sell it down right now."
"311060","313160"," Well, I'll bring it up over here for you."
"313560","315040"," I think I put this up here. "
"318000","322180"," So if you follow me on that cap and Zalf, I think I showed three legs down."
"323260","329180"," And we'll do is see if I can bring this down slightly here for a minute."
"329560","329960"," Clean this up. "
"330220","333420"," Let me unmute this book map at this point."
"336460","337700"," Just a second here."
"344500","346420"," So we had the initial roll over here. "
"346620","348200"," This is actually when it took place."
"348460","354720"," I believe this was in, I think I posted this at either like eight o'clock at night or something."
"355500","356840"," I think this is eight o'clock at night. "
"359000","362040"," But this trigger here is a three trigger cluster right up in here."
"362800","364460"," And we had our first leg."
"365380","367040"," Not too long afterwards. "
"368040","369880"," We ended up selling this one down here."
"370060","372560"," Right came back up to the hourly."
"373540","375660"," And this cluster right here was outstanding. "
"376020","379480"," This is a three leg three trigger cluster broke through the daily."
"380700","385780"," And this signified here, we should expect at least a few more days down."
"386040","387840"," Not just one day, but a few more days. "
"388460","391440"," Now within this, we get the first one right here."
"391480","392580"," We get the second one right here."
"392580","396440"," And of course, I'm looking for a pullback yesterday at the end of the day. "
"396980","401220"," Sometime around the middle of the day yesterday, I'm looking for a pullback yesterday or even"
"401220","401580"," today."
"402420","404100"," Some kind of a pullback here."
"406140","409280"," And really what I'm looking for is this trade hire. "
"412120","415100"," Either last night or end of day yesterday, even today."
"417160","421180"," To get that rejection to try to trade down to this 396."
"422420","430220"," This 395, this 395, 386, you're not really going to get, you're not just going to roll down in here"
"430220","433160"," and down and through this support. "
"433640","439540"," This is a weekly momentum coming up from the bottom down here."
"439660","444540"," This is a monthly momentum down below."
"445060","446880"," You're not just going to sell this down. "
"447280","452180"," I know that there are some of you out there that are, you guys drink the fucking Kool-Aid of."
"452900","455720"," You guys drink the Kool-Aid of just we're going to roll over."
"455860","456940"," There's always crash risk. "
"457960","459500"," The people that I watch on YouTube."
"459640","464240"," This is part of the broken clock stuff where you kind of think that the market's just going to"
"464240","465700"," plunge straight down from here."
"466100","468140"," It doesn't normally happen like that. "
"468700","472240"," I've checked this back going all the way to the beginning of the stock market."
"472780","473920"," I've never seen it."
"474100","475780"," There's never been an instance of it. "
"476200","481940"," Even with, even when we have war, there's just never been an instance of us breaking through this"
"481940","484320"," level right here that easily."
"484680","486380"," And I don't expect it either to happen."
"486820","494540"," As a matter of fact, just at this point, I just want to take a point here to note that"
"494540","496080"," here's 400 right here. "
"500630","502110"," There's 400 right here."
"504530","506890"," This was going on all weekend, right?"
"509640","511320"," This was going on all weekend."
"513020","518580"," These are subsellers out there telling you that if we break 400, we're going to have a market"
"518580","518860"," crash. "
"520780","523400"," This is the 21st back here."
"523540","524940"," This is yesterday at 21st."
"525100","526960"," We should have had a market crash here, right?"
"527940","529540"," Should have had a market crash here. "
"529540","530920"," Should have had a market crash here."
"531060","532340"," Should have had a market crash here."
"532800","534340"," And yet, no market crash. "
"534800","535880"," So that hasn't produced itself."
"536640","543040"," And so that's basically why I've got, at this point, I've got the wall of broken clocks video up"
"543040","543740"," for you this morning."
"544900","547620"," As this has not produced itself yet. "
"547860","553600"," Now, the wall of broken clocks can be right once a day, I guess, or once a year, once every"
"553600","554100"," 10 years."
"554100","559880"," We're having a conversation about Mike Barry and what people don't realize about Mike Barry."
"560040","564220"," I love Mike Barry, but people don't realize is the reason is people were pissed. "
"565680","567820"," It wasn't because he was eventually right."
"568160","570180"," And that was only because he took a next leg down."
"570640","574320"," He made some money, but he was wrong for so long. "
"574320","576220"," He could have made 10 times the money."
"577580","582840"," If he had just went with the market and not fought the market for such a long period of time."
"582840","584180"," We're talking years and years. "
"585000","586420"," And so we still haven't seen it, right?"
"586680","588140"," We still haven't seen that crash."
"588480","589160"," Does that mean we don't crash?"
"589460","589540"," No."
"590460","592440"," But you're kind of expecting here. "
"593060","599180"," You want to get some momentum built up to break through these levels down here."
"599260","601940"," I'm just going to delete this stuff so you can see it here."
"604780","608940"," And so what I'm looking for here is I'm looking for this trade higher just like back here. "
"609400","611120"," And just like back here too."
"611120","612140"," So you get the one."
"612600","614740"," You get the break here of the hourly. "
"615500","615900"," Right?"
"616100","616860"," Rejection above."
"617620","618440"," Come back down."
"618560","619980"," You bounce here off the daily. "
"620300","621000"," Rejection above."
"621580","622040"," Right?"
"622140","623420"," This is that downward momentum."
"624000","630340"," So I am personally still looking for at least some kind of a rejection above. "
"631020","636380"," Some kind of a trade higher still at this point, even this morning."
"636540","638260"," This is yesterday and this is even this morning."
"638260","642220"," I'm still looking for at least the trade to check higher here. "
"645780","646540"," Excuse me."
"646640","647060"," I apologize."
"648280","651700"," Now some kind of a squeeze up here to 40250. "
"653040","655520"," 40450 something like this at minimum."
"656480","658860"," And even up here to this 40450."
"659760","661700"," There's even a trade higher here. "
"662420","663740"," It's a failure to close."
"663740","666920"," So the next three days."
"667420","668820"," Well, let's say today, Thursday. "
"669440","670520"," Excuse me."
"670520","671660"," Wednesday, excuse me."
"671820","673260"," Wednesday, Thursday and Friday. "
"674780","682360"," There could be a three bar setup where we fail to close on a higher high."
"682560","685420"," Let me see if I can put this on a daily chart for you and show it."
"685880","687560"," So you can better understand it. "
"688820","689880"," Give me a second here."
"702950","704770"," So just inside of here."
"705170","706710"," This is today right now, right?"
"707470","709130"," You get two to three days here. "
"709970","713090"," This candle should close like green today, believe it or not."
"713790","715290"," I don't look like any decision candle here."
"716110","719530"," What you would do is you would get a two to three days, usually. "
"721890","723490"," And you would end up seeing."
"724530","726910"," This is the yellow box, by the way, this yellow little thing here."
"728230","730570"," But you would see a failure to close above this. "
"730770","733390"," This 404 at least, maybe 403."
"734130","737430"," And then even on a larger time frame, you could see a failure to close."
"738370","740890"," 407 or even 408 above here. "
"741550","742790"," Somewhere up and right up in here."
"743370","746090"," You could see a failure to close the next couple days."
"746990","749690"," And then you would make your next leg lower here. "
"751410","753470"," And so it might start today."
"753570","754250"," It might start tomorrow."
"754430","755030"," I don't really know. "
"755030","758810"," We can figure it out, though, if it starts today, if it starts in three days."
"760450","762510"," It's an hourly chart for you to look at here."
"763130","764170"," And you can still see. "
"767660","769120"," Still kind of see, right?"
"769720","770900"," Trying to still down here."
"771520","773040"," But you still want their rejection."
"773260","774460"," You want to gain this momentum. "
"774960","778800"," If you're embarrassed, you want to gain this momentum to try to break through."
"781020","785180"," Squeeze up here and then try to get some downward momentum coming down."
"785180","787600"," Try to get these triggers to all align. "
"787940","788280"," One, two."
"788760","792240"," You get one, two, three, four, and you'll break through these two below."
