"start","end","text"
"83340","84460"," Ah, fuck that."
"84580","85480"," We'll just get right into it."
"85520","86720"," It's already 9.30 this morning. "
"88040","92810"," I'm running a little late right now, so we'll just get right into this."
"92870","93890"," We're going to skip the intro."
"94710","95910"," Just get right into the open. "
"95930","102460"," It's already 39.30. Take a look right here."
"102960","108100"," I'm going to just drop real quick over here for you if you are out there trying to trade this"
"108100","109040"," open this morning."
"110780","112540"," I'm going to take a quick look. "
"116410","119050"," You can just see this decline going back this whole week."
"119210","123490"," We've got one touch here, another touch here on the 26th."
"123970","131950"," If you're looking for a pivot today or a place to take long here today, you are going to be"
"131950","134730"," looking for a break above this yellow line right here. "
"134810","136890"," Let me see if I can get the missing, let's see if I can highlight this here."
"139590","140490"," Let's see if I make this thicker."
"142930","143790"," It will change the color. "
"144790","147730"," Kind of like your go blue color today."
"148170","154610"," If you want to take a long, you want to see a break above this pivot point here."
"154610","160210"," If there's some rejection off of the open this morning, something like this, we come back down and"
"160210","163710"," just recheck this previous low down here at 413. "
"164130","165210"," There's another mark down here."
"166070","171330"," Some traders will end up taking a, let's see if I can get rid of this color here."
"172490","176250"," Some traders will tell you that you have to check just the clothes here. "
"176570","178390"," There's another mark down below 413."
"179390","183530"," The other key note this morning is, can you guys hear me out there?"
"183650","184550"," I don't know if you can or can't."
"185670","187470"," I think I got a weird mic this morning too. "
"189070","193110"," But anyway, if you wanted a pivot moment, take this long, right?"
"193290","195350"," You'd want to see us trade above here, right?"
"195450","198030"," A couple taps and then we, then we, then we, we, we cream higher."
"198970","205070"," And we'll talk about, we'll talk about making some channels here for going up this morning as well."
"206290","213050"," Another key point about this morning is that support, I want you to know that support is much lower"
"213050","214130"," this morning than yesterday. "
"214630","221870"," Even if we trade higher, I want you to see that key support for today is below it for 10."
"222370","223650"," Let's just be aware of that."
"223850","229770"," If we do reverse course and head lower, you can get burned in this moment in here. "
"229950","235770"," Okay, so if we were to, if we were to have a fake, a fake breakout, reverse course down for"
"235770","236170"," a tag."
"237190","242870"," If the bull, if the bears are just waiting in this channel for you to take longs, then we reverse"
"242870","244010"," and sell it down."
"245710","247150"," You can wind up seeing a tag below. "
"247510","250210"," This would fuck you up if you're trying to get long this morning."
"250730","254510"," So with that being said, you are looking for a break above this channel."
"254970","259050"," You're going to be looking for one or two taps and then it's going to trade higher. "
"259529","259529"," Okay."
"260290","267750"," Now our one is also considered key resistance today, even though our two is above at the top of the"
"267750","268070"," channel."
"268510","270510"," So I want you to be aware of that as well. "
"270890","276500"," Even in here, this is considered key resistance today."
"276960","283020"," And this is channel above."
"283940","285700"," So where does that leave you this morning?"
"286420","288280"," Is that is the big question, right?"
"288740","290880"," It's a it's a tough place to be this morning. "
"292220","298040"," If you're if you are super duper bullish and we go up, you're going to look like you are a"
"298040","299120"," rock star this morning."
"301610","308130"," If you if we don't trade higher here or if we reverse course at any point, we've got this at"
"308130","310470"," 419 down there seems to be 420."
"311350","316450"," If you are a rock star, if you're like, Hey, I'm calling this long today cap, I'm going super hella"
"316450","316890"," long here. "
"317990","319070"," There are some pitfalls."
"319430","321650"," You first off have this resistance point here."
"322090","325070"," And then this 420 is a hard resistance currently. "
"325370","326970"," We'll take a look at it on book map this morning."
"327350","331310"," So there are some points in here where you can get kind of fucked up, right?"
"331470","334090"," There's like resistance here and here."
"334210","337450"," We'll take a look at both these points right now on book map. "
"337450","340450"," We'll come back to this to this chart."
"342470","347050"," And you got this little bit of resistance right in here, 419 for 1950."
"348310","350090"," And then above again, at 420. "
"350850","355230"," You want to be watching this for a rejection for hidden sellers."
"355970","361770"," If these hidden sellers don't come in to play, you would be safe above here."
"361850","362570"," I want you to see this. "
"363110","365350"," These hidden sellers that are hidden in here right now."
"365950","369450"," Okay, if you want to stay here, I want to take this, this, this trade and make it safe."
"370130","371090"," It's above this 420. "
"372050","377890"," Okay, you get some more, some more sellers I've had for 42150 and see them ready to feed in."
"378310","382750"," But the reality is for a bullish stance today, you want to be watching."
"385240","386980"," I'm just going to break this down for a little bit. "
"387760","390220"," You can see also some support down below at 416."
"391320","394640"," So you can mark that on your charts and some nice buyers down here."
"394860","396260"," This looks bullish to me. "
"398440","400560"," And then firm support down here at 410."
"400900","402820"," I just want you to be aware of the levels this morning."
"403380","408160"," I want you to see the support that's stepping in the sellers that are stepping in as we move the"
"408160","408580"," day forward. "
"408820","413320"," Also, just briefly, care indicator is turning a little bit negative at this point, but I don't"
"413320","413860"," think it matters."
"415000","416760"," I think the bulls want to show up today."
"417320","423100"," Let's bring this up for you today. "
"423240","429440"," Just know that there are bears hiding in here wanting to take this short even though you want to"
"429440","429980"," take it long."
"430260","434500"," Now we have lots of buyers stepping in right now in the market."
