"id","start","end","text"
"q0M1p8lAVXY","0","7000"," Thanks for watching, and I'll see you in the next video."
"q0M1p8lAVXY","30000","47980"," the"
"q0M1p8lAVXY","47980","49580"," check to"
"q0M1p8lAVXY","49580","53220"," see that works"
"q0M1p8lAVXY","53220","60220"," that's"
"q0M1p8lAVXY","60220","64220"," what's going on"
"q0M1p8lAVXY","64220","69220"," a what's going on"
"q0M1p8lAVXY","69220","76220"," that's what they have to do, they have no choice there, right?"
"q0M1p8lAVXY","76220","83220"," It's like bulls have to get up here by end of day, 443.09 by end of day."
"q0M1p8lAVXY","83220","88220"," There is a note to be made with this prediction for end of day here today."
"q0M1p8lAVXY","88220","92220"," So here's your prediction here."
"q0M1p8lAVXY","92220","97220"," See this bar right here, I'm going to make this one red."
"q0M1p8lAVXY","98220","100220"," So watch this red bar right here."
"q0M1p8lAVXY","100220","101220"," This can't fail today."
"q0M1p8lAVXY","101220","106220"," If this fails for bulls, like failure, like, yeah, we blast underneath it."
"q0M1p8lAVXY","106220","109220"," Start to do this nonsense, get down in here."
"q0M1p8lAVXY","109220","112220"," That's not recovered at any point today."
"q0M1p8lAVXY","112220","116220"," Whole trade is off."
"q0M1p8lAVXY","116220","118220"," So that's what you're looking for here into end of day."
"q0M1p8lAVXY","118220","122220"," It's got an end of day failure in here."
"q0M1p8lAVXY","122220","124220"," Ten, this is tomorrow over here."
"q0M1p8lAVXY","124220","126220"," You'd have, like, the end of day failure at some point."
"q0M1p8lAVXY","126220","131220"," Come back down, it's like 9.30 open tomorrow, and then the big push higher."
"q0M1p8lAVXY","131220","140220"," And that would trade into Thursday or Friday."
"q0M1p8lAVXY","140220","143220"," Actually, that would trade into, yeah, Friday."
"q0M1p8lAVXY","143220","145220"," Friday morning, 10.30 a.m."
"q0M1p8lAVXY","145220","146220"," Docker, huh?"
"q0M1p8lAVXY","146220","150220"," That's right at the presser for, that's right at the presser for a,"
"q0M1p8lAVXY","150220","152220"," boy, boy, Jerome there."
"q0M1p8lAVXY","152220","157220"," So, let's, don't hold me to this."
"q0M1p8lAVXY","157220","160220"," Don't hold me to this."
"q0M1p8lAVXY","160220","168220"," Presser, Jerome Powell, 4.50, 49."
"q0M1p8lAVXY","168220","171220"," 4.50, 49, and the presser for Jerome Powell."
"q0M1p8lAVXY","171220","179220"," That's going to piss some people off even saying, making that statement."
"q0M1p8lAVXY","179220","181220"," 4.50, 49."
"q0M1p8lAVXY","181220","183220"," Jerome Powell, presser."
"q0M1p8lAVXY","183220","184220"," Do I think that happens?"
"q0M1p8lAVXY","184220","186220"," I have no idea."
"q0M1p8lAVXY","186220","188220"," Like horseshoes and hand grenades."
"q0M1p8lAVXY","188220","194220"," It could be like, you know, dollar lower or something like that."
"q0M1p8lAVXY","194220","195220"," I'll write it down."
"q0M1p8lAVXY","195220","197220"," Hold on a second here."
"q0M1p8lAVXY","197220","199220"," Hold on a second here."
"q0M1p8lAVXY","199220","201220"," Five minute chart."
"q0M1p8lAVXY","209220","216220"," Oh, boy."
"q0M1p8lAVXY","216220","218220"," We'll do this one."
"q0M1p8lAVXY","218220","225220"," Green and huge."
"q0M1p8lAVXY","225220","228220"," Let's go to a wee-bulb chart."
"q0M1p8lAVXY","228220","234220"," Okay, so."
"q0M1p8lAVXY","234220","247220"," Yeah, I got this right here."
"q0M1p8lAVXY","247220","248220"," Bear with me here."
"q0M1p8lAVXY","248220","256220"," I hope this doesn't show up on the screen, but it's something like this."
"q0M1p8lAVXY","256220","263220"," Come back down right there."
"q0M1p8lAVXY","263220","274220"," Right there in the Friday."
"q0M1p8lAVXY","274220","276220"," Big giant move in the Friday right there."
"q0M1p8lAVXY","276220","277220"," Giant."
"q0M1p8lAVXY","277220","282220"," I don't know if we can get that by Friday."
"q0M1p8lAVXY","282220","287220"," I still wouldn't be surprised if there was a roll down here and you get that"
"q0M1p8lAVXY","287220","289220"," meeting and you get way up here."
