"start","end","text"
"79290","81250"," Check 1, 2."
"83350","86010"," What the fuck is going on out there?"
"86170","87390"," It just got demonetized."
"88950","108800"," I guess"
"108800","109560"," I'm swearing."
"113070","115130"," How are you all doing out there?"
"117350","121470"," Oh baby, what's going on?"
"121670","122910"," Where's that fair value?"
"123770","125670"," That new contract is out. "
"125670","130930"," Oh, that new futures contract."
"131730","133810"," Fair value, baby."
"135390","138610"," Got the MOC southside over a billion. "
"139170","141250"," Working for the polls yesterday."
"142210","145090"," Huge shout out to trainer podcast on that one."
"145850","147550"," Hell yeah. "
"147550","157280"," Oh boy."
"157380","157640"," Oh boy."
"157700","158700"," Hold on a second air. "
"158900","159020"," Bam."
"159680","160200"," Okay."
"160480","161460"," What are we doing up here?"
"162800","165380"," Got a 30 minute charts up here, right?"
"165720","168500"," I'm going to show you a couple things that I want you to see. "
"168500","171420"," You've got this little bit of all right in here."
"173200","174800"," Breaking past it right now."
"175040","176460"," Nearly that near perfect bounce. "
"177620","181440"," Got this prior high back here as well to be looking at."
"181620","183040"," See that prior high right over here."
"183040","184680"," You got a little one right here, a little bit of all. "
"184700","186760"," A little bit of all up here too."
"187880","189660"," Put it back on the one minute here."
"189820","189900"," See. "
"190220","193920"," Oh, look at that one minute chart right here."
"194160","196220"," Look at how sexy that thing is."
"197300","199560"," You got another little bar up here. "
"199880","201300"," I didn't post this on Twitter."
"201300","205180"," I should have put this last little one right there."
"205540","207120"," You might get a pullback right about now. "
"209540","212940"," Right about now you should see a slight pullback here."
"213980","216220"," And then you've got one more target to the upside."
"218440","220120"," So let's take a look at that real quick. "
"220340","224140"," Put that right there for you just so you can see it right there."
"224880","225480"," Does that help?"
"227380","229580"," Give me just one quick second here."
"229580","231760"," Good morning to all of you out there. "
"233400","234460"," I'll be honest."
"235380","236880"," I got to be fucking honest."
"237140","237540"," So yesterday. "
"238700","241400"," I was buying that clothes pretty heavily."
"241600","243940"," As a matter of fact, I was buying the fucking bottom two."
"244020","248340"," I was like bam, bam, bam, just adding and adding and adding and adding. "
"248900","251560"," And I'm going to be a hundred percent honest with you."
"252400","253740"," One hundred fucking percent."
"254680","255740"," I was scared. "
"257019","257579"," Shitless."
"258740","265780"," All night long because there was one like it was too easy to just do that."
"266000","268120"," I mean, brain, I couldn't figure it out. "
"268280","270780"," I was like, I said something to you guys yesterday."
"270780","278420"," I said, it's probably better for you to not trade puts into the clothes yesterday."
"278420","283600"," I was like, yeah, we can see that more that like last dip down and then we'll come back up"
"283600","284340"," before the open. "
"285360","287520"," But even so, I was even scared."
"287640","292420"," I was more scared that they would dump us down into that forty or forty five fifteen."
"293320","298820"," And then the then that that rip would start this morning that that manipulation downside move like"
"298820","303980"," you put the paint on the bulls and then you hit them one more time before you run it up"
"303980","304840"," today. "
"305080","305660"," Let's say, right?"
"305940","306060"," So."
"307500","309580"," I'm for just that reason alone."
"310080","315540"," I'm not going to tell you that I took that trade into the closed yesterday and I felt the highest"
"315540","316800"," confidence in it. "
"317340","325060"," The safer trade into that close in hindsight was waiting to this morning, even if I missed the"
"325060","325360"," trade."
"325800","330560"," So I want to be cautioning you on that that yesterday as I was doing that, I was like, yeah,"
"330660","331140"," we could easily."
"331820","334940"," Slam this down, hit the forty five fifteen. "
"335740","341000"," Anyone trying to buy that clothes, paying trades on, even if it bounces this morning."
"341640","346860"," You'd see you'd be ripping up all your one dates for today and then they would start that run"
"346860","347740"," higher today."
"348320","349000"," They didn't. "
"349360","351520"," So I guess I won that one."
"351640","355580"," But, dude, I'll tell you what, I was not feeling it last night."
"355720","361120"," I was pretty fucking nauseous about it. "
"361120","363360"," It was the best trade to take into the close."
"364960","366040"," Statistically, it wasn't."
"366120","370920"," I mean, there were reasons for why we went out to try to podcast explain some of that to me"
"370920","378080"," last night, but still, still, very commonly, you get that last little fucking dip down and then you"
"378080","378540"," get the rip. "
"379860","384380"," So at any rate, we're coming up into some resistance right now."
"384540","387440"," We've got a couple targets to the upside."
"387440","396400"," And furthermore, with that same idea in mind, I got asked this morning, do you expect any"
"396400","398480"," significant downside move?"
"399540","408720"," And I didn't want to explain it on Twitter because I didn't want to explain it on Twitter because"
"408720","409720"," price matters. "
"411760","417420"," And how you like what feel like what's price matters if we get a role next week?"
"417980","420160"," Where are we getting that that role from?"
"420680","420820"," Right."
"421420","426460"," So if we can't crash this mark right now, we got a pin above at 4,600, right?"
"426620","428380"," A magnet above 4,600."
"428380","429900"," So we can't crash the market. "
"430300","434800"," We're building a base here for the market and the get in the gamma world."
"435540","440380"," So if they are going to, you know, if they are going to roll it down next week, where is"
"440380","440880"," it from?"
"441420","445000"," You know, are they rolling it down from the bottom yesterday?"
"445660","448580"," Or are they rolling it down from up on high?"
"449260","450880"," So that will matter."
"451160","459300"," So my, my posit here is the banks are fucking long into Friday and they're going to get their money"
"459300","460000"," to the upside. "
"461040","468680"," You should be looking for one of those highs into the close this week for a gentle pullback into"
"468680","469360"," next week."
"469500","470340"," Does that make sense?"
"470660","476220"," A lot of like some people out there expecting like step down from the lows that we had, let's say"
"476220","477120"," at the close yesterday."
"478460","486320"," I would be look, I would be more looking for a high into today, right, possibly even tomorrow to"
"486320","490420"," throw something on some kind of sprinkle on into the 15th. "
"491000","493040"," And I haven't talked about this."
"493360","497860"," I think I might have mentioned it yesterday, but there's something else I want to talk to you"
"497860","500120"," about, which would be."
"501760","507640"," There might be, I mean, we're going to talk about Jerome for next week because, you know, we know,"
"507920","517740"," the dates might not be exact, but it would be hilarious if you get no rate increase, right?"
"518260","523260"," And you get the whiplash action in the in the rate decision and then a pin. "
"525040","531840"," And they just torch you even if it's going up, just torch you for an extra day or so."
"532140","540060"," The move comes after like a day or two later, not guaranteed dealers can chase if too many people"
"540060","542140"," buy calls and buy the market with real money."
"542420","547960"," Yeah, it can go up in the dealers will chase that move all the way up, but I'm betting right"
"547960","551400"," now that they are already have a plan in place. "
"552220","560520"," To crush your dreams on rate decision day, you know, we're we're pricing in no rate increase."
"560900","562940"," So just be just be careful."
"563320","564800"," We'll talk about it today. "
"564960","569500"," Be careful as we head into that Wednesday of that."
"569500","570860"," Yeah, it's something we're not going there."
"570940","572860"," It's that you might get crushed on the way there. "
"572860","574900"," You might not be positioned properly."
"576120","582100"," They can slim it down before the rate decision and make you rebuy all that shit again, right?"
"582400","589220"," So we're going to play this one really, really close to the chest heading into Wednesday."
"589960","591780"," Good morning, by the way, to all of you out there. "
"591900","592640"," Give me one quick second."
"592840","593220"," I got to do."
"593560","595580"," I got some work to do here in the background. "
"596780","598060"," I love all of you."
"598120","598920"," I hope you're all doing well."
"609810","611310"," Fucking great morning, by the way. "
"611310","613170"," Dude, I'm fucking making so much money."
"613170","614110"," It's not even fucking funny."
