"id","start","end","text"
"qMKyCtrkYJc","0","10840"," This leader is provided to permit the projectionist to complete adjustment of focus and sound"
"qMKyCtrkYJc","10840","13840"," level before the film begins."
"qMKyCtrkYJc","40840","61840"," We're going to go slow with this one."
"qMKyCtrkYJc","61840","90840"," We're going to go slow with this one."
"qMKyCtrkYJc","90840","116840"," How are you all doing out there this morning?"
"qMKyCtrkYJc","116840","137840"," How are you all doing out there this morning?"
"qMKyCtrkYJc","137840","166840"," How are you all doing out there this morning?"
"qMKyCtrkYJc","166840","195840"," How are you all doing out there this morning?"
"qMKyCtrkYJc","195840","221840"," How are you all doing out there this morning?"
"qMKyCtrkYJc","221840","244840"," How are you all doing out there this morning?"
"qMKyCtrkYJc","244840","273840"," How are you all doing out there this morning?"
"qMKyCtrkYJc","273840","298840"," How are you all doing out there this morning?"
"qMKyCtrkYJc","298840","309840"," You see that right there?"
"qMKyCtrkYJc","309840","312840"," Probably going up from here."
"qMKyCtrkYJc","312840","321840"," A little bit more to do, right?"
"qMKyCtrkYJc","321840","329840"," You know where we are, right? You all know where we are."
"qMKyCtrkYJc","329840","348840"," I mean, look at that."
"qMKyCtrkYJc","348840","350840"," I don't know what else to say at this moment."
"qMKyCtrkYJc","350840","351840"," I have to take a moment here."
"qMKyCtrkYJc","351840","358840"," I'm being very quite serious here."
"qMKyCtrkYJc","358840","363840"," I want to say good morning to everybody out there."
"qMKyCtrkYJc","363840","366840"," Good morning, Binky."
"qMKyCtrkYJc","366840","368840"," Good morning, Perry."
"qMKyCtrkYJc","368840","371840"," Good morning, Beartown, Sheriff."
"qMKyCtrkYJc","371840","373840"," Good morning, Betty Mac."
"qMKyCtrkYJc","373840","375840"," Crazy Eddie."
"qMKyCtrkYJc","375840","376840"," Beno."
"qMKyCtrkYJc","376840","379840"," Legend."
"qMKyCtrkYJc","379840","384840"," X22 X is here this morning."
"qMKyCtrkYJc","384840","385840"," Big cute boy."
"qMKyCtrkYJc","385840","388840"," What up, bro?"
"qMKyCtrkYJc","388840","391840"," Sir, for exit."
"qMKyCtrkYJc","391840","395840"," Morning, brother."
"qMKyCtrkYJc","395840","396840"," It's Dorfa."
"qMKyCtrkYJc","396840","397840"," Crazy Eddie."
"qMKyCtrkYJc","397840","400840"," Lane Meyer."
"qMKyCtrkYJc","400840","402840"," Ace room."
"qMKyCtrkYJc","402840","403840"," Coffee shop."
"qMKyCtrkYJc","403840","405840"," John."
"qMKyCtrkYJc","405840","407840"," Kenny Tran is there."
"qMKyCtrkYJc","407840","412840"," I already know who went long yesterday."
"qMKyCtrkYJc","412840","420840"," I can tell just by the chat."
"qMKyCtrkYJc","420840","422840"," John Haggard is here."
"qMKyCtrkYJc","422840","423840"," Damien's here."
"qMKyCtrkYJc","423840","424840"," Jeremy."
"qMKyCtrkYJc","424840","425840"," Scott."
"qMKyCtrkYJc","425840","427840"," Binky."
"qMKyCtrkYJc","427840","430840"," Perma Bull Tom."
"qMKyCtrkYJc","430840","431840"," Limit buyer."
"qMKyCtrkYJc","431840","432840"," Big balls."
"qMKyCtrkYJc","432840","433840"," Ross."
"qMKyCtrkYJc","433840","435840"," Walks in the house."
"qMKyCtrkYJc","435840","436840"," Zack."
"qMKyCtrkYJc","436840","437840"," My man."
"qMKyCtrkYJc","437840","441840"," John Saperito is there."
"qMKyCtrkYJc","442840","444840"," Darth Mollies in the house."
"qMKyCtrkYJc","444840","456840"," The Chiba is in the house."
"qMKyCtrkYJc","456840","459840"," DJ Garth Algar."
"qMKyCtrkYJc","459840","460840"," Zlex 14."
"qMKyCtrkYJc","460840","462840"," Darth Mollie."
"qMKyCtrkYJc","462840","464840"," Tony the cheesiest."
"qMKyCtrkYJc","464840","467840"," Jeremy August."
