"start","end","text"
"260","1040"," Whoopsie."
"3850","4830"," Start there."
"6630","9570"," What are we gonna do?"
"47870","49330"," How's everybody doing out there?"
"55900","57520"," Yes, take the money and run. "
"60040","66020"," Yes, we'll run up some more, but yeah, you always, always, always take the money and run."
"66860","68040"," Hold on a minute here."
"71260","73600"," Okay, take the money and run. "
"75620","77040"," You renegotiate the trade."
"77420","78820"," You always take the money and run."
"79660","81520"," Then you renegotiate. "
"81860","85120"," So you can go to a higher strike, something like that."
"86360","87540"," That's a good question."
"87800","94020"," I got to switch right into the show this morning because directionally speaking, they're going to"
"94020","94860"," reprice options. "
"95720","98680"," So you take that money and run, you renegotiate a lower price."
"98680","100440"," You don't double down."
"102080","103040"," PCB stick windows. "
"103360","107120"," We have found some links between commercial real estate and mutual funds."
"107680","109600"," You literally take the money and run."
"109820","110960"," Take the money and run on the open. "
"111820","113240"," Let them reprice options."
"113860","116000"," Dealers aren't going to give you a free ride these days."
"117080","118560"," HFTs aren't going to give you a free ride. "
"118880","120220"," Algorithms aren't going to give you a free ride."
"120360","123020"," The days of free rides in the market are over."
"124180","132260"," As a matter of fact, it's a good topic too because a lot of swing trades these days, when they're"
"132260","133580"," in the money, you take it and run. "
"135800","137840"," Because of the violent moves in the market."
"137900","139180"," We'll talk about that this morning."
"140660","144480"," A little conversation about how it used to be and how it is right now. "
"145120","146280"," So we'll talk about that."
"148080","149780"," It's a question of frequency."
"151620","153900"," Not that we don't still have the same sine wave. "
"155140","157040"," It's so compact."
"158360","164000"," Now that we're used to end to the bottom of a channel and wait a week for a monthly or"
"164000","166040"," something or two week, three week call."
"166720","168820"," As soon as that shits the money, you take the money and run. "
"169620","171640"," We used to not be like that, but it's gotten worse."
"172740","173940"," A good question this morning."
"175260","182400"," Always, especially if you're like, especially the S&P 500, if you come into the money in a cash"
"182400","186300"," market or something on an overnight gap up, something like that, you take the money and you"
"186300","187240"," renegotiate the trade. "
"189620","193380"," Even if it's like a weekly or a monthly, the moment you're in the money, you just get it."
"193500","196280"," If you're actually actually in the money, take it and run."
"197680","199320"," So we'll talk about that right now. "
"201320","204800"," We're going to buy in and there's some gaps down below to close."
"206460","207380"," Good morning, David."
"207520","207920"," How are you, brother?"
"209380","218100"," Hey, by the way, I think if you're an admin, or a special moderator or anything like that, show a"
"218100","218960"," two and three job. "
"218960","220740"," You're getting access to the tool this morning."
"220740","221900"," You couldn't get them done yesterday."
"222360","223200"," It's more than it's happening. "
"223460","224520"," So be aware of that."
"226120","233560"," If you want access to the tool and you are a moderator or an admin, get with the admins."
"233940","238780"," I haven't spoken to the admins yet, but they're going to ask you for your trading view handle. "
"240060","242140"," We can get access to it this morning."
"243320","244420"," Good morning, by the way."
"245500","250260"," But yeah, if you're an overnight call holder, take that fucking money and run. "
"250620","251000"," Please."
"253300","257720"," If you think we're going to continue to go up from here, renegotiate the lower strike."
"258000","259320"," Put that in your pocket. "
"260120","262120"," And free trial had to take that."
"262160","263740"," That's a big part of like our."
"263980","269280"," That's a big part of a problem around here is that we do a lot of. "
"269280","271080"," I see a lot of people that."
"271380","271860"," That."
"273760","274580"," Cherry pick. "
"274940","276560"," There's a lot of cherry picking around here like."
"278680","282500"," People won't follow shout outs on stock tickers."
"282500","284380"," Then they didn't buy gas, right?"
"284540","285240"," They didn't buy oil. "
"286700","292360"," And then they take one zero to eight day trade and they blow it up or they win two or"
"292360","292960"," three in a row."
"292960","294060"," They're doubling down."
"295180","297420"," On every trade until they blow it up. "
"297420","300140"," So it's a great question, by the way, this morning."
"300780","302060"," Do you take the money on the gap up?"
"302200","302860"," Yes, you do."
"303400","305740"," You take the money, you renegotiate the trade. "
"306660","310860"," We have to do a whole thing on rules and that stuff because I know it happens a lot around"
"310860","311120"," here."
"312800","317280"," There's a lot of cherry picking that goes on around here and I'm always suspect people will blow up"
"317280","322120"," a trade and they'll be like, I'm hurting and I'm like, let's look at your trades as a whole."
"322880","324640"," And it's not pretty, right?"
"324640","326820"," And the size is not pretty. "
"329020","331280"," DCA and pulling off all that kind of stuff."
"331460","335000"," As a matter of fact, this tool should kind of help you."
"335220","342420"," And as a matter of fact, right now, for all the rules that I've taught you, even this long short"
"342420","345960"," thing here, we're going to go over that at some points, what it means. "
"347440","350900"," And specifically right now, this is a 30 minute chart."
"350900","357960"," If we go to a, as a one minute chart, but if we go to a 30 minute chart, you"
"357960","359340"," know, let me ask you a question."
"359720","362100"," So we're in a 30 minute chart right now. "
"364140","367280"," And take a look at me with me right now."
"367340","367500"," Okay."
"367740","368320"," Take one quick look. "
"368620","373680"," So just looking right here, can it continue to go up?"
"373820","374540"," Yeah, sure can."
"376180","381200"," So if it stays above the one minute trigger, I'll stay long."
"381780","383260"," But where are you getting long?"
"383480","387340"," Are you getting long on velocity where we are right now?"
"388220","390600"," No, this is not the entry point, is it?"
"391600","396380"," You're looking for some negative value, right?"
"396580","398480"," We know that this is positive here. "
"399260","399740"," Supportive."
"401180","404420"," But these down here are not, are not optimum, right?"
"404740","406020"," And optimum always matters."
"406720","409960"," So this is a 30 minute chart that we're looking at right now. "
"410960","416600"," But if we were to go to a one minute chart, if we're to go a one minute chart here,"
"418160","420740"," we are at the bottom of this channel heading higher."
"421380","423280"," This if I can go to a trigger screen here."
"425080","427620"," We are still within trend here. "
"428880","430800"," But let's, let's, let's be honest here."
"430800","432240"," So we're still in trend right here."
"432240","435660"," And you see this one pulling back right now, right?"
"435760","438460"," So one minute's getting a little weak, five minutes getting a little bit weak. "
"438920","440460"," 30 minutes still holding up."
"441640","443980"," But where would you want to buy in here?"
"444500","448920"," You know, you don't have to get every single trade, right?"
"449180","450660"," You don't have to always trade spy."
"451700","456160"," But, you know, if you were given the opportunity to buy down here, you probably would, right?"
"457460","460040"," Just like down here, down here, down here. "
"460040","465760"," Now, if, if price gets above the one empty, sure we can trade that."
"467580","469900"," We can trade that if it does stay above."
"470300","471380"," So we'll look at that right now. "
"473480","474800"," Quick second here."
"477240","478880"," So on this we will chart here."
"479000","480000"," We had PT one yesterday. "
"480320","481680"," We've got PT two today."
"482240","486900"," And then we had that PT three for Friday here."
"487660","490740"," We are still, we are still standing on. "
"493440","495380"," This EMA right here, right?"
"495780","499140"," UK interest rate spots show you more than 60% chance."
"499260","502460"," The Bank of England rate cycle will peak at five spot five percent."
"503500","505380"," Let me pause this for a minute here. "
"508820","510760"," So what would I say here?"
"510980","514919"," I guess we'll be the question here would be if we get above our two."
"517220","520200"," And we successfully defend this white line right here."
"520240","522120"," And you want to take, take a ride up. "
"522360","522940"," I'd say, yeah."
"524740","527080"," But I'd let it open up for a minute too, right?"
"527340","530460"," So if someone's, if someone's selling calls into you right now."
"531400","533140"," And you don't quite know it, right?"
"533300","536580"," You come down here and they're just selling calls into you. "
"536580","537460"," You think we're going up."
"538480","540340"," Calls are being sold into you."
"540960","543160"," And then all of a sudden there's that roll down here. "
"543160","544120"," Fill that gap."
"544660","547780"," You know, you kind of got to, you kind of got to be upset, right?"
"548560","551800"," If you didn't close your calls on the open this morning."
"552060","557120"," Now, one of my rules is if we had not gone up and we actually went down. "
"557540","560300"," And my overnight calls were burning."
"561600","564080"," They're probably screwed, but I will hold them."
"564180","566900"," I won't sell them because they've lost so much on them, right?"
"567640","568700"," Maybe I'll DC am. "
"569060","572020"," Sometimes I'll leave them on, even if we are going to catch the bounce."
"572020","575860"," And just buy a higher strike, right?"
"576100","578340"," So that I can at least catch back up on this bad trade."
"580080","583560"," But when we are printing on the open, always take the money and run. "
"584260","587020"," All of those options are typically reprised."
"588600","594900"," If you, if you back, if you back trade this trade, you're going to win more times than lose if"
"594900","595980"," you take the money on the open."
"595980","597560"," If you're, if you're already green. "
"599520","604500"," I've had more losses inside of this little area here to gap up."
"605400","607060"," Even if we continue higher."
"609140","611500"," So I have like, I have held these on, right?"
"611640","613700"," Let's say, let's say I bought down here at 10 cents. "
"615260","617880"," And these are now 30 cents, right?"
"620100","627040"," Oftentimes, if I don't close them immediately, they will still go back down to like 12 cents, boom,"
"627280","627920"," 12 cents."
"635040","635880"," Inside here."
"640220","643180"," And then still rip higher to point 40 cents. "
"643960","644940"," Let's say, okay."
"646020","650580"," But the fact that we came back down to 12 cents, that, that's annoying, right?"
"650740","652920"," You do all that work to make all that money coming up here."
"654080","659180"," And you're going to, you're going to, you're literally a renegotiating and you're, you're literally"
