"start","end","text"
"580","1560"," Check 1-2."
"3930","9430"," This leader is provided to permit the projections to complete adjustment of focus and sound level"
"9430","11110"," before the film begins."
"12850","14950"," Do do do do do do do do do do do do do do do do do do do do"
"14950","14950"," do do do do do do do do do do do do do do do do do do do do"
"14950","14990"," do do do do do do do do do do do do do do do do do do do do"
"14990","15149"," do do do do do do do do do do do do do do do do do do do do"
"15149","15149"," do do do do do do do do do do do do do do do do do do do do"
"15149","15250"," do do do do do do do do do do do do do do do do do do do do"
"15250","15250"," do do do do do do do do do do do do do do do do do do do do"
"15250","17690"," do do do do do do do do do do do do do do do do do do do do"
"17690","20530"," do do do do do do do do do do do do do do do do do do do do"
"20530","20850"," do do do do do"
"40530","59470"," do"
"61100","63840"," do do do do do do do do do do do do do do do do do do do do"
"63840","64960"," do do do do do do do do do do do do do do do do do do do do"
"64960","69680"," do do do do do do do do do do do do do do do do do do do do"
"69680","76800"," do do do do do do do do do do do do do do do do do do do do"
"76800","76880"," do do do do do do do do do do do do do do do do do do do do"
"76880","77540"," do do do do do do do do do do do do do do do do do do do do"
"77540","79400"," do do do do do do do do do do do do do do do do do do do do"
"79400","79420"," do do do do do do do do do do do do do do do do do do do do"
"79420","79420"," do do do do do do do do do do do do do do do do do do do do"
"79420","82960"," do do do do do do do do do do do do do do do do do do do do"
"82960","85440"," do do do do do do do do do do do do do do do do do do do do"
"85440","86980"," do do do do do do do do do do do do do do do do do do do do"
"86980","93820"," do do do do do do do do do do do do do do do do do do do do"
"98420","105060"," do do do do do do do do do do"
"105060","110200"," do do do do do do do do do do do do do do do do do do do do"
"110200","110200"," do do do do do do do do do do do do do do do do do do do do"
"110200","111420"," do do do do do do do do do do do do do do do do do do do do"
"111420","113220"," do do do do do do do do do do do do do do do do do do do do"
"113220","115120"," do do do do do do do do do do do do do do do do do do do do"
"115120","117020"," do do do do do do do do do do do do do do do do do do do do"
"117020","117620"," do do do do do do do do do do do do do do do do do do do do"
"117620","117620"," do do do do do do do do do do do do do do do do do do do do"
"117620","117620"," do do do do do do do do do do do do do do do do do do do do"
"117620","118760"," do do do do do do do do do do do do do do do do do do do do"
"118760","125860"," do do do do do do do do do do do do do markets up a lot this this week"
"125860","130400"," it could end up not being so great but the main good born out there I've never heard him be"
"130400","136800"," as adamant about a call that this is when you must sell Bitcoin listen to those words of what can"
"136800","144740"," you say in ETF he made that point it's not an ETF it's an ETP which means it's not a"
"144740","149980"," couple by the 40 act and the people who issued these things can do anything they want with it the"
"149980","156020"," 40 act is basically saying listen we can investigate the people who issue something it's only a 33"
"156020","163620"," and 34 act it is not an ETF and those who call an ETP just heard from Gensler that it's"
"163620","168640"," an ETP which is quite different doesn't have protections that people should get and that's why he"
"168640","173500"," says he's certainly not embarrassing that's fascinating Jim let's pick that up in a second here"
"173500","177840"," let's get the bell underway and the CBC real-time exchange and the big board today it is home"
"177840","183680"," builder Smith Douglas Holmes as you might remember celebrating it's IP yesterday at the NASDAQ it's"
"183680","191300"," a car sharing platform zoom car celebrating its recent listing via SPAC Jim as I don't know are you"
"191300","200680"," surprised by the way breath is filled in here pretty green Bob Larkin is so bullish for stocks I"
"200680","205300"," mean we get these numbers it just makes the thing they're gonna go up and then they go down it"
"205300","210820"," makes it so that there's just a terrific background I do have to say I mean we have a war"
"210820","216820"," in the Red Sea we we have oil screaming you would expect the sea of red to go with the"
"216820","224940"," Red Sea I see a green sky of blue you wish we'll see how blue it is tomorrow night I"
"224940","231060"," know I guess five degrees yes but you're saying it does reinforce the point that it's all about"
"231060","236620"," rates I mean the market assumes that in geopolitics or other wrinkles are gonna get ironed out but"
"236620","242840"," in the end the cost of capital is gonna drive trading yes and I do point out in the south"
"242840","246700"," though like like Brian Moynihan I mean thank you Marcus shouldn't be bit it's just a little crazy"
"246700","252360"," here it really wasn't a bad number but Brian Moynihan talking to look rates that are you have to"
"252360","256880"," come down and I think the bank market crap being now starting to do the right thing rates should"
