"start","end","text"
"380","1520"," Check why the film begins."
"9210","10610"," Check 1, 2."
"34630","35810"," Check my check."
"38690","40130"," That sounds better I think. "
"40930","42390"," That voice sounds better too."
"79330","79690"," XBI."
"84350","87570"," XBI, can we get Tesla earnings, so we'll look at that. "
"96400","97120"," Well, stream."
"99640","100320"," Hey, good morning."
"100460","101120"," How's it ready to do it out there?"
"102520","103000"," Check 1."
"103100","105080"," Here we go. "
"105920","107200"," Get right into it right now."
"107700","112320"," A couple phones blown up."
"112440","112600"," Okay. "
"114220","115420"," We just a second here."
"116080","119260"," Get a bunch of technical crap going on in the background still."
"121560","123660"," Still having technical issues. "
"124640","128759"," I think what's happening is, or something else that's happening is I've got."
"128759","136760"," I had all these updates on all these computers at my house."
"140360","143100"," And along with that. "
"153880","155900"," Some real oddities happen."
"158360","159760"," Just a second."
"166160","169980"," Let's see. "
"176320","177470"," Dude, where's my."
"180610","182090"," That's how you what?"
"188830","190840"," Like never ends here."
"199450","201470"," It does never and it's like. "
"219050","221530"," Please thumbnail thumbnail thumbnail please."
"221770","223290"," Why is the thumbnail on there?"
"223770","224730"," Didn't save."
"226170","226850"," Okay. "
"228070","234990"," Germany's two year bond yield down 10 basis points at 3.15% the lowest level since June 27."
"240680","241720"," And Germany's."
"241880","247960"," June 29th at two spot 3.5% down 10 basis points on the day. "
"249500","254320"," YouTube's kind of like their back end has only gotten worse this time is fast."
"254320","261500"," US business inventories month over month forecast zero spot 2% on the prize zero spot 2% and us"
"261500","266360"," N A H B housing market index forecast 56 on the prior 55."
"266880","268260"," We also expect comments. "
"270060","276240"," From fed spa who's speaking on fair lending at the national fair housing alliance of 2023 national"
"276240","276740"," conference."
"277380","283620"," Text is expected, but no Q and A as well as fed skis Gibson who testifies about climate change at"
"283620","285580"," a house financial services subcommittee."
"285820","287140"," Text is expected. "
"292990","295750"," Sort by news customization."
"297810","298690"," Numbers only."
"302010","302810"," Live chat. "
"307030","307670"," Good morning."
"307770","309010"," Good morning to all of you."
"309110","309750"," They're out there right now. "
"311290","312270"," We're all doing well."
"312830","313130"," Just a"
"313130","327170"," second"
"327170","327170"," here."
"328650","330090"," That one right there. "
"332250","336690"," That one right there."
"337930","339230"," It's right on that line."
"340390","341290"," Close enough. "
"347460","349000"," Like something else here."
"350220","351820"," You got one more right here too."
"359360","364280"," If you can bring up a video from last night that I watched from CNBC this morning. "
"370500","371380"," He said."
"377740","382320"," Sellers robbed again successful retest this morning of the hourly trigger."
"383500","389220"," The one in the five minute price right now is above the one and five minute. "
"390260","397620"," Early trigger came up overnight like we anticipated to 450 zero eight on the opening bell this"
"397620","397940"," morning."
"399220","401800"," Byers stepping in once again here."
"402280","405760"," So roughly right here is early trigger. "
"406240","409320"," You can see the successful retest of it."
"410040","413180"," Just looking for the one in five minute here to retest."
"413960","416240"," You'll see we had the bounce down here. "
"416980","419860"," We're going to check this one in five again."
"420860","424260"," We get this successful retest should continue higher."
"424840","426800"," There is something to be said right here. "
"428300","430400"," There is something to be said this morning."
"430620","433680"," I watched a video last night from two days ago."
"435620","437520"," That somehow I'd missed. "
"438680","441040"," And it was a little disturbing."
"443980","445500"," Had to do with."
"447160","448920"," I believe it was on CNBC. "
"450340","454920"," So the reason I watched this or not reason why but I watched the video last night because I was."
"455280","457480"," We were in the options chain yesterday."
"460620","464040"," I was watching the options chain all day yesterday. "
"464040","469680"," And they were giving a 30 delta zero dates."
"470340","474820"," No pricing like so 30 delta zero dates weren't worth anything."
"477340","481160"," There is no pricing anything that wasn't in the money. "
"483460","486800"," Or slightly even front or like slightly in the money like."
"486800","490540"," Well I guess they're calling these a 30 delta now."
"490720","492680"," I guess a one strike is a 30 delta on today. "
"492960","493140"," Okay."
"497800","503300"," They're giving like a they're giving a point zero six deltas three strikes out of the money today."
"503920","506240"," And they did this yesterday as well. "
"508000","508560"," So."
"510940","513179"," It piqued my interest yesterday."
"515000","519059"," Because they were forcing you to stay long all day long into the clothes. "
"519539","522120"," If you bought anything that was dirt cheap like 10 cents."
"522900","525680"," 20 cents 30 cents you to stay in all day long."
"526520","529020"," And they didn't give the prince until the close. "
"531040","531980"," So then."
"533980","536900"," CNBC had a video must be a find it for you."
"538260","539800"," To show you a link to this. "
"542040","544740"," But there is an interview I guess I don't."
"544860","547600"," So I want you to know that I oftentimes don't pay."
"547600","551040"," I am eastern time to get us business inventories month of a month. "
"551500","555720"," I don't pay as much it like I follow the news the financial news."
"556520","560120"," But not like I once did nice to have CNBC on all the time."
"560620","565000"," And I'd read every article out there all the news you name it. "
"565080","567980"," I was like I would consume it non stop."
"567980","568880"," And."
"569880","572540"," It was really clouding my judgment. "
"574540","575600"," So."
"576360","579460"," My thesis and decision making."
"580460","582500"," Was clouded by. "
"583600","586600"," News that wasn't really relevant to make money."
"587140","588140"," To be honest."
