"start","end","text"
"66630","68890"," All right, so good morning everybody."
"69170","70130"," Welcome to the last dream."
"70550","73810"," I will be on at 10 a.m. I've got a few small things you got to take care of"
"73810","74250"," with my kids. "
"74390","75230"," I'll be right back."
"75850","80950"," But you will be seeing you'll at least have the book have book map up for you this morning and"
"80950","84550"," the chart is charted out for today."
"85070","89070"," Be conscious of this blue line here this morning. "
"89890","92810"," I don't know what I don't know if I should make this or this green line."
"92930","94690"," I'm not sure if I should make this green or yellow."
"95710","96610"," This was the green line. "
"96610","99550"," From yesterday that book map support that we had yesterday."
"99650","100550"," I don't know if you can see that."
"100790","103110"," Hold on a second here. "
"104830","108270"," So this was that this was that close that we had yesterday."
"108270","110390"," Maybe I should extend this red line."
"112860","116280"," So when we came in yet or we we closed out yesterday. "
"117060","122460"," The market this became a pin into cash again today."
"122460","122820"," Okay."
"123580","133320"," So this three this three ninety five nineteen this zone down here is going to act as a pivot"
"133320","133900"," point. "
"133900","137380"," A pivot point technically today is three ninety seven twenty six."
"137780","143140"," So you're going to give measures extending the cons tenure yield rises to three spot seven five"
"143140","143660"," percent."
"143860","146760"," Make sure you let people know that make sure you let people know that this morning. "
"147340","147740"," So."
"148660","152740"," So this zone right here I want you to realize that the real pivot point is three ninety seven"
"152740","153380"," twenty six."
"153820","157180"," For you to get bullish we need to trade above this. "
"157780","158600"," This morning."
"158600","162940"," The cost as I can't anticipate how much rates need to climb."
"163620","166960"," Here's the gap to close off of the open this morning. "
"167260","168800"," Now I do want to warn you that."
"168940","170780"," This stream is sponsored by Ticksright."
"171320","175680"," Ticksright allows you to actually hear order flame futures for ex and stock instruments. "
"176180","176900"," Hang tight here."
"176920","178860"," Free trial at Ticksright.com."
"179600","186000"," So it's probable that we bounce off the bell here and try to close this gap above today."
"186000","189880"," But I do want you to be aware that if we reverse off of this pivot. "
"191860","194420"," The overall trend is down right now."
"195140","202340"," It would be nothing for us to attempt to make this trade higher bounce off the pivot and then start"
"202340","202980"," moving lower."
"205160","207160"," I would say to you that. "
"209060","210820"," Let me say I put this on here real quick."
"211280","212180"," Just a second here."
"213760","218260"," There's going to be a magnet down below here for three ninety. "
"220320","223280"," Possibly even lower to three eighty six three eighty three."
"224260","229680"," And that's the lower band of that down channel that I was showing that we've been we've been"
"229680","232740"," talking about that the bottom end of that down channel for the past week."
"232740","235020"," Like last four or five trading sessions. "
"235540","237800"," We've talked about three eighty three eighty five."
"238420","241360"," But there should be some kind of a magnet down here as well."
"241980","243580"," Let me see if I can write this in here. "
"244000","245420"," There's some kind of a magnet does it."
"245480","248080"," Just be careful of that."
"249260","253460"," Be careful of the mantra of close the gap above. "
"256480","259899"," If everyone's trying to close the gap it seems like everyone's trying to close the gap."
"259920","260839"," They're not going to close it."
"260839","262380"," They won't. "
"262780","265020"," So this is a magnet down here."
"265200","266020"," So just be careful."
"266260","270840"," This might my thought is off the bell that we're going to trade this straight up and try to close"
"270840","271660"," that gap above. "
"273440","275360"," Here's that gap we're talking about here."
"279200","282940"," That everyone seems to want to close reset shorts that kind of stuff."
"283220","290820"," So I'm going to expect that gap to get close today. "
"290820","291940"," Or right off the open bell."
"292500","295460"," And then we slam into the pivot point and start trading lower."
"296720","298480"," Still use this zero gamut. "
"298620","300640"," This is basically it's not quite there again."
"300760","304520"," But this is going to decide which way we go today is this little green and red box."
"304780","304960"," Okay. "
"305800","308900"," Is that going to be very supportive or it's going to leave."
"309080","311200"," If you see we start trade below this this point here."
"311800","312640"," We're going down. "
"312820","312960"," Okay."
"313100","316220"," And you're going to have a price target down below 390 possibly even lower."
"317840","319960"," To 384 33 35. "
"320100","320700"," Believe it or not."
"321140","323160"," So just be conscious of this zone here."
"323360","328340"," You don't want to be caught below this and being bullish today. "
"328480","328680"," Okay."
"329240","331740"," And I do think we close the gap today or tomorrow."
"331840","337520"," If we don't close this tomorrow, it might be a nice trade to pick up even just a call spread"
"337520","339340"," for Wednesday to close this gap. "
"339740","342600"," That way you don't even have to worry about where we head to get here."
"342600","346100"," If we trade down and back up and swoop up to grab it."
"346980","349480"," But at Wednesday at some point it might be a nice trade. "
"350380","352740"," To consider putting on like a two day spread."
"353880","354780"," Let me see here."
"356120","359580"," And you can see that we're trying to get you can see right on book map that we're trying to"
"359580","361240"," bounce into some support down here. "
"362180","363780"," So we'll see if this support holds."
"364180","366640"," So even even the opening belts looking like."
"366640","370400"," You know, there could be this, you know, grind down, kill all these options. "
"371480","373860"," Maybe even step it down and you get to rip to your gap."
"374280","376500"," So look for an opportunity down here to take long."
"377260","380840"," Be careful of all the mantra on on Twitter and fintuit. "
"382880","387200"," And trade like you normally trade regardless of all the noise that's out there."
"387280","388660"," That's the only thing I can say to you guys."
"390100","392780"," When you're listening to people on Twitter and fintuit. "
"393640","394740"," So good morning to you."
"396680","397520"," Good morning to you."
"397600","399420"," I'll be here at a note at 10. "
"399560","400740"," No, no, no, no later."
"401520","402380"," I've got my kids."
"402540","404280"," I'm trying to get them into school right now. "
"404360","405280"," My wife's busy in a meeting."
"405720","407680"," I just need about just need about 10, 15 minutes."
"407820","411700"," I can get them started and I will be right back to trade with you in a minute. "
"411720","413100"," 20 left until opening bell."
"414100","417080"," Let everybody know about the zero gamma, the magnet down below the pinpoint."
"418360","418960"," And the gap above. "
"419700","420580"," And I will be right back."
"420720","422000"," Let me see if I can make this bigger for you."
"427440","428240"," There we go. "
"428820","429400"," All right."
"429400","726920"," I'll be right back to Italy"
"726920","730600"," prepares a 50% wind full tax on energy firms, excess gains."
"913950","914550"," All right. "
"914610","915110"," I'm on with you."
"915210","915850"," Hold on a second here."
"916390","922100"," I'm going to turn this thing off. "
"927760","928880"," Good morning everybody."
"929060","929520"," How y'all doing?"
"933020","935020"," I'm going to get this camera on for you."
"943580","945180"," Camera gets all touchy fairly. "
"948240","949360"," Let me just take it here."
"958040","958920"," Come on now."
"970520","971380"," Just take it here. "
"980180","981100"," All right."
"981240","981540"," Let's go."
"983980","984820"," Let's see if this works. "
"985500","985720"," Okay."
"988480","990860"," Got like map testing and stuff I'm looking at."
"992520","997140"," You got kids that tell you how good they are in school and then you want to make sure they're"
"997140","998140"," actually doing well in schools. "
"998400","999000"," We have state tests."
"999240","1000240"," We hope we homeschool our kids."
"1002140","1002980"," Good morning everybody. "
"1003200","1003620"," How y'all doing?"
"1004120","1004480"," Yeah."
"1004660","1004800"," That's right."
"1005000","1006100"," Dad's in the house this morning. "
"1007020","1008260"," Where's my, where's Josh to?"
"1008420","1008600"," Oh, yeah."
"1008740","1009580"," Josh, you are in here."
"1013780","1014420"," All right. "
"1014700","1019420"," So we kind of see we're in this rough place right now, right?"
"1021200","1023420"," We'll take a look just at book map real quick."
"1025220","1027420"," Let's let's exit the screen, go over to book map."
"1030000","1033660"," Shit, I got to, let me close that right there. "
"1035880","1039839"," Now, let's take a look at book map real quick and a larger, larger scale here."
"1054140","1060780"," Now, you just take a look down below 3947."
"1061820","1063500"," It's basically 395, right?"
"1064800","1068300"," Uh, looking to, to climb above here. "
"1069200","1070280"," For a move higher."
"1070460","1070780"," There's one."
"1070860","1071760"," There's some concern here. "
"1072340","1074920"," I'm not seeing any targets that are really high."
"1075160","1077180"," Are you seeing target targets that are really high?"
"1077320","1077560"," I'm not."
"1077740","1079740"," I'm seeing, you're seeing like some of these. "
"1080900","1082600"," Sell orders disappearing up here."
"1082740","1083180"," That's a concern."
"1085700","1089960"," I said with that 4000 level and that's to close the gap above. "
"1090180","1091180"," You really want to see those."
"1091940","1095000"," You want to see like a target up here and we're not seeing it."
"1095260","1096580"," And look what's appearing down below. "
"1099790","1102290"," That's 3925 down below."
"1103830","1108950"," So if you think about if you're, if you've got book map open wherever you are and however your"
"1108950","1110910"," settings are, there's concern, right?"
"1112590","1115530"," I'm looking for a target above or a target below."
"1115530","1118290"," I'm looking for a place for the market to go. "
"1118630","1119610"," So when we open in the morning."
"1121030","1124270"," This isn't always the case, but I'm looking in the morning."
"1124370","1126050"," I want to see where the targets are. "
"1126690","1129450"," Do we have, do we have more sellers above?"
"1130470","1132450"," Do we have more buy orders below?"
"1133930","1139650"," And the market, not always, but has a tendency to want to go to that place."
"1140750","1142270"," So there's some concern this morning."
"1143210","1144530"," About this target below. "
"1144990","1147110"," You get this target right where my cursor is down here."
"1147750","1149130"," You can see it right down here."
"1151460","1153780"," You get slightly more sellers than buyers. "
"1154240","1155440"," This is right off the open here."
"1155620","1156920"," Does that mean we don't go up here?"
"1157060","1161340"," No, it just means I'm wary of buying the open here at this point."
"1161620","1164560"," I don't like the idea of there being a target below still. "
"1165200","1166420"," And no target above."
"1166800","1169260"," And even if we do trade higher here, where is higher?"
"1169260","1172460"," I'm not seeing any sell orders that unless they're hidden."
"1174840","1177080"," I'm seeing sell orders at three ninety nine. "
"1177300","1179120"," That's about where where the top is."
"1181530","1184030"," Three ninety three thirty nine eighty five."
"1186390","1189950"," So, so even if we trade higher here, right?"
"1190750","1193930"," It looks like the way is down at some point. "
"1211730","1213090"," So, absolutely, there's some concern."
"1213650","1217690"," So, we're going to look at what we'll do is we'll look around the market, see where everything is,"
"1218450","1220410"," and see if you can find any kind of a direction here."
"1221030","1221430"," There's concern. "
"1221770","1222610"," I've got some concern here."
"1223870","1228770"," Definitely have some concern of a trap down below or some kind of a slight move higher to attempt"
"1228770","1231170"," to close the gap and then it rolls straight down here."
"1234710","1237090"," It's not it's nothing that I want to trade. "
"1238130","1238890"," I'll leave it there."
"1240830","1242010"," It's not that I want to trade."
"1242170","1242670"," I don't like that. "
"1242690","1245870"," I don't like that this magnet down below that's sitting down here."
"1246050","1251370"," There's if this wasn't here and you saw a big sell order much higher."
"1252330","1253870"," There's some coming in right now. "
"1253930","1254530"," There's a little bit."
"1255190","1259350"," You can see on book map three nine eight five is coming in, but that's still not that high."
"1259570","1261330"," That's like up here. "
"1263720","1268420"," You really want to see you really want to see some sell orders on high to get to close the"
"1268420","1268600"," gap."
"1273460","1274560"," Let me see if I can bring up."
"1276340","1278140"," You guys want to see a market profile this morning. "
"1280860","1282500"," Kind of see the demarcation point."
"1282620","1283240"," Give me a second here."
"1283640","1284760"," I'll see if I can bring it up. "
"1301660","1306860"," Yeah, I think this is a five day 15 minute check and make me check the settings on it."
"1313740","1315600"," This is a five day 15 minute chart."
"1315620","1318460"," It seems like we're sitting here right in the right of the top of a shelf. "
"1319040","1323260"," I think this might have been the argument yesterday and weekly timeframe that we would pin here."
"1323340","1327320"," This is a value area low for this move higher here."
"1327500","1328500"," That makes some sense. "
"1328780","1332300"," Let's look at a 15 day sitting into a 15 day 15 minute or something."
"1350110","1354330"," You know, and on a 15 day time period, this looks ugly, right?"
"1355190","1357650"," We start slipping below here."
"1357990","1362310"," Our next node down below is 392. "
"1366480","1371880"," On a yes, which is 3907."
"1373020","1374320"," It's somewhere up here."
"1376680","1377820"," It's right about here. "
"1380320","1383720"," Hold on, I'll show it to you on the main stream."
"1383720","1385760"," That's where this magnet is right here."
"1387560","1388500"," Right down here. "
"1390160","1394260"," That would bring us down to that value area low down here."
"1398600","1403560"," So basically it's saying to you at that minimum, you're going to get, you know, some kind of a move"
"1403560","1405360"," down and higher."
"1405800","1408720"," There's also bids down here to buy. "
"1410640","1415940"," If we start breaking this, though, if we start breaking this area here, it gets nasty, right?"
"1416120","1418880"," You can see how nasty and how light everything is."
"1419080","1421580"," We're talking about that on a larger timeframe too."
"1421720","1433390"," I was telling you about if we start breaking these levels here, we'll back to"
"1433390","1434210"," book map real quick. "
"1434390","1434910"," Hang tight here."
"1435850","1443850"," So if you hang tight here, boys and girls, we're going to pause this book map."
"1444050","1450490"," We're going to look on a five day, right?"
"1450930","1451510"," Hold on. "
"1458820","1460800"," Yeah, maybe it's easier to look on the one month."
"1463140","1464620"," And you can kind of see this."
"1465480","1467520"," You see this magnet down here, right?"
"1469720","1470940"," Where my cursor is. "
"1475000","1479700"," That's saying that is so addictive."
"1482160","1483820"," But just this zone down here, right?"
"1483920","1485720"," You can see this is the end of that node."
"1488300","1494240"," And if you break through that node, right, of support here, it's a far way down. "
"1496000","1504000"," If this is that overall trend that we're in, do you get that brief bloodbath?"
"1511060","1513640"," You get some kind of a bloodbath right down here."
"1517580","1519440"," Do you make this like super green or something?"
"1519840","1524360"," Just, you know, just in case you get that bloodbath down, you break through."
"1524620","1525760"," And this is kind of it right here. "
"1525840","1528160"," It's kind of last stand for bulls."
"1528360","1529340"," They start grinding through this."
