"start","end","text"
"17040","18580"," We've got a lot of beans so loud."
"19660","22320"," I would no need to have it that hard."
"24640","25240"," Look at that. "
"26100","29920"," I think that's the plan."
"30060","31380"," That's why I must be doing is turning it down."
"34180","35140"," Good morning HP. "
"35720","37140"," Good morning endless research."
"37720","38200"," Good morning juice."
"38480","39120"," Good morning not a suit. "
"39320","39780"," Good morning brand."
"41720","44080"," Yeah, PPI is hot."
"45140","47320"," Not having that much reaction at this moment. "
"49260","52720"," There's a couple of other numbers that came out that might help mark it up a little bit."
"53120","53800"," Good morning GP."
"54600","55440"," Then good morning Sue. "
"56220","57640"," You Street Jasmine."
"57860","58200"," Chaz."
"58380","59060"," Good morning Joshua. "
"59500","59620"," Jill."
"59900","60640"," A.K. Gerald."
"61020","61320"," Mihai. "
"62360","62360"," Belgian."
"62700","63340"," B.K. Good morning."
"63720","64300"," How's everybody doing?"
"66220","67400"," Right on, right on. "
"71010","72090"," Everybody's doing well this morning."
"74890","76570"," Top of the morning to you Corey."
"78270","79610"," Get everybody in here this morning. "
"79710","80230"," We got a lot too over."
"80890","83110"," I didn't start early on Sunday or Monday."
"83110","89270"," I had a long Sunday and then Monday morning I had to do some stuff with my children for Valentine's"
"89270","89750"," Day. "
"91010","92470"," So today we're going to go through that stuff."
"92730","94030"," HP good to see you."
"94210","95410"," San good to see you endless research. "
"96810","97430"," Good to see you."
"98130","99990"," You got to get some other numbers all over those."
"101530","103250"," Low feet good to see you. "
"103650","105030"," Good morning West Boyford."
"105190","105450"," How are you?"
"105630","113090"," Good to see you brother."
"114770","115730"," Oh boy. "
"116270","117590"," Good morning Mr. Brown."
"118650","119950"," Where's our guy from yesterday?"
"120450","121190"," Is he showing up today?"
"121290","122350"," The Jimmy Jim James guy?"
"122970","123450"," Where's he?"
"125670","127130"," Is this shit on fire this morning?"
"128289","128289"," Probably."
"131090","132210"," I can't win. "
"133130","135270"," I don't think any of us can win right now."
"136390","137570"," We'll go over actually."
"139330","140390"," Good morning Dio. "
"140610","141650"," We're going to go over to."
"143490","148590"," We're going to go over to why we took, why would take spread yesterday to."
"149050","150430"," We're going to talk about everything this morning. "
"150570","151990"," It actually takes a good example."
"153790","155110"," Yeah, PPI was hot."
"156010","157590"," Damien, Damien, how you doing brother?"
"157990","159390"," Did you trust me?"
"159390","159930"," What did you do?"
"159970","160970"," Close your shorts perfectly. "
"161490","162850"," Buy some lungs into the today."
"163370","164570"," Is that what you did this morning?"
"166870","168490"," We're going to address that right now."
"172710","174190"," Hold on here in this morning. "
"181190","182250"," Is he here?"
"182250","185830"," Oh, yeah."
"186470","187030"," There he goes."
"188130","188570"," Okay. "
"195210","195650"," Damn."
"197090","199570"," That was quick as quick as quick as could be."
"204370","205030"," All right. "
"205130","205490"," Here we go."
"205610","206350"," We got everybody, right?"
"207230","208230"," There we go."
"208970","209630"," All right. "
"209850","210710"," So this is what we're going to do."
"210790","211030"," Okay."
"212090","213750"," We're going to have a little conversation this morning. "
"214770","219050"," And the first we're the conversation that we're going to have this morning."
"219950","221330"," Turn that off right there."
"224330","224990"," All right. "
"225290","226410"," Everybody's doing well this morning."
"226690","226850"," All right."
"226910","231810"," We're going to have a conversation because this is the second time that we've had people in stream,"
"232090","232150"," right?"
"232590","235550"," And we're going to talk about something real quick. "
"235550","236350"," Take two seconds."
"237250","241410"," If you want to trade your day and not follow along this channel, go follow somebody else or do your"
"241410","241850"," own thing alone."
"241850","248390"," If you're going to come into the channel and impact the thoughts on our trading days here, I'm"
"248390","249050"," trying to make money. "
"249190","253630"," Other people here are trying to make money and we don't need you."
"254010","254990"," You know, that's the point."
"255050","256810"," If you got to be constructive, be constructive. "
"257110","259209"," And I want you to be constructive and offer different viewpoints."
"260209","264330"," But if you're going to come in, poison a stream, stuff like that, you can get jacked in this"
"264330","264550"," market."
"264970","267510"," And this morning is a prime example of that. "
"268890","274730"," I'm getting jacked in exactly getting jacked inside of the market and just having one overwhelming"
"274730","275930"," viewpoint on the market."
"276230","279110"," So the bandhammer is just out for that kind of stuff."
"279230","283090"," Anything that's like just straight nonsense, you're going to get instant bandhammer at this point. "
"283230","284690"," Anybody that's like constructive, I'm good with that."
"285290","286290"," You can trade against me."
"286390","287010"," You can trade with me. "
"287010","288070"," You can disagree too."
"288610","292070"," But if you're just going to come in and speak nonsense the morning shit like that, you're going to"
"292070","292630"," get fucking banned."
"293170","297490"," And that's the end of it. "
"297490","301310"," Because we traded higher overnight, which is a big move, right?"
"301430","309270"," We had shorts come off in the overnight based upon news that maybe Russia is pulling back its"
"309270","309570"," troops."
"310150","313430"," That's the predicate for why the markets went up."
"313930","319150"," I also checked CNN this morning and they were basing it upon something completely fucking"
"319150","322870"," different, not at all on the Russian news. "
"322870","328710"," I don't know if that's because they're trying to sell the Russia fair campaign or fair story, but"
"328710","332770"," it is shocking to see how different news organizations preface."
"332990","338350"," And this is funny because CNN was talking about the markets this morning specifically and was"
"338350","342410"," unwilling to give credit to whether the Russian news is good currently."
"344470","347530"," So that's as quickly as it is, right?"
"347530","349610"," Yeah, absolutely, right, boyfriend. "
"349990","351430"," There's like just no more nonsense."
"351550","352450"," I can't have it in the morning."
"354010","354790"," Can't have it. "
"355390","356150"," Can't have it."
"357490","359050"," You know, there's another thing too."
"359490","364030"," There's anyway, I'll talk about that later, but I just can't have it because what happens is it"
"364030","364810"," poisons the stream. "
"364830","365570"," It poisons me."
"366190","369930"," It poisons what I'm thinking about trying to trade in this market."
"371010","374250"," And I mean, that's the basic basicness of it, right?"
"374250","378170"," When you're poisoning the thought process and the rest of the week, I know there are people"
"378170","383410"," yesterday that a weekly calls that got paranoid and cut them loose from what went on in the stream"
"383410","385910"," earlier yesterday and cost people a lot of money. "
"386650","387790"," So that's the concern."
"388110","394690"," We're going to talk about, we're going to talk about, we're going to, yeah, the tell was Russian"
"394690","395210"," ending drills."
"396190","397230"," Supposedly, they're still there. "
"397390","398270"," Supposedly, they still haven't left."
"398430","402150"," And another thing too, we're going to talk about the stuff that I posted yesterday about how to"
"402150","404450"," take short positions, right?"
"404590","405990"," Now this can be long and puts too."
"406430","411670"," But when you're taking a short position that you put on put spreads, right, in the money, put some"
"411670","415330"," time on them, we can trade it down or up as it rolls over. "
"415870","421070"," And we can also trade it up higher, right, with zero dates, one dates, weeklies, whatever."
"421990","423390"," And today's a prime example."
"423830","430310"," So if we traded it down yesterday into four, three, five, zero, and then we traded it, oh, I stayed"
"430310","430630"," flat. "
"430810","432110"," I didn't take anything in the bell yesterday."
"432670","435630"," I couldn't decipher if we were going up or down overnight."
"436510","442290"," But the key being is that the key about this is that this market can switch on you in a"
"442290","442590"," second. "
"443030","447290"," So if someone's saying to you, you know, just bear, bear, bear, or just bull, bull, bull."
"448290","449430"," Now this market's going to fuck you up."
"449730","451630"," There's no way around it right now. "
"451690","452690"," It's just what it is."
"453590","455010"," It's just what it is."
"457230","457630"," Scam. "
"458270","459770"," It is a scam."
"460010","463110"," The news is a scam right now, 100 fucking percent."
"463650","464790"," So we're going to move into some stuff. "
"464930","465750"," It's 840 right now."
"466170","467390"," I hope you guys are all having a great morning."
"467690","470290"," Any of you that went long into the close yesterday, congratulations. "
"471650","473450"," You should have a nice fat pay this morning."
"474850","476170"," We'll go over the numbers too."
"476250","482170"," I think some of the numbers were good, relevant to COVID bad numbers that we had. "
"483370","483810"," Yeah."
"484190","489550"," So if any of you guys have any calls into today, congratulations."
"490630","491890"," So I want to let you guys know that. "
"494060","494500"," Yeah."
"494640","501040"," So we're going to talk about how we structure our protective puts, how we trade the market up and"
"501040","503620"," when it rolls over again this morning."
"503960","507500"," We're going to do some charting together so that we can look at some. "
"508220","510300"," So we're going to look at some stuff here."
"510860","514620"," So first, let's take a look at earning whispers, right?"
"516039","519620"," We've got this morning today is the 15th, right?"
"520020","522100"," So today's Tuesday we have Mary at this morning."
"522799","527300"," We have Roblox today, so we'll keep an eye out on Roblox. "
"527440","529260"," They will look at hip or a quick map on that."
"529680","530300"," We'll look at Airbnb."
"531000","531980"," This is for today, right?"
"532160","532180"," Yeah. "
"532280","533260"," We got Airbnb today."
"533680","534500"," So we'll check them out."
"534940","536140"," I'm interested in Viacom. "
"536280","536820"," They're up this morning."
"537340","538680"," Then we've got Shopify."
"538820","540580"," I know that your wife's boyfriend's interest in that trade. "
"541060","543440"," We got Crocs on the open tomorrow as well."
"544100","547440"," Wix, Wix did really well during COVID."
"547520","549700"," I guess people started a bunch of online businesses and stuff. "
"549980","553900"," We've got AMC networks, then Nvidia, some heavy rockers this week, right?"
"554420","560080"," We've got Palantere, Roku, we got Sunrun that I'm in as well personally."
"560080","567000"," So the next few days shouldn't be exactly selling the market just for the interest in some of these"
"567000","568600"," larger companies that are rolling through."
"568960","575240"," Cisco's a big company rolling through Quantum Escape, Matterport, Marathon Oil, DoorDash, Fastly. "
"575560","579960"," There's a whole list of companies, Generac, Craft Hines."
"580480","581820"," These are companies Walmart."
"582320","583860"," They at least hold the market up, right?"
"584360","585460"," Dropbox, Yeti. "
"586440","587880"," So these companies hold the market up."
"587880","589460"," The market should stay up."
"589580","592200"," We've got John Deere on Friday as well. "
"592560","595880"," So we've got some heavy hitters in there that should."
"596240","599980"," Oh, the Russians did what they said they were going to do, and not all the crap speculative by the"
"599980","601600"," U.S. government media is shocking exactly."
"602320","604380"," The crazy part too is in the Russian news. "
"604700","605220"," They haven't left."
"606280","610880"," They've just gone back to their bases right where they are."
"611340","615880"," So they were trading in a, it's called FTX or something like that, right?"
"616000","620700"," A field training exercises, and they went straight back to their staging ground. "
"620840","621640"," So they haven't left the area."
"622180","624260"," Everything right now, in my view, is a scam."
"624500","629900"," At any moment, they could just bring on more bad Russian news and use it as an excuse to drop"
"629900","630300"," the market. "
"631420","632580"," So we've got that this morning."
"633060","635240"," Economic news, you guys already know about some of this stuff."
"635240","639520"," We had to produce a price index for an empire state manufacturing index. "
"639800","648140"," We do have some more volatility tomorrow on Wednesday with retail sales, import price index."
"648560","649620"," Talked about that yesterday."
"650140","651720"," We've got claims, continuing claims on Thursday. "
"652620","658120"," Now, for today, I want to go over real quick on the, let me see."
"658120","663540"," The February Empire Manufacturing Index, right?"
"663620","670300"," It's 3.1 versus 12.0. New orders, 1.4 versus minus 5.0 prior."
"671420","674800"," New shipments, 2.9 versus 1.0 prior. "
"675380","678880"," Prices paid, 76.6 versus 76.7 prior, not too bad."
"679560","682800"," Employment plus 23.1 versus 16.1 prior."
"683680","688220"," This is a good one because these numbers were jacked up during COVID. "
"688680","693160"," So that might be, might be used as an excuse to be holding up the market, even though we had"
"693160","695480"," hot, hot data this morning."
"696220","699180"," Let me see the, let me see the PPI numbers here."
"703450","704690"," See if I can get the rest of that. "
"704810","706710"," I'm not getting that information right now for some reason."
"706710","707390"," I don't know why."
"707770","709590"," But those did come in slightly hot today. "
"710150","715170"," Let me see, expected at 8.30. I'm not showing the actual numbers here."
"715670","722770"," But we can see it here that the PPI, the actual was 1.5% in the, in the median"
"722770","725730"," forecast, only 0.5. That's pretty freaking hot, right?"
"726270","727490"," That's not a good number."
"728190","730250"," But we'll see how that impacts today. "
"730610","731530"," I don't think it's going to impact too much."
"731530","733950"," We'll get a dip and then a dip to a buy."
"735330","738430"," Next thing we're going to go to is the spot cam report for this morning. "
"738890","741870"," We've got a futures of rallied sharply to 4456 on news."
"741870","743950"," That Russia is returning some troops."
"744450","747230"," Well, we aren't qualified to comment on geopolitical events. "
"747830","752370"," We would state the headlines like matter more when gamut is sharply negative, right?"
"752730","753810"," That's the key this morning."
"753870","756470"," And that's the key that Winky was saying, right?"
