"start","end","text"
"4880","6360"," Check Part 2, Mike Jack."
"7620","9020"," What's going on out there?"
"14040","15320"," Good morning, Chris."
"15560","16820"," I can't believe I can't get back like that. "
"22420","23640"," That is from Jared."
"24340","24680"," Good morning."
"33200","43080"," Gotta be like that springtime thing or something where they try to make babies or"
"43080","43900"," something like men. "
"48960","70480"," What's going"
"70480","71800"," on out there?"
"71960","72360"," Good morning."
"75400","77120"," You see that nice bounce?"
"78580","81540"," You see that nice bounce out there this morning?"
"82520","84280"," Did you get your market free?"
"84460","86880"," You see that bounce off the early trade this morning?"
"88040","91100"," Lasting off the trade, 2017-29."
"91420","93280"," Trying to get up to $5.40, baby. "
"96400","97620"," Oh, yeah."
"99340","104780"," I'm gonna late this morning."
"104920","105980"," I'm running a little bit late here. "
"106500","109120"," I don't know if I should do the market brief or go straight to the charts."
"109800","117820"," If you are a supporter or a pro trainer, you should have seen the market update on the website."
"119140","127740"," And we are trading our first target currently right now at $5.17.12. In that note that I posted"
"127740","136440"," last night for you, we would like to see another push higher to, I believe, $5.20. As a matter"
"136440","138220"," of fact, we'll take a look really quick. "
"138660","139540"," I'm just gonna pull this down."
"140800","143980"," You want to keep your eyes on two things today, okay?"
"145040","147760"," The first thing is going to be $5,200."
"149500","153660"," So I want you to, if you're at home or in your office, wherever you are, okay, listen closely. "
"155160","161200"," Your target above is, if you didn't receive the note, didn't read the note, not a subscriber, not a"
"161200","161600"," pro trader."
"162680","166340"," I want you to, I want to draw your attention at home, I want you to draw a line or"
"166340","169760"," a box on 5,200 of SPX, okay?"
"170740","176540"," So 52, whoa, 5,200 of SPX has kind of a resistance area."
"176540","178680"," You see that yesterday's $178 million. "
"178820","179240"," I don't know what it is."
"179300","180600"," It's more like I got to update it with you guys."
"181180","183880"," About 5,200, you're looking for that one right there, okay?"
"184920","187020"," As a target for today, if possible. "
"187780","194520"," Now we just broke above 51.75. So just keep your eyes on that 51.75 as a place of"
"194520","194880"," support."
"195840","201200"," As long as we can consolidate here, that's your attack to the upside is 5,200, okay?"
"201820","202960"," And we need to hold this today."
"203120","209280"," This morning, we need to hold 51.75. So we can attack that 5,200 to the upside. "
"209660","211700"," That's a pretty big wall up there to get through."
"213540","217840"," Now, this morning's print non-farm payroll helps."
"218420","219240"," What's going on this morning?"
"219340","220020"," What's happening over here?"
"220100","221040"," We got some weirdness going on. "
"222680","224060"," Am I losing the stream already?"
"224300","224600"," I don't know."
"225400","225760"," I hope I'm not."
