"start","end","text"
"2780","3860"," Check 1, 2."
"36300","37200"," Check 1, 2."
"50460","51180"," Spooze, baby."
"52060","52620"," Hells, yes."
"55920","56640"," Good morning. "
"56780","57520"," We'll get right into it here."
"59000","59660"," Coming right in."
"59800","60260"," Oh, wait a minute. "
"61060","62020"," What do I have going on here?"
"62100","62480"," It's kind of weird."
"64459","65200"," Hold on here."
"66040","66640"," Set off. "
"67180","68020"," Set off."
"69360","70560"," Tap back on."
"72460","76840"," One second here. "
"77340","81870"," Kind of wonky."
"81970","89870"," I thought that was going to be coming about into first resistance right now on spy on the opening"
"89870","90170"," bell."
"92290","93590"," One quick second here. "
"94570","95730"," Make that bigger."
"97430","99110"," Let me make that larger."
"101150","102070"," That right there. "
"106470","107310"," One quick second."
"107490","109090"," I've got some stuff in the background I got to do here."
"110170","116410"," I said I'd have a stream up at 9.30 or 9 a.m. this morning. "
"117170","118930"," And I didn't even get back till."
"120610","121670"," What is going on here?"
"121870","122050"," Okay."
"123170","127289"," I didn't get back from dropping the kids off until not after 9."
"128030","130670"," So I don't know if that's going to be a thing. "
"131250","137230"," Now, 9.30 might be a little bit easier, but then again this morning, I'm resetting my Internet."
"138530","142510"," It's like whenever you like say you're going to do something, you can't."
"143480","144530"," One second here. "
"147920","148860"," Members."
"151480","152760"," Save that."
"155040","156420"," Share that. "
"157100","157600"," Close."
"158740","161880"," It's coming into a first resistance here."
"162080","167140"," If you are long on. "
"167140","174820"," So we're going to talk about someone was asking yesterday about generator stocks and how positive"
"174820","175780"," or how good they looked."
"178000","182840"," And we're going to we're going to address those this morning because we're coming into that zone"
"182840","183360"," of."
"184900","189120"," We're coming into the hurricane mattering and. "
"191680","193240"," One quick second here."
"194800","199350"," Over there and post this."
"201370","203670"," So we're going to do a spy. "
"205290","207210"," We're going to look at AMC today."
"208470","209190"," GME."
"210210","210930"," USO. "
"213330","214050"," GNRC."
"214630","216510"," Maybe it'll be a good one."
"217710","218790"," What else. "
"221330","222610"," That's of course."
"226390","228930"," And what's the other one in BDA probably."
"232250","233610"," I have stream. "
"236030","237430"," It's this on."
"240050","241270"," There we go."
"244090","246750"," Coming up into our one right now. "
"247730","250930"," We'll take a look at the entire market air and see where we're going."
"251970","252850"," Good morning everybody."
"252990","253590"," How's everybody doing?"
"253990","254890"," Whoever is doing well. "
"255690","257709"," So no stream at nine a.m. this morning."
"257890","261430"," I didn't get back until nine ish like just before just after."
"261430","266350"," And then I was like I'll put the stream up at nine thirty month of a month and I had"
"266350","267270"," to reset my Internet. "
"267270","271890"," It's like then that was another fifteen minute twenty minute process like walk on over there go up"
"271890","272790"," a flight stairs."
"274210","275130"," Turned on the Internet."
"276330","277510"," We'll talk about that too. "
"277650","281550"," How to get a stream up for you guys and the other I have another issue that we'll talk about"
"281550","282070"," it this morning."
"282770","284630"," Having a stream up to pregame."
"286090","287610"," So we'll talk about that too. "
"287610","289710"," At some point this morning."
"290530","292990"," Now this open this morning is a three bar trade."
"293730","294610"," Four spy. "
"295670","298190"," We're going to go to we're going to check out a couple things here."
"302850","305170"," One quick second here."
"308650","316010"," We'll talk about this morning's numbers as well and why they matter and don't matter. "
"316010","317250"," That kind of stuff."
"317570","320530"," I saw some people upset on Twitter this morning."
"320910","322230"," Was able to get on briefly. "
"322250","327570"," Is there a spot nine percent that is higher than the forecast of minus zero spot nine five percent."
"327770","330170"," Depending on the index is seventy seven spot six."
"330410","330670"," Good morning. "
"330690","331230"," How's it already done?"
"331330","331610"," Four six."
"332550","335870"," So we're doing a we do a quick thing here."
"336810","341650"," I'm noticing the pro revised high to zero spot four to three percent as well. "
"343110","344830"," I'll prevent straight in this morning."
"346310","350490"," Yeah, no, like we have a three bar trade basically going on."
"350970","354550"," If you don't know what those are, it's three green days in a row. "
"356070","358270"," Three big green days happening right now, right?"
"358710","362430"," So we'll take a we're going to go over here and take a peek at a couple things here."
"364550","367580"," Forty seven four."
"371760","373460"," Right up in here. "
"378150","381830"," I'm sure there's bears out there saying this is all coming back."
"387900","389100"," Hold on a second there."
"390880","395430"," We're right about there. "
"395970","397370"," Now there's some truth to that."
"401880","404920"," We'll talk about how we know that to be true."
"417890","419150"," One quick second there. "
"423390","427530"," Let me have posted out the US pending home sales reports on the feed for anybody interested."
"431520","436160"," So pending home sales fell in all four US regions compared to one year ago."
"437300","438540"," We'll talk about that too. "
"438540","439500"," We're going to talk about home sales."
"439820","442160"," Most of these numbers, none of these numbers are really shocking."
"443280","445060"," And we're going to chat about that this morning. "
"445220","447100"," We're going to chat about a few other things here."
"447320","452400"," I read a fascinating article this morning and I was I was left kind of dumb."
"452680","457840"," Not quite dumbfounded by it, but nevertheless, let me write this stuff down here. "
"457920","459360"," Make sure I don't forget some of this stuff."
"460380","461940"," A pre stream."
"465620","466780"," Economic news. "
"469120","474130"," And then three bar trade energy stocks."
"476530","478290"," Write some of this stuff down for you."
"478790","485990"," Well, and then wait a minute, the stock market stock market goes up until cuts. "
"491920","494000"," So we'll talk about that too at some point this morning."
"495120","495960"," You want a quick second."
"503780","506220"," So coming into the, these are the triggers here. "
"509320","513960"," You can see that we caught this nice bounce up right here this morning, right?"
"515000","519460"," Talked about this beautiful plane coming down right here playing, coming straight down."
"520500","524480"," Had a nice little dip this morning boom and off to the races we are."
"524700","529480"," We're heading up here now and trading these upper ranges that we talked about yesterday. "
"530320","531840"," We tagged the first one."
"531920","533400"," We have one more tag above it."
"533720","535560"," It's at 45231. "
"537260","538940"," So 45231 to the upside."
"540340","541380"," We'll look for that today."
"541640","542420"," Why does that matter?"
"542720","545560"," We're going to talk, talk to you this morning of us to why that matters. "
"546280","550180"," And I want to point your attention to two places here."
"551400","554020"," You've got this first place right here."
"556840","557240"," Right?"
"557420","560600"," That's this first one that we're taking out right now, right where we are. "
"561780","564800"," We've got one more above it right here."
"565860","569100"," I want to say that place is to try to come into them a little bit early."
"569300","572920"," Don't like to do like, I don't like to, you know, it's like right to the tip. "
"572920","575000"," It's usually that first cell right below it."
"575660","582180"," So we're going to be, we're going to be looking at this kind of kind of, I mean, I guess"
"582180","583300"," you could do it right there."
"584380","589940"," Maybe we'll make that one white and see if they can get over that one, but that's really where it"
"589940","590240"," should be. "
"590480","591040"," But we'll put it."
"591160","595540"," We'll stop another yellow bar up there about halfway right about there."
"595660","600500"," Just a quick failure and then try to be a little bit more conservative. "
"600500","604600"," And then the big boy, of course, is all of this stuff here."
"605860","607700"," This is a big move right here, right?"
"607860","609620"," I don't trust any of these sellers here."
"609840","611220"," These are all in pre-market. "
"611660","613480"," This is all garbage selling in here."
"613700","615180"," All garbage selling in here."
"616060","621040"," So the next tag should likely be much higher somewhere on this close right here. "
"621640","623280"," This is all garbage selling in here."
"623640","624700"," This is real selling right here."
"625800","627780"," That's all real selling in here. "
"627780","630680"," This should be a strong resistance area up here."
"631140","633660"," That's 4.56, 32."
"634800","636640"," So we'll look for that tag there. "
"637420","639000"," This is fake bullshit."
"639280","641680"," Actually, this is bullshit selling, but that's real selling right there."
"642900","644920"," Maybe it's a small tag right there. "
"645100","650580"," And the last one is right up there to tee off."
"650880","655740"," So right where we are right now, we've got a bunch of ball here."
"655740","658020"," Just so you can see, we've got a bunch of ball in here. "
"658760","666980"," And then we've got free riding all the way up to 4.56 above 4.52.50. So we're going"
"666980","668520"," to look at these two places right now."
"668520","688020"," We've got a 4.52.90, 4.51.70, 4.52 "
"688020","689660",".90 right up in here."
"689660","699520"," And we've got"
"699520","708060"," 4.51.72. Right up in here. "
"710580","715440"," I said 90, it's actually, I think it's actually 70, 41.70. I got that one."
"716580","725480"," And then I got 4.51.68. That one already tagged that one already."
"725480","735420"," 4.52.50. 4.52.50. Right there. "
"735560","736980"," That's my high target right there."
"739460","740900"," Price targets right here."
"743480","745620"," I'm in no trades this morning, by the way, after wondering. "
"749060","753380"," That's my price target right there, 4.52, 49, 4.2, 50."
"754380","760400"," And then anything above this number is going to be some squeeze territory."
"762240","777110"," 4.53.32. So"
"777110","779230"," all this stuff up here is all squeezy. "
"787130","790010"," This is all squeeze, squeeze stuff up in here."
"798780","802220"," Now I've got some, now this is kind of fascinating."
"802480","804360"," I have, I was on the phone with Pinky yesterday. "
"805500","810320"," And, oh, sweet, we've got a Dixie's in a free fall right now."
"812340","815820"," Dixie could go all way, way down, way down for Dixie."
"816160","818260"," NDX coming up to close some gaps to the upside. "
"819520","823320"," Vix getting smashed, Vix trading $14 right now, $14 some change."
"824000","827960"," Coming into a little bit of support right now on Vix."
"828800","831220"," Tesla's ripping right now. "
"832260","834960"," Apple's ripping and the likely rip into its event overall."
"838980","840140"," How's everybody doing out there?"
"841360","844740"," So I've got two trades on, I've got a half of a call spread on."
"845920","848920"," What's crazy is, I was on the fall of Pinky yesterday after close. "
"849220","854540"," And I was like, yeah, he was like, I closed, uh, the bot side of a spread."
"854540","856480"," And I'm like, I still have one on right now."
"857100","859440"," And I wish I had closed and I didn't close yesterday. "
"859440","860300"," It's still on."
"860540","863460"," And I have USO on right now."
"864700","867160"," And I think this is the day that I close. "
"868040","869960"," I said I had a price target of 74."
"871100","872860"," And it's, it's just been cranking."
"872860","875120"," And it's been like moving, moving, moving, moving. "
"876100","878680"," So we'll talk about that this morning."
"879600","885280"," And we're actually at a high, we hit 74 bucks earlier this morning."
"887480","890840"," I'm hoping that this day ends fully green for USO. "
"892000","893940"," I want to take this trade off."
"894160","898960"," If I can at 74 bucks, although I've got a, I've got a high target of 74."
"901100","905420"," 55 and, uh, 75, 01. "
"906540","909480"," Now I was telling myself, yeah, I'll get out before 75."
"910000","910960"," So it doesn't auto salary."
"911180","911620"," I miss it. "
"911660","915960"," It likes between four and six AM or six AM and nine 30."
"916880","921720"," Xamine options and not in, um, the underlying."
"924640","925200"," Yeah. "
"925200","927000"," Our doctor, uh, our dollars getting sold."
"927520","930840"," We'll chat about the economic stuff this morning briefly."
"932240","934180"," So we had 80 P unemployment. "
"934260","937080"," Let me reset the stuff and see if I can get some of these numbers to update."
"941540","942060"," Now."
"943100","947920"," 80 P employment, uh, employment's coming back in line right now. "
"947940","952320"," I don't know if that makes sense to you, but unemployment is coming back in line."
"952320","953400"," So."
"956160","960320"," It's back to, I think, March of 2021 levels. "
"960920","963140"," I think that's what someone from ADP said this morning."
"964000","965880"," So it's back to normalcy and."
"966560","967520"," It reinforces. "
"969560","972160"," It reinforces the idea that."
"973240","975200"," Uh, reinforces the idea that."
"975900","980020"," Uh, they're trying to bring these cycles back together, these business cycles. "
"980760","984980"," You've got the COVID cycle and then you've got the normal business cycle that we go through in our"
"984980","985320"," markets."
"988860","990140"," So are they bad numbers?"
"990700","990840"," No."
"991580","992520"," Uh, they missed expectations. "
"994000","996080"," But at the same time, it means that."
"997140","999800"," Uh, rate increases are doing their job."
"1000660","1002060"," Now there's another issue. "
"1002160","1003880"," We just got a home sale pending home sales."
"1004940","1005540"," And."
"1006420","1011520"," That leads back to those numbers lead back to our conversation we had this past week. "
"1012100","1014700"," And that conversation revolved around."
"1014900","1016380"," There's this thing for the Wall Street Journal here."
"1016500","1019060"," Work is making up to $55,000 per year. "
"1019220","1025060"," Would be eligible for overtime by default, uh, up from 35,568 currently."
"1025619","1029920"," As of the Labor Department proposes automatically raising salary thresholds for three years."
"1030160","1031540"," It's reflective current earnings data. "
"1032839","1035480"," So again, this has been cited by the Wall Street Journalers."
"1035579","1039040"," The Labor Department proposes raising overtime eligibility minimums."
"1040180","1043980"," We're all expected to affect workers in retail and hospitality industries. "
"1046579","1051900"," There's so this whole idea behind like housing, we, I think we, I think we discussed this."
"1052120","1058240"," But anyway, it's housing allows you to actually hear water, flame futures, forex and stock"
"1058240","1058480"," instruments."
"1059160","1065520"," Begin to think about all of these macro wheels or cogs in our system. "
"1066880","1069700"," Relate to each other and how they interact."
"1070220","1075940"," So, and I read another article this morning, uh, which from a website that I can't stand, but it"
"1075940","1081860"," was funny because they said, uh, these, you know, most of the time when we, when we pause rates,"
"1082660","1084100"," the market goes up substantially."
"1084780","1091260"," What the article failed to say was the end of rate hikes will be front run. "
"1091420","1096000"," Not the end of the end of the, the end of the pause will be front run to the downside."
"1097020","1101140"," So as we begin to pause, well, we should go higher."
"1102120","1108420"," Uh, once they say, or just before, let's say one to two months before, they actually start to cut"
"1108420","1108720"," rates. "
"1109540","1112940"," The market should be front ran price stand to go down."
"1112940","1114940"," Um, now."
"1116360","1120980"," This morning's numbers are kind of fascinating because for ministry here, this is a lab role and"
"1120980","1126120"," feed and I will discuss who's initiative to supply 1 million tons of grain to Turkey with financial"
"1126120","1128200"," support from Qatar at talks in Moscow. "
"1129080","1131040"," You've got a GDP revision down."
"1131120","1131860"," You've got."
"1132880","1134180"," To more normalcy. "
"1134720","1139660"," You've got, um, unemployment numbers coming back to normalcy."
"1139660","1141740"," Now the housing market."
"1142860","1145840"," Still, it's, it's, it's crunching, right?"
"1146680","1151160"," Uh, but the fascinating part about this housing market is we're still back to this thing that we"
"1151160","1153840"," talked about where anyone that bought a house. "
"1155440","1157660"," Then 2014, let's say."
"1159060","1162940"," 2014 this, that's when the housing market really started heating up, at least in my experience,"
"1162940","1163820"," like heating up."
"1164360","1167220"," Like 14, 15, 16 somewhere in there. "
"1167220","1171700"," Well, I got started getting crazy towards the pandemic."
"1173300","1177180"," But right around there, it started getting really like, like started really ramping, right?"
"1177980","1182080"," Now the average time that a person owns a home."
"1183460","1184640"," It is about eight years. "
"1186280","1189420"," Now a new home buyer, it's slightly lower."
"1190020","1196480"," But if you speak to a realtor out there, they'll tell you that when they get started, it takes"
"1196480","1199460"," about five years to start having repeat business."
"1200440","1201780"," These are usually young home. "
"1201980","1203320"," They're young first time home buyers."
"1203500","1205560"," They come back to buy their second home, not their starter home."
"1206200","1208920"," Now their second home, the average about eight years. "
"1210000","1213560"," And that kind of falls in line to where we are right now."
"1214400","1221300"," You've got a class of people out there that were buying in the mid 2000 or 2015s or teens, I"
"1221300","1222120"," guess mid teens."
"1224300","1226660"," And they are ready to sell, right?"
"1226820","1230800"," They're at that eight year mark, 10 year mark, and they're not selling. "
"1232220","1236220"," They're not going to sell unless two things happen."
"1236580","1237480"," You've got two different people."
"1237580","1239960"," You've got people that want to sell and people that want to buy. "
"1240760","1242420"," People that want to buy, they're ready."
"1242660","1243560"," They're like, I'll take the rates."
"1244180","1244980"," I know they're coming down. "
"1245160","1247540"," My realtor told me I'm drinking the Kool-Aid from the realtor."
"1248040","1248860"," All that kind of stuff."
"1248860","1251980"," Now someone that already owns a home is not in that same situation. "
"1252860","1255160"," But they're in their second home, not their starter home."
"1255700","1258640"," These people are, if they could own a second home, all kinds of stuff."
"1259060","1260400"," They have no need to sell. "
"1261140","1262920"," As of right now, they don't."
"1263220","1266640"," They're feeling the pressure to sell, but the pressure isn't on."
"1267240","1269620"," It's not like I've been in this house for eight or 10 years. "
"1269620","1272620"," And you know, just right now, it's mandatory that they sell."
"1273680","1275120"," But it's getting crispy now, right?"
"1275240","1278320"," If I've been in the house for eight years, like coming on 10, you're like, yeah, I got to start"
"1278320","1278940"," getting out of here."
"1279360","1280680"," So you're starting to get people. "
"1281640","1285620"," They're almost ready to sell regardless, but still not quite pushed there."
"1286560","1290860"," To open up stock, housing stock to buy."
"1291660","1300520"," And the Fed, not surprisingly, is in a rate hike cycle specifically for two reasons. "
"1301620","1305160"," One, we know that the Fed knows that they don't know."
"1305160","1310080"," If rate hikes actually impact inflation."
"1310260","1311200"," Hear that again for me. "
"1311780","1312960"," Listen to me clearly here."
"1313800","1321600"," We have prior Fed officials that are quoted in books that you can read."
"1322300","1326840"," Usually they're auto or biographies that where they state, we don't know. "
"1327560","1332320"," If raising rates actually impacts inflation."
"1332320","1335600"," This is the secret that nobody wants to tell you."
"1336500","1340360"," They're federalized upon normal business cycle expectations. "
"1341340","1343720"," Like this is where we think we are in a business cycle."
"1344160","1349700"," And they literally start hiking cycles based upon that thesis."
"1350940","1355260"," And that hopefully that are aligns with inflation. "
"1355780","1360760"," But there are prior Fed officials that say it might just be a normal business cycle where inflation"
"1360760","1361640"," goes up and down."
"1362000","1365080"," Of course, we need to apply tools."
"1365080","1368100"," This is back in the 70s to try to combat this. "
"1369040","1370800"," But we don't know if it actually works."
"1371440","1372220"," This is fact."
"1372760","1373340"," Okay, so. "
"1375200","1379860"," The idea here is that you're not shocked to see rate increases."
"1380400","1383640"," And these, we have a fucked up cycle right now business."
"1383820","1385700"," I mean, two, two business cycles right now. "
"1386040","1389300"," And they're trying to bring them back together."
"1389300","1390080"," Right."
"1390820","1394600"," Trying to bring these cycles back and line together. "
"1394960","1395000"," So."
"1396360","1401100"," Right now you've got the case of some guy and you've got people pre COVID and during COVID buying"
"1401100","1402040"," houses too, right?"
"1402260","1403320"," None of these people have to sell."
"1403720","1406860"," So these sellers, not the buyers, but the sellers. "
"1407980","1411980"," They're kind of getting long in the tooth and their average homeownership."
"1412800","1413360"," Right."
"1413920","1418560"," They've got rate in rates increasing, but they're not, they don't believe. "
"1419260","1421320"," That the rates are coming down."
"1421520","1424820"," So they're like, no, we're not selling until we see rates come down."
"1425700","1426340"," Okay. "
"1426860","1431260"," Or they get pushed out by their average home ownership or."
"1431920","1434960"," Rates continue to go higher and higher and higher and higher, right?"
"1435340","1436900"," And rates actually break people."
"1437860","1438500"," Unemployment. "
"1439720","1444320"," If it begins to rise unemployment, not the Goldilocks zone for."
"1445120","1446260"," A D P jobs."
"1446920","1451600"," Like you can't have like normalization of jobs and normalization of unemployment. "
"1452560","1454860"," And consider that negative to the market."
"1456020","1459240"," So, so there's only a few ways to get these people to sell, right?"
"1459440","1464480"," If I was the Fed chair, I'd be like, well, their, their homeownership averages are starting to come"
"1464480","1466760"," to maturation, right?"
"1467180","1467460"," To maturity."
"1468560","1473760"," And the only other two ways that I have to get these people out of their home, out of their"
"1473760","1473960"," home ownership. "
"1473960","1474720"," And credit crunch on them."
"1475940","1480620"," Take their jobs away from them, honestly, or cut rates, right?"
"1480840","1484740"," Now we know right now that the rate increases aren't hurting these people that own homes."
"1485820","1491280"," But we do know that if we, if they have, if they like drop the ball, we crunch their credit,"
"1491280","1495380"," they won't be eligible for loans or they take a high interest rate loan, that kind of stuff. "
"1498240","1499520"," That, that would work."
"1499760","1501800"," The other thing would work, of course, would be cutting rates."
"1502740","1506460"," And the, it actually has an opposite impact on the economy. "
"1507220","1511800"," You wind up getting a group of people that are all trying to sell at the same time."
"1512300","1518580"," You've got this pent up, pent up group of people that they're like main streeters."
"1519000","1523780"," These people will hear that rates are actually being caused or not caused by cuts. "
"1524180","1528240"," And they will begin to want to sell their homes."
"1530240","1533520"," The real estate market is very sensitive to stuff like that."
"1533640","1539500"," If you get a rolling wave of people that have owned their homes since the early or mid to mid"
"1539500","1541180"," teams of the 2000s. "
"1541420","1547080"," One spot, four, six, seven million distillist inventories forecast at minus one million prior zero"
"1547080","1548580"," spot to nine, four, five million."
"1548980","1550560"," Sorry, I'm watching the USO here in the background."
"1550820","1553380"," The prior was minus three spot one, three, three million. "
"1554700","1556780"," So you have these people, right?"
"1559500","1561660"," That they'll make a mad rush to sell."
"1562100","1563560"," And you've got a large group of sellers."
"1564820","1566980"," Let's say we all live in the same block here, right?"
"1567060","1570360"," And let's say I bought my house for $200,000 when I was this. "
"1571100","1571680"," I need to hear this."
"1575750","1578750"," Over time pay to be extended to millions of workers under Biden administration."
"1580070","1583650"," Labor Department proposes raising over time eligibility, minimum, the rule expected effective"
"1583650","1586310"," workers in retail and hospitality industries will look at that here in a minute. "
"1588230","1592630"," So the idea of being here, though, is that if I live on your block with you and we bought"
"1592630","1595130"," our houses for $200,000 and they're now worth $450,000."
"1595990","1597890"," And I know rates are being cut."
"1599930","1601690"," Then I'm going to try to sell, right?"
"1601890","1602950"," My neighbor is going to try to sell. "
"1602950","1609010"," And let's say he lists for $450, a smart realtor would know to offer under $450,000 because there's"
"1609010","1610370"," five houses for sale in my block."
"1612270","1614950"," And my neighbor is going to take $425,000."
"1615630","1616630"," I'll take $425,000. "
"1616710","1617850"," Just get me out now, right?"
"1618850","1621770"," Trying to time the topping of the housing market."
"1622350","1624790"," Now here comes me and I'm already up a couple hundred grand."
"1624790","1627270"," And, you know, my neighbor just accepted 425. "
"1627790","1630670"," The constant neighborhood going down realtor is talking to me about this."
"1630670","1632130"," And so I take 400, right?"
"1632470","1636650"," And then you start to see a really quickly a drop in housing prices."
"1637270","1640270"," Now, to get there, one of those three things need to happen, right?"
"1640410","1645170"," We need to start to have people either age out of their homes and start to have, I don't know,"
"1645170","1645570"," they need a roof. "
"1645710","1647870"," They don't want to take a 30% loan, right?"
"1648910","1649510"," They don't have the money."
"1649670","1652190"," They don't even get approved for it because of the credit crunch."
"1653710","1655330"," Or the cutting of rates. "
"1656070","1660430"," So they're not surprised by these housing numbers this morning at all."
"1661230","1663910"," Not surprised in any way, shape or form."
"1664850","1667790"," And housing prices for where I live have just gone up. "
"1667990","1669530"," They just don't stop going up."
"1669650","1670370"," They just keep going up."
"1671130","1675070"," There's no stock available either where I live still to the stay, no stock available. "
"1675750","1679550"," Matter of fact, I'm going to the auction this year because there's no stock available."
"1681330","1682850"," So get a little bit of a roll here."
"1682970","1687750"," A little bit of cell on our one down below coming down a test right now, the 129 EMA. "
"1695130","1696790"," Come on, USO, baby."
"1699990","1703230"," We're going to talk about USO's topping right now."
"1703390","1704990"," Just heads up to you if you are in that trade. "
"1706230","1709590"," Now, why did I say this morning that it should come back down?"
"1709850","1711630"," Why should it come back down on spy?"
"1711930","1713230"," I'm going to explain it to you right now."
"1713890","1715250"," We're going to go over and look at spy."
"1718310","1722770"," And it's because of, it's two reasons because of stretch, basically, though. "
"1726780","1728960"," I may delete all this stuff for now."
"1729080","1731800"," I wish I didn't, but I want, I'm going to delete all this so you can see it."
"1733420","1738240"," So I just want you to see two things that have not happened yet or two things to pay attention"
"1738240","1738640"," to. "
"1741180","1746680"," One, whenever there's a lot of stretch between hourly and price, we tend to come back."
"1746680","1747080"," Okay."
"1748340","1755460"," Number two, we still have not tested the hourly trigger cross on the daily here. "
"1756480","1758420"," This is still very bullish."
"1758640","1768600"," We have price, HD, and DT have not had this in some period of time."
"1768940","1774180"," We've had some brief ups and overs and back down, but not quite. "
"1774180","1777620"," Well, this kind of a structure as of yet."
"1779420","1787160"," So what bulls are looking for is some kind of a confirmation preferably down on their hourly"
"1787160","1787520"," trigger."
"1788060","1789820"," Above the daily trigger. "
"1790380","1791040"," That's the preference."
"1791740","1792540"," Some kind of check."
"1793540","1796180"," Now we're trading right now the half hour trigger up here. "
"1797160","1798740"," So can we continue higher today?"
"1799060","1799400"," Absolutely."
"1801080","1802140"," Absolutely can."
"1803340","1807600"," But for you as a bull, you're still not bullish. "
"1808500","1815260"," You need to have a test of that hourly above the daily trigger to continue higher."
"1815660","1822240"," The confirmation trade is like 99% of the time, 99% of the time."
"1822860","1824400"," And that number is quite low. "
"1824740","1827400"," It's 44 7 25ish."
"1828440","1832180"," The daily trigger is way down here at 44 25."
"1833100","1838160"," So it wouldn't even surprise me to break below test this and then come back up. "
"1838200","1839880"," Even that is bullish right there."
"1840680","1840940"," Right."
"1841680","1847840"," So, so any of this like interaction down here is what a bull is actually looking for. "
"1848060","1848920"," I don't care if it's today."
"1849460","1854540"," I don't care if it's tomorrow or not tomorrow or tomorrow or Friday or Tuesday."
"1854820","1855580"," I really don't care. "
"1855580","1861800"," But a bull should be looking for that test that initial break higher and then."
"1862020","1862700"," Hey, we're going up."
"1862900","1863840"," We're going higher here. "
"1863960","1866700"," And this is that confirmation trade."
"1867460","1868620"," Why is that so important?"
"1870460","1872260"," We're going to talk about that right now."
"1872400","1873440"," We're going to go to the full chart. "
"1873440","1874960"," We will full chart screen."
"1875760","1878480"," We're going to go just just an example here."
"1878620","1878800"," Okay. "
"1878980","1880560"," So there's your hourly trigger down here."
"1884930","1887410"," We talked about this briefly yesterday, right?"
"1888790","1892070"," That's a gorgeous, gorgeous, gorgeous, gorgeous move right there."
"1892490","1893030"," Nice extension. "
"1893870","1896030"," Any kind of like, Hey, we're going higher."
"1896190","1898830"," We checked to go higher is extremely bullish, right?"
"1899270","1900830"," We don't want that fake out."
"1901350","1905690"," Break below the hourly in the daily and continuation to the downside. "
"1906050","1907770"," We know if this fails right here."
