"id","start","end","text"
"s35HMhpMo20","0","7000"," Good morning traders, Kevin Jim James here with your daily brief for Friday, December"
"s35HMhpMo20","7000","8000"," 10th."
"s35HMhpMo20","8000","12760"," I was able to watch Biden speak earlier today that was not a good speech."
"s35HMhpMo20","12760","18680"," That was trying to put lipstick on a pig if there ever was that moment."
"s35HMhpMo20","18680","21960"," I do realize that the price of some goods have come down."
"s35HMhpMo20","21960","27200"," I know that gas has come down, but we know that inflation has already elevated."
"s35HMhpMo20","27200","30400"," We know that last year inflation was 6.2%."
"s35HMhpMo20","30400","34100"," We know that the expected is 6.8%."
"s35HMhpMo20","34100","39320"," Even a 0.6% difference is huge or huge or whatever."
"s35HMhpMo20","39320","41480"," It's just big."
"s35HMhpMo20","41480","47520"," Him coming out to speak today or yesterday or on Thursday infers that tomorrow's numbers"
"s35HMhpMo20","47520","50320"," are not going to be good."
"s35HMhpMo20","50320","52600"," What does that mean for us heading into tomorrow?"
"s35HMhpMo20","52600","59080"," It's trying to break the expectation level before we come into Friday's numbers that"
"s35HMhpMo20","59080","61080"," are not going to be good."
"s35HMhpMo20","61080","65840"," The market responded, but we kind of already knew the market was going to respond in that"
"s35HMhpMo20","65840","66840"," way."
"s35HMhpMo20","66840","71960"," We've already been talking about in previous videos that we weren't buyers until the market"
"s35HMhpMo20","71960","73160"," dipped lower."
"s35HMhpMo20","73160","78960"," We talked about that 4660, 4640 was my number that I wanted to start to buy in."
"s35HMhpMo20","78960","83800"," We also talked about the real juice being down at the 4600 level."
"s35HMhpMo20","83800","86680"," All it really took was a trigger for that to take place."
"s35HMhpMo20","86680","90240"," It came a day earlier than the CPI numbers."
"s35HMhpMo20","90240","95200"," Earlier today, I made some tweets to you asking you to, even if you're going to keep your"
"s35HMhpMo20","95200","101120"," longs on, to at least take on some protection on Thursday, and I hope that you did that today"
"s35HMhpMo20","101120","103480"," to protect your longs into that close."
"s35HMhpMo20","103480","104480"," That close was nasty."
"s35HMhpMo20","104480","109920"," I even tweeted as we started to fall off before it happened that I was looking to buy at"
"s35HMhpMo20","109920","111920"," very low levels at 4460."
"s35HMhpMo20","111920","116800"," We didn't quite get that low, but that was before we even started to drop."
"s35HMhpMo20","116800","121320"," I hope you guys were safe later this afternoon, that you bought some protection later this"
