"start","end","text"
"3450","4950"," Good morning traders."
"5790","11570"," Captain Jim James here with your daily brief for August 5th, 2021."
"12370","13890"," I didn't stick around too much yesterday. "
"14330","20630"," I wound up in the morning grabbing some calls off the open, rode them up for a couple or three"
"20630","23490"," taps I think sold and then got called away."
"24150","28650"," I did post briefly about counting two to three moves on Twitter."
"28650","34750"," And maybe we'll take a look at that today if I can for a moment so that you can see"
"34750","38850"," when you should start going long or short in day trading. "
"39290","42610"," So I'll continue on on this day trading path for the rest of this week."
"42850","48530"," If you wanted to go long or short as a bull or bear, pull on."
"48530","52150"," We really didn't get that signal today either way. "
"52510","59170"," I was expecting and then yesterday's video you'll note that I was expecting yesterday to either do"
"59170","64190"," a gap up and jump up and push up or that we would accumulate for a move up."
"64650","67270"," I still hold that belief right now at this point."
"67650","71410"," We'll take a look at the charts and see what it is really showing. "
"71410","80950"," It's complicated because I use this portfolio expert software and on one"
"80950","86190"," side it's saying that the market's going to go down and on the other side it's saying that the"
"86190","87370"," market's going to go up."
"87990","94270"," So we really are still in this same rotation phase where we don't know where we're going."
"94270","96890"," So where does that leave us?"
"96890","102470"," It really does still leave us in this place where we're day trading if we want to day trade and"
"102470","107070"," you really can't claim as a bear or bull which direction we're headed. "
"107670","113390"," The only thing that would say otherwise would be where we are in the overall market."
"113390","119610"," We are at a top in a top in spy and the same thing goes for NASDAQ."
"119790","121650"," Small caps are a completely other thing. "
"122010","123510"," They're very difficult to play overall."
"124210","128490"," I kind of try to separate that index when I look at it."
"128729","134890"," So the thing to think about right now is I saw yesterday people playing off the triple tops and"
"134890","135830"," triple bottoms. "
"135830","143950"," And in reality when I got down into the charts it looked more bullish than bearish and the last"
"143950","149310"," time this played out that doesn't play out often to see those triple tops and bottoms be bullish"
"149310","151850"," but I have played them in the past."
"152390","156190"," You really have to get down inside that chart and take a look and see what's going on."
"156190","164370"," And so earlier tonight I posted to not short into strength and I think that is at least a warning"
"164370","165290"," for today. "
"165730","167350"," Now how long that lasts?"
"167970","174110"," I can't tell you from now until Friday and you know as we get closer it's going to become more"
"174110","176830"," difficult to find out which direction we move."
"176830","184130"," We do know that the easiest direction is down but we also know that the market is saying that you"
"184130","185310"," can only go so low."
"186170","193450"," So my conviction stands that we go up though I am willing to switch to a bear at any moment"
"193450","197050"," and ride this thing down. "
"197900","204070"," Especially as we headed into Friday there should be some volatility today or at least towards end"
"204070","208450"," of day you might have a little panic selling into clothes if not in Friday."
"208870","214090"," Now we do have today initial jobless claims and continuing jobless claims."
"214610","219430"," They are usually material but we already did get a purview from ADP yesterday. "
"219430","227390"," And that is important that we have that you know the market reacts to unknown news not known news."
"228030","235310"," So if the initial jobless claims and continuing claims this morning miss we already know that from"
