"start","end","text"
"37060","38000"," Hey, good morning."
"39020","40080"," Good morning, Jake."
"40260","41280"," Good morning, Gladen Estau. "
"41560","42420"," Good morning, your wife's boyfriend."
"42420","43300"," Good morning, Chaz."
"44400","46140"," Good morning, Joshua, Terry Santini. "
"46920","47220"," Good morning."
"49380","50540"," Is everybody doing out there?"
"51800","52960"," Good morning, Teagan."
"54840","57580"," Hey, is everybody doing out there?"
"60620","64319"," Let's go, your wife's boyfriend right now on Anthony Good morning, Stephen Good morning. "
"64920","65900"," How's everybody doing out there?"
"67540","69800"," Never a dull moment in these markets, huh?"
"72240","74920"," I had a dentist appointment yesterday morning."
"75180","75860"," I looked at the market."
"77220","77740"," It was sideways. "
"80160","82260"," And then it sold the fuck off."
"83100","85720"," I was like, what the hell's going on?"
"88220","89300"," How are you guys doing?"
"89600","90040"," Good to see you."
"90120","90960"," Yeah, we're back now. "
"91500","92440"," It's kind of weird too."
"92660","95080"," Good morning, Paul, Casey, Fisted."
"96000","97020"," Hey, Eric, how are you?"
"97940","100220"," L.R., Lucy, good morning, Joshua, good morning. "
"100460","101680"," Hope everybody's doing well out there."
"103040","104740"," So we got a lot to talk about this morning."
"105980","108440"," There's never a dull moment in this market right now, is there?"
"108920","110680"," We have a ton to look at. "
"112820","115740"," I'm good with just both John Ketch and the both way counts."
"117460","117860"," Absolutely."
"118360","119380"," We're going to talk about that this morning. "
"119480","121820"," We have a lot to talk about this morning."
"122460","123560"," So we're going to get right into it."
"124040","126600"," I don't even know if I can get this. "
"127440","128660"," Is that louder or not?"
"128880","129199"," I don't know."
"129960","131200"," We're just going to switch right over here."
"131260","131760"," We're not going to wait. "
"134740","135880"," I'm just going to switch right over here."
"136620","137140"," All right."
"137700","140040"," We have a lot to do before 9.30 this morning. "
"140820","147120"," So we were, we traded down into, let me see, Wednesday into Thursday on warfare's, right?"
"147360","153480"," Just use warfare's or warfare is being used for bullshit, right?"
"154240","159500"," We know that we already knew all the information that came out of the FOMC minutes, right?"
"159500","167940"," And we know that this is hard to explain, but we know that the minutes were actually bullish,"
"168080","169720"," believe it or not, if you're a bull, right?"
"170100","171100"," This is keep this clean."
"171780","180400"," If you're a bull, the minutes were not bullish, but they were dovish on rates, the markets, our"
"180400","182380"," country, our economy and everything."
"183120","186640"," We were looking for something more hawkish for sure in those minutes. "
"186640","194300"," Now, those minutes have been turned into, well, they're so dovish that it's hawkish on the market,"
"194360","194680"," right?"
"194880","196600"," So that's kind of what's taken place."
"197200","203560"," And as there's been a script flip, if we'd heard how to BPS in those minutes, if we'd heard real"
"203560","206060"," hawkish statements, the market would have sold off."
"206580","212920"," So we heard dovish comments, believe it or not, no matter what your social media is telling you,"
"212920","219120"," and that in turn is even more hawkish supposedly than if they had released hawkish comments, right?"
"219500","222680"," Now, so we're going to dump the market is the story. "
"223140","228160"," So we can see that the minutes are being used for dumping the market regardless, so that's key to"
"228160","228440"," understand."
"229220","235460"," And then we know that all the information about war, whether there's war or not war, anything is"
"235460","236620"," all bullshit as well, right?"
"236620","238400"," And just bring it up when they want to."
"238660","245340"," You can see that even the White House has keyed in on making this more of a story than it"
"245340","247100"," actually is when they want to, right?"
"247220","249940"," When it's a key moment to make it a story. "
"250060","253860"," It's almost like it's being used to wrangle in, believe it or not, the stock market, or at least"
"253860","257040"," the stock market is using it to wrangle in the market."
"257459","261600"," So we're going to go through some key points about this this morning before we get started."
"261600","267900"," And we're going to look at, first of all, where we are on the market profile, the volume profile,"
"268160","268240"," right?"
"268480","272900"," So I just want you to see where we are at the open this morning, okay?"
"273020","276800"," We're trying to claw our way back to a value area low on the 15 day. "
"277080","279280"," We know that there's just single prints down below."
"279780","280960"," We're hanging by a thread."
"281720","284280"," And at any moment, this market could sell off. "
"284280","290600"," We could sell up today on the open and then continue our move down to 435 or even lower, right?"
"290600","293900"," We know that 435 is some kind of a support right now."
"294440","297900"," I'm sure that there's some bulls out there saying, hey, we can trade at least up to point of"
"297900","302140"," control up here to 450 and at least trade up into here into this 440."
"302640","308420"," We'll look at the charts because the charts kind of look like they'll try to wrangle it back up to"
"308420","310680"," a point of control in the market over the last 15 days. "
"310960","315680"," If you look at a longer profile chart on the market, it's pretty ugly."
"315960","317680"," It's not pretty where we are right now."
"317680","319440"," I just want you to see where we are right now. "
"319540","322340"," I guess that would be that we trade somewhere in here today, right?"
"322660","328220"," We trade up here to this for we'll look at another chart here, but that we have monthly opeks and"
"328220","330080"," they want to wrangle this chart to where it needs to be."
"330660","334300"," We also know I'm going to show you some of the things right now that I want to talk to"
"334300","341800"," you about because yesterday the hair indicator was telling a different story versus what actually"
"341800","342820"," took place, right?"
"343740","345840"," So which was kind of an odd thing yesterday."
"347000","350900"," So we're going to take a look at that real quick and before we get there, we're just going to"
"350900","354240"," look at what we're going to look first look at for today, right?"
"354820","356720"," We've got a brainard speaking at 130. "
"357120","362200"," We've got Williams speaking at 11 a.m. We've got Waller speaking at 10 15 leading economic"
"362200","367440"," indicators at 10 a.m. We've got existing home sales at 10 and we've got the hole in here."
"368940","372720"," We've got the Chicago Booth School, New York Fed meeting meetings all day long."
"372860","374640"," I'm assuming that includes all these people talking. "
