"start","end","text"
"71880","73720"," Good morning, Uncle J."
"73980","74020"," B."
"74180","74300"," J."
"74840","76020"," How are you doing out there?"
"77500","78360"," Y'all doing well?"
"82900","84540"," We'll get right into it, hold on here."
"93030","97950"," Cut that right off on the open this morning and get right into it here."
"100990","104450"," I recovered the pivot this morning, bear with me this morning, by the way. "
"104850","105970"," We got a few things we got to do here."
"107510","110390"," Got some technical stuff in the background I got to do."
"110390","118670"," And my voice is kind of wrecked this morning. "
"120050","124430"," So you might hear me less than you normally would today."
"130630","131750"," Change that."
"131750","133950"," Think tight for just a second here. "
"146410","152250"," Just a second here."
"156940","161860"," Good morning everybody out there."
"170020","172180"," Kind of a wonky place for the market. "
"193140","194120"," Just a second here."
"198280","202080"," All right."
"204780","210240"," Now, one note about this morning is that check this here. "
"210320","211100"," Give me a second here."
"215620","216540"," Good morning everybody."
"216780","217040"," Good morning. "
"217100","217680"," Happy Friday."
"217960","218880"," We got one more day left here."
"222440","224960"," Good morning, ex, ex and Jello. "
"225160","226320"," Good morning, Gene Dorian."
"226460","227780"," Good morning, one, two, five, six trader."
"228040","228520"," Good morning, Joshua. "
"229660","230340"," Mr. House."
"230360","230760"," Good morning."
"231840","232460"," John Klopp. "
"233080","233380"," Common vegetables."
"233720","234100"," Good to see you."
"234200","234560"," Common vegetables. "
"234800","235120"," Hey, Ben, man."
"236880","237400"," Uncle J."
"237500","237540"," B."
"237600","237720"," J."
"238300","239020"," Number one, baby."
"240200","241420"," Fibonacci's in the house right on. "
"242620","243240"," Just some guy."
"243420","243740"," Good morning."
"243880","244160"," How are you?"
"244820","246120"," Morning streamlabs bot. "
"247340","247920"," Morning H."
"248020","248100"," Bomb."
"248320","248600"," How are you?"
"249860","250980"," Go boys in the house."
"251600","252240"," This is here. "
"252400","252660"," Nino."
"252840","253140"," Good morning."
"253520","254080"," John Klopp. "
"255940","256660"," Steve Austin."
"256959","258180"," Nino, are you in the discord, man?"
"258500","259200"," I wanted to ask you."
"260640","261860"," Well, Steve, how are you?"
"262920","263280"," Hofstadter. "
"263340","263640"," How are you?"
"263800","264100"," Oh, thanks."
"264980","266020"," Hofstadter appreciate that."
"267640","268520"," Everything helps, man. "
"268660","270380"," It's an easy way to support the stream too."
"270480","271380"," You don't have to actually buy it."
"271460","273080"," You can just if you just click on the Amazon link. "
"273080","274820"," And what the book is awesome, by the way."
"276580","277120"," Don't do it."
"277140","277400"," Good morning. "
"277600","277880"," How are you?"
"278720","279580"," Deckhand Dougie, baby."
"279960","280360"," What's up, brother?"
"282180","282880"," How's everybody doing?"
"282960","283220"," Steve?"
"283900","284380"," Regenerator X?"
"286320","286820"," Who else?"
"288580","289200"," Rejects, generator."
