"start","end","text"
"6660","7280"," All right."
"7400","9700"," Let's see if we're back on again."
"11400","12760"," Nice for back on. "
"21580","22660"," All right."
"30100","30920"," All right."
"31180","31720"," Back on again. "
"79040","81320"," We're getting intense on the spy right now."
"84770","92210"," Still, still more by side than sell side on the spy for a still the price target."
"92710","95050"," You really want to be looking down below here. "
"95850","97630"," On this buy sell side."
"98010","100770"," You can see that there's there's an increase in the price."
"100770","102510"," There's some sellers at this level here. "
"103190","108330"," You can see that some of the sellers that were above it 480 swoop down into the fray."
"115950","117550"," I'm actually by the step right here."
"118190","120910"," I am going to buy the step right now. "
"129449","130930"," What am I looking for here?"
"133940","137400"," December 31 480c."
"140190","141210"," Those are expensive."
"142530","143490"," Expensive calls. "
"150100","151180"," Hang tight here."
"151320","151820"," Wait for me."
"153860","155200"," Wait for me. "
"156000","157600"," Wait, wait, wait for me."
"158180","159620"," I want the buy in here."
"160380","180140"," I'm going"
"180140","180980"," to buy in here. "
"182280","184140"," I'm going to go for the December 29."
"190330","191010"," All right."
"191230","193090"," Some baby. "
"218600","226700"," Okay, so I'm in at 73 cents on 1229 480c on the spy."
"231290","233330"," I like seeing what I'm seeing here."
"254880","256459"," Let's make a nice straddle too. "
"264020","265360"," Grab more cheap puts."
"266080","272140"," Hold the calls to 480 and then sell for profit and then just hang on and roll into more puts"
"272140","273660"," on 460."
"276220","277040"," Anybody watching?"
"279220","279980"," Oh, yeah. "
"280340","281060"," You guys are all here."
"281480","282800"," A hundred of you already back in here?"
"283880","284040"," Nice."
"296290","296690"," Okay. "
"296690","301550"," So I'm in calls right now in the spy you guys."
"305450","309770"," I'm in spy 1229 480c's."
"310870","312090"," I grabbed that dip. "
"314270","320910"," Unless I see any dips down here and we're still up with by side over here."
"321310","322050"," Unless this changes."
"323550","325370"," I'm long the spy to 480. "
"338280","341260"," I wanted to quickly show you guys Netflix that Netflix feed."
"343320","344820"," That's 620 number."
"345300","346720"," This is where they're targeting this. "
"346940","348080"," This is a nice trade right here."
"349380","352780"," Someone took a took a 620 trade on Netflix."
"353740","359300"," It was for January 21st. "
"362210","368190"," Was a $1.8 million 616 call for a hedge, right?"
"368830","378280"," And then someone else placed a shorter dated Netflix call."
"378460","378820"," Would they trade?"
"381680","392190"," Yeah, someone else traded for $1.8 million January 21st 620c on Netflix."
"392650","393310"," I like that trade. "
"395640","396480"," I like that trade a lot."
"401970","403650"," And you guys are going to look at IWM."
"406800","407620"," Yeah, I like. "
"407620","408160"," Hey, King."
"408360","408680"," How are you?"
"409140","409520"," I like."
"410500","412340"," So I love IWM right now. "
"412700","419460"," You guys got to place your trades on IWM with spreads or with one to three month dated naked"
"419460","419920"," options."
"421180","422140"," The moment."
"422700","423380"," Hey, Matt. "
"423780","424740"," So the moment that."
"425860","429240"," The moment that that the hedge comes off IWM."
"429960","431020"," The moment that you start. "
"431020","431760"," Start."
"435360","437760"," Short covering on IWM."
"438400","443200"," The moment that you see you see the news talking about buying into small caps right now. "
"443540","444560"," It's everywhere, right?"
"445320","450500"," And the moment that you flip over that over that I think I showed you a level to be looking"
"450500","451080"," for, right?"
"451540","454100"," The moment you're over to 28 it's game over for the bears."
"455660","461720"," The moment that happens and I haven't seen any hedge flow that's put put oriented on IWM."
"462380","468140"," So as soon as this stuff rolls off unless we see that put flow in IWM as soon as this"
"468140","469920"," stuff rolls off, it's going to be a massive squeeze. "
"472760","477020"," You guys want to look at Amazon next you said when I'm breaking this thing again."
"477480","479440"," I'm going to keep loading tickers on here."
"479440","489600"," So I've"
"489600","491580"," got the best internet I can get. "
"491980","494560"," It's through Comcast, but I don't have the business internet."
"495060","499580"," So I have to call those guys and get make sure I've got the jack jacked up feed."
"501180","502200"," Crazy feed. "
"503020","505920"," I don't have fiber here."
"514559","516059"," Same situation on Amazon."
"517580","520580"," You're testing, you're testing shorts right now. "
"523680","525400"," You've got clear skies way above."
"525620","528100"," If you do have more sellers than buyers on Amazon."
"529840","531980"," That'd be a buyer at 3380. "
"532520","533940"," Let's take it to 34."
"538650","541550"," You can snap that as a support as a major support."
"542410","545470"," You can see that's where the buy side is down here. "
"548340","549880"," Buy sides at 3380."
"552400","554400"," You can see the south side's 3450."
"555220","556040"," You can sell it. "
"556140","558620"," There's there's active buying right now right at the money."
"563800","564920"," Check the Tesla feed."
"566280","567840"," See what's going on with weirdo Tesla. "
"575980","577000"," Oh, look at you."
"577820","579480"," Joe's Joe's printing, huh?"
"583840","584880"," Is Joe scared?"
"585040","585840"," He's not or he's not printing."
"586060","587040"," He bought that 1090. "
"596030","597210"," This is pretty neat on Tesla."
"597550","601650"," See in this, you can see we've got lopsided side on Tesla."
"602190","611350"," I'm assuming this is the dealers and market makers buying Tesla stock for those positive call"
"611350","612130"," hedges. "
"612710","617370"," So Joe, you've got the you've got the house on your side right now."
"617370","620270"," If you can hear me out there."
"626500","627860"," Ram processor power. "
"628140","629520"," I've got a pretty good processor in here."
"629920","632340"," It's not the best, but it's, it's pretty good."
"636690","646360"," Yeah, I've got a I've got an Intel core 15 on this one that's running Tesla reversal underway, huh?"
"647220","648120"," It doesn't look like that. "
"648360","648660"," Maybe."
"649460","650460"," I guess you could be right."
"650460","653140"," I do want you to know that. "
"653420","658820"," I don't know if you guys understand that when futures are bought, not futures."
"659260","659260"," Sorry."
"660780","667440"," When you guys understand that if I make really big bearish bets. "
"669200","673400"," That the market makers will sell their positions, right?"
"674340","677760"," And you guys know that when big bullish bets are made."
"678380","681140"," That the market makers will buy positions."
"681560","688240"," So if you're looking at the options flow right now on Tesla, it's really big call flow. "
"691290","694210"," Just be wary of that if you're a bear at the moment."
"698130","699710"," It's assumed that this is happening."
"701050","702130"," Good morning, Magnus. "
"702390","702690"," How are you?"
"702850","703510"," How are you?"
"704510","704930"," Desperado."
"706850","707530"," Start link."
"708110","710110"," Yeah, I just need to get the business class because I'm running. "
"710510","712110"," I'm running a ton off this stuff."
"712290","712530"," I'm running."
"713270","714790"," I've got other computers running right"
"714790","723450"," now. "
"723450","726910"," And I've got land set up on this computer."
"727150","731470"," So I think it's more and I had a critical failure inside of book map."
"731750","734390"," I don't think it came from the computer. "
"734530","736270"," I think it came from actual book map."
"736710","738290"," I've had book map crash in the past."
"740300","742140"," So I'm bullish on Tesla right here. "
"744980","749460"," Looks like the dealers are done buying future or buying shares of Tesla."
"749940","751740"," You're looking for more call flow to come in."
"754220","755660"," Roku's still getting a big bid. "
"755820","757120"," Spy's still getting a big bid."
"757920","764100"," Oh, one guy just bought $400,000 of 1231 1050 puts on Tesla."
"764920","767540"," Another guy just bought $1 million hedge. "
"768420","773560"," Against Tesla, one January 21st 1000 puts for $1 million."
"774480","775280"," I didn't see that."
"775760","777280"," I just did just see that. "
"778620","781840"," So they're going to try to pin Tesla into the into January."
"785430","787730"," A pinning action on on Tesla."
"787790","788650"," They're tempting to do. "
"788950","797780"," Let me see if they can bring up the hedging and the signature on that Tesla."
"798700","801660"," Put flow does not look like it's matching either."
"801940","802740"," Let me look here. "
"804440","806760"," Yeah, see that there's still bigger bets on."
"807160","811780"," You still have much larger bets on Tesla than you do on against Tesla right now."
"811780","817780"," So I'm going to post this to the Twitter feed so you guys can see it. "
"817980","821960"," Any of you guys that don't have this information can get it."
"829040","830660"," It's definitely not neutral."
"831060","835600"," It's four to one in favor of hedging calls on Tesla. "
"836160","837900"," We'll put it up so everybody has it."
"874370","876030"," Hedging both sides on Tesla."
"877610","881210"," And it's still the most bullish stock right now at this point. "
"882250","885470"," Roku has stupid flow $1.6 million."
"886530","890230"," Call flow on 33 calls or 33."
"891290","896870"," Alga or quant calls. "
"897250","900290"," You know, we're all cool is probably going to be the player for today."
"901450","902110"," I was to guess."
"903830","908250"," Roll cool beer runner and video beer runner in the short term. "
"912210","915330"," Roblox Disney is another good one."
"916140","917150"," Facebook's not a good one."
"917870","919310"," Spy's another good one. "
"922520","926780"," You've got big, big hedges against you guys are bears out there."
"926860","928080"," You want to chase some some money."
"930540","931360"," Ticker. "
"932100","936320"," Tango echo Charlie Lima T ECL."
"937160","944140"," It's has January 21 99.72 strike."
"944570","947380"," Puts for $3.7 million. "
"950620","953730"," Tmo 1228."
"954540","958310"," 550 P puts for $1.1 million."
"960370","963050"," The meme of the apes are going to like this. "
"964390","966950"," BB BY puts."
"968090","974830"," Three of them for January 7 and January 21 at $17 and $16."
"974830","983140"," Big money trying to knock BB BY down. "
"984480","990640"," Next one is F.I.N.X. Fox trot India November x ray."
