"start","end","text"
"91630","92590"," Check one two."
"98310","99190"," Here we go."
"99410","99910"," Back from vacation. "
"106230","107250"," Whoo-hoo!"
"111650","112770"," Back from vacation."
"127110","128590"," Let's see if we can pop this up."
"131070","131970"," Good morning, everybody. "
"132790","134370"," Could actually just start reading the comments out there."
"134490","134850"," How y'all doing?"
"135530","136310"," Everybody's doing well."
"137850","139310"," You guys hear me all right out there?"
"139770","145910"," I made some changes on the back end of production. "
"146850","154610"," I also noticed that my microphone was instead of properly, whatever, and then good morning."
"155930","156510"," Took a vacation."
"158170","159290"," Kind of odd. "
"159470","169150"," We have to be a"
"169150","174190"," better We did a poll a couple of weeks ago, and I don't think that the poll was enough."
"174970","178490"," I think I was supposed to take two weeks to go off, and I said, no fucking way."
"178530","180110"," We're going to F or Opex. "
"181510","182730"," We'll take the next week off."
"184750","186210"," I am refreshed, rejuvenated."
"186510","192610"," You know what the truth is, is I didn't get nearly enough that I needed to get done, done at"
"192610","195290"," this point, close, but still not done. "
"198150","200730"," I think I actually have to work on part of it this morning."
"204350","205570"," We'll get right into it."
"205890","209290"," I have to work on part of that this morning, so if you're just joining us, welcome back. "
"209930","210910"," I did take a vacation."
"211010","211830"," I needed a vacation."
"212270","212850"," I needed a vacation. "
"213070","214590"," I need to get a lot of stuff done."
"214710","215890"," We'll talk about that at some point this morning."
"215890","222490"," Before we open the morning up right here, we should see some weakness here. "
"223010","226170"," Spy right now is trading below the one in five minutes."
"226730","233890"," We have some economic reports coming out to open up the week here at nine forty five."
"233890","239970"," We have an S&P US manufacturing and then a 10 a.m. We have ISM manufacturing construction spending. "
"240670","244310"," We're going to get into some other things coming out this week."
"244310","246550"," We've got course FOMC."
"247610","251490"," We've got some GDP kind of stuff, some PC kind of stuff. "
"252430","256290"," And then we've got, we have some volatility this week."
"256550","259390"," We'll be able to talk about the upcoming week here."
"259390","260750"," What to expect. "
"261670","267610"," Although I do don't expect a lot of volatility until we get into the FOMC meeting and we have some"
"267610","268770"," range expansion here."
"268970","275490"," So just on the open this morning, we'll look at the implied move for today, but I really want you"
"275490","278930"," to put the key point here is to look at the range expansion that we have."
"278930","284850"," We have our three above at four twenty one ninety six and then as three down below here at four"
"284850","287030"," oh eight forty one. "
"288650","289430"," Hold on here."
"289750","290110"," Hang tight."
"295590","297910"," I don't know why that's not showing up here. "
"298070","298930"," Let me put it on the one hour."
"301550","303790"," Right down here, this little green box right here."
"303890","305030"," Just want you to see the hourly here. "
"305530","307890"," It's been a kind of a good place to buy a dip on."
"308790","312850"," So just so you see this hourly down below here at four fourteen four thirteen ninety seven."
"313310","315190"," Keep your eye on that this morning. "
"316370","318630"," That four four four four four fourteen."
"319030","323910"," If you're a bear, you want to be getting underneath that four fourteen and then just in the five"
"323910","324430"," minute here."
"325050","326810"," Let's see what we open this up here. "
"329930","331290"," Got a little bit of a."
"334270","335190"," Walkiness right here."
"343380","344660"," And reset this."
"348100","352440"," Nice little three trigger squeeze on the one minute chart for the five minute chart right here. "
"352460","353320"," I didn't even notice this."
"353800","356240"," Price is above the one end five at this point."
"363100","363860"," Just sitting here. "
"383000","386080"," If price stays above four fifteen forty five, we should go higher."
"388320","391480"," I'm not going to expect a lot of all here until we get to the FOMC."
"391600","392580"," We'll talk about that as well. "
"393380","398380"," I'm interested in down below here for buying four fourteen flat if that's possible."
"398680","399060"," Good morning everybody."
"399180","399640"," How's everybody doing?"
"400320","401200"," Good to see you all. "
"401400","401920"," Nice to be back."
"405990","406390"," Chase."
"406670","407870"," I'm reading what Chase just said. "
"408030","410670"," Not trading got something to go do on Wednesday and go on camera four days."
"411030","411650"," Hell yeah."
"412490","416250"," If you haven't taken a break from the market, I highly recommend it. "
"416310","417790"," Chase is saying I need a break."
"417990","418610"," I'm telling you what?"
"419150","420370"," I needed a fucking break."
"420810","422370"," Well, I had a ton of shit to do. "
"422970","424970"," But then I needed a break."
"425310","429370"," Like every F, every opx specifically the quarters."
"430070","431490"," I'm like, I'm taking a couple days off. "
"432050","434790"," This past year, I haven't taken any time off."
"435270","439350"," The time off that I've taken from streaming has been just market closures."
"439690","443410"," Like if you guys remember during the holidays this winter, I took no time off. "
"443610","448870"," I streamed right through all the holidays when the market was open."
"449490","450890"," I didn't take a week off, anything like that."
"451530","455810"," And I just needed a refresh, reboot, my batteries, that kind of stuff. "
