"start","end","text"
"28500","53400"," Let me"
"53400","56780"," turn this stuff over here so I can see you guys are saying."
"59440","60960"," Yeah baby, good morning."
"64440","65600"," How's everybody doing out there?"
"65700","66320"," Happy Friday everybody. "
"67500","71800"," It's Washington Court, the Russian government, reportedly."
"72160","75900"," They did not use the software to buy stocks this week."
"78040","79020"," It's good at 450. "
"79500","80480"," Okay, so we're going to talk about some stuff."
"80480","81240"," Good morning everybody."
"81420","82120"," How's everybody doing out there?"
"82680","83300"," Welcome back. "
"84400","85360"," Everybody's ready for the weekend."
"88180","89380"," Sorry I was late this morning."
"89620","94280"," I got children and I got juggling children, right?"
"97820","98980"," You know what I feel like?"
"99140","103960"," It's weird when my children were young, I would watch movies where you'd see the haggard parents,"
"104620","107500"," and I think they've become more haggard as they get older. "
"107500","112980"," Less so when they were younger, but now that I'm older it's like, they're like right in that weird"
"112980","113320"," age."
"116100","118240"," Got some put buyers on the spy right now."
"120820","121660"," Welcome everybody. "
"121840","122480"," You're all here, right?"
"122700","123280"," Good job, good job."
"124040","129320"," We can see sellers right off of trying this music down here."
"131560","136320"," I don't like my, I don't like my mic this morning. "
"136500","138420"," I don't like, let's just switch it over."
"139220","140200"," Turn that shit off."
"140780","144220"," Okay, I got to take a look at this and see what's going on. "
"144540","145720"," It looks like my properties are good."
"146460","147520"," Okay, so good morning everybody."
"148460","156100"," Right off the gate this morning, you can see that there's some sellers above here right on the spy"
"156100","157820"," and on the market. "
"157820","159100"," This is to be expected."
"159320","163680"," You know that bears have been loading up, loading up, loading up all week long."
"164140","172460"," There's been a couple opportunities this week to take short or put positions, but it's only in"
"172460","176700"," relief in these channels that continue to trade higher. "
"178750","180510"," Now, we'll take a look right here."
"180690","181990"," We're going to go through the spot cam report."
"182290","185070"," They're claiming on spot cam at this support here at 450. "
"185770","186870"," We'll take a look at this real quick."
"186870","189830"," We'll make it fast because I know some of you don't have access to this."
"191770","193810"," There is some interesting information this morning. "
"193950","196910"," Okay, and that's that our volatility estimate dropped another notch with yesterday's rally in the"
"196910","197030"," close."
"197110","203390"," We're now looking for an open close range of just 0.67% versus 0.9% past several sessions."
"204210","206850"," So that's a very small trading range. "
"206890","209470"," Okay, and 1.4% last week."
"209570","210850"," Support lies at 4,500."
"211610","213550"," All right, so mark that down in our new charts. "
"214190","215400"," That support is at 4,500."
"215580","221660"," Resistance is at 45.35. That's a pretty pretty pretty small range, right?"
"221780","227880"," If you guys are thinking about ranges, 45.35 is small, right?"
"228120","234260"," You already know that we're looking for a bounce right now currently on the spot at 4,500, which"
"234260","237940"," doesn't leave a lot of room for movement here, right?"
"240140","245020"," And what's admittedly taken us a bit by surprise is the destruction of ultra-short-dated implied"
"245020","245520"," volatility."
"245840","247260"," Below is the VIX term structure. "
"247760","250060"," This has surprised many people on Twitter hasn't did."
"251020","253280"," We might talk about this at some point later today."
"253480","259720"," I tried to post some stuff on Twitter last night, the regular handle, about what should do well in"
"259720","261140"," this regime that we're in right now. "
"261340","267240"," And one of the pointing parts is smoke apps to do well in this regime right now."
"267560","270400"," Now, what I'm going to say is price, price, price is the destruction of ultra-dated implied"
