"id","start","end","text"
"stzTtnDg7Dw","0","6000"," Hey traders, this is Captain Jim James."
"stzTtnDg7Dw","6000","11360"," If you're a new trader, if you're a trader that gets trapped in stocks or plays, if you're"
"stzTtnDg7Dw","11360","18160"," a losing trader or you just want to get back to the basics, this video might be for you."
"stzTtnDg7Dw","18160","22480"," Too often I see traders that are trapped, to be honest."
"stzTtnDg7Dw","22480","24400"," These are new and older traders."
"stzTtnDg7Dw","24400","33700"," This isn't just a small percentage of the traders that I talk to, it's a fair percentage."
"stzTtnDg7Dw","33700","34700"," The stats don't lie."
"stzTtnDg7Dw","34700","44760"," Most of the stats say that as low as 10% actually win over time."
"stzTtnDg7Dw","44760","47920"," If you're here to make money, if you're in the stock market to make money, if you like"
"stzTtnDg7Dw","47920","53720"," GME and you want GME to go up, there are ways to trade it and there are ways for you"
"stzTtnDg7Dw","53720","57160"," to always make money while trying to trade it."
"stzTtnDg7Dw","57160","61440"," So we're just going to start here on Spy."
"stzTtnDg7Dw","61440","66240"," You can make sure that you get yourself a platform that has charts."
"stzTtnDg7Dw","66240","70280"," Robinhood, you can make your trades there and I have made trades on Robinhood but I never"
"stzTtnDg7Dw","70280","72080"," use it for charts."
"stzTtnDg7Dw","72080","74840"," This is Webull, it's free."
"stzTtnDg7Dw","74840","86400"," It's almost as fast as the high-end brokerages, light speed, it's just almost as fast as light"
"stzTtnDg7Dw","86400","87400"," speed and it's free."
"stzTtnDg7Dw","87400","90000"," It's real-time market data."
"stzTtnDg7Dw","90000","92600"," So I'm going to use this one here."
"stzTtnDg7Dw","92600","97720"," The key is to make sure that your brokerage or whatever charting app you're using has"
"stzTtnDg7Dw","97720","104400"," actual charts with price alerts that you can be emailed or texted."
"stzTtnDg7Dw","104400","108840"," And Webull does offer that."
"stzTtnDg7Dw","108840","112040"," And one more first note."
"stzTtnDg7Dw","112040","117200"," There was a moment when I began trading where there was, in the beginning of my trading,"
"stzTtnDg7Dw","117200","125200"," I was making a lot of money, lots and eventually I started to lose a lot of money, upwards"
"stzTtnDg7Dw","125200","134600"," of $100,000 trades, $35,000 trades and I would stay in them and lose all of that money."
"stzTtnDg7Dw","134600","142840"," And I was so upset with myself that I stopped trading for a while and what I had to do was"
"stzTtnDg7Dw","142840","145760"," stop trading and come back to the basics."
"stzTtnDg7Dw","145760","151320"," And this is pretty much it, what I'm going to show you here is coming back to the basics."
"stzTtnDg7Dw","151320","159040"," And I exited all of my positions in my investments, exited all of my options and I came back"
"stzTtnDg7Dw","159040","160480"," to the basics."
"stzTtnDg7Dw","160480","162960"," So let's look at them."
"stzTtnDg7Dw","162960","166080"," And this is the spy here in front of you."
"stzTtnDg7Dw","166080","174040"," If you were to just start with this index, it tends to go in one direction over a lot"
"stzTtnDg7Dw","174040","175040"," of time."
"stzTtnDg7Dw","175200","182360"," Now it does sometimes go down over time, but it will stay in that trend for a period of"
"stzTtnDg7Dw","182360","183360"," time."
"stzTtnDg7Dw","183360","188960"," And you can still play that trend down on the up and down side."
"stzTtnDg7Dw","188960","196200"," But you want to find an ETF with high liquidity, many expiration dates, trends in one direction"
"stzTtnDg7Dw","196200","202600"," and it goes up and down a lot within that one long time trend."
"stzTtnDg7Dw","202640","206880"," And I always recommend the spy, especially to a new trader."
"stzTtnDg7Dw","206880","212360"," If you look at this chart here, this is a one year chart, and if you were to just put"
"stzTtnDg7Dw","212360","223920"," a major support trend line here over the course of the past year, you're going to see one,"
"stzTtnDg7Dw","223920","231960"," two, almost three, four, five, six, seven, eight, nine."
"stzTtnDg7Dw","231960","235560"," Let's say seven times."
"stzTtnDg7Dw","235560","241320"," If you had just bought this trend line seven times this year with a bull debit call spread,"
"stzTtnDg7Dw","241320","248040"," which are easy to learn how to do, you would have made, if you had done it with 20 points"
"stzTtnDg7Dw","248040","259320"," outside of the money or 200 ticks, you would have made anywhere from 1,100 or 1,000%, 2,000,"
"stzTtnDg7Dw","259960","262760"," depending upon the risk that you wanted to take."
"stzTtnDg7Dw","262760","267320"," You could just play this chart, this spy chart, this year, and you wouldn't have to"
"stzTtnDg7Dw","267320","269600"," play any other stock."
"stzTtnDg7Dw","269600","274840"," You could close everything that you have out there right now and just play spy."
"stzTtnDg7Dw","274840","277880"," And seven times you would have won."
"stzTtnDg7Dw","277880","278880"," You wouldn't have even lost."
"stzTtnDg7Dw","278880","281680"," You would have just won seven straight in a row."
