"start","end","text"
"23110","25230"," We'll have to see if this is any better."
"29000","33760"," So I'm setting up multiple monitors, and this is not working."
"35720","37740"," I'm gonna have to do a dual setup. "
"38140","49290"," Let's check"
"49290","60220"," on Tesla, check"
"60220","60680"," one too."
"61200","62740"," You guys have audio?"
"66890","67910"," You guys can hear me?"
"68130","69250"," There's no latency on this one."
"69830","74470"," I just changed the bit rates for the uploads. "
"74550","77750"," I went down right in FPS and the bit rates."
"77750","79390"," So I went from 2,500."
"79770","85650"," I think Joe Donut yesterday was saying that the uploads on the gigs, on the giga plan is not as"
"85650","86590"," good as the downloads. "
"87570","92670"," So I'm gonna have to do an upload test to see if my bit rate is set too high for"
"92670","93150"," this package."
"98070","100210"," Yeah, Joe, so oh, you're here, Joe."
"100750","102330"," I did not buy hood yesterday. "
"103030","104070"," I'm waiting for Friday."
"104430","105090"," I'm so cheap."
"106130","107170"," I haven't even checked it yet. "
"107630","112170"," I've been work, so I got this new internet program, but I think I had to go back in just"
"112170","122370"," now and reset my, what, my bit rate, and"
"122370","127330"," then a conversion between the streaming software and YouTube."
"132740","133660"," Let me look at hood."
"136450","138970"," I did not buy hood shit. "
"141000","143000"," I did not buy hood yesterday."
"143680","145840"," I'm so cheap, I wanted it like 15 bucks."
"148020","155800"," We talked about buying calls yesterday too on hood, that $16, and look at it's cranking. "
"157280","161580"," That's crazy, up 5%."
"165820","173360"," I do need the, you know, it's weird, so Henry, so I was discussing this morning with a friend."
"173900","175820"," I love that AMD Threadripper. "
"175820","185020"," Even the 1600, the AMD 1600's got a really neat little thing in it to stream on one computer, so"
"185020","189260"," I've got these two laptops that I wanted to dedicate to the stream."
"190700","199760"," What sucks is that their Intel Core i5s, eighth generation, but I've got two of them, so what I"
"199760","208400"," bought today was a, I bought a Delgado, so I'm basically running two GPUs"
"208400","211400"," together, I'm gonna sync them together."
"211780","213440"," It just, it hasn't arrived in the mail yet. "
"216560","221900"," So I'll run the streaming on one, basically I'm running a dual core computer, but I'm waiting for"
"221900","225260"," it to arrive in the mail because I'm running monitors off both."
"226040","235040"," I'm running BookMap, which is, BookMap runs off four gigs of RAM, and so I've got so much going on"
"235040","237700"," in this one processor right now, I need two processors."
"239040","244060"," So I got the Delgado coming in the mail, cost a couple hundred bucks, and what it does is they"
"244060","249260"," can bring, I can basically use two computers, one computer to run the streaming, and then another"
"249260","257279"," computer to run BookMap and the processing, the video. "
"264270","270170"," Yeah, so I was so cheap, I wanted, I wanted, I'm still waiting for it to happen, I'm still gonna"
"270170","275810"," wait for, I'm not gonna chase hood today, I'm gonna wait for hood, I'm betting on hood dumping into"
"275810","284090"," Friday, I should have bought the dip though yesterday on hood, and as a matter of fact, Joe and I"
"284090","291170"," both had calls on hood, and I sold mine early, Joe held onto his, and I think the original ones"
"291170","301060"," we had were dated for March for the ER run up, and I got a little too greedy yesterday, and"
"301060","309480"," you've got Tesla trading higher too, they're at 1080, they're crashing right into a wall right now,"
"312140","321680"," they've got a sell wall at 1079, but it's being consumed right now, and it's a really weird thing,"
"321940","326900"," because you've seen that we've got more sellers than buyers, and the Hero Indicator is negative"
"326900","328260"," right now, but we're going higher."
"328860","336740"," So, I wanna see what happens here as we're up here, and that your next level to above 1080 is"
"336740","344800"," 1100, and then I'll show you another one, especially if you're long Tesla, my assumption is that"
"344800","350860"," there's some really nice hedging coming into the market, you've got clear skies above 1100 by the"
"350860","356340"," way, so if Tesla does make a move higher this morning, you've got some clear skies, you could get"
"356340","368850"," some, probably have some shorts coming off this morning, so"
"368850","377610"," just like running a gaming rig, if you're running a gaming rig, so I don't have a game, so I've"
"377610","382750"," got two business computers that are, they're souped up for business, but I can tie both computers"
"382750","390830"," together like a gaming rig, so basically what I've been doing is running book map on one commute"
"390830","398390"," computer, and using the computing power to run book map and any other shit I wanna run, and then it"
"398390","408210"," sends it across the Delgado a live stream with low latency to the"
"408210","414470"," other computer that's running the other labor intensive stream labs OBS stream."
"416290","421450"," Because right now I'm running it all off, and then I've got monitors like monitors on the side,"
"421950","427310"," peripheral monitors on the same main rig, so I'm running like book map, I'm running stream labs,"
"427770","433690"," I'm running monitors all off one rig right now, it's just, it's too much for one rig, it's usually"
"433690","441790"," even too much for one gaming rig, so what you do is you just tie two computers together, and I'm"
"441790","445250"," just waiting for it to come in the mail, and the moment, the weirdest part is the moment that I,"
"445310","449850"," well not weird, but the moment that I am plugged my other monitors off this computer this morning,"
"450310","456690"," after I started to have frames freeze, I am plugged by peripherals, and it ran just fine. "
"457670","462470"," And there's no latency anymore, even on your end, I can see my other monitor for the YouTube live"
"462470","469530"," stream is just a few seconds, you guys are getting me like 20 seconds after I speak."
"478910","479790"," Yeah, no, that's badass."
"480330","486970"," So at this point, I had to decide if I was gonna get a new AMD, the, I think it"
"486970","491550"," was the 1600 or something, I was gonna be like, was it, am I gonna get a new rig, a"
"491550","494370"," new tower, or am I gonna just tie two computers together?"
"494930","501230"," Because these two computers alone cost me 1600 bucks each or something, so I'm already like three"
"501230","508030"," grand into these two computers, so I'm like, well, maybe I'll do is I'll put these two computers"
"508030","513049"," together, and just, I'll tie, I'm basically turning two laptops into a gaming rig. "
"519330","520870"," Yeah, you should see a rip today."
"521470","523310"," I'm more afraid of the front running."
"523550","528790"," The point is that you should see the market go higher today, but then it's sell down at some point. "
"529810","532330"," But I don't know if they're gonna front run it today or not."
"532850","536670"," There's real concern, this is real concern that this is still going to happen."
"538010","547830"," I got six monitors in my gaming laptop, it's AMD, but I did upgrade the"
"547830","548550"," RAM to 32. "
"553260","559740"," Yeah, so check out the Delgado, it's called the D-E-L-G-A-D-O, or ATO."
"561460","568760"," It's like this, and that's the other thing, so I've got a Sony camera I'm trying to hook up for,"
"568960","570960"," so I want to be able to take live video."
"571700","577520"," So look at all this stuff I gotta hook up, like I gotta hook up a Sony A600, or A6000"
"577520","584520"," camera, because I wanna do the live stream so you guys can see me, so I can talk to you"
"584520","585120"," from my office. "
"585860","592740"," So I've got that big camera rig, then I've got a microphone that is intensive, right?"
"594060","599320"," If you have the name of the microphone is, or the kind of microphone it is, but I've got this"
"599320","606980"," special microphone, that's labor, or that's GPU intensive, then I've got three monitors, then I've"
"606980","616980"," got just a loan, just book map alone, runs on four gigabytes of GPU, that's not even"
"616980","622720"," just the normal system processes, and I don't know what streamlabs runs off, but streamlabs sucks"
"622720","630780"," tons of GPU as well, and then I'm running other stuff, I'm running candlestick charts on Weebull"
"630780","637520"," that are up to the minute, up to the milliseconds, and then I'm running Thinkorswim for a volume"
"637520","642520"," profile, Thinkorswim's labor or intensive on the computer, I've got all this crap running in the"
"642520","649620"," background, so it's like I'm running like two or three video games, I'm running a bunch of"
"649620","659580"," different monitors and stuff, no, no, no, not front running OPEX, so OPEX took place on"
"659580","666440"," Friday, so what I'm talking to you about is that, so the week after we're still in OPEX in a"
"666440","671660"," way, because it's a quarterly OPEX, we still have hedging coming out of the market on the call and"
"671660","676040"," put side, so you have all these mechanics running in the background right now, right?"
"676820","684040"," And you've got volatility that could, there's a high probability of volatility coming into the"
"684040","687200"," markets between Friday and Monday."
"688420","694120"," The fear is that they front run it today or tomorrow, we also know that we've got a pin at"
"694120","704180"," 4,800 on the spy, specifically into Friday, and"
"704180","708860"," you've got hedging coming in, so you're watching right now, I don't know if you guys got flow out"
"708860","714840"," go, but you can see hedging flowing in this morning into the market, and if you guys are watching"
"714840","722560"," CNBC this morning, there was, there was this, matter of fact yesterday in CNBC, people were pumping"
"722560","729720"," up tech, people were saying that even though the foot was coming off the gas in terms of the Fed,"
"729720","734080"," that you can see our market healing, that was really bizarre."
"734620","741600"," You heard this morning, all the news about the Decepticon virus is, no one's getting sick, it's not"
"741600","747920"," as bad as they talk about it's weird, they're using the news to justify the market going up today,"
"748680","754280"," they're using the news to pump the market, probably grind up into tomorrow, but that doesn't mean"
"754280","758380"," that we don't, all these actions that are taking place should bring volatility in the market. "
"758920","759640"," It's almost guaranteed."
"761100","762880"," Now the question is, when does it happen?"
"763380","768260"," Does it happen today, does it happen tomorrow, does it happen Monday, and do you get caught in that"
"768260","769160"," volatility?"
"769860","775620"," So oftentimes what happens is, you get very bullish, we go higher, you're stoked, you're pumped, I"
"775620","782420"," do the same thing, and then in the overnight hours, we get this massive sell-down, and we don't"
"782420","787700"," know when that takes place, and if you get caught in that massive sell-down, you end up getting"
"787700","788520"," burned, right?"
"788960","790060"," Veritably you get burned."
"797240","800080"," We're seeing some real nice call structure coming in across the market. "
"800880","806560"," We're gonna take a look at, so Tesla's looking great right now, they're at 10.75, coming in at 10 "
"806560","815320",".80, the hood's looking amazing, I can't believe hood's up there, I'm so stoked that hood's up"
"815320","822960"," there, super stoked, Tesla's now only down by 10, I didn't be able to up a percent, plus two"
"822960","831920"," points, they're at 2.25, if IWM at any point breaks 228, there would be more shorts coming off to"
"831920","840440"," send it to 230 and above, RK is up 2 "
"840440","849220",".65%, which is insane, so shorts are being lifted on RK, GME's up"
"849220","857680"," 1%, snaps up 2%, SQ"
"857680","867530"," is up 2.74%, what's in, is Nvidia up right now, I'm hoping that Nvidia's"
"867530","877420"," up, Facebook's up 1%, Netflix's up 1.5%,"
"877980","887280"," XBI is up 2.24%, Peton is up 7%, Viacom is up"
"887280","897640"," 3%, TQQ up 1%, Nvidia's up 0.7%, it's okay, I"
"897640","898780"," wanna see what Amazon's doing."
"904170","913490"," Yeah, Amazon's a straight moonshot, it's at 34, 12.47, so if all these shorts being lifted, this is"
"913490","922410"," excellent for the market, and they're still trying to, so Rivian is up"
"922410","951210"," 4%, RIVN, they're a moonshot to 103, if"
"951210","955110"," you guys got tickers you wanna see, if they're gonna keep ripping, let me know right in the"
"955110","965080"," comments, give me the show Nvidia right now, see if Nvidia's"
"965080","978300"," gonna make an even bigger move higher, Nvidia's"
"978300","988260"," lagging slightly versus other tech stocks at the moment, do we gonna bring up, do we gonna bring up"
"988260","998710"," Neo4U next, if"
"998710","1007350"," you've got light resistance on Nvidia at 305, 310, 315, there's no real wall on Nvidia until 320,"
"1011160","1024670"," you've got massive supply here in Nvidia at 295, there's"
"1024670","1028270"," no, you've got nothing looking above until 320 on Nvidia."
"1033170","1035470"," All right, Hank, I'm gonna do these one at a time, okay?"
"1036569","1043089"," You guys have Nvidia, you guys can hear me, so Nvidia you've got supply at 295, and you've got of"
"1043089","1051930"," clear skies to 320 and 330, I'm gonna do"
"1054200","1071020"," MU next, because I know some of you guys are wrapped up in MU, I'll"
"1071020","1081040"," do, I'll check on AMD, Neo, I'll check on MU and Facebook, I'll"
"1081040","1083260"," check on UPSC, it's just gonna be just a minute, okay?"
"1083940","1120030"," As these things load, I gotta load these one at a time, it's"
"1120030","1130260"," gonna be just a second, got some loading coming out, got"
"1130260","1170090"," some loading issues, I still have loading issues, still having technical bullshit, this"
"1170090","1189400"," means the market is currently closed, yeah, I'm on DX feed right now, unsubscribe,"
"1189400","1202920"," unsubscribe, so we just bring one up here, MU, this"
"1202920","1204500"," book map is not liking. "
"1221850","1227030"," Not too much has changed this morning on MU, you've got supply still right where we are at 94,"
"1227890","1242130"," you've got a nice little support down here at, let me take a look at this, you've"
"1242130","1247190"," got support coming in right now in MU, it looks like a big support's coming in an MU at 93 "
"1247190","1257390",".21, same resistance as yesterday, same sellers at 96, 92, 97, your wall is still above at 100, I"
"1257390","1318820"," wouldn't sweat too much on MU this morning, it's"
"1318820","1337960"," always nice to see this right here, just ripping through sellers on Facebook, so"
"1337960","1346620"," Facebook, your walls are at 350, you've got some decent resistance, and then your next wall is at"
