"start","end","text"
"230","1009"," Before the film begins."
"6990","8150"," Check one to check."
"9790","15250"," This leader is provided to permit the projectionist to complete adjustment of focus and sound level"
"15250","16990"," before the film begins. "
"19670","21250"," See, this is so crazy."
"21770","28050"," I got no..."
"96880","98500"," That's on Twitch, huh?"
"114680","116100"," I think I get everybody up there."
"116200","117140"," Check one to check. "
"120580","121360"," Good morning."
"121800","122540"," Let me just take an air."
"122640","125680"," I can't hear some wonky that's going on the background there. "
"126500","127520"," All right, I can hear myself now."
"132160","133400"," Let's hear right into it here."
"133820","134440"," Let me just take an air. "
"134460","136020"," I'm a little behind this morning."
"136440","141340"," So just seeing the chairman and government policy paper for the EU Commission says they are"
"141340","145940"," abolishing the linking of electricity and gas price break to drop in company's profits."
"151820","153260"," I can just take an air. "
"176840","180180"," Still having some technical difficulties with this, the multi stream."
"180340","181220"," It's not quite working."
"187030","191250"," So if that's what you're saying, you're at your end, but you guys in the chat. "
"191630","193310"," September of 2023."
"193310","195610"," This was previously seen at five spot, four percent."
"196010","197110"," So again, fed swaps price. "
"197310","199550"," Again, peak policy rate of five spot, four, nine percent."
"199750","201910"," Again, September, sorry, 2023."
"203710","204610"," All right, good morning. "
"204710","205550"," How's everybody doing out there?"
"208870","209650"," So what do we got?"
"209870","211630"," So yesterday at the start with yesterday."
"212310","217410"," So yesterday we ended up tagging these two these two load numbers on the close here."
"217510","219970"," We ended up tagging the"
"219970","229710"," load number here,"
"230350","231750"," thanks, I appreciate it. "
"233310","236410"," So we tagged this into the close yesterday."
"237610","240410"," And we ended up selling off pretty deeply in the overnight."
"240890","246410"," I don't think it's showing here inside of pre or inside of spy, at least he has showed it"
"246410","246710"," overnight. "
"247430","252290"," We traded back up this morning and then sold down into the opening all this morning."
"252850","260350"," You see, anyone that would that hold overnight into the only pauses from in here."
"263500","265780"," So when you you know, you chase the whole down overnight. "
"266400","270580"," You've got es holders did quite well in the overnight, or they could have been trapped at some"
"270580","271240"," point as well."
"271600","277000"," And then this morning as well, you saw that we opened with no real, no real move into the market."
"277760","280920"," And there's an intent to want to unclench this market. "
"280920","282760"," So I was posting on Twitter."
"282900","289440"," This morning about the market trying to unclench that it couldn't unclench or didn't unclench"
"289440","295900"," during OPEX nor the end of month for the month of February and you're looking for that unclenching"
"295900","301160"," either in February or in the beginning of March sometimes you'll get it from March 1st until the"
