"start","end","text"
"214980","221440"," Market continues to be all about this number the 10 year ticking up a touch to 413 today, of course"
"221440","228500"," as to we got core PC He's sort of ratifying yesterday's data core 29 looking for three prior three"
"228500","233440"," two as the disinflationary trend of least in this country continues We'll get Kramer's mad dash"
"233440","408870"," count down to this final opening bell of the week in a minute"
"408870","413690"," Time for Jim's mad dash, of course, we can't get an opening belt a little more than seven minutes"
"413690","418170"," from now final trading session of the week We're gonna focus in part on American Express."
"418530","424210"," That's the subject of the mad dash their conference calls going on right now Extraordinary because"
"424210","430430"," the what I wanted from from Intel I got from much best Which is just a gigantic guide up and"
"430430","437570"," he's very good nine or eleven percent revenue growth 1265 to 13.15 I think that people might have"
"437570","442150"," felt that he was just going to do 12 I mean this and this is an extraordinary story of people"
"442150","451130"," going out again out to dinner 11% growth at restaurants and that's resi too by the way The you"
"451130","457110"," know, this is resonating with younger people a global network of cards over 140 million the points"
"457110","462190"," are so loved And you know Steve's comparing cash back which nobody really knows."
"462450","468230"," Hey, I got 1% cash back versus points Which by the way young people love they love points because"
"468230","472410"," then they use them to go take trips with and they get the little cars They're all excited. "
"473030","478490"," This is the juggernaut that should have been I mean the whole time Steve's been consistent, but"
"478490","481610"," it's finally getting credit But Stephen this move right here."
"481750","483810"," Well, that was because he said that October was weak."
"484050","489790"," It was really weird Because October was not but that move right there now they're talking about"
"489790","496510"," nine to eleven percent revenue growth for 2024 that's been accounted for as a result of that. "
"496630","501110"," Yes I mean this got the shorts going nuts and people thought that maybe this was the beginning of"
"501110","503170"," the end of this Incredible growth story."
"503270","507950"," It wasn't at all and Steve's just a very good look at the receipts But it wasn't that good."
"508290","516850"," He didn't mean to cause this this hoopla, but wow This is such a great story David And if people"
"516850","521929"," should know that if this was the broad story in other words if people want to buy something call"
"521929","524930"," And I were talking about like there's some things that are working away from tech. "
"525170","527130"," This is the best This is not the best financial."
"527390","531370"," It's really extraordinary and they're talking about as much charges aren't better But just thirteen"
"531370","536350"," dollars or a little bit more thirteen fifteen and earnings for this year So I guess you figure out"
"536350","541710"," your multiple there I think that this is a story that everybody can get the arms around because all"
"541710","546450"," generations seem to have come to this story I remember when the lake and we went was called"
"547590","549510"," Remember he was going without it."
"549690","551970"," Yeah, well, no one's leaving home without this thing. "
"552190","556830"," It's a remarkable time when say a PayPal There's this guy Alex Chris."
"557350","559750"," He was going to shock and loss with all these special things."
"559870","562010"," Well, David, you know He mentioned AI. "
"562630","564210"," This is an AI David."
"564490","574070"," This is business Chris Alex Alex Chris Alex Chris AI"
"574590","576190"," You can't just any time it in."
"576250","577490"," We don't want to speak in AI. "
"577870","762920"," Listen to and follow these walk from the street opening the podcast Jim"
"762920","767660"," mentioned American Express before the break Jim a couple of other things that we got out of the"
"767660","772840"," call One is their restaurant spend crossed a hundred billion for the first time and then they gave"
"772840","780460"," some multi-year metrics Over the last two years revenue up 40 and members spend Fx neutral up 37"
"781800","785460"," Extraordinary numbers, you know, but when I first saw it I was listening to Becky and she talked"
"785460","790700"," about it And I said to myself if I'm the Fed, I got a worry now We got this PC"
"790700","795380"," number which I thought was fine not that hot But and then I started thinking and I took you talk"
"795380","795700"," to Steve."
"796100","802480"," They are just taking a lot of share from everybody but people are They're in they're doing a lot of"
"802480","807200"," gordash, too It's not like they're taking out but the country seems to have changed in terms of"
"807200","812700"," where we buy and what we do I have McCormick one tonight, and they're not doing that."
"812820","813720"," Well, it's a supermarket. "
"814060","819160"," I think people just We got a shifter people don't want to make it."
"819540","825680"," They want to buy it and You're gonna see from America's best is very clear that they desire to go"
"825680","835540"," out It's almost insatiable T&E travel entertainment"
"835540","840120"," up 9 prior to 13 that was a little bit of a slow down thing But I just think this"
"840120","844640"," notion of what you're going to do at night has changed And"
"844640","854600"," that's definitely gonna help out the doubt and"
"854600","861980"," I'll be pushing pull between Amex and Intel on the 30, let's get the opening bell here and the CNBC"
"861980","867520"," bill time exchange and the big board it is crude oil shipper Oceanas eco tank are celebrating."
"867520","872840"," It's listing at the NASDAQ its bright spring KKR back Toman healthcare services platform"
"872840","877040"," celebrating its IPO Jim regarding crude. "
"877360","882980"," We're at the highs of the year right a lot of seasonal factors argue gasoline goes higher from here"
"882980","883380"," Right."
"883560","885480"," I I think he's attacked the USS Carney."
"885560","891200"," Yeah, I mean I've been a believer that oil held that said And it can go higher. "
"891440","892360"," Maybe even much higher."
"892960","900780"," I would say that the LNG Secretary Grant on the the decision to delay these plants and these are"
"900780","906760"," long-term projects You really can't do what the president did if you're gonna encourage long-term"
"906760","911260"," projects in this country now I totally understand look there's people I'm sure David has a view"
"911260","915280"," about whether or not if you put so much infrastructure for not gas if that doesn't help people"
"915280","919860"," naturally is But then there are other people who say listen energy security dictates that this is a"
"919860","925400"," good thing because Russian was 80% of the supplier of that gas to Germany And then it cut to"
"925400","931360"," 20 but this this cause of approval has shocked people who are spending fortunes building these"
"931360","936900"," agree I agree that there's a lot of business models built built on built on the idea of increasing"
"936900","941900"," exports And obviously these are the export terminals that we're talking about that would go"
"941900","946320"," potentially all around the world Yes, it's amazing what the Germans have done by the way In terms"
"946320","951820"," of building the import terminals they needed to in such a short amount of time to help them take"
"951820","958180"," that gas off of ships Instead of it being piped from rush obviously, which is no longer happening."
"958180","960220"," Oh, you're sorry And this is gonna backfire again. "
"960360","965360"," I don't want to be political but I follow the rails It's just gonna be a CSX is a buy"
"965360","970860"," off this Norfolk Southern is a buy off this because what this does is they just pivot and go to"
"970860","972440"," coal I mean, they don't pivot."
"972780","974380"," No, I don't know if it's on this quarter."
"974440","977600"," I'd be careful But I see it's actually I thought was to a good quarter I thought you'd be civil"
"977600","983780"," school quarter, but you just it isn't like they're gonna pivot if you ever heard the German's"
"983780","986260"," rappled solar It's really interesting. "
"986400","987360"," Tell me give me the rap."
"987660","996360"," It's not very sunny 29% of the time is sunny It's not really only 29% So like they're"
"996360","1002320"," kind of stuck and it's not they want to pivot to solar it would be great But and they say"
"1002320","1004200"," pivot to heat pumps, which is very positive."
"1004340","1007260"," That's something that carriers buying But then they change the subsidies. "
"1007800","1013140"," I just think that I don't know who the president was advised on this But they needed they're a"
