"start","end","text"
"45300","46580"," Oh, yeah, baby."
"47640","49220"," I can see some of you out there."
"61640","62960"," Let's see, we're doing here. "
"65140","74860"," Sort by Ndist, Save, Subscribers, any duration."
"75940","76300"," Good one."
"76400","77200"," How y'all doing out there?"
"79540","81200"," How y'all doing out there this morning?"
"82500","84460"," How y'all doing the new rig over here?"
"86480","88460"," You need a quick second here. "
"92710","95930"," All right, give me just a quick, quick, quick second here."
"99590","109240"," Oh boy, link copied to y'all doing well out there."
"110640","112560"," Let's get rid of the mainstream real quick. "
"112560","118380"," Now, there's probably going to be some wonkiness going on this morning."
"118660","120940"," I tried to set everything up in the middle of the night last night."
"123240","128360"," And as a matter of fact, none of these numbers here are right, so bear with me at this point. "
"133220","134820"," And we'll work right on it."
"134880","137340"," We'll work on it here with you in just a moment."
"138560","140120"," So can we just a second here?"
"140120","144740"," I'm going to try to pop up on FinTwit and post the stream. "
"153360","161480"," They're like, oh man, oh yeah, woohoo, what's up brother, her sister, whoever, spy, Tesla, SPX,"
"161880","164760"," ESF, whatever else we got in there."
"165040","165680"," How y'all doing?"
"166140","172180"," I had to break down in the middle of the night last night, and I was like, I'm like, I"
"172180","175540"," can't go not streaming right now, I'm like, I need to back up a system anyways."
"175540","176040"," I guess. "
"177180","180600"," But I am, my soul is slightly crushed at this point."
"182320","186700"," So let's start, but before we get too far into it, I'm going to small my camera looks over here."
"187620","189320"," You guys can't see me up there, can you?"
"190280","191540"," Let's see if he makes it a little bit bigger. "
"195150","196790"," And I'll try to come in and say hello."
"200820","209500"," Let's see if I can bring that up there, and I think you guys can at least see me."
"210720","215460"," Okay, so just for the moment at least, right, I'll make this small here in just a minute, but I"
"215460","216600"," don't want to fuck around with it too much. "
"219180","220580"," All right, this is good enough for now."
"220920","223000"," Okay, so we have some stuff to talk about this morning."
"224180","230380"," So let me go through some stuff with you, okay, forget about all this right here. "
"230480","234780"," We're just going to take a quick look right here."
"237740","245200"," Now, just as we get started here, so I see here, okay, I'm going to show you something here."
"245960","250260"," We just came up, I don't know if I ever have my tool here. "
"250260","253960"," So you're just going to, I'm going to put a tool up here in just a moment, but until I"
"253960","258000"," do, let me see if I can, yeah, you know, in the background, I'll bring a tool up here in"
"258000","261220"," just a moment, but just follow my cursor as the goat would say."
"263780","270600"," So we did sell down, this is a, this is a, almost like a three trigger combination here."
"270780","271780"," Same thing right here, okay. "
"272540","278720"," So we trade it below our one minute and our five minute, we try to blow this green line right"
"278720","279100"," here."
