"start","end","text"
"41350","44690"," Yeah, I don't know why I got a lot of you guys listening right now."
"45870","49510"," I got kicked off, but I don't know why I got kicked off."
"51230","61270"," Probably somebody reported the videos, if I had to guess right, so"
"61270","69070"," it was saying on my end that I was still streaming, and on my end it was saying I was"
"69070","69870"," streaming still. "
"70490","75970"," Let me post this on Twitter, hold on a second, let's share this one too."
"82530","83810"," So when did it cut out?"
"84010","85370"," What time did the stream stop?"
"87010","91310"," So I probably got somebody probably reported me because they were stinky about it."
"101610","110750"," No, it's nobody complaining about DMCA, there's some, there's some fair use stuff out there. "
"116720","117840"," Yeah, so here we go."
"118020","128740"," Here's that fucking rip for you, pump it higher, pump it daddy, pump"
"128740","129220"," it for daddy."
"131440","137380"," Yeah they love selling their shit out there, they love selling, they love that I pump it for them"
"137380","137620"," too. "
"137620","144360"," You got dang rag ripping, they love when you're selling, they love that you, and you know what the"
"144360","151420"," worst part is, right, I can contact them and they would give me probably the shit for free for"
"151420","155440"," selling, selling doing this, you know, bookmark, bookmap does this with people."
"156100","165980"," All these services want you to pump their services because then you go out and buy them, you end up"
"165980","170800"," getting it for yourself, they know what it means, slap that ass baby, push it."
"171940","177120"," They like when I talk about, they like, if I say spot cam at 10 times in a day, Brent,"
"177780","182320"," Brent Kopachal is probably over there just banging stroking himself because he's getting free"
"182320","188480"," advertising, bookmap is stroking themselves because they know you're going to buy them so I look at"
"188480","194620"," Tesla and other tickers, Flow Algo knows that they have all got all kinds of other information out"
"194620","196820"," there so you'll be listening to them and that kind of stuff. "
"199160","204400"," So don't channel from the trade the news broadcast network, if you are hearing this message your"
"204400","207640"," sound card and network configuration, that's we're good to go."
"209980","217200"," So the key being is, yeah don't be panic selling today, I know it pissed people off just more than"
"217200","217660"," that's fine."
"217880","223260"," So I don't know why the stream ended, why I got kicked off stream, someone probably got pissed off"
"223260","226320"," and reported me or like four or five people and they're all but hurt. "
"226820","231780"," And now they're all but hurt that their fucking puts are getting crushed, I'm going to post that on"
"231780","252700"," tour, I'm going to post a lot of second, there,"
"252880","262460"," fuck your puts, there you go, yeah see so John Alexander just says to your point to have on"
"262460","263240"," bookmap now."
"263600","264740"," So here's the key, right?"
"264920","268960"," I don't pump anything to you guys, I don't get paid by any of these companies."
"269520","275060"," I don't receive this stuff for free, I pay for my shit and they're getting free advertising from"
"275060","275280"," me. "
"275640","279280"," So there should be no issues out there or complaints from them, there should be no fucking"
"279280","279620"," problems."
"280320","285780"," This has more to do with pissing off a group of people that are setting their ways and then when"
"285780","289740"," I piss them off they're going to report my video till it gets taken down or I catch a strike,"
"290200","297240"," fuck them, fuck them, I don't give a flying fuck, I honestly don't, I'm not losing anything here, I"
"297240","303420"," don't lose anything out of this deal, I don't deal with churn, I don't deal with like losing"
"303420","308460"," subscribers, I've got, I've got an offsite website, if you guys ever seen me get kicked off Twitter"
"308460","314960"," or YouTube, I have an offsite website that Joe donut helped me with, he's hooked me up and I've got"
"314960","317020"," chate and just helped me up with another website."
"317020","322140"," So don't ever worry about this, they can't take shit away from me, I can do live streams on my"
"322140","327860"," own website with my own streaming service, my own video player, so I can get this stuff to you all"
"327860","333860"," I want, there ain't nobody that's going to fuck with Captain Jim James, nobody can lick my balls"
"335430","347000"," for the"
"347000","352000"," people all day, every day forever, that's what it always will be, it's always what it was, it's the"
"352000","357860"," only way that I can live with myself, I've got a wife, I've got two daughters, I have two dogs,"
"359480","367520"," you know like my life isn't built around being an asshole, so the only time you hear me freaking"
"367520","373260"," out is because it hurts man, I don't want to be hurt, I don't want people out there, I don't,"
"373460","379480"," I get hurt because I take that shit personally, you know, I take that, that, you know what it is,"
"379580","385260"," I take personal, it's like when I was young right, you're in high school, this is a good story, so"
"385260","389460"," you're, so we're setting up right now right, getting back to this, you can see here a little bit of"
"389460","397600"," resistance following my cursor, 369, 373, 71, you see the calls coming in right now, $1.3 million,"
"398260","403120"," watch my cursor up here, right, you saw that spike, calls coming in for a couple million dollars,"
"403400","407960"," it's giving that push up to the market, right, so you got two things working for you and sometimes"
"407960","413060"," against you, new hedges will come on and push it down, but the two things in your favor is any"
"413060","419280"," longs coming into the market on this OPEX and the expiry of huge puts today should help you out,"
"419360","424020"," the dealer should help you out today on this trade as we go along the rest of the day. "
"424600","429400"," Now the story from when I was a kid, when I was young right, I was a good looking guy,"
"429520","433720"," I'm an older guy now, you know, I could admit that right, but I'm not some, you know, not a"
"433720","439060"," offense of your fatty broken down at your older age, but I took care of myself, I ate the right"
"439060","446800"," foods, I only did drugs and didn't drink, but you know, I played sport, took care of myself, ate"
"446800","451320"," healthy, lived a healthy life, but when I was a young guy, I was in the military, so I was"
"451320","455800"," always in shape required to be in shape, but when I was a young guy, I was a good looking"
"455800","463620"," guy, I had a nice affable personality, I attracted all kinds of girls to me, so I had like good"
"463620","471380"," girlfriends and bad girlfriends, and when you're young, you end up attracting sometimes crazy, when"
"471380","475700"," you're when you're dicks thinking for you, when you're dicks out there thinking for you when you're"
"475700","482160"," young, I'm going to lose this real quick here, okay, I want to make sure that this is lined up"
"482160","482680"," to where we are."
"483380","489480"," When you're dicks thinking for you, when you're the wrong captain is thinking, you know, if you're"
"489480","492240"," a woman and you're listening, right, put some air muffs on."
"494100","502500"," So when you're, yeah, look at that TQQ calls coming in, you can see right here, we're getting a"
"502500","504780"," pump in the market, we should trade up higher to this 371. "
"506520","514059"," So when you're, when you're a young guy, even when you're smart, if you have testosterone run"
"514059","519059"," through, through you're like crazy, you're like, wow, I want to, I want to get with that girl over"
"519059","519260"," there."
"520140","523400"," And that girl's typically really hot, or whatever you consider to be hot."
"525060","530240"," We don't know is that, we don't know is that that girl's probably fucking crazy. "
"530940","532820"," Not all of them, but a good percentage of them."
"534200","539000"," The ones that are like focused on how they look, not the ones that are just naturally beautiful,"
"539300","542160"," even you know, girls that aren't that beautiful, but they're just kind of natural."
"542900","548020"," Care more about their friendships, care more about their experiences, care more about learning,"
"548680","551320"," care more about living a great life. "
"552160","555800"," That really didn't matter when I was young, I was like, I want to fuck the hottest girl in the"
"555800","556000"," room."
"557100","558440"," I shouldn't have been like that."
"560640","561700"," Because that attracted crazy. "
"562280","568300"," If you mark seven catching a bid, the last year, that's that now two and a quarter percent S&P"
"568300","570220"," up almost 1%."
"571380","575160"," Well, the same thing I applied that same principle and concept to the stock market."
"576320","579800"," When you're a new trader, you attract crazy and you like it. "
"584420","588640"," But as we become an older trader, you calm down a little bit."
"589600","590840"," Let me try not to attract crazy."
"591220","598540"," So when crazy comes into the picture, you're like, you're more apt as you get older to be like, hit"
"598540","599920"," the fuck God out of here. "
"613330","615770"," Wiki's like, I don't want to do this all day long with your cap."
"616270","618190"," He's like, he's like, this day sucks."
"618470","619170"," It does suck. "
"619270","620070"," This is just like yesterday."
"621610","623030"," Like yesterday is trading day."
"623170","626630"," When I woke up, well, you hear, look at, um, let's look at yesterday real quick. "
"629250","630690"," So like yesterday, right?"
"631290","638900"," Man, yesterday, let's say yesterday real quick."
"641770","646690"," So yesterday, sorry, I cleared this entire chart."
"647270","649730"," So yesterday we closed this, we closed this on Wednesday. "
"650230","652270"," I was like, I'm closing my calls here or something."
"653450","655390"," I was like, don't pick any overnight calls."
"655390","657370"," I'm probably going to trade down at some point tomorrow. "
"658190","659370"," Oh, this is the wrong one."
"659450","659930"," That's XLF."
"660830","661850"," That's why I didn't clear it out. "
"665480","667060"," Yes, I think this was right here."
"668100","669660"," Matter of fact, I even left it a good thing."
"669680","670300"," I didn't clear it out. "
"670480","674800"," So remember when I said to you on Wednesday, I was like, I was like, I'm probably going to come"
"674800","677360"," down here tomorrow at some point and test this level."
"679060","680140"," And we did, right?"
"680300","682360"," But we did it overnight, which I was stoked at."
"682480","684440"," I was like, so we woke up on Thursday yesterday. "
"685000","687280"," I was like, I'm not fucking live streaming."
"688320","692040"," I'm like, we woke up to this instead of trading down to this on Thursday."
"692740","695820"," And of course, probably going to go to this lower low, this S2, right?"
"696020","698200"," We talked about this on Wednesday, predictions, right?"
"698460","699300"," Crystal fucking ball. "
"701040","702060"," And then we did, right?"
"702260","703400"," This Thursday was brutal."
"703740","704360"," Like watching this."
"705080","706140"," I was like, I ain't doing this. "
"706920","708000"," I was like, I'm not trading this."
"708220","709380"," I'm not even buying any puts in here."
"709500","710880"," I'm like, I don't even want to sit here. "
"711280","717260"," Because you really literally have to buy like a put spread here and hold it until, I don't know,"
"717260","718820"," and we're kind of doing that same thing now, right?"
"718920","721220"," We get that little dip down below here, right?"
"721380","724780"," We actually tagged yesterday's Vwap."
"724940","725960"," You can see it right here."
"726040","734020"," My cursor tagged that nice Vwap, came back down for a support buy, traded right back up here, and"
"734020","735380"," right back up here right now. "
"735700","739560"," And that's what Winky's talking about is like, Mark, he's like, Mark, Winky, Winky wants like,"
"740200","749100"," Winky wants this, Winky's like, I want this, this, this, and this, the clothes, and they're"
"749100","749960"," dragging us out here."
"750480","753420"," So if they drag us out here today, let's say they drag us out here today."
"755020","757540"," And they're like, let's say they're like, fuck you, we're not doing this. "
"759140","765220"," We're not going to deliver a three cooperation under three count of parties taking 2.29 trillion."
"765680","769120"," Let's say we're going to drag this out here, right?"
"769860","773440"," And they're like, we're not going to spend all this put gamma today."
"773920","774680"," Well, that's, that's fine. "
"774680","777260"," It's a fresh record in the university for operation."
"777580","780500"," If we don't get it today at some point to the close, I think we get it in the close."
"780520","782180"," I think we're going to rip the fuck up in the close. "
"782480","788480"," But if we don't, what we're going to get is we're going to get an ass blaster 3000 over here"
"788480","789820"," on Tuesday."
"791560","797340"," Now, if this is what happens, if this is the outcome, and let's say we close, let's say, let's say"
"797340","800960"," the bears like no cap, we're going to close it way down here."
"801400","801880"," That's fine. "
"802740","803800"," How do you deal with this?"
"804060","812080"," You just buy some fucking three week calls, or you buy some call spreads in the money down here for"
