"start","end","text"
"5300","7440"," I failed to post the tweet."
"10840","12260"," Are we actually live or no?"
"15490","16670"," This is really weird."
"20570","21970"," Can't tell if we're live or not. "
"51810","55880"," It's really weird."
"57660","58520"," Okay, let's find out."
"58780","59960"," Can you guys hear me out there?"
"60140","64880"," Because I think I keep thinking that I have a little second here. "
"64880","71200"," I keep thinking that I have, on my end, on the video side of my stuff, it's saying that I'm"
"71200","76460"," having failures to connect around."
"76680","77260"," Good morning, everybody."
"77980","78580"," Hang tight here. "
"78640","79720"," I've got to take care of some trades."
"140490","141190"," All right."
"141390","142970"," We'll get to start here in just a second. "
"144190","147550"," I've got some put spreads out there and some puts and some other stuff."
"147550","154070"," And I've got some zero to eight calls and a bunch of put spreads heading today."
"154510","156890"," Now we do have a lot to talk about this morning. "
"157870","159690"," So we're going to talk about it now."
"171160","174360"," And the implications specifically to what happened this morning."
"175260","203240"," Now last night's in, what is going on with the, all right,"
"203260","205060"," so let's talk about some stuff this morning. "
"205760","212700"," There are some implications for this move down this morning that we touched upon briefly in last"
"212700","213380"," night's broadcast."
"213800","219200"," First thing I want to talk to you about is that the banks had closed shorts on Friday."
"219980","229880"," Further, they had taken out puts down to the 420 level and"
"229880","237280"," with a magnet to 428 expiring on February 18th. "
"238740","240120"," There were also hedge funds."
"240180","246080"," We noted this in the video last night that there were also hedge funds that pulled or purchased a"
"246080","252440"," lot of call flow expiring this Friday on the market as well."
"252740","257980"," It was much smaller call flow than the put hedges down to 420. "
"263350","266990"," But with that said, the move down."
"266990","270650"," We could have, last night I showed you the SPX cap."
"271370","273430"," Let me take a look at that real quick, it was a matter of fact. "
"275250","278830"," There was a cache gap to close down on SPX."
"280190","282370"," I want to see that before I keep back in here."
"284790","288430"," Just make sure that we are below that cache gap. "
"294060","294780"," And we are."
"295000","295100"," Okay."
"296000","302280"," So, there are implications for where we are in the market right now. "
"302940","308900"," There is, hold on here guys."
"312400","322340"," So on Friday and all last week, the put gammaw was down around 420 and"
"322340","329500"," there were major hedges taking out a 428 that were supposed to expire on February 18th or are"
"329500","330980"," expiring on February 18th."
"332440","340780"," There was also small call positions put out in the money on Friday that expire this Friday. "
"343080","351000"," Now the damage that's been done this morning on this open does open the door"
"351000","357180"," to a move down to 406 or so, 405."
"360740","368140"," Now this morning we have to pay attention closely to any new flow that comes in and how soon that"
"368140","368700"," will happen."
"369480","375880"," Now the last thing I left you with last night was the real problem for the marketplace is a sense"
