"start","end","text"
"14900","24710"," I'm Mike Jack 1-2-3, Mike Jack."
"40810","42270"," Jack 1-2-3, Mike Jack."
"42270","60960"," Jack 1-2-3, Mike"
"60960","62380"," Jack. "
"73930","75550"," Having some streamlabs issues."
"76490","78070"," Having like internet issues this morning."
"78070","89840"," and on"
"91060","99280"," there we go sweet let's go right into it. "
"100800","101820"," Man, it's fun and flexible."
"102140","102880"," I live in Jacksonville, Florida."
"102880","104420"," I think that's Portland and San Francisco here. "
"104980","105520"," North Florida."
"105740","107440"," We got a little bit of a bleed coming out right now."
"107600","108380"," Liquidation is right. "
"108560","112440"," And it's the latest Republican-speaking nomination ahead of the floor vote."
"115180","118200"," North Florida, Springfield and Urbano High are cheap."
"122400","128120"," I wrote saying I might just buy some land, so it'd be open to land and Maine as well. "
"129680","132480"," I just went and did a family reunion in Maine."
"133120","135080"," There was no easy way to get there."
"136760","137900"," We had to like fly it. "
"138000","140640"," We had to fly in a Boston and then rent a car and drive."
"140640","143020"," Where we were going was like another seven or eight hours."
"143460","146820"," Because the coastline is so huge in Maine. "
"147240","148540"," Beautiful in Maine, by the way."
"152420","153680"," Let's take a look at this."
"154060","155360"," Nothing down there, right?"
"171380","173360"," Got the first cross right here. "
"174420","176420"," See that first cross right there?"
"177560","179480"," Looking for a second cross right now."
"179540","180880"," You got that one right there."
"180880","181460"," See the cross?"
"183860","186080"," Looking for another cross right here. "
"186420","188860"," Do the downside, baby."
"202260","205700"," The last four are saying private prices are so high."
"206740","208300"," South Texas versus cheap. "
"208580","210980"," Yeah, I was at West Texas still pretty cheap in some place."
"211340","212020"," Yes, no."
"212520","214640"," West Texas used to be really cheap. "
"215620","218500"," I was looking at some properties in Texas recently."
"219740","223800"," I was talking to Joe yesterday about Tampa, but he used to be cheap and it's not anymore."
"224600","231400"," I wrote saying he drove to Maine from New Jersey. "
"231640","234460"," He took up 12 hours in a Tesla to 12 hours to get up there."
"235040","235780"," Yeah, I like Maine."
"238520","240640"," And Tory housing crash from a baby. "
"240860","244180"," So way down Airbnb is keeping the market record housing is being built."
"244900","246200"," Yeah, I agree with that one too."
"254760","258019"," Chase Winters saying dump this garbage down to 415, then 400. "
"259540","260560"," Yeah, I don't see 415."
"260820","261440"," I see 410."
"263000","264880"," There's a big giant gap down here too. "
"264880","265540"," Do you see this gap?"
