"start","end","text"
"16940","24520"," Good"
"24520","31560"," morning, Ryan."
"34760","36200"," Good morning, Jay."
"37000","38980"," Good morning, your wife's boyfriend. "
"39640","40540"," Good morning, biggie."
"40780","41440"," Good morning, cowboy."
"42240","43480"," Good morning, Eric. "
"43780","45660"," Franklin, P.D. Carpenter, Brad."
"45920","46280"," Good morning."
"48200","49100"," How are y'all doing?"
"51640","55100"," Good morning, everybody. "
"58890","59450"," Good morning, Dylan."
"59630","60750"," Good morning, Franklin."
"61690","62610"," P.D. Carpenter, Casey. "
"63970","66110"," Good morning, R.S. Good morning, Jafar."
"66110","67290"," Good morning, Paul."
"68030","69110"," Morning, Casey. "
"69350","69510"," Ben."
"69970","71650"," Good morning, Branks."
"71830","72270"," Real sport. "
"72990","74090"," Good morning, Jake's."
"74390","74930"," Jake, you."
"75050","75810"," Good morning, not a suit. "
"76310","77530"," Good morning, Richard."
"79490","81310"," Good morning, top of the morning."
"81510","84210"," Happy birthday to Joe Donut. "
"84990","86290"," Good morning, Lone Wolf."
"86730","87310"," Good morning, Nick."
"87750","88210"," Chansu. "
"88670","93050"," Casey, Z.O.G.E. Chris, where were you from?"
"93050","94890"," I don't know, I'm fisted out of Henry."
"95570","96510"," Good morning, everybody."
"98210","99390"," What are y'all doing this morning?"
"101090","102030"," Good morning, Adam. "
"102710","105870"," Good morning, Eustery."
"106650","107410"," Good morning, Al."
"109910","111050"," Everybody's doing well this morning. "
"113370","114030"," All right."
"114310","115330"," We're gonna turn this piece up down."
"117070","117950"," Good morning. "
"118270","119330"," Good morning, Dana."
"120570","122130"," Good morning, little big bear."
"123670","124790"," All right, we're gonna switch it over. "
"127430","128430"," Good morning, Eddie."
"128650","129169"," Good morning, AK."
"129570","131050"," Greetings, Euro Boomer. "
"132010","132790"," Everybody's doing well."
"135590","136970"," Okay, yeah, let's talk about that."
"137250","137530"," Beth, Beth. "
"138990","140390"," We, good morning, San."
"141530","143770"," Okay, we have to talk about something real quick for the start of this morning."
"143910","144750"," Okay, we only got a few minutes. "
"145750","146550"," It's important to talk about this."
"148410","150570"," We need to get this off the table here."
"150850","151330"," A couple things. "
"151730","153070"," We are coming into FMC today."
"153550","154310"," Good morning, Patrick."
"154750","156050"," Good morning, Quantum Leap. "
"156710","157410"," Good morning, Kari."
"157550","158190"," Good morning, Mihai."
"158670","159230"," Morning, Eric. "
"159950","160910"," Morning, Josh, brother."
"161810","162330"," Azul, Blue."
"163290","163870"," Autopaca, too. "
"164170","164890"," Frederick, in light productions."
"165710","166750"," Good morning to everybody out there."
"166930","168350"," Hope everybody is doing well this morning. "
"172520","173380"," Good morning."
"174840","175860"," Good morning, MB."
"176420","177780"," Hope everybody is doing well this morning. "
"178780","180900"," So, we have a little conversation here this morning."
"180900","182200"," We'll keep this real short, okay?"
"184140","185680"," The ban hammer is out."
"188380","189440"," Good morning, Jason. "
"190420","191500"," So, I'm going to leave it at that."
"191860","193540"," I'm not going to discuss it again at this point."
"195340","196460"," The ban hammer is out. "
"197880","199440"," Now, for the rest of you out there."
"201680","202720"," Good morning, Michael."
"202720","206260"," I can't have poisoning inside the stream. "
"206280","207400"," So, I'm going to leave it there, okay?"
"208080","209980"," Now, we have to talk about something this morning."
"211400","215320"," I want to show you guys a couple things critical to get this information out to you, okay?"
"216340","218180"," I want all of you to remember a few things."
"218520","220060"," We called this turn above here, okay?"
"221320","223500"," We rode this rip up together here. "
"224320","225980"," We called this turn down here."
"227440","229520"," I remember when we were down here around 460."
"230260","232200"," Everybody said it was going up. "
"233500","235580"," We traded this up and down and up again."
"235600","237440"," We traded this down, right?"
"237640","240080"," We traded this down over here and this down over here."
"240400","244420"," I want you to remember that no one thought it was going to 450. "
"245020","248940"," There was a few, I think Master Wu and Twitter thought, 450 and we're done."
"250000","252360"," We were talking about going lower to 4400."
"252700","255640"," We were talking about going lower to 428. "
"255640","263060"," We talked about going down to 420 and as we got down here, we talked about going down to 409,"
"263400","266220"," 410, 418 somewhere in there."
"266700","269780"," One last move down here while no one was talking about that."
"272600","274400"," Now, I have some issues. "
"275580","279780"," So, when you go down this much, damage is done."
"280540","286920"," But also at the same time, like calling the apple top at 190, if you trade up to 186, that's"
"286920","287380"," good enough."
"289260","292540"," Another thing is that the market can change at any time. "
"293020","300960"," During one of these moves down here, we were supposed to snap back trade up at that time to roughly"
"300960","302300"," 4550."
"303780","305820"," You know that did not happen, right?"
"308520","313220"," Everyone stayed long in here because they were told we were going up and we did not go up."
"313400","313880"," We were rejected. "
"314600","315640"," We came back down."
"316040","318460"," This could have been the test down here."
"320160","321660"," One and two. "
"322580","329800"," Now, it is most certainly, but the bears still think, right, and I still think to an extent that"
"329800","333500"," the test is we come up here, we reject and we come back down one more time."
"335140","337500"," Okay, and this is still on the table here."
"338040","339720"," I need you to understand that. "
"342580","351760"," Now, there was a trade last summer at some point in 2021 that we did not do this retest"
"351760","354680"," and we just traded higher."
"355100","356680"," It was a very similar setup."
"357100","358700"," So, why don't you guys understand that?"
"360600","363500"," As we get into today, there's a few things going on. "
"363500","366780"," Typically, with the FOMC, they will still pause the market."
"369000","371580"," So, we could trade just sideways off the bell here."
"372080","375640"," Now, I want to tell you guys to buy my calls off the bell here today, but I'm going to"
"375640","376400"," be honest with you. "
"376860","380280"," There is a fair chance off the bell that we don't trade higher."
"380720","385740"," We could wait to trade higher to this major resistance above here."
"386620","391000"," Later in the day, we could come off the bell and just do this kind of nonsense and boom. "
"391500","394160"," We could come off the bell and trade up here, right?"
"394440","397020"," Then trade down into the two o'clock hour."
"397400","399800"," We could come into the bell and just blast right through here."
"401160","406240"," Before we come up here to this area or just slightly above, and if we have any bad earnings, trade"
"406240","409060"," back down and do this retest way down here. "
"409420","412120"," We could even trade above here and come back down next week."
"413200","417840"," After all of the big tech is done reporting."
"418960","420280"," So, keep that on your plate. "
"420780","425540"," And like always, we talk about trading to the level, right?"
"426060","430440"," Getting out of your trade and then picking it up once again if it continues on."
"431280","436260"," We don't ever talk around here about going short here, right?"
"436880","442880"," Diamond handing it, holding that short down here, diving handing it, going short down here, diving"
"442880","447660"," handing it, going short down here, diamond handing it, and then going short down here."
"447980","452740"," And if we don't do this one last through, this one last breakthrough, you know, if we end up"
"452740","457520"," breaking above here, here, and here, you come on my channel and blame me. "
"459480","460980"," I don't want to fucking hear it."
"463160","463680"," Okay."
"464780","466880"," Because this happened in March two. "
"467140","472880"," And when this happened in March 2020, I do remember people just continuing the diamond hand."
"472880","480880"," The talk, the bear talk got so unreal that we were told that the market was crashing, right?"
"481200","485520"," And meanwhile, everybody's moved on and you're the only ones sitting there holding the bags."
"486060","487720"," So, this is not that channel. "
"488100","489620"," This will never become that channel."
"490200","492460"," If you want that channel, you need to go elsewhere."
"493680","494100"," Okay. "
"495240","496300"," We can't have it."
"496460","498640"," We can't have it for a reason, okay?"
"498640","504720"," Even if you're committed to a viewpoint on the markets, if the market decides it's going somewhere"
"504720","507680"," else, this is not how you ever trade it."
"508080","510020"," You take your profits and you move on. "
"510360","512120"," You take your profit and you move on."
"512580","518760"," There was a time that you could trade this market where, directionally, you could almost guarantee"
"518760","520880"," it was going to where you wanted it to go."
"521280","525500"," These days, too many people trade this market and it never does that anymore. "
"526400","528060"," You have to be a quicker trader."
"528500","532080"," You have to be a quicker investor until it hits your price target, okay?"
"532620","536260"," And you can't stay in your price target if it's close enough."
"536780","537620"," Does that make sense?"
"538920","544780"," I want to make sure that that makes sense because there is a lot of pollution out there on the"
"544780","550220"," Internet telling you that, let's say we come down here, right?"
"550760","552360"," And we only got to this point. "
"552360","557740"," If we make this breakthrough here and start moving this way, there's a lot of people on the"
"557740","562480"," Internet that's going to tell you, well, you have to stay in that short because that's your thesis."
"563480","570080"," You, even though you have your thesis and your plan, have to always adjust to what's actually"
"570080","570660"," happening."
"571600","572660"," Be conscious of that. "
"573060","575000"," This is where people get burned."
"575480","576340"," They get burned here."
"576960","579300"," They get burned here, right?"
"579300","582580"," And bulls get burned up here, okay?"
"582640","587720"," So if we're bullish here right now, we know we're going up here right now, bulls can get burned"
"587720","593660"," here just like bears can get burned saying, we have to go to for a wait or you were wrong,"
"594160","595280"," okay?"
"595720","598560"," So I need you to understand that you always have to be nimble. "
"598980","601300"," You always have to be able to take profit."
"602060","609300"," And the last part is that if you're trading naked, calls, right, which is a bearish position here,"
"610640","618000"," if you're naked and you're single-holding diamond-handing anything this way, if you were diamond "
"618000","623280","-handing, if you come into my channel, you tell me that you're going up 500 points with just naked"
"623280","626280"," cotton, like, I'm not, you got something you guys don't understand my terminology."
"626780","627380"," So keep it simple. "
"627800","637360"," If you're just diamond-handing 500 Cs today until May, and we end up going up 300, 400 points, but"
"637360","640120"," then crash back down, I don't want to fucking hear you complaining."
"640920","641960"," You guys understand that?"
"642660","647460"," You guys need to have protection on."
"647860","649560"," You have to put the right risk on. "
"649700","651200"," You have to take profit in your trades."
"652360","653800"," You guys have to as traders."
"654520","655820"," I need you to understand that as we move forward. "
"656280","657400"," Now it's 921, okay?"
"659440","660680"," Congratulations to anybody."
"661600","662840"," That made money overnight."
"663280","669980"," I hope that nobody got caught yesterday in that short, because I know that short, right, looked"
"669980","671260"," great in the close. "
"671780","676080"," I remember that when we took that long position, Microsoft had already sold off."
"677100","683520"," Everything was pointing towards a market collapse overnight, but there were a few key indicators"
"683520","684500"," that we were looking at."
"685940","687340"," There's a few key indicators. "
"687340","691400"," For me, it was the $10 million in QQQ calls right before the bell."
"691960","692880"," It was a block trade."
"693360","693880"," It was long. "
"694320","695180"," It was very unusual."
"696200","697480"," Second problem that I had."
"698060","701340"," The initial numbers that came out were a hit on Microsoft. "
"702020","704000"," We didn't know what the guidance was at that point."
