"start","end","text"
"6600","7720"," I was really bizarre."
"8560","11040"," Like a, like a power search stream, kick in."
"19520","22860"," It's what it's like being a streamer and not a video maker. "
"35100","37940"," Yeah, you'll load three hours of cloud data."
"42600","44280"," We lost all our data from this morning as well."
"54160","56020"," Okay, restore some stuff here. "
"56340","59200"," Like, we lost a whole bunch of data and information."
"73640","74820"," Doesn't get real time."
"83240","84540"," Or is choppy. "
"85220","86420"," Please read over our support page."
"87540","88600"," They get some weird shit going on."
"93400","94660"," We'll see if they come back or not. "
"98860","105180"," It comes from Feds and George now saying that balance sheet is influencing the shape of the yield"
"105180","105540"," curve."
"105760","111180"," It's appropriate to expeditiously raise rates to neutral soft landing is possible, but not"
"111180","112500"," guarantees as George."
"114160","120320"," I had a guaranteed size needs to decline significantly since George says she favors the steady and"
"120320","124620"," deliberate approach and the rate path rolling off the fed assets. "
"126120","129220"," Holdings could help steepen the curves as George."
"130940","134300"," It's more restrictive policy, maybe needed to cool prices."
"141710","143570"," George, I think inflation is still high. "
"144010","146990"," When they reach a neutral funds rate, more hikes will be needed."
"157680","162660"," George saying that they can't take stock of the outlook once they reach a neutral rate."
"163140","167400"," Again saying that if inflation remains high when they're neutral, more hikes will be needed. "
"167400","174970"," Getting cut off by Charlie over here."
"182490","190410"," It's like all those condor and butterfly buyers are making money today, huh?"
"196090","197030"," I'm getting hacked."
"199370","199850"," I was getting. "
"200810","209970"," Yeah, I turned off yesterday's stream because I want to tone down the number of people that"
"209970","210190"," request."
"210290","212270"," To do the $1,000 trade."
"212990","213790"," So I deleted it. "
"215730","220590"," I was I was I was a close personal confidant said that I should."
"221530","226510"," Just my defense for which is an FOMC voter this year and is considered hawkish."
"231850","232670"," I was. "
"232670","242570"," A close confidant said you should probably delete that video from yesterday because"
"242570","245950"," you don't want too many people going back to it and trying to request to get into the trade."
"245990","248470"," So I was like, yeah, it makes sense because it doesn't have people."
"248810","250130"," We have enough people in that trade. "
"250370","250490"," So."
"254710","256490"," So just grinding over here, right?"
"256709","258190"," Just the intraday kill trading."
"258570","260110"," This is just killing the spy today. "
"260110","264250"," I kind of seen seen a lot of that in the market."
"266770","269790"," I was looking at some other small milk on the wrong side here."
"270590","273270"," I was checking out some of the tickers that were green today. "
"273770","279170"," Santa crowd strike already blasted up, but I was checking that in the stock screener."
"279630","283850"," Now you can go through and check them all and see if any of them look like the work for"
"283850","284150"," you."
"287160","290300"," See if I'm using out checking out a stock screen that I have. "
"290300","291540"," We've got a few of them I use."
"295040","296600"," Here's another good one that I use right here."
"296700","298860"," This is some of you have to use this one. "
"300300","307160"," So this Finviz screen array, a 20% moving average price above SMA floats short over 5% for today's"
"307160","308760"," civil moving average price above SMA."
"311620","315680"," Average volume over 5,000 IPO date in the last three years."
"315740","322420"," The leg above this one here is, if I pay you in the past three years, they're a growth company. "
"323060","329100"," You know, you hear about the bitching all the time on social media that they don't produce anything"
"329100","329960"," these companies."
"330440","333620"," Some of them have sales growth quarter over quarter you can use."
"334100","336180"," This is over 30% quarter over quarter. "
"336180","341340"," I always recommend when you use the screener to do the due diligence on it and change from open is"
"341340","341960"," up, right?"
"343100","346440"," I usually get a few tickers in here."
"347160","348920"," Data Dog is on this one right now."
"349260","350620"," Net is on this one right now. "
"351240","352220"," Nari is on this one."
"352720","353420"," Check is on this one."
"353700","354480"," Bros is on this one. "
"355500","358760"," LFG is on this one and then BLDE is on this one."
"358760","360440"," We're going to think about this specifically."
"361300","364040"," I don't always find, you know, exactly one on this. "
"364640","368380"," But if you go back and do due diligence in these companies, we'll look at a few of these right"
"368380","370220"," now as well for some differences."
"371340","376160"," You guys are always trying to catch knives."
"378140","380780"," And I'm not really always interested in catching knives. "
"381580","382800"," Matter of fact, it's a nice rule over here."
"383620","389380"," What I'm really looking for is, this one might have already traded out, but even so, I'm looking"
"389380","391000"," for these dip buys down here."
"392220","396200"," And for them, instead of catching knives saying they're actually going up right now. "
"396580","401240"," I always want to see that on a ticker that's going up rather than catching this nonsense down here"
