"start","end","text"
"30600","31500"," Check one two."
"59090","60330"," Check one two."
"90380","91020"," Good morning. "
"93840","94960"," How's everybody doing this morning?"
"98090","99330"," Okay, what else are you going on here?"
"101070","102270"," You just taking boys and girls?"
"104210","113440"," I don't know what this always happens to me."
"113500","114900"," I don't know what this happens for this morning."
"115020","115480"," Good morning, everybody. "
"116200","117240"," I'm going to switch it right over right away."
"117340","117760"," Okay, hold on."
"117760","119800"," I'm going to turn that right off. "
"120640","121440"," Get right into it."
"124760","125280"," How's that?"
"125480","127300"," It's wild out there right now, isn't it?"
"127780","129180"," It is wild out there."
"131160","132140"," Everything is crazy. "
"133620","134260"," I'm sitting here."
"134380","136320"," I think I might be shadowed in by Twitter."
"136540","138200"," I'm not exactly sure what's going on with Twitter. "
"139040","139320"," I don't know."
"139360","144040"," They've relaunched Twitter blue, so maybe they're just telling 10,000 follower accounts above."
"145000","146900"," I guess they have this line here. "
"146900","151760"," In the stand where they're telling."
"152160","156420"," If you got traction normally, you're not getting it anymore."
"157000","158640"," We'll talk about that this morning at some point. "
"159100","159880"," It's kind of weird."
"161280","164320"," I want to be a greaser, not a sosh."
"166280","168240"," I don't want to get Twitter blue. "
"168460","169560"," I'll be honest with you, I don't."
"173000","176940"," There's some mechanics going on in the background of Twitter."
"177360","179160"," It's definitely affecting Twitter. "
"179780","184480"," My account has been going on for a couple of weeks, but it was ramped into the launch of the"
"184480","186480"," new launch of Twitter blue, whatever."
"186840","187920"," We'll talk about it this morning."
"191200","198860"," You saw you saw indictments yesterday being handed down against some some very well known Finn"
"198860","199620"," Twitters, right?"
"201340","207360"," You know, it's interesting about that, too, is Mr. Zack Morris has come back twice now, right?"
"207560","208260"," Didn't he have a different?"
"209040","218690"," I think I've known that guy for some for some time, and I think"
"218690","224730"," I've known him on social media in two different capacities, but I'm not exactly positive on that. "
"225430","226410"," Don't quote me on that."
"227090","233790"," Someone was saying something about him yesterday, and I didn't say anything about it, but let me"
"233790","234770"," just check some here."
"234770","235890"," If you love and control room. "
"237090","239290"," I got YouTube sometimes acts kind of wonky."
"241150","244070"," And I got to do some stuff as we get as we get started here."
"244650","247430"," Make sure you don't have any of the Russian porn bots in here. "
"249150","249950"," This morning."
"251710","252830"," Okay, you'll learn here."
"254150","257230"," All right, so we're going to slap that on so that only certain people can speak. "
"258350","259110"," Subscribers."
"259769","260829"," Can speak."
"261610","262670"," Let's start with yesterday. "
"263530","266130"," So on Monday night."
"267790","269730"," On Monday night, right?"
"270010","276730"," I have an old friend that contact me Monday night, and I got drunk as a skunk."
"277530","279270"," And on Tuesday morning. "
"280570","282630"," On Tuesday morning to do the live stream."
"282830","285210"," I was I was still I was like, I'm hungover."
"285710","288550"," But then I realized that I was probably still drunk in the morning. "
"288930","290710"," Matter of fact, I got a bottle of for that."
"290810","293110"," Sitting around here somewhere."
"293670","295070"," And when we finished with the for that. "
"295150","296530"," That was it was all over."
"296670","298250"," I was like, there's no way I'm going on live."
"298970","300010"," Although I was very happy. "
"301170","302650"," Yesterday for that brief moment."
"302830","304710"," We broke through that quarter and quote channel."
"307190","308730"," We haven't done that at all this year. "
"309350","310330"," So that was that that was a."
"311570","314250"," If the bulls had any kind of a win this year, that was it."
"315150","319570"," That was that one like that was like the whale jumping out of the ocean or up in the sky"
"319570","320430"," when the jets flying."
"321210","324030"," Then flops back down just to let you know that the bulls are still here. "
"324370","325150"," I know that was great."
"325970","327170"," We'll talk about that too."
"327490","329210"," We'll talk about that whole incident yesterday. "
"329210","330410"," The reversion."
"330710","332970"," You guys got my week weekly brief, right?"
"333750","338710"," I told you that no matter what happened on CPI that we would come right back to that we would"
"338710","339530"," revert back to."
"340890","341950"," Study as she goes. "
"343150","345030"," So that shouldn't have been of surprise."
"346450","348110"," Yesterday at all to any of you."
"348630","352750"," That we would revert as well that I think I said in that week in that brief. "
"353290","355250"," I said, I don't care if it goes up or down."
"355870","358230"," And then I also talked to you in the brief about."
"358790","360250"," I think on Twitter, I said. "
"361370","364570"," You know, inflation is coming down by their metric and."
"365350","370230"," It would really have to be double triple for any kind of an argument that it isn't coming down."
"370550","371750"," I don't care about all the. "
"372050","375970"," I saw people this morning pointing out small things like rent and this and that."
"376290","377150"," I don't fucking care."
"378110","379190"," Neither do they. "
"379530","380570"," They're a hammer on a nail."
"380730","382050"," I think I said that at some point."
"382650","383830"," That they're a hammer on a nail. "
"384030","386870"," They don't care about your little let's investigate CPI."
"387510","389230"," I saw so much of that shit yesterday."
"389650","390790"," Maybe I'm going to fucking throw up. "
"391010","391870"," Sorry for swearing, but."
"392690","395630"," I was like, it doesn't matter."
"396210","396990"," Flation's coming down. "
"398190","399850"," What's crazy is."
"400010","403190"," No one ever wants to talk about unemployment ever because it's bad."
"403470","405070"," I mean, people have a hard life. "
"405930","409350"," People are, you know, people are working harder, working more to try to make ends meet."
"410570","411810"," Inflation is still high."
"413190","417950"," So when you tell people that you want to see mass unemployment, you know, that's not, that's not"
"417950","418510"," nice to say. "
"418790","420510"," But that is what said behind closed doors."
"421350","424790"," And the fact that Janet Yellen doesn't say it publicly is bullshit too."
"425230","430230"," You know, and the people that can make a decision about your life or can really hurt your life. "
"431610","433730"," Aren't public about the things that they're trying to do."
"434610","436070"," You know, it's kind of wild."
"437130","439330"," Anyways, let's get all past all that. "
"440330","441350"," Let's go to the top here."
"441470","441830"," Let me go to the."
"443630","446110"," See, I got, I was, dude, I think I was still drunk yesterday. "
"446330","447170"," I was like, there's no way."
"447990","450090"," It's crazy too is that I thought yesterday."
"450770","453290"," I was like, you know what I'll do is my wife had been asking me. "
"453370","457450"," She's like, if you ever want me to set up a stream for you, if you're not not here or"
"457450","458530"," something, something comes up."
"458930","461990"," So now I'm like, all right, I'm going to teach you how to get this thing rolling for me."
"462330","463350"," I was like, there's no way. "
"463350","464810"," I'm going to set this stream up."
"464810","466110"," I'm like, I'm going to get on there and I'll be drunk."
"466110","467790"," I'm like, no way that's happening. "
"470370","470730"," Okay."
"470950","471310"," So let's see."
"472070","472970"," Give me a second here. "
"474910","476930"," Let me close this out for a minute."
"478750","480630"," So first, let's say some good mornings here."
"482510","483470"," Good morning, Winky. "
"483650","484030"," How are you?"
"484690","485370"," Good morning, Matthew."
"485610","485890"," How are you?"
"487810","489030"," How are you, Matthew?"
"490250","491090"," Dio, how are you?"
"492490","493390"," Let me see."
"493390","497350"," I would have paid nights and I'd still only see content from people I follow but not being able to"
"497350","501070"," control the nasty crap he was showing me every day was doing a real number on me. "
"501790","502230"," Yeah."
"502230","505310"," So like the Twitter thing, I've got some weirdness going on."
"505430","509070"," I've got like people being muted. "
"509910","512650"," I feel like a control is being wonky."
"513309","519549"," Sometimes I try to post and I can't post video and then it comes back and works."
"520570","523390"," That happened when I posted the Tesla, the Elon Musk videos. "
"527310","530710"," So there's something going on the background of Twitter and then I think there's even a."
"532690","536690"," I'm going to assume that if you don't pay for Twitter blue and you've got low, like you've got like"
"536690","538490"," 100 followers or 1000 followers."
"539510","542390"," They're not going to, I don't think they're going to, I don't think they're going to like."
"545550","551550"," I feel what it's called. "
"551550","553510"," They're gaining followers or you have a post."
"554210","558790"," You know, they get some followers or whatever or some likes or something that at some point they're"
"558790","559210"," going to start."
"559890","562790"," Ask for a trip and you try to force you. "
"562910","563610"," I could care less."
"566390","570030"," And this morning I saw some more Elon Musk news and."
"570770","574010"," I'm telling you that I was just talking to a friend and I said. "
"575330","578910"," I've been a fanboy of Elon for a long time and it's getting to that point."
"578910","580370"," It really is getting to that point of."
"583440","584040"," Hold on a second. "
"584120","586540"," We work on this book map for you so I can straighten it out for you."
"590060","590560"," Oh, no."
"590760","591960"," Dude, I have a I have a computer. "
"592300","592980"," I like Microsoft."
"593480","594720"," Hey, we'd like to restart your computer."
"595600","596000"," It's like. "
"600800","601740"," Alright, let's get some."
"609390","611670"," We'll talk before the how many minutes we got to the bell."
"611870","613090"," We got nine minutes to the bell. "
"613750","615090"," So I'm all over the place this morning."
"616650","618470"," We'll talk about Twitter though at some point."
"618930","620750"," I don't know what is going on. "
"621450","622870"," I don't know if it's just he knows."
"623290","625570"," I don't know if he just knows that the stock is going down."
"626470","627610"," Per minute I was like. "
"629190","633290"," Maybe he's just airing all this dirty laundry now while he can while the stock's going down."
"634030","636450"," And so just keep airing it, naring it, naring it."
"638170","641670"," You don't know if he shortened the stock to and selling selling behind the scenes. "
"641950","644630"," But I don't think that was part of my process."
"644630","647050"," But as all this stuff is coming out."
"648430","649490"," Sometimes you make enemies. "
"649850","652230"," We'll talk about this later in depth about Elon."
"653970","655190"," It's not good though."
"655510","657970"," Like the alarm bells in my head are going off. "
"658430","663050"," Like, you know, when these alarm bells go off and they're not the good ones."
"664450","669390"," And you like to have these different tolerance levels and it's right there."
"669650","670130"," And I think. "
"672910","674710"," It's like that for most people at this point."
"674930","677070"," And I'm even aware of it."
"677250","678330"," So I'm going to be honest with you. "
"682130","683810"," Well, we're going to talk about a bunch of stuff that's right."
