"start","end","text"
"64239","65280"," Good morning out there."
"65400","65760"," How are y'all doing?"
"65760","66640"," We got a great weekend."
"70650","72210"," Dude, I needed some rest. "
"73950","79270"," I had to take it and you know, it's funny too is my good morning to all of you out"
"79270","79490"," there."
"79930","80630"," Hope you're all doing well."
"80810","82010"," Hope you all have a great weekend. "
"82770","84210"," Stress free weekend."
"86450","89070"," Nice month of going straight up, basically, right?"
"90210","91230"," Well, we had a bunch of back and forth."
"91290","91890"," It was very stressful. "
"93630","96550"," Overall, overall, it was huge stress."
"98510","101510"," Turn that off for just joining us."
"102210","103190"," Hope you had a great weekend. "
"105590","107290"," Talk about a stressful month, right?"
"107590","110410"," The month was up down, up down, right?"
"110970","113210"," 30 points, 70 points, 100 points, up down, up down."
"114190","117570"," Almost like we were trying to be shaken out to get where we are, right?"
"118650","121810"," Could have just, could have just placed a call."
"121890","124090"," Spread and walked away, right?"
"125730","129690"," Not paid attention to anything on the media, social media, news, whatever. "
"132020","138280"," And it's funny because on Friday, you guys tipped me on Friday."
"138280","144140"," So I took the wife and the kids out and made sure that the kids spend a bunch of that"
"144140","145920"," money on the kids so they can have a good Friday."
"146700","148380"," For all the hard work they do for you guys, right?"
"148500","151660"," They do a bunch of stuff in the background for the show. "
"154000","158480"," And it was like, put the phone down and put the, I mean, I get on Twitter here and they're"
"158480","162920"," trying to sneak away, but put the phone down, stop talking to people, and just spent some time with"
"162920","163180"," family."
"163800","168600"," And it was, it was nice to be able to do that because I've been disconnecting from my family."
"169360","171620"," This month was very, very stressful. "
"171980","173560"," I assume for bears to polls."
"173780","174240"," I don't think it matters."
"174500","176520"," If you're a market participant, this month was stressful. "
"178980","183190"," Well, we got through it, right?"
"183310","183930"," You powered through it."
"184430","185890"," Well, hopefully you had a nice long weekend."
"187210","189870"," You've got Tesla up in the pre market, up a buck. "
"191810","199210"," And we're going to do, let me just first look and see who's joining us this morning."
"199370","199870"," Let's do that first."
"200070","200570"," Good morning, McClac. "
"201230","208490"," Gary, good morning, Jay Cortina, Liam, Yolting, Harushi, Andre, Ross walks, Lisa Cullen, Sharaf,"
"208770","209450"," Pinky, good morning."
"210730","219030"," Caleb, DJ, D Crosby, indices, we trust, Ross Walker, baby, 10, Andre, Will M, Sweet Al, Dean,"
"219590","223530"," Johnny Moog, Grubster, Ryan Morse, good morning to all of you this morning."
"225350","228170"," I was assuming some more people will join us later once they wake up. "
"228730","230910"," I know I usually don't show up from 9.30 or 10, right?"
"231650","233350"," We have some stuff to look at this morning."
"234350","237670"," So that you can have an idea of what's going on here."
"239910","241370"," So we know we'll start here. "
"242510","243570"," So here's Friday, right?"
"245290","247010"," Right around here, it's like take profit."
"247250","250930"," If you're a new trader or something like that, there's no reason not to take some profit up here."
"251370","254650"," We knew that we could go up here in the Friday and the day. "
"256149","257630"," And we traded this right here, right?"
"258730","260050"," We re-entered again."
"260050","265110"," And career somebody, I forget his name right now, top my head, but he was like, oh, get out of"
"265110","265390"," your calls."
"266150","267230"," And so we all did, right?"
"269270","271890"," We had to close it wrapped up yesterday or on Friday. "
"274150","276870"," And we talked about being weak on into Monday."
"277290","280550"," The reason being for this is because we've got FOMC."
"281050","282130"," We've got a bunch of stuff, right?"
"282230","284850"," We've got an FOMC rate decision. "
"286430","288070"," We're kind of top of the key."
"288290","289310"," We have end of the month coming."
"289650","292650"," So there's a little bit for the next two days, a couple of things going on. "
"292710","293730"," We've got the FOMC, right?"
"294450","294970"," We've got earnings."
"297530","300790"," We're at, you know, we're kind of over sold or over bought right now."
"301270","302130"," And we've got end of month. "
"302830","310570"," So the next two days specifically, you kind of already know that it being a monthly OPEX that"
"310570","311130"," there's a PIN."
"312570","316830"," There's not not 100% guaranteed, but there's likely a PIN."
"317030","321330"," There's likely like a ton of calls, a ton of puts, and they want to print that shit in a"
"321330","321710"," month. "
"322210","323710"," Most months, that's what they want to do."
"325170","328870"," And so do I expect that into this Tuesday?"
"329230","329430"," I do."
"329750","330670"," I do expect that. "
"332530","335650"," Do I think we have a market crash today or over the weekend?"
"335910","335990"," No."
"337790","338590"," I don't."
"338690","339470"," I honestly don't. "
"339990","343870"," Not these two days and not with a big earnings week coming out."
"344470","345510"," I'm not expecting it at least."
"345970","347070"," We'll see if it happens. "
"347910","349550"," We've got a ton to go over the next two days."
"349730","352150"," We have a bunch of stuff the next two days to look at."
"352890","357130"," Some stuff I talked about on FinTwit over the weekend. "
"357770","361830"," We're going to take a look at that stuff so you guys know more than other people know."
"362670","369170"," I want you to have a firm understanding of traders ears perking up like a prairie dog, right?"
"369410","370630"," Like like an animal in the water."
"370810","373670"," If any of you have a hike in the woods like like true back back in. "
"373990","382270"," Well, any of you that are hunters out there, any of you that spend naturists, photographers, anyone"
"382270","386190"," that spent any real time in the wilderness or in the desert."
"387730","396710"," Anywhere where wildlife is knows that trader is almost almost like a combat vet or almost like a"
"396710","397630"," wild animal, right?"
"397890","402090"," That they they go about their business up down sideways, whatever."
"402550","407130"," And then if something is unnatural, they start paying attention. "
"407130","407990"," It's like a prairie dog."
"408170","411090"," Stick their head up and they're looking around going, wait a minute."
"411090","416450"," I just want to make sure that, you know, we're actually going to roll over here, right?"
"416690","421250"," For specific specific to this situation where we are. "
"422350","424550"," There are some there are some contrarian."
"427300","432500"," Things going on underneath the surface of the stock market is making a trader pause right now."
"433200","436760"," And I put made a big poster earlier last week to everybody. "
"436760","445220"," If you're bearable, it doesn't matter that there's a leg coming a leg L E G a leg is coming."
"447040","452300"," And you want to be on the right side of that leg to some extent or at least have some"
"452300","452640"," awareness."
"453880","456080"," But there's a leg about to happen, right?"
"456680","458700"," You don't really want to be caught on the wrong side of that leg. "
"460360","467020"," There's so much money there on that leg that you want to be positioned properly or at least I do."
"467100","467880"," I don't know about you guys."
"468220","468700"," I do. "
"469160","474320"," And unlike other tops this in 2022, 2023."
"476500","479600"," Screaming to at least pay attention to the sideways."
"480280","482920"," Or the up move to at least look for. "
"484160","487100"," Signs because you don't want to get you know, it's funny if you look back."
"488200","489520"," Look at this month here."
