"start","end","text"
"710","6070"," This leader is provided to permit the projectionist to complete adjustment of focus and sound level"
"6070","7790"," before the film begins."
"11500","12860"," Let's try this one again."
"107120","108180"," Let's try this again. "
"119100","120060"," What's going on?"
"120320","120900"," What's going on?"
"122940","127039"," Just some guy has gone."
"127419","128220"," Good to see you."
"128440","129460"," Deanna, good to see you. "
"129539","130000"," Stacey F."
"130140","130740"," Goats going on."
"131580","132320"," Happy Saturday."
"136830","138130"," Couple things here in the background. "
"140490","142430"," I think it's just YouTube today."
"142650","143950"," Just heads up that it's not on."
"144730","152890"," Can someone say something inside of the discord that I can't do a private show?"
"152890","154150"," I don't think. "
"154630","155470"," Maybe I can."
"157830","161310"," But I don't think that this is a chat is open to everyone."
"161650","162730"," So you do not need to be. "
"164190","165430"," Well, almost everybody."
"165430","167050"," You have to subscribe, I think, on YouTube."
"169790","170890"," Let me just make sure. "
"171190","173370"," I got to keep out the Russian bots."
"174950","178370"," Outside of that, though, everyone can chat today."
"178490","179670"," So if you are just showing up. "
"181130","182330"," Sort by newest."
"185750","187090"," Just subscribers."
"188450","189670"," Any duration, save. "
"190730","192110"," This is an update video."
"194310","197930"," We had a video, I think two Sundays ago."
"200330","203030"," Does the market have potential to roll over?"
"203970","204810"," And it did, right?"
"205530","207390"," It came down to the daily trigger. "
"210750","212150"," Say hello to everybody real quick."
"212150","212990"," Everybody get in here."
"214730","216830"," It's in the full chart here. "
"219030","221290"," Kind of like a video is."
"224150","227770"," Let's say let me go back to the talking directly to viewers."
"228030","231710"," There we go. "
"231930","235170"," Is that Chad Wilson or is that Chaz?"
"235510","235830"," I don't know."
"236090","237410"," If that's Chaz, what up Chaz?"
"237410","240370"," Hey, Chad Wilson, if you're someone different."
"241070","242590"," Just some guy was saying second. "
"243210","244250"," Dan Deanna was here."
"244370","245250"," Stacey, Kim Hill."
"246330","247950"," Dustin Bailey, what's going on?"
"248690","249890"," He's going great. "
"250290","251530"," I'm spent the morning."
"252670","253790"," I'm going to do this morning."
"254050","255810"," I got up early and. "
"257350","259850"," I went and bought a table."
"261550","262230"," Or."
"264450","267790"," RPG tabletop RPG gaming for my daughters. "
"267910","269890"," We're getting back into the school season."
"270630","273210"," And we have a spare room."
"273210","274290"," Nothing is going on in. "
"274470","274630"," So."
"275610","280890"," I bought a huge dining room table and I'm going to."
"283070","283850"," Rebuild it with. "
"284890","286190"," For tabletop games."
"286670","288490"," They play them, but they don't play them as much."
"288610","289450"," But I'm trying to get them away from. "
"290870","294470"," Gaming on the computers and Xboxes and that kind of stuff."
"294510","298010"," So we're going to level up this fall and winter."
"299530","305110"," So we're like building a recess play area and then extending the table out around. "
"305830","308410"," Should be like eight feet by six feet or something like that."
"308410","310450"," That's kind of big for them and their friends."
"311070","312330"," So I got that table this morning. "
"312530","316610"," Now my wife and children are off vacation."
"316950","317630"," Not quite vacation."
"317970","318770"," Just a day vacation. "
"319390","321530"," It took a trip across the state."
"322570","325290"," To some of my daughter's friends for a big birthday party."
"325290","327850"," And I was like, I got too much going on with these guys. "
"328990","331290"," Everybody's wondering and worrying and all that kind of stuff."
"333510","335410"," So well, I hope you're all having a great weekend."
"336210","336810"," Hi, Kim. "
"337010","337230"," How are you?"
"337510","338590"," I hope everybody's having a great weekend."
"338750","339950"," Hope you're able to get away from the market."
"340510","341570"," I know it can be a challenge. "
"342810","346990"," Funnily enough, Thursday and Friday I was busy."
"348090","353090"," And that'll bring up a topic of conversation as I did not see the clothes on Thursday."
"353850","354790"," I wish I had. "
"355070","355990"," I didn't look closely."
"356830","362730"," The crazy part was about calls on the clothes without scaling back a little bit."
"362730","365650"," I should not have, but I did. "
"365990","367510"," So we'll talk about that at some point as well."
"369290","370290"," Kim, how are you?"
"370430","371190"," Dustin Bailey."
"372410","372810"," Ash. "
"374330","375650"," Saying, oh, yeah, boy."
"376170","377070"," Well, this is out there."
"378010","379690"," Happy weekend to you too, John Haggard. "
"379690","380230"," Good to see you."
"380370","380950"," Probably for days."
"381590","382030"," It's kind of funny. "
"382330","383830"," We think you what's going on, brother."
"385090","385750"," Peter Kim."
"386010","386550"," Good to see you. "
"387290","388510"," You are different than Chas."
"388690","388890"," All right."
"388890","389110"," Cool cool. "
"389930","393270"," Some random hacker on Discord, right on run on Duck and how are you?"
"394790","399190"," We play, you know, and haven't done Pathfinder and a bunch of other games."
"399330","401430"," We do other games, but they're young."
"401830","403830"," So they love still love Dungeons and Dragons. "
"404410","411630"," Of course, I haven't told them that Wizards and had well, Hasbro's evil, of course, but we're not"
"411630","412330"," quite there yet."
"412830","415510"," So they still play Dungeons and Dragons mainly."
"416070","418030"," We do all kinds of role playing games. "
"418270","420390"," I'm like an old school gamer."
"420870","422810"," So we'll sometimes just make up games."
"423370","424110"," I do that too. "
"424450","425570"," We keep the rules simple."
"426790","429950"," We have to do a lot of role play and story making."
"430550","431570"," I don't know if it's storytelling. "
"432910","436410"," When winter comes here, it can get really dreary."
"436710","440450"," So we try to have some kind of a filler for them through the winter."
"440690","444590"," And I think this winter is going to be like, okay, we're going big time now. "
"448450","449490"," And what do we got here?"
"449670","450650"," It's kind of funny, too."
"451690","453290"," You having a problem hearing me right now?"
"453610","454890"," I'm having some issues."
"456810","458370"," I am having issues. "
"459450","460690"," A javelin glancer."
"462410","463510"," It might just be you."
"463690","467030"," I have a computer or a Windows 11 challenge. "
"467610","469710"," It just overruns anything you want to do."
"470510","472350"," It's just like fuck you are doing whatever we want."
"472470","474650"," We're just going to update this thing and we're going to reset everything. "
"474650","477850"," It does it now every month or so."
"478310","482050"," So Windows 10 is a little bit considering going back to Windows 10."
"484210","484970"," Yeah, you're welcome. "
"486670","487530"," You get some friends."
"487730","488890"," They're professionals right on, right on."
"490090","491510"," So audio is still good right on. "
"494370","496550"," Do I ever do true dungeon at Jankon?"
"496730","497190"," Would you love it?"
"497330","497670"," You would love it."
