"start","end","text"
"45720","46320"," Good morning."
"46320","46880"," How are you doing there?"
"46960","47560"," Poked juice box."
"48060","48680"," What's going on?"
"56140","58400"," Let's see what is going on, one bitty. "
"62680","63280"," Good morning."
"63379","64060"," How's it right doing out there?"
"64880","67760"," A couple of things you've got to do here in the background."
"68560","70060"," Steps, do investors. "
"71360","72760"," Get right into it here."
"77640","79220"," One quick second here."
"83270","88590"," There's expect the company to take to maybe help the stock in the short to medium term. "
"88870","93810"," I think it's been pretty much set that you're going to be fully over the top of the direct consumer"
"93810","94450"," service."
"95010","96390"," We don't know the pricing of that."
"96390","100350"," I have to roam this morning. "
"102490","110890"," What we'll do is we're going to leave comments open for everyone on YouTube this morning."
"110890","112130"," Look at the landscape right now."
"112150","113590"," It is one of the five days. "
"115470","120570"," So if you subscribe to open for anyone to chat today on YouTube."
"128530","129630"," Turn this down a"
"129630","138790"," little bit."
"139190","140470"," Come on, I was there by doing this one. "
"140650","145030"," So investors are really hinging their backs on moving forward."
"145350","146850"," But in terms of everything else, you're right."
"147270","148890"," It could go a zillion different directions. "
"149330","151430"," So it's one of those companies that's going to have to continue to track."
"152110","154190"," One quick thing you've got to do here is back right now."
"154210","158950"," Thank you so much, Ali, for bringing this one down and freaking this one down for us this morning. "
"159670","160870"," All your markets actually straight ahead."
"160870","162130"," Thank you for watching Auto Finance."
"163570","164530"," There's a random one. "
"164910","166090"," What do you make a VINFAST?"
"166150","169110"," The facts are back."
"170470","171790"," Are they not?"
"173230","174090"," Selectively they are."
"174590","181470"," You know, VINFAST has everything you'd want in a meme-like stock. "
"181690","182810"," I'm not going to call it a meme stock."
"182810","184490"," But it's electric cars."
"184490","185990"," One quick second float. "
"187530","193750"," It's non-US based in some of the new listings."
"194510","200310"," And so you've got all the ingredients."
"200890","203990"," Is this company worth more than Ford and GM at this point?"
"204350","204830"," It seems ridiculous. "
"207050","212370"," But if you're trading VINFAST or if you're investing in VINFAST, you're not thinking in those"
"212370","212570"," terms."
"212730","216490"," You're saying, oh wait, this stock can double in a day or triple in a day."
"216710","219490"," Oh, if it goes down 50%, maybe it'll come back next time. "
"220370","225390"," So you've had everything in its short lifespan."
"225390","225650"," Yeah."
"236570","245010"," It's about 17 minutes until the comments from..."
"261380","263760"," Have some squeezing going on right now. "
"264080","266380"," Have a lot of volume inside the market right now."
"269480","270380"," Just a second here."
"272760","275320"," Just see all this volume in here going on. "
"276600","278500"," Also had a..."
"278500","281440"," we're really close to the JPM collar."
"290200","294660"," Some other notes, HYG bouncing this morning on the opening bell."
"295780","299180"," The VIX cooling off here, trading 1662. "
"300180","303820"," Coming into this morning, we're at 1732 on the VIX."
"304540","306280"," Dixie is still rising."
"306700","316980"," It is near that previous target 104.78, 105.08, 105.43. And"
"316980","318560"," has that nice squeeze. "
"318940","325480"," There's also this potential of a roll down and bounce on Dixie."
"325680","329600"," We'll take a look at that before they get started on Jackson Hole."
"331300","332260"," Jackson Hole. "
"332540","334080"," Tesla with a nice squeeze this morning."
"334860","335980"," Much better than Apple."
"337220","343280"," We're going to take a look at specifically at Dixie I think at this point here. "
"343360","344080"," Give me just a second here."
"344520","351080"," I do also want to show you a few things."
"351760","355600"," The implied move today on the upside is 441-14. "
"360280","365620"," Downside implied move this morning is quite low."
"366160","372900"," And this is of course based upon all of the options that were in the market leading up to today."
"373120","376040"," This doesn't involve any of the zero dates today. "
"378260","384000"," And so you've got the implied move to downside 432-64, 441-14."
"385240","392060"," And it being a Friday regardless of what you think is going to happen today."
"392200","397340"," There's some key points that need to be made on the first of which is a quick second here. "
"401060","408580"," First of which is going to be a prime day on Fridays for all the build up into this event."
"411460","413920"," For dealers to say thank you for playing right."
"414480","415240"," Thanks for playing. "
"417980","420220"," Wrap it up and go home some kind of a failure."
"421840","425600"," Down or up although there is one other neat thing."
"425600","431420"," So oftentimes in these events you'll get the real move after the actual event right. "
"432340","435500"," So you get the thank you for playing from dealers then you get the actual move."
"435740","438780"," There is something else fascinating about today."
"438880","443460"," And that is that the weekly trigger is down here on S3. "
"443740","444800"," That's down here 427."
"445460","448980"," There's no real reason at this point why we wouldn't trade this."
"449360","450580"," We're so low at this point. "
"451240","454080"," We've traded 436 yesterday."
"454480","455100"," We're at 433."
"456340","458380"," Just the other day it's like a magnet down here. "
"458520","461460"," We also have the JPM caller down at 420."
"462560","465720"," Somewhere down in here there's a JPM caller that's a magnet."
"466160","473140"," The acts as a magnet into the second, third quarter, second month, but also acts"
"473140","480560"," as a way to repel. "
"480560","483720"," Like size size but being closed yesterday."
"484120","493820"," Another note for this morning is that the hourly trigger is right on the pivot and then that the"
"493820","497620"," daily trigger is up at 443.65 up here."
"498340","504240"," So as a base case we know that we know that as long as we stay below the early trigger"
