"id","start","end","text"
"w7xqn71ZeWY","0","23000"," Good morning, traders. This is Captain Jim James. How are y'all doing this morning? Yesterday was pretty wild in the market. The FOMC was wild. I was in spy calls during FOMC yesterday, and I was also in IWM."
"w7xqn71ZeWY","24000","40000"," IWM has been crushing it. You'll remember that video I posted the day before. So this is the spy chart for today. So this is what I used yesterday to trade the spy, and it worked out quite well for me."
"w7xqn71ZeWY","40000","48000"," You'll see here we've got a trend line here that's been holding itself true for the past 10 trading days or so."
"w7xqn71ZeWY","48000","60000"," On this run, you'll see that we had this initial push up over here, and then we looked up, we looked at it, and we said we're going up. So once we made that decision to go up, this is the trend that we've been running on."
"w7xqn71ZeWY","60000","68000"," You'll see that we came back down to test support on the 27th two days ago, and we made a move up from there."
"w7xqn71ZeWY","68000","81000"," And my expectation yesterday was I played this right here, and I sold out. That's one thing I'm not doing is I'm only playing calls each day. I'm not playing any calls or puts or holding overnight."
"w7xqn71ZeWY","82000","94000"," So I am buying daily's two day in, five day out, expirations, depending upon where the interest is. And I do usually post where that interest is on Twitter during the daytime."
"w7xqn71ZeWY","94000","101000"," So these have been two waiting days of the 27th, 28th and they are coming 29th."
"w7xqn71ZeWY","101000","111000"," And I also sold actually picked up puts over here in Friday and rode those down. So it's been four, one, two, three, three good days for trading the spy."
"w7xqn71ZeWY","111000","119000"," And hopefully we have another one kind of here today. So what I want you to look at though, which is important is we've got a support trend line here."
"w7xqn71ZeWY","119000","125000"," We are, it looks like we are rolling over in the spy, and that is definitely on the table."
"w7xqn71ZeWY","125000","134000"," We had FOMC, and there was a bid in the market last night that was pulled off as we went into futures. Now, we did see we peaked up right here."
"w7xqn71ZeWY","134000","136000"," We're going to get a little bit closer in this chart."
"w7xqn71ZeWY","136000","145000"," And you'll see appearance on the one hour. Because we're day trade, we're going to day trade the 15 minute. Okay, and we're going to come, we're going to pull this chart back a little bit."
"w7xqn71ZeWY","146000","151000"," And we're going to extend this."
"w7xqn71ZeWY","151000","155000"," This support here into today."
"w7xqn71ZeWY","155000","160000"," We're going to do the same thing right over here."
"w7xqn71ZeWY","160000","170000"," All right, and these are your support levels for today, the two big blue ones that you see there. Let's see if I can move this chart around a little bit."
"w7xqn71ZeWY","171000","180000"," You see these two blue lines right here. This is going to be where you're not going to trade. You're going to wait for the market to decide where we're going."
"w7xqn71ZeWY","180000","189000"," You're a retail trader. I'm a retail trader. We want to see what the banks are doing today, especially after FOMC."
"w7xqn71ZeWY","190000","199000"," I anticipate that we touch support one, and we move up to resistance line two. So you get S one, R one, R two."
"w7xqn71ZeWY","199000","207000"," Though you can see how we're starting the day off. If we slide down over here, and we break through, and we slip and slide off."
"w7xqn71ZeWY","207000","218000"," You are going to start looking for a target of 435.25 and possibly even into Friday down to 433.32."
"w7xqn71ZeWY","218000","235000"," If we slide down here and make a bounce up as soon as we get some confirmation through one of these support lines, you can go along at 440.03 or you can go short at 438.42."
"w7xqn71ZeWY","235000","244000"," If you come down below here to bounce this back up, I wouldn't go short, but if you come up and start pushing down, I would take this down, ride this down for the next two days."
"w7xqn71ZeWY","244000","255000"," You've got two days left in the week. Because this day today should have some consolidation and maybe a peak up at the end of the day, consolidation will fail towards the end of the day."
"w7xqn71ZeWY","255000","270000"," So the spy today, you're kind of in wait mode here at the open. Not much to do in spy at open today, other than set these two lines on your trading charts and wait to see what the market says we're doing today."
"w7xqn71ZeWY","270000","278000"," Yesterday was a little bit easier. You knew yesterday that if we tagged, if we tagged down below here and jump back up, I played this run."
"w7xqn71ZeWY","278000","287000"," And then as we came down here, I started, I picked up here, and I picked up here, I believe, and I live post about it, and I missed this."
"w7xqn71ZeWY","287000","298000"," But we came down too fast for me to catch this. But I know I caught this right here. When we went up here, it was like three huge scalps that were in this area right here."
"w7xqn71ZeWY","298000","305000"," I took profit. We ended up selling off. So anyway, at any rate, you'll see it was a little bit easier to trade this."
"w7xqn71ZeWY","305000","311000"," A little bit easier to trade this down here. We didn't know how far this dip would be, but we knew we'd get a test at some point."
"w7xqn71ZeWY","311000","315000"," I'm looking for the same kind of a test today. Maybe we test this right here."
"w7xqn71ZeWY","315000","321000"," 437 and move on up. So you just want to keep your eye out today. You can even trade just within these bands."
"w7xqn71ZeWY","321000","328000"," If you start to see a play in the making, if you see some resistance here and wants to push up, you can play this."
"w7xqn71ZeWY","328000","332000"," You can play this continuation, or you can play it on the way down."
"w7xqn71ZeWY","332000","340000"," Today, myself, I'll probably be waiting for the market to pick the direction for the next two days between now and the end of Friday."
"w7xqn71ZeWY","341000","346000"," Let's look at NDX. Now, I want to show you NDX is such a big chart."
"w7xqn71ZeWY","346000","351000"," NDX, as you know, can trade two, three hundred points a day. I play this one a little bit different."
"w7xqn71ZeWY","351000","361000"," I'll use NDX to find a direction for tech stocks. If I am playing the cues, there's a few things I'm looking for, and I do chart it differently."
"w7xqn71ZeWY","362000","370000"," Usually, I'll try to go long anywhere down here on NDX. This is not the time to go long. You should have been long a long time ago, way back here in May."
"w7xqn71ZeWY","370000","378000"," But there are day trades and weekly trades you can play inside of NDX right now, inside of NASDAQ."
"w7xqn71ZeWY","378000","385000"," Let's make it a little bit smaller. Let's go down to three months."
"w7xqn71ZeWY","385000","393000"," You'll start to see some major support down here. This is that black swan event that everybody likes to talk about."
"w7xqn71ZeWY","393000","404000"," We do come down here every so often. If you go back to the one year, you'll see we do hit this. This is September in 2020, so you can expect that again."
"w7xqn71ZeWY","404000","414000"," This is November in 2020, again in March, March and twice in March. Same thing again in May."
"w7xqn71ZeWY","414000","421000"," We will come back down to test these levels at some point. We are near the top of our trading channel right now."
"w7xqn71ZeWY","421000","427000"," This is definitely risk off for NASDAQ at this point as well."
"w7xqn71ZeWY","427000","429000"," You come down to..."
"w7xqn71ZeWY","433000","438000"," This is a good one right here. The five day and just try to expand it a little bit."
"w7xqn71ZeWY","438000","449000"," So this right here, these two lines are the same that were on spy. And you'll see down here, these right here come down a little bit."
"w7xqn71ZeWY","449000","452000"," This was yesterday's low."
"w7xqn71ZeWY","452000","457000"," This is what we had yesterday. This is what we were trained into."
"w7xqn71ZeWY","457000","467000"," Excuse me, when we were trading coming into yesterday's market, this was this in here as we already know what the futures are holding."
"w7xqn71ZeWY","467000","475000"," But somewhere in here, we know what we're looking for, right? We're looking for a break above this top trend, trend resistance or a break below."
"w7xqn71ZeWY","475000","480000"," We got the break below and you could run it down. Hit its first resistance and bounce back up."
"w7xqn71ZeWY","480000","484000"," So today we're going to plot out the day the same way."
"w7xqn71ZeWY","484000","489000"," I close these numbers here on Twitter. I want to go over that once more."
"w7xqn71ZeWY","489000","497000"," I'm going to expect an expansion of range on this. If you look at the one month, you can see the range expansion."
"w7xqn71ZeWY","497000","509000"," Making higher highs, lower lows, higher highs. And I do think that NASDAQ is coming down to expand this range."
"w7xqn71ZeWY","509000","516000"," Maybe we get one more big dip and then we run up into the end of October for NASDAQ."
"w7xqn71ZeWY","516000","524000"," But on the five day, let's get this to this five day once more."
"w7xqn71ZeWY","525000","538000"," Just for today, I'm hoping for a sideways movement, but with J-POW talking yesterday, there is some downward risk."
"w7xqn71ZeWY","538000","544000"," So you want to be careful and look out for 14, 659. We have 300 or 400 point drop."
"w7xqn71ZeWY","544000","551000"," You will see some heavy resistance down here by 14, 783, 14, 789."
"w7xqn71ZeWY","551000","561000"," But I will play this first bounce at S2. That's 14, 901 hoping for a run to 15, 121."
"w7xqn71ZeWY","561000","572000"," Push up and above 15, 062. If you find that we're trailing down to 14, 960, I would take pause before going long in NASDAQ today."
"w7xqn71ZeWY","572000","580000"," I want to show you the one year in IWM. It trades a lot like Amazon. You'll see that it has a lot of nice, large trading channel here."
"w7xqn71ZeWY","580000","587000"," You'll see this red and yellow and these little light blue lines. I tend to go long in this area."
"w7xqn71ZeWY","587000","599000"," So when I play at IWM, I'm looking for tech alerts and I'm looking for opportunities for longs in IWM at certain points of the year."
"w7xqn71ZeWY","599000","606000"," And I'll play those runs up. In the 19th, I took an alert and I called on Twitter to go long here."
"w7xqn71ZeWY","606000","610000"," We took profits up in here. We came back down a test and we're making another run up here."
"w7xqn71ZeWY","610000","617000"," You are a pretty safe play in IWM unless there's a market crash or a huge market correction."
"w7xqn71ZeWY","617000","631000"," You are pretty safe to play this next run up to 226.51. Now on a smaller time frame."
"w7xqn71ZeWY","631000","640000"," From a previous video that I did, which was somewhere in here, we talked about breaking through this resistance and making our next jump up."
"w7xqn71ZeWY","640000","645000"," This is bullish continuation."
"w7xqn71ZeWY","645000","653000"," I am going to, for this kind of run, I am going to expect there to be some consolidation, possibly between now and Friday."
"w7xqn71ZeWY","654000","665000"," What you're looking for in IWM today is some sort of bounce on 2203 somewhere in here. If you can grab this bounce today or tomorrow."
"w7xqn71ZeWY","665000","676000"," We're going to look for some continuation up to this 229, 226.51. This will be a good run."
"w7xqn71ZeWY","676000","688000"," Last time I'm going to look at is Tesla. My view remains the same that we're waiting for the call side, which we did get call side sell off down in this area here."
"w7xqn71ZeWY","688000","697000"," I'm 27. And as we continue to climb this wall of worry, we should squeeze out all of the puts and the bears and the shorts."
"w7xqn71ZeWY","697000","703000"," You should find some sort of a squeeze in this vicinity here, 671."
"w7xqn71ZeWY","703000","707000"," Maybe even a little bit lower. As a matter of fact, your squeeze is going to start at 659."
"w7xqn71ZeWY","707000","718000"," It will continue to jump up until you hit 700. This might not begin until the 30th, but I do expect it to last into the middle of August."
"w7xqn71ZeWY","718000","730000"," You should see 700 at some point in time here. Now market conditions aside, if we get a correction, you will see you might see Tesla take a hit as well as IWM."
"w7xqn71ZeWY","730000","746000"," Of course, there was a pay attention to those things, but from here to this point here, if you were to buy, let's say a debit call spread a month to months out at, let's say, 659, 657."
"w7xqn71ZeWY","746000","758000"," There's a fair chance that's going to print for you, even if we have a correction this time frame, maybe date them for September 30th or August or whatever the last day of August is August 31st."
