"id","start","end","text"
"wNLurfJBQoE","0","19920"," the"
"wNLurfJBQoE","19920","25840"," tomorrow what to expect general gist right now for tomorrow is if there's any"
"wNLurfJBQoE","25840","32100"," pullback or anything like that looking for 445 still any kind of pullback have"
"wNLurfJBQoE","32100","37900"," my heart set on 445s by Wednesday Tuesday would be nice there's their"
"wNLurfJBQoE","37900","41840"," claim the dealers are claiming we're not going to go there tomorrow so I think"
"wNLurfJBQoE","41840","48020"," that they're mispriced on options for tomorrow you've got this R2 up here this"
"wNLurfJBQoE","48020","55320"," 440 25 you're looking for and then the second one to the upside 445 right here"
"wNLurfJBQoE","55320","63080"," you can't see it on this on this chart specifically but right in here right maybe"
"wNLurfJBQoE","63080","69200"," you get the four yeah 440 up there down here come up here I've got some calls for"
"wNLurfJBQoE","69200","73440"," Wednesday to say that it'll happen then so there's any kind of like sideways"
"wNLurfJBQoE","73440","79640"," doom and gloom on Tuesday but I don't want to see is a pullback on hourly"
"wNLurfJBQoE","79640","83420"," trigger that we go up something like that would piss me off it's like anything"
"wNLurfJBQoE","83420","93960"," down in here though be buying see if they leave us behind we've got no stops"
"wNLurfJBQoE","93960","98160"," right now on zero dates so we'll see see what happens today see what happens"
"wNLurfJBQoE","98160","103640"," tomorrow leave this one up here"
"wNLurfJBQoE","103640","126000"," you"
"wNLurfJBQoE","126000","130720"," As we get into the three o'clock hour, I'll give you an update as to what I think happens into the rest of the week."
"wNLurfJBQoE","132160","134360"," I think we've discussed it a few times this morning."
"wNLurfJBQoE","135160","142960"," Now, we're going to harp on, I think at the three o'clock hour, we're going to harp on three specific things for this week."
"wNLurfJBQoE","145120","146680"," We're going to do look at a macro picture."
"wNLurfJBQoE","146800","155960"," We're going to look at, uh, upside macro stuff, and then we're going to look at, um, we're going to look at, hey, why can't bulls be"
"wNLurfJBQoE","156000","158160"," bullish here?"
"wNLurfJBQoE","159160","160520"," When can they get bullish?"
"wNLurfJBQoE","160520","162160"," We talked about that earlier this morning."
"wNLurfJBQoE","163400","168640"," Uh, and then we're going to also talk about, uh, what to expect later in the week."
"wNLurfJBQoE","169240","176160"," There's an argument here being made that I was listening to on news radio this morning in financial news radio."
"wNLurfJBQoE","176840","182880"," And the argument there, the, or the, or the, the drum beat being portrayed right now by this fed meeting."
"wNLurfJBQoE","183880","194240"," Uh, and, you know, they are kind of negative, but when we trade down into a, into one of these things, uh, I get weary of, of drinking that Kool-Aid."
"wNLurfJBQoE","194920","203120"," So if we were down, if we were hot, if we were at a high right now, if we were trading like 472 or something, we were rolling into that thing."
"wNLurfJBQoE","203120","204960"," I'd be like, ooh, bearish."
"wNLurfJBQoE","206880","208360"," I wouldn't be bullish on it at all."
"wNLurfJBQoE","209360","215560"," And even if we are bearish into it, like volatility kicks in, a hit market hedge comes out of the market."
"wNLurfJBQoE","217120","219360"," I'm not going to expect that much down."
"wNLurfJBQoE","219640","232240"," So if we even go down into this, um, Wyoming meeting of the mines, Montana, Utah, call all the escorts from the, in the West Denver."
"wNLurfJBQoE","233240","243240"," It'll get creepy with a bunch of creepy old men, creepy old, grossy, grossy, oily, oily, fingered, uh, old white guys that decide the fate of our economy."
"wNLurfJBQoE","246240","249240"," Uh, I still, still would expect at least to squeeze into it."
"wNLurfJBQoE","249240","252240"," So you squeeze up into that event."
"wNLurfJBQoE","253240","256240"," Uh, then we get some downside movement into the actual event."
"wNLurfJBQoE","257240","261240"," Uh, yeah, you tagged weekly trigger and then we're off and running to the upside."
"wNLurfJBQoE","261240","270240"," Now, saying all that though, heading back into the macro side of things, the looming question here is, um, where, what are they buying?"
"wNLurfJBQoE","270240","272240"," Like, are they actually buying the S&P 500?"
"wNLurfJBQoE","272240","273240"," Are they buying oil?"
"wNLurfJBQoE","274240","276240"," Are they attempting to buy TLT?"
"wNLurfJBQoE","277240","279240"," The TLT trade and its lows right now?"
"wNLurfJBQoE","279240","281240"," Um, so where does that money go?"
"wNLurfJBQoE","281240","282240"," Is it staying in the market?"
"wNLurfJBQoE","282240","285240"," Is like, think about it from this perspective."
"wNLurfJBQoE","285240","289240"," We only have, uh, where we have, we have major volatility expected."
"wNLurfJBQoE","289240","292240"," You know, like you think about where we are in the year."
"wNLurfJBQoE","293240","297240"," And if you think about where we are right now and you're like, hey, I want to start getting long in the marketplace."
"wNLurfJBQoE","298240","304240"," Uh, for the moves that we've made this year, how much, uh, how much you're going to make on that, that move higher."
"wNLurfJBQoE","304240","305240"," So."
"wNLurfJBQoE","306240","311240"," I was talking to a friend whose father wants to enter the market."
"wNLurfJBQoE","312240","315240"," This guy is very wealthy, like, is wealthy wealthy."
"wNLurfJBQoE","315240","319240"," He's got more than most of your, anyone you know one into it wealthy."
"wNLurfJBQoE","319240","322240"," He's got wants to deploy millions."
"wNLurfJBQoE","323240","326240"," And so our conversation is stemming around."
"wNLurfJBQoE","326240","328240"," Yeah, do you."
"wNLurfJBQoE","328240","331240"," Do you spend millions on a dip by here?"
"wNLurfJBQoE","332240","336240"," Even if we go higher for that volatility in the panic that'll set in."
"wNLurfJBQoE","337240","341240"," Do you just wait until February where it's like safer?"
"wNLurfJBQoE","341240","343240"," Like, is it just safer?"
"wNLurfJBQoE","344240","349240"," You know, it's like, it's like when we were in May, June, uh, when we were in October."
"wNLurfJBQoE","351240","354240"," You're like, yeah, how much more down can we go?"
"wNLurfJBQoE","354240","357240"," And even if we go down any farther, it's going to bounce quickly."
"wNLurfJBQoE","358240","359240"," So."
"wNLurfJBQoE","359240","363240"," Like that, putting that kind of risk on the market is a different question than where we are right now."
"wNLurfJBQoE","363240","367240"," So even where we are right now in the marketplace, it's like, how do you buy this?"
"wNLurfJBQoE","367240","368240"," Yeah, maybe not."
"wNLurfJBQoE","369240","370240"," Does it mean we can't go up there?"
"wNLurfJBQoE","370240","374240"," No, we can go up there, but does it mean that it's worth that kind of money?"
"wNLurfJBQoE","375240","381240"," Uh, it's a hard thing to do because, uh, you like lots of panic sets in, you get crazy."
"wNLurfJBQoE","382240","383240"," You get kind of an eye."
"wNLurfJBQoE","383240","384240"," So."
"wNLurfJBQoE","386240","388240"," Uh, we'll talk about that at the three o'clock hour."
"wNLurfJBQoE","388240","389240"," It's a."
"wNLurfJBQoE","389240","390240"," Two twenty."
"wNLurfJBQoE","390240","391240"," Two twenty."
"wNLurfJBQoE","391240","392240"," Six right now."
"wNLurfJBQoE","392240","397240"," Another half an hour left to the pot until power our sour steps in."
"wNLurfJBQoE","400240","402240"," Still have a small pack of zero dates on right now."
"wNLurfJBQoE","403240","405240"," A little bit of roll right now coming up."
"wNLurfJBQoE","407240","408240"," Push that over so you can see it."
"wNLurfJBQoE","412240","413240"," A roll right here."
"wNLurfJBQoE","413240","414240"," Don't like seeing this."
"wNLurfJBQoE","421240","426240"," No, they're trying to sell that down right there."
"wNLurfJBQoE","426240","427240"," Is that what they're trying to do?"
"wNLurfJBQoE","431240","433240"," Trying to tell you that that's the top right there."
"wNLurfJBQoE","434240","436240"," That's they're trying to tell you that's top."
"wNLurfJBQoE","438240","440240"," I'm going to try to roll you down right there."
"wNLurfJBQoE","444240","445240"," All you need to do is get above it."
"wNLurfJBQoE","446240","447240"," Just get above it."
"wNLurfJBQoE","447240","449240"," Then you get the squeeze right there."
"wNLurfJBQoE","451240","452240"," Just got to get above it."
"wNLurfJBQoE","452240","453240"," Just got to get above it."
"wNLurfJBQoE","453240","454240"," Just a little bit."
