"start","end","text"
"71940","74540"," Yeah, I don't know if this is going to work."
"74640","75200"," We're going to find out."
"77740","78420"," Who's in here?"
"79260","88940"," My nest owl, Gerald Dragonwell, Alex, Hotch, Faison, James, Cowboy, Steven, Alex, W.P. Can you guys"
"88940","89560"," hear me out there?"
"89720","90800"," Just let me know if you can hear me, please. "
"90960","92320"," Please, tell me if you can hear me."
"93700","94480"," Good morning, everybody."
"95180","98000"," Tell me if this, uh, if you're in the chat, this is the chat that you can hear me. "
"98380","99620"," I hope the fuck you can hear me."
"100460","102690"," Can you guys hear me?"
"103470","106990"," Can you guys hear me this morning?"
"109610","110990"," All I want to know is that you can hear me."
"114390","115350"," Can you guys hear me?"
"116550","117650"," It's a big rush for this. "
"117730","118210"," Can you hear me?"
"119450","122550"," Let's see if we can, uh, let this one up."
"122750","123070"," No, David."
"124210","125170"," What's going on with this one?"
"125370","126350"," Boobery, that one up right there. "
"127410","128289"," Can you guys hear me?"
"129090","130130"," Yeah, you can hear me right up, right up."
"131910","134570"," Chase, you look like you're on man hammer, bro."
"134650","135370"," I can see your texting. "
"137130","138570"," All right, so what, all right."
"139090","140110"," I might need some help here."
"141690","142770"," This is really weird. "
"143050","143230"," Okay."
"143990","144670"," You guys hear me?"
"144910","145270"," Fuck yes."
"146450","147290"," Right on. "
"149090","149650"," Welcome, everybody."
"149930","150230"," Good morning."
"151210","152470"," March 17, 2022. "
"152770","153770"," We just had the FRC yesterday."
"153770","156630"," I got to open the stuff, talk to you guys about this one."
"157270","158790"," We're going to get started and eat some help. "
"159650","159850"," Good."
"159910","160730"," It's good to see everybody."
"162310","162850"," All right. "
"163090","163890"," We'll turn this music down."
"164510","165910"," Turn this music down."
"167770","168790"," Turn this music down. "
"170990","172030"," Turn this shit down."
"172350","173150"," Can you guys hear me?"
"174250","175070"," We're going to flip over here."
"176050","176550"," All right. "
"176690","177950"," So we're going to flip over here for a minute."
"180110","181170"," And good morning."
"181430","182690"," Hope you're all doing well out there. "
"186130","187190"," Missed all of you out there."
"187370","188370"," We'll talk about all that right now."
"188410","189250"," I got a question for you. "
"189270","194470"," If any of you guys are on Discord right now, I'm going to try to share my screen."
"194630","200250"," Before we even get started, I'm going to try to share my screen on Discord, a different screen that"
"200250","203490"," shows flow algo live options flow."
"204090","204750"," So you guys can watch. "
"204750","205930"," Hold on a second."
"208870","211970"," Anyway, I need the Discord or create an account."
"212750","213230"," One or the other. "
"214050","214450"," Okay."
"214590","215190"," So here's the deal."
"215390","215550"," Okay. "
"216530","217790"," You can still hear what the news down."
"218190","220230"," I want you guys to go into one of you guys."
"220450","223970"," Anybody out there going to Discord into the Captain James Discord. "
"225290","234830"," And you're going to go to a voice channel, go to the voice channel of a stock market"
"234830","235310"," chat."
"236050","240630"," And what I'm going to try to do is I'm going to try to share the flow algo screener in"
"240630","242870"," there so you can you can listen into this."
"243690","247490"," You should be able to listen into this broadcast on YouTube. "
"248390","254430"," And you'll have live live options flow on Discord throughout the day as well."
"254810","255250"," Okay."
"256110","257050"," Good to see everybody. "
"257209","261750"," I'm going to talk to you guys here in just a minute."
"261750","263610"," I'm going to talk to you guys with a matter of fact right now."
"263930","269670"," If you look at my video with my we wave in here right now, I'm still having issues with my"
"269670","270470"," video capture card. "
"270470","271810"," I'm on like capture card number three."
"272090","278170"," I think I have to get like a pro powered where they where they do the work before it gets"
"278170","283730"," to the computer processing before it gets to the computer and Elgato just sucks."
"284910","286370"," So I don't know. "
"286630","291730"," I'm going to try to tell them in a minute."
"291730","293370"," I'm going to share the data until 930."
"293530","296550"," But I want to see if you guys can we see the screener and I'll leave that up for you"
"296550","299770"," guys all day long so that you can watch live options flow. "
"299910","300570"," So it's going to be a second here."
"300630","301610"," I'm going to try to share it right now."
"319960","321300"," I can hear you guys in there. "
"323840","324420"," Oh, yeah."
"325720","326740"," I think I can hear you guys."
"329840","330480"," You hear me?"
"333580","334220"," Holy shit. "
"334220","334280"," Okay."
"336220","338340"," Let me know if this is."
"342000","345460"," You guys see the options flow on there. "
"347300","351800"," You hear me?"
"353180","354020"," Yeah."
"356460","358100"," How's everybody doing out there?"
"359980","365160"," Can you guys see the my screener inside of the stock market set?"
"369060","370280"," Can you make it a bit large?"
"370500","371960"," Can you make it larger or no?"
"385560","389000"," Is it possible to make the screen larger so you can see it or no?"
"391380","392140"," You can make it larger."
"394080","394640"," All right. "
"394960","397460"," So let me bring my microphone over here."
"400480","401640"," So you can zoom in."
"401880","406200"," So if any of you guys aren't in the if any of you guys aren't in the. "
"408480","411720"," You can make it larger because people are confirming that you can make it larger."
"412120","418920"," So what that will do is it will show you the options flow as it comes in a live stream"
"418920","420240"," all day long for you today."
"421060","424920"," Let me mute my button here at least so you guys aren't hearing an echo. "
"426060","426760"," Hold on here."
"426840","427740"," I'll just talk into YouTube."
"430600","431000"," Okay. "
"431280","433440"," So what I'll do is I'll leave up."
"433840","437880"," If you guys aren't in Captain Jim James discord, I'll put a link in the chat box of YouTube."
"439840","442780"," Can you guys still hear me on the panel or no?"
"445300","451350"," Like people. "
"457610","459370"," I'm going to mute this down here."
"460530","462150"," I got these here you guys talking now."
"467250","468550"," Hold on here. "
"468570","469870"," I want to listen to you guys talk."
"472830","473670"," All right."
"474290","477490"," So you guys should be able to see my screen. "
"477490","482210"," And I can at least hear you guys talking in the chat."
"482390","485830"," So if you guys are chatting in the chat, I can hear you guys in the background talking."
"485990","491650"," I don't think that the microphone picks it up in YouTube, but you'll be able to see the you'll see. "
"495610","499050"," You guys are able to see you guys should be able to see flow."
"499050","504050"," I'll go inside of discord all day long."
"504050","506490"," I think I'm not positive on that. "
"506790","509090"," Don't hold me to that, but I think you can."
"511110","513110"," So let me print this off here."
"516450","523810"," All kinds of weird stuff going on. "
"540890","542450"," Give me just a second here."
"542490","544950"," I got to load my screens up here and make sure I get everything going."
"546870","547450"," All right. "
"547510","550670"," So what I think is this you can hear me."
"551510","554430"," Yeah, it's kind of weird, right?"
"554550","555690"," You have both of them open now."
"556130","558490"," So what you'll do is what I'll be like is this. "
"559410","561390"," I got a whole bunch of new shit for you."
"561890","563450"," So this has taken me a while."
"563630","564410"," I'll just make a brief. "
"564550","565690"," I'll take like a five minute conversation."
"565770","572190"," I'm trying to set up a bigger, better studio and it's been more work than I ever anticipated."
"572950","579670"," If you when you like starting out and it's basic and then as I'm adding as I'm adding options and"
"579670","583070"," different things to the to the live stream, it's just become more complicated. "
"583070","585690"," We're going to upgrade and upgrade and upgrade and upgrade."
"585810","587730"," And I have other stuff to show you this morning."
"588130","592850"," So like I can switch before like I can I can I got a whole bunch of shit that I"
"592850","593310"," can do now. "
"603240","606380"," So there's a bunch of stuff that I can there's actually a bunch of stuff that I can do with"
"606380","606900"," you guys now."
"606900","608160"," Like I can switch between screens."
"609180","611260"," I can switch to a chart screen. "
"611620","612980"," I think we'll see if I can."
"615950","616690"," Hello here."
"617950","622750"," So you can switch to the screen now and just goes direct to a chart with you so that you"
"622750","625270"," can look at it at a at a screener for a chart. "
"625270","633330"," So if we want to bounce back and forth between say book map and the charting software, I think"
"633330","633630"," we're good."
"634070","637070"," And then I'm sorry, I'm talking of the interns here."
"637410","639710"," So I can switch back and forth between book map. "
"639950","644390"," I can switch back and forth between calendars and wherever's going on here and book map."
"644670","645230"," That kind of stuff."
"645410","646310"," And then you guys will be able to see. "
"647910","649030"," You guys will be able to see."
"651510","654030"," The flow all day long and discord."
"654970","656150"," So second live stream. "
"656850","660770"," You can keep that up if you want to check that or if we're going to discuss that possibly at"
"660770","661230"," some point."
"662010","665610"," If I say bring up bring up some flow that's coming in, you can go over to discord and check"
"665610","666030"," that out."
"666830","672010"," And then I've got I switched news providers, but I don't know what's going on with that fucking"
"672010","672230"," thing. "
"672530","673990"," I don't know what's going on."
"674190","680710"," Like I sign up for a new a new new service and it's saying that my payment is still being"
"680710","681810"," processed or something."
"682450","683370"," The boys are asleep. "
"683830","684210"," I don't know."
"684630","686690"," So at some point today we'll have market news."
"688870","692530"," On the YouTube channel, but it still hasn't happened yet. "
"692830","693370"," So I'm either getting."
"695210","697510"," I'm not getting taken for a ride or not."
"697510","698670"," I'm not sure at this point. "
"700130","701750"," So good morning to all of you out there."
"703250","705030"," It's kind of weird having me on both right."
"705390","707530"," You guys can't hear me in discord right now, can you?"
"708070","709510"," Tell me you can't hear me in discord. "
"718320","718800"," Excuse me."
"720380","720760"," Okay."
"721240","724820"," So I want to know that I don't want you to hear double voice. "
"725080","726740"," So I only want you to hear me in YouTube."
"727540","729620"," I'll listen to you guys talk in discord."
"730420","734100"," So if you guys want to shout out or something in discord, I can hear you in my in my"
"734100","736100"," in my in my in my earpiece or something. "
"736480","739220"," Talking in the background, but I don't want my voice to be double speak."
"739440","742360"," I don't want to have to deal with two voices going."
"743420","744380"," So just let me know. "
"744760","745620"," Yeah, you can't hear me in discord."
"745840","746400"," That's fucking awesome."
"746680","746980"," All right. "
"747180","747200"," Good."
"747820","748180"," All right."
"748380","750220"," So let's get started on some shit here this morning. "
"750220","750560"," Okay."
"750880","752000"," Because we got a lot to go through."
"752340","756440"," I'm a little, a little pissed off right now about what's going on. "
"757000","758640"," So I got, I want to ask you guys."
"758880","763300"," So I have a conference that I'm going to be in the next couple days."
"763300","767720"," Go listening to some information on the FOMC meeting. "
"770280","773280"," This morning we had retail sales."
"773400","773700"," Excuse me."
"773780","774980"," We had a not this wrong day. "
"776180","780340"," So today on the 17th, we had initial claims, continuing claims, building permits, housing starts,"
"780640","780920"," Philly fed."
"781240","782420"," This is the big one Philly fed."
"783340","786800"," And the industrial production next capacity utilization rate. "
"787340","789520"," But other than that, we don't have a ton on the boards for today."
"789640","791600"," I think I'm going to have some oil numbers coming out later today."
"791600","794960"," But I'm a ton on the board today and we don't see that much weakness. "
"795440","800320"," And if anything, I'm going to switch over real quick and just show you a quick, quick, quick chart"
"800320","800660"," right here."
"800740","800860"," Okay."
"801220","806660"," I just wanted to see that it's just natural for us to trade down in this channel that we're in"
"806660","806980"," today. "
"807360","813520"," So this doesn't say to me that even the Philly fed matters this morning that we're just selling off"
"813520","813740"," briefly."
"813760","818160"," We should have some weakness and we're going to be looking for support here on book map this"
"818160","818480"," morning."
"818480","823880"," We'll bounce back and forth between book map and the charts today and see if we catch this bounce"
"823880","824200"," here. "
"824520","827320"," Or if we don't catch this bounce and we start to trade the lower."
"830100","834240"," So what I really want is what I really want you guys to see today is watch my cursor here."
"834600","839880"," You're going to be looking for some support to be found down here between 430, 102, 429, 95,"
"840240","841700"," somewhere in here right 430 basically. "
"842220","843160"," You're looking for some support."
"844260","847320"," Now another thing we could do is green bar straight up here and reject."
"847780","848840"," This is what the bears wanted. "
"848980","851900"," They want to see us green bar it up off the bell, right?"
"852100","854780"," Ricochet off 439, 440 somewhere in here."
