"start","end","text"
"1740","3019"," Hey, what is going on?"
"5040","10180"," This leader is provided to permit the projectionist to complete adjustment of focus and sound level"
"10180","11860"," before the film begins."
"63610","68610"," Check one, two facts, but it is going to have a trimming of a quarter GDP."
"69910","76250"," So does that take any, does that bring a recession call back more into focus for you or maybe you"
"76250","77730"," want to market or. "
"78530","82050"," Still a pretty solid market we're looking at."
"83150","88170"," Well, look, I think what's happened here and this is typical is that the stock market has a reflex"
"88170","93650"," rally of significance and then everybody starts to fit the narrative into what the stock market's"
"93650","93930"," doing."
"94770","100730"," And so, you know, we saw this back in, you know, in 1989, we saw it again in 2007, we"
"100730","103250"," saw it, you know, in 2000. "
"103750","104070"," Good morning."
"104790","108890"," So reflex rally in a bear market, and everybody starts to say, well, it's a soft landing."
"109470","111210"," So everybody throws in the recession view. "
"111770","118170"," The recession view is really about the liked impact of the most regressive fat tightening cycles in"
"118170","118770"," 1981."
"119930","123790"," And I didn't think everybody had a rotation to pass to us."
"123970","128270"," It takes about a year for the recession to unfold after the first fat rate hike. "
"128490","130790"," So tell me, first rate hike marks 2020."
"130790","135870"," So I still think this recession is during us in the face and perhaps you can argue that fiscal"
"135870","139170"," policy gave this and that's the lifeline."
"139630","141530"," But there is nothing more powerful. "
"142050","143430"," Let me turn that off right now."
"144890","146570"," I mean, just one quick second."
"146790","148210"," I got some stuff I got to do in the background. "
"150250","151130"," Corn y'all."
"151210","151670"," How y'all doing?"
"155990","158070"," I feel like a great weekend."
"158890","162910"," It's like we had like 50s, 60s last week, and then this weekend. "
"164070","167110"," Just ripping face off 90, 90 plus degrees."
"172100","173580"," All that on there."
"178740","179860"," Members save. "
"179860","188990"," Okay, we'll see what this thing does."
"189270","190510"," Like YouTube's asking a bunch of questions."
"190810","191490"," I'm not used to. "
"198200","199080"," Right there."
"200240","201040"," Close that."
"201720","203340"," Squeezing off the bell this morning. "
"203540","208860"," There was a just a heads up for you that there was a recheck on hourly half our trigger right"
"208860","209800"," down here before the open."
"210820","212180"," We are trading above."
"212560","219840"," We should pull back after this tag right here and tag 437.83. And then begin to make our way"
"219840","220460"," higher here. "
"221280","225100"," Take out this previous high at 438.76 from pre market."
"227400","232240"," And we also have an ultimate target above that same target from Friday."
"232240","232920"," We talked about. "
"232920","239540"," It's right around 445.08. I want to see if we can catch a trend day today."
"240180","242600"," We have some stuff to talk about today about this trend."
"243300","245240"," We have a whole bunch of stuff to go over. "
"246060","247780"," Is the correction over?"
"248960","251180"," And how much time do bulls have left?"
"251460","252640"," Is the second big question?"
"253760","258779"," Of course we've got the old guys getting together up in the mountains."
"259420","265140"," They've got all the hookers leaving stir just to show up to service all the old creepy old white"
"265140","265560"," guys."
"266240","268640"," We'll buy one of those guys this morning as well. "
"269720","272140"," Let me just do a couple things here."
"274480","275780"," Hang tight here."
"286040","287080"," SPX. "
"287600","288040"," Yes."
"291160","293940"," Use or look at Tesla today."
"309590","310630"," Good morning. "
"310750","311450"," How's everybody doing?"
"314630","317570"," Yeah, we're going to talk about TLT as well today."
"318090","324190"," We have to talk about TLT because I think it closed its gap in pre market."
"324190","327190"," And there was one more. "
"328030","331990"," There was one more gap, but it was filled like a couple of days prior."
"332970","335110"," So we have to take a look at the TLT today."
"335110","337330"," It's a big one to talk about now. "
"338810","340770"," Someone's asking in the stream about TLT."
"341130","342210"," There's a greater."
"344430","348390"," There's a greater discussion that we have to have about. "
"349150","353710"," So I guess talking about, hey, is the correction over or not, right?"
"353870","354470"," Is a big question."
"354930","355270"," Is it over?"
"355530","356210"," Is it not over?"
"359130","360870"," Let me see if I can bring this chart up."
"362230","363450"," Just take a peek here. "
"367550","372090"," Now with that question, is the correction over or not?"
"372910","376830"," There's a greater question, which is time."
"378210","379970"," We have seasonal weakness."
"381250","383330"," In the fall at some point, we have. "
"383870","388410"," Usually, I know it's like seasonal is like a term you can throw around that."
"388790","390230"," Can be manipulated."
"392490","397190"," For against dragon, but generally speaking, we get a week period in the fall. "
"397650","399490"," We get a week period in late winter."
"399810","404830"," We also usually get a bottom for risk on markets coming into spring, right?"
"406290","409750"," So you know, there's going to be some kind of a pullback in those timeframes."
"410270","412330"," The question becomes time for bulls. "
"412730","413830"," Do they have the time?"
"414870","418050"," We're in August 21st."
"418290","424050"," Do bulls have the time to make the run that they want to make to that board?"
"424050","428070"," Or four six, excuse me, four, six, six, five, like four 70."
"429610","431210"," For the caller for the quarter. "
"434030","435730"," Do they have the time to do that, right?"
"435890","440290"," That would be the question is, if they have the time to do that, if risk will stay on in"
"440290","440670"," the market."
"441910","443090"," For that to happen."
"444110","452070"," And if it doesn't referring to this question about TLT, do you see some flight in the bond market"
"452070","454830"," and also into, believe it or not, energy?"
"456610","458150"," Where does the risk go?"
"458750","462810"," You have to pay attention to where this money goes, right?"
"462930","468910"," Is it just a matter of taking up the profit running as a matter of shifting risk elsewhere?"
