"start","end","text"
"580","1440"," Check one two."
"1600","2100"," Check one two."
"3140","3920"," My check. "
"6180","11560"," This leader is provided to permit the projectionist to complete adjustment of focus and sound level"
"11560","12920"," before the..."
"68140","69980"," Oh shoot, you guys are already here."
"71200","75710"," Good morning everybody."
"77890","79270"," You know, it's like a..."
"79270","80430"," I see you in the chat already. "
"80430","81190"," Good morning everybody."
"81330","82150"," How are y'all doing out there?"
"82610","83950"," I'm starting to see you already."
"86610","88110"," Oh wait, what's going on here?"
"89150","90670"," All right, let's get right into it. "
"92390","93930"," Good morning, baby."
"95550","97890"," Brothers, sisters, family, friends."
"99850","101030"," Merry Christmas. "
"101330","101950"," Happy Hanukkah."
"102350","103470"," Happy Festivists."
"122450","123290"," What else we have again?"
"123430","125990"," We've got other traditions as part of the year as well, right?"
"126830","131210"," I'm assuming that I'm missing a bunch of other holiday celebrating and I'm also assuming that"
"131210","138090"," people from around the world in one way or another as you know, because one way or another as this"
"138090","145650"," holiday is celebrated that even if they don't celebrate, they still have time of pulling back and"
"145650","147870"," relaxing, I guess, to some extent. "
"149070","155510"," If you celebrate something different than Festivists, Christmas or Hanukkah or any of those things,"
"158270","163150"," let me know if he's doing any celebrating or just like do nothing, hang out, wait for the rest of"
"163150","167990"," the world to spin back up in the new year."
"168550","172150"," Maybe it's just time, you know, the other thing too is that it's just marking time for some people,"
"172270","172390"," right?"
"173130","174190"," End of the year kind of stuff."
"175550","177210"," I got to change so a couple things here. "
"177410","184870"," The gamma flip this morning is lower."
"185190","185850"," It's down here."
"190620","193260"," So you get a nice, it's right here. "
"194800","197120"," So that's good news for the bulls, okay?"
"197500","199580"," So you've got the gamma flip is down below this morning."
"199720","200600"," That's very good to see."
"201060","202320"," You're above the gamma flip. "
"202840","207220"," You also have some coiling action in here, right?"
"208060","211500"," And you can see off the open this morning what happened, right?"
"212460","217360"," The vacuum cleaner, like the dealers come out with their algorithms, right?"
"217560","220420"," They have their, and what they do is they're taking everybody stops, right?"
"221500","224340"," Vacating up a bunch of premium resetting prices."
"224840","229900"," Another thing that I didn't, I should have brought this up on Twitter, but I want to say this to"
"229900","237660"," you, there could be some IV crut, not an IV crut premium crush this morning too going on in the"
"237660","238100"," background."
"239120","242120"," If you had, we'll make it simple. "
"242500","250740"," If yesterday you had 100 people holding calls, so we're talking outside of the blast down or"
"250740","252300"," whatever puts calls, I don't care."
"252600","256640"," But think about this as not only we get all these reprisings, right?"
"256760","263420"," But you also get less interest in positioning as well this morning."
"263700","264800"," So think about that too. "
"264960","271040"," There's some some more complex re-pricing and options this morning as well, right?"
"271180","277940"," So you might be taking a position price hasn't changed on whatever, on your favorite ticker spoons,"
"277940","278880"," cues, I don't care."
"279460","281260"," And yet you're directionally right."
"281400","284020"," Yeah, you see here the, the premium's just being bled out. "
"285620","287900"," This is likely a little bit of that going on in here as well."
"288160","292640"," So all this coiling in here, we'll talk about this in a minute, in a minute."
"292760","295540"," But I do want to point your attention to one other important thing. "
"295700","297220"," This is SPX down here, okay?"
"298480","300860"," Let me see if I bring this chart up really quick here."
"311890","312470"," Wait a minute."
"312730","315050"," Okay, so right here, I want to show you this chart right here, okay?"
"315770","321410"," And the one thing I want to draw to your attention here is you see this, this gamma level up"
"321410","321850"," here, right?"
"321990","323490"," The 78 million right here. "
"324830","328270"," You can see this half hour trigger is still coming down."
"330810","332970"," Price is not above the hourly trigger."
"333230","337090"," We know that we want price above the hourly trigger, right?"
"337830","338970"," We want to back test it. "
"339290","343970"," Now the less time we spend here, the greater the chance of a huge squeeze to the upside."
"345470","347830"," But it's usually unsustainable."
"347870","350410"," So we'll get, oftentimes we'll get a back. "
"351070","352970"," Any squeeze that we get will come right back."
"353150","354310"," You can actually see one right here."
"355170","358850"," You can see this half hour trigger acting as resistance, but I point two stands. "
"359370","361810"," What can happen here is even if we are bullish, right?"
"362070","364130"," Let's say we got to squeeze up here next next one, right?"
"364650","367290"," And it's really fast that oftentimes comes straight back down."
"368510","373010"," It needs to confirm this stuff that we're bullish for continuation of the upside."
"373850","375150"," And here's where the danger lies. "
"376710","383270"," And that is, and that is the fact that you could be like, yeah, we're bullish or yeah, we're going"
"383270","383710"," to go up."
"383770","390270"," But what happens is you get trapped and we run back down here and we back test this SPX over"
"390270","390670"," here."
"391910","397930"," So there's some late night last night, I was being asked from some very nice people, but I was"
"397930","400510"," being asked in the very late night last night. "
"400570","408170"," I'm staying awake until quite late trying to see what the action was from London, Japan, all that"
"408170","408830"," kind of stuff."
"409730","412370"," And someone asked someone was like, buy calls tomorrow."
"412430","413830"," And it's a fair question. "
"414630","415530"," Are you saying something?"
"416670","420430"," Or when I was saying to someone, I was talking with someone on on Twitter last night."
"421090","424830"," And it was easy to say, hey, he's saying by calls."
"425110","427730"," And I said positioning for this. "
"428810","431750"," And that I was like, no, I'm not saying by calls."
"431750","439050"," I'm saying you need positioning, you know, and positioning yourself in a trade is one of the most"
"439050","440790"," difficult things to do."
"441110","445170"," You can be correct in direction, but this has to do with timing. "
"445630","447990"," This has to do with where you jump in, right?"
"448230","451630"," And then where you close the mechanics of it are very complex."
"452570","457490"," And a lot of it has to do with what happened yesterday or three days ago or a month ago."
"457970","463050"," And you have to be a hyper aware of all this these mechanics to position yourself properly. "
"463510","473230"," It's not something that's taught easily, but something that takes mentorship, takes creating it not"
"473230","473650"," live."
"474530","477510"," It takes time to understand positioning."
"477850","479270"," Positioning is a very complex subject. "
"479270","480490"," It's very dynamic."
"481150","486230"," And you have to be aware of all these landmines trying to position yourself."
"486630","491610"," And then if you're mispositioned, or if your thesis is wrong, are you staying in the position?"
"491910","492950"," Are you adding to your position?"
"493070","496770"," Are you cutting your losses and repositioning?"
"497310","501190"," So it's a very very complex subject. "
"501410","509910"," And so anyways, to that point, positioning matters if you are bullish."
"511270","514409"," And right down here, I want you to look down here in the SSPX."
"514690","520190"," See this, see this previous low from yesterday, right in cash market, it would not shock me for a"
"520190","520710"," minute, right?"
"520909","523110"," You get squeezed up here, come straight back down. "
"523250","525650"," Let's do a violent up here, right?"
"526030","528070"," But you come straight back down."
"528330","530890"," And that was the actual dip buy right there."
"531670","532170"," Okay. "
"532710","540350"," So the prudent thing for a bull here, even if you get left behind and we leave, would be to"
"540350","544050"," wait and look for this back check on SPX."
"544430","549330"," Now, saying that we have rules around here, right?"
"550110","555050"," If we're, if price is above the one in five minute trigger, we're bullish, right?"
"555410","556010"," We're bullish here."
"556910","561910"," Personally, I want to see one of two things happen. "
"562590","568530"," Either we roll down here, I don't care what any of this is, we roll down here and bounce and"
"568530","569790"," immediately do the V shape recovery."
"570110","571510"," We're often running, we close that gap."
"571670","580670"," We're good to go or or I want to see price squeeze up above the half hour and hourly trigger. "
"581150","582470"," I don't care where it goes."
"583190","583870"," I really don't."
"583970","585970"," So I really care about that back check here. "
"586810","589470"," So if price comes back and back checks, right?"
"589650","592210"," It gives the time for the one in the five minute trigger to come up."
"592870","598610"," You have the momentum of the half hour and hourly trigger on your side."
"599830","605770"," And all I worry about at this point is that we beat this previous high. "
"607110","614850"," Comes back down again, and I'm off and running the probability of me having a winning trade and"
"614850","624750"," being positioned properly begins to increase it in a big way, like 30% chance, 40 "
"624750","629310","% chance, 75, 80, 90% chance of me making money."
"630410","634350"," Now, some guy would be like, yeah, I bought calls back here and we immediately went to the moon."
"634750","640810"," You know, that guy might have won that trade or that girl might have won that trade one time out"
"640810","643430"," of 10, maybe even three times out of 10. "
"644010","646410"," But I'm not trying to win three times out of 10."
"646770","652570"," I'm trying to win seven times out of 10, believe it or not, nine times out of 10."
"652950","657870"," You might think that's impossible, but it's not if you follow the tools that we teach you here. "
"658610","665450"," I promise you, you can win, win, win, and you know if you lose where to cut, right?"
"666270","668610"," Where your thesis is wrong and where to reposition."
"669270","674710"," If you follow the tools that we teach you here, you will become more and more profitable as time"
"674710","675210"," goes on."
"675630","681730"," And these rules matter or work on every time frame, one minute, five minute, one day, one week. "
"682610","687570"," So it doesn't matter if you're a swing training, doesn't matter if you're, I don't know, trading"
"687570","688950"," leaps, believe it or not."
"690610","693330"," You can use this on a weekly chart, believe it or not."
"693830","700510"," So apply these concepts, these tools that we teach you on every time frame. "
"702390","708070"," Another idea here or with it alongside this is if you know all of this information here, right, and"
"708070","710450"," you say, well, fuck it, I want to put risk on here."
"710810","713270"," Fuck coming back here, Cap, right?"
"713430","716410"," But you put that risk on it and the trade does go against you."
"716890","724370"," You at least know if it goes against you where you're heading, heading back down here to revisit"
"724370","725050"," that, right?"
"725810","733450"," So you can manage your trade, even if you are wrong, you can trade just these movements, right?"
"734630","739130"," You can be long here, you can get some puts in there, some calls or whatever you're doing, right?"
"739130","749050"," You're long short on futures, but you're tactful the entire way up and you know where the counter"
"750110","752330"," trade is against your thesis. "
"752990","755190"," This works for bulls and bears."
"756850","759250"," And we're going to go over, we're going to review, it's end of the year."
"759410","766350"," So we're going to today probably spend some time at some point because in the past week or so, I"
"766350","770790"," haven't done as much work on this stuff with you guys in stream, but we we do this every day"
"770790","771430"," for a year. "
"771770","776250"," We've done this over 200 times this year together."
"776250","781430"," We've streamed together this year, believe it or not, I'll try to show you that stuff that the what"
"781430","787230"," we did this year, but you know, we've done this 220 times together this year live."
"788470","797670"," You've had you've literally had a live education or primer or whatever you call it, just repetitive "
"797670","798150","ness. "
"798550","802410"," You've been here in the stream for a year, you've been able to sit with me for a full year"
"802410","811030"," and just re hammer these same concepts into your brains over and over and over and over again,"
"811330","813010"," because these tools work consistently."
"814850","816030"," So we'll do some of that today."
"816210","819310"," This is actually a good example of what to do today as well. "
"820250","822970"," And anyway, your gamma flip line is lower, okay?"
"823830","826950"," I've got the cues up with triggers for you today."
"827450","828990"," There's a bunch of coiling going on."
"829130","829810"," You see that, right?"
"830190","832570"," You saw the open, they're trying to ping pong us in here. "
"833090","835290"," My thesis is that we're going up."
"835850","840070"," Okay, but there is risk to the back on the backside down here."
"840490","846470"," So you're either going to be or it was me, I'd be looking for buying this right here, or I'd"
"846470","852110"," be trying to buy a successful back test of this stuff to go higher over here, okay?"
"852530","857650"," Those are the two most highly probable and profitable trades you can take. "
