"start","end","text"
"90120","91240"," I'm going to get right to it."
"91880","92920"," I'm going to have a lot of time here."
"92940","94540"," I'm trying to do some work here. "
"96560","97340"," Good morning, everybody."
"97520","98280"," How y'all doing?"
"103440","104360"," Oh, come on now."
"112060","117200"," Sometimes YouTube, the back end, is very wonky. "
"165840","167080"," All right, good morning, everybody."
"167700","170040"," Bull's waking up all right this morning, kind of."
"170560","171300"," Let's see here. "
"171840","172260"," We're going to mute."
"178050","179710"," We'll mute the book map at the moment."
"185880","187120"," And let me see. "
"190240","192700"," 5.4, 394, 17."
"197070","198370"," Right there."
"209440","212680"," R1, 396, 95, if you're following at home. "
"220140","220600"," What about there?"
"222100","232280"," 2, 98,"
"233060","233060"," 39."
"235220","249350"," 4, 117."
"253650","254370"," Close enough. "
"255290","256730"," R1, R2, R3."
"258329","259990"," So it's really tight up in here, right?"
"260089","263050"," You can see this morning that it's pretty tight up here."
"277680","279820"," And then down below is where it actually gets really. "
"283900","284740"," Blow our pivot."
"285120","290960"," So we've got a pivot above here, and then we've got support S1 is going to be 392, 73."
"297950","299730"," S2, 3, D9, 95. "
"303550","317340"," We've got"
"317340","319360"," 38, 51."
"324560","325960"," For S3, right?"
"326300","327120"," Tight range here."
"327760","332520"," We do have some, we have an implied move this morning, though, that is quite larger. "
"333660","338580"," So we're going to come right back down where we started down here."
"347590","350350"," And we're also going to snap a line above."
"360360","364880"," Somewhere, I think there's $2 and it could be like 403 and some change. "
"365320","366420"," Southern 403 and some change."
"366560","369060"," I'll look at the S this morning, see what the difference is."
"369180","370020"," Probably 403, 60. "
"370260","372060"," I'll make sure I can, I'll firm that up for you."
"372180","374480"," But I think this is where the JPM collar is."
"374680","376540"," 4, 0, 4, 0, 6, 5."
"376940","381940"," So it's 4, 0, probably 404, 5, somewhere in there. "
"383380","385240"," I'll try to get a better number for that for later."
"385240","389680"," This is, I think this is where the JPM collar is with the price difference."
"393700","397440"," And you guys have seen, you guys have seen me on video for a week or two. "
"397700","399000"," We'll go through a bunch of stuff this morning."
"399980","401120"," You guys have seen me."
"402200","404220"," There are previous low is down below here. "
"406460","416380"," And we'll check this on"
"416380","417140"," an hourly too."
"419180","421160"," And what you're looking for this morning."
"432050","437510"," Yeah, this is where the white line wasn't showing up for you guys. "
"437570","438490"," Remember this white line?"
"438510","440430"," You guys remember this from, I did do a video."
"440550","441910"," The other day, I don't know what happened that morning."
"442430","445510"," I think I, my, my router resets itself every morning. "
"446310","452130"," And I think that, um, I think that, I think that stops the stream."
"453070","455250"," Now what you, what you need to know this morning is."
"458050","459410"," We need to know this morning. "
"459730","460670"," It was two fold."
"461510","465630"," A big part of this morning is, uh, so we're in the five minute right now."
"465690","466610"," We're going to get the 15 minute. "
"468090","471850"," And it's important for you to see this blue line in this green line down here."
"472310","474170"," And then the one hour specifically."
"475410","478070"," You can see where we can fall down here. "
"478590","488570"," Now some people are going to tell you today that, uh, let's say we, we get a"
"488570","489470"," bad CPR report."
"490870","492210"," There's a couple of things that could happen."
"492210","493410"," We could, we could trade higher. "
"493650","495410"," The initial reaction would be a sell off anyways."
"496470","500150"," And I want you to realize that right off the TPI return back to mean."
"501190","506830"," Another thing would be to be watching this blue line on the hourly for trend to continue. "
"507770","511710"," Uh, but to be honest, it would be, it would be the most bullish."
"512789","517530"," For us to go higher, break through and continue on."
"518090","521429"," Uh, and strength on into a monthly move here. "
"522830","526590"," Uh, so I don't even know if we get a bad CPR report."
"528170","530710"," Or let's see a neutral CPR report."
"530830","531830"," I want to be aware. "
"532230","533010"," This is some other problems."
"533870","538110"," I'll show you the market breath indicator because we're kind of top of the top of the breath as"
"538110","538370"," well."
"538950","540710"," So we could have a pullback here. "
"540710","545370"," Uh, you know, uh, slap, you know, you slap a high and then you have a pullback."
"545570","551010"," But on an hourly and then a daily chart, there's a couple of places to be looking, uh, looking at."
"551090","551290"," Okay. "
"551590","553470"," I'm going to change this previous side of right here."
"554190","556410"," And I'm just going to, I'm just going to keep that right there for there."
"556510","557890"," I'm going to look back on the daily as well. "
"559770","562250"," And this is really the big one right here."
"562670","568010"," So you can see this daily, if this daily comes up in here, you see this, if we catch this,"
"568310","571090"," right, I want to this confluence of S3 in here."
"572190","577210"," If we are able to catch this confluence on a daily chart, it's not going to matter. "
"577350","582390"," You know, that sounds crazy, but, uh, the confluence of this daily chart of this green and blue"
"582390","582930"," line right here."
"582970","587470"," If we catch that at any point this morning or later this afternoon, we don't break."
"587890","589690"," We don't break this previous low. "
"590110","591490"," Uh, and we hold this."
"593150","595090"," It's possible we could continue higher."
"595090","603570"," Uh, and this would be the catalyst for the market moving higher outside, break free of the downward"
"603570","604870"," channel you've been in all year long. "
"605790","607650"," So I'm interested to see that today."
"607950","610250"," What happens on the daily and the hourly."
"610750","611270"," Truly. "
"612610","614950"," If you are a, if you're a bull."
"616730","618470"," You want to see this hold right here."
"619110","620290"," That's really all you need to know. "
"621090","622210"," That's truly it."
"622490","623910"," You just need to hold this down here."
"624950","625730"," You could care. "
"625990","628730"," You give rats ass about where we go in the next 15 minutes."
"629270","631390"," What you need to be caring about is this right here."
"631870","632470"," Just continuation. "
"633590","634570"," If you're a bear."
"635390","637430"," Now there is that trade lower for you."
"638150","639070"," But the juice. "
"640170","641750"," Is below this down here."
"642210","643650"," That's where you get real bearish."
"644610","647490"," Uh, and this break of the blue line right here is 39416. "
"648250","649150"," This is a nice trade."
"649410","651670"," You got a couple of good trades in here as a bull as a bear."
"651670","653750"," You got, you know, the trade down here. "
"655050","656810"," You have this trade down here."
"657570","659470"," Uh, but the juicy part of this trade."
"660530","661770"," This is like the blood. "
"661950","663370"," This is JPM telling you."
"663830","664890"," I'll tell you about JPM."
"665230","666330"," They, they released. "
"666790","668150"," They did a couple of things this week."
"668810","671810"," They're open to us going higher and they, they can be now."
"672170","674210"," They're saying no though in the back end right there. "
"674270","676370"," Their, their, their hedging says that."
"677590","679530"," We're going to peak out at four, six, five."
"679530","682530"," We're going to roll this thing down and blood bath down to. "
"683190","683930"," I don't know."
"684450","684850"," 3200."
"685290","686210"," That's like 800 points. "
"687190","687970"," Uh, it's from mid March."
"688910","690190"," Does that happen or not?"
"690330","690710"," I don't know."
"690970","691710"," But I'll tell you that. "
"691790","692170"," I'll tell you what."
"693490","697610"," Uh, if we get underneath, if we get underneath these moving averages here, right?"
"699130","700390"," Doom and gloom down there."
"701190","703310"," You know, so, so this move here is not. "
"703610","705250"," Think about this in relative terms, right?"
"705830","708430"," You've got three 3800 3050."
"708430","709370"," It means nothing."
"710690","713750"," 32, 3200 is a huge move down. "
"713970","716570"," So bears need to be productive over here."
"717050","718730"," This is where a bear gets very productive."
"719690","725150"," Now if we go up and slap up higher and we start trading back down here, all the bull wants"
"725150","729890"," is for this to hold in the future, whether it's a week from now or two weeks from now, we"
"729890","733410"," trade sideways for earning season down here. "
"734730","735910"," And then a resumption higher."
"735910","740690"," And we'll talk about that later this afternoon or this morning about that resumption higher because"
"740690","742770"," that's what happened back here."
"744190","745350"," All this back here. "
"746090","751170"," Uh, we'll go back to the beginning on the first of the year and explain how risky we were down"
"751170","756390"," here to having a market crash instead retail with selling in banks or buying."
"756630","762010"," You can see it happening and I'll show you how you could have seen it happening back here and known"
"762010","763570"," that we weren't going to bloodbath."
"763570","769010"," They were actually going up because the videos that we've made actually actually talk about what"
"769010","774150"," was showing differently than this bearish formation over here. "
"774310","774370"," Right?"
"775930","779430"," So we'll talk about all the things that led up to this moment that we're going higher."
"779890","785090"," We're going to talk about when we should expect a real true market crash at some point this year."
"785890","787730"," We'll talk about the yielding version. "
"788030","788810"," A bunch of other crap."
"790270","791010"," We got what."
"793430","795550"," 13 minutes until the until the open right here. "
"796250","799910"," If you want my take and what I think is going to happen this morning personally make sure I got"
"799910","800070"," the."
"800790","806390"," Let me get the guy speaking here in the background so you can get the news from him directly."
"807790","809910"," I'll be quiet when he starts talking this morning. "
"811630","813150"," Do you want my take on this?"
"813470","814430"," I don't think it matters."
"815290","817130"," I don't think CPI matters."
"817130","821910"," I think what mattered was that we had the accumulation down below my banks. "
"822650","823510"," They wrote it up."
"824590","829530"," And they're and they're more than likely not positively show that we get up this high up here."
"830090","831830"," But their job is done at this point. "
"832570","838470"," The CPI report to me is a moot point just being used as an excuse or a reason."
"839070","842410"," So they've taken it up high enough where they can take profit if they need to."
"843250","844970"," If they blast it up north here. "
"845190","846230"," They've done their job."
"847810","849330"," There's not much to say on this."
