"start","end","text"
"260","1260"," Check 1-2."
"1440","6440"," This leader is provided to permit the projectionist to complete adjustment of focus and sound level"
"6440","8160"," before the film begins."
"103450","103590"," Good morning. "
"105950","110350"," Good morning out there."
"110550","111490"," Hope everybody is doing well."
"120220","121940"," Alright, so I got all that stuff up there. "
"122080","123100"," Let's go right into it this morning."
"124240","133780"," Tell you what, trying to get the stream up has become much longer unexpectedly."
"135720","139920"," I got extra stuff to do in the morning so I can make sure that I'm coming in a little"
"139920","140520"," bit early here. "
"142220","144820"," Okay, so let's get started right away this morning."
"145180","151680"," We were up this morning early and then we sold off before we even got here underneath the pivot."
"153060","154420"," Not what I want to see. "
"154780","156260"," Now, I am in calls."
"156640","162980"," I was in calls overnight for, I believe I've got them for the first, I'll check my broker just"
"162980","164600"," opened, but I'm not in it at this moment."
"165200","171500"," Now, if it is selling off into the next day, I will hold, it's the only time I'll hold an"
"171500","175980"," overnight position as if it's down into the open. "
"176200","179520"," If it's up, I take it right on the bell, but if it's down, I hold on to it."
"180480","183260"," So, take a look at those calls this morning and see how they're fairing."
"183260","185800"," So, we're now 10 minutes away from the top of the hour. "
"185980","190520"," One of the headline events for the day with the US conference board consumer confidence for gas, a"
"190520","198020"," 108 spot five prior 107 spot one range of 112 spot four to 105 spot four."
"198300","200580"," We do also get the Richmond Fed Composite Index."
"200940","203280"," Prior minus 11. "
"212690","213990"," No, they're not doing too bad."
"214230","214890"," They could be worse."
"216610","218010"," They're doing, they're doing all right. "
"218230","218850"," They're still healthy."
"219510","221930"," So, that wasn't actually too bad."
"222990","225450"," So, I've got some calls for the first. "
"226510","231030"," Now, there are some call buyers this morning again at 398 C."
"232490","237310"," That's got me not quite worried at this point, but not happy either."
"238290","241230"," So, right off the bell this morning, we've got for February 28."
"242130","247270"," Today we've got 60,000 calls on 398 C."
"248650","250110"," Kind of in the money, right?"
"250670","254250"," And we're below the pivot this morning and it is end of month. "
"254810","259350"," We talked about yesterday that this isn't our market, right?"
"259769","262470"," So, and where is the market going?"
"262790","263550"," Fascinatingly enough."
"264530","266270"," A couple of people that I look up to."
"268730","271310"," I look towards to for their guidance sometimes. "
"272410","274570"," Have the same opinion as I do."
"274930","277890"," And so, I went and checked in with those guys late last night."
"278070","280210"," And they're the same, they have the same opinion that I have that. "
"280810","285350"," It's really is too hard to call right now where this market is and where it's going."
"286550","289890"," You could have like one guy that's like, yeah, it's going up and if it goes up, you can be"
"289890","292790"," like, yeah, look and I called it and the other guy could be like, it's going down."
"292790","294850"," He can be like, yeah, I called it. "
"294990","299770"," But the truth is that you really can't call it at this point."
"299890","304330"," There's nothing to call as to where this market is going right now."
"304570","308010"," All indicators are pointing in different directions. "
"308270","317050"," I'm looking at PPOs and PPMs and the PPM, PPMs are disagreeing with each"
"317050","322770"," other."
"323770","345530"," I'm"
"345530","352750"," looking at PPOs and PPMs and PPMs and PPMs and PPMs and PPMs and PPMs and PPMs and PPMs and"
"352750","352750"," PPMs and PPMs and PPMs and PPMs and PPMs and PPMs and PPMs and PPMs and PPMs and PPMs and"
"352750","352750"," PPMs and PPMs and PPMs and PPMs and PPMs and PPMs and PPMs and PPMs and PPMs and PPMs and"
"352750","352750"," PPMs and PPMs and PPMs and PPMs and PPMs and PPMs and PPMs and PPMs and PPMs and PPMs and"
"352750","355290"," PPMs and PPMs and PPMs. What am I fighting end of month for two days?"
"355790","359410"," If this is a bank that's like we wanted here, why fight that?"
"359530","360050"," There's no point. "
"361950","366930"," So I think that's where I was left with last night was let this care out for the end of"
"366930","367130"," the month."
"368190","374130"," There's no point in trying to fight where the market is and where they want the market, right?"
"374270","375350"," Where they're going to park the market."
"375550","376830"," They're going to say, I want it at this price. "
"377390","379010"," We don't care what you want, right?"
"379010","381610"," We don't care what sentiment is."
"381690","384830"," We don't care what the buyers want or the sellers want."
"385410","386390"," We want the price. "
"386850","387650"," It's our market."
"387810","388670"," You just get to play in it."
"388750","390850"," I think that's what I'm left with here. "
"391590","395470"," Now, there's some other things I talked last night on the phone with a few people about."
"396210","398470"," So we'll make it into that today as well."
"399190","403890"," I was talking with a friend last night and I said, boy, I said, you know what?"
"404570","405850"," I said, I don't. "
"405930","406810"," So the past couple of weeks."
"408050","413930"," I said, I've done done better with my one and two date positions than my zero date positions."
"414090","415290"," And it's become more glaring. "
"416850","420030"," This being the second week where I'm down on the first day of the week."
"420950","422650"," So I'm like, this is odd and not usual."
"423490","426850"," And the other thing that we were talking about in this conversation was. "
"428010","430990"," Is our zero dates under the microscope right now?"
"430990","432330"," I was like, you know what?"
"432450","433310"," I wonder if they are."
"433970","438570"," You hear people out there that will say they'll start to speak like they know what they're talking"
"438570","439410"," about in zero dates."
"439810","442070"," And you're like, that motherfucker doesn't trade zero dates. "
"442110","443170"," The fuck he's talking about."
"443590","450010"," And you realize that though they may not admit it, they're probably out there day trading zero"
"450010","450330"," dates."
"451430","456890"," You know, when something goes into the microscope, everyone out there now says, you know, fuck"
"456890","458010"," those zero date traders. "
"458010","463050"," But in fact, more than likely you're attracting that person to trade zero dates."
"463730","466390"," That wouldn't normally trade zero dates."
"466410","468810"," So that leads into the next question. "
"469290","469990"," Hold on a second here."
"471570","474770"," That leads into the next question where you're like, Hey, I wonder if."
"475450","480870"," I wonder if I was a, if I was a buy or sell side, by fact, I had a bot. "
