"start","end","text"
"1029","2950"," It's just been non-fucking-stop."
"5160","6480"," I'm just going to get right into it."
"6700","7520"," I'm going to skip everything. "
"7980","11060"," We're going to switch right over because there's just no point."
"13980","15020"," So we'll see if this works."
"17380","18500"," We'll make this simple today. "
"19740","23640"," I got here indicator not working today just doesn't feel like we're going to install lazy."
"27460","29180"," I got YouTube that doesn't want to work."
"33500","35840"," I got Google Chrome that's a fucking disaster today. "
"37380","39020"," I don't know exactly what's happening this morning."
"39320","40820"," I kind of know what's happening this morning."
"41000","41580"," I think I do. "
"41760","42400"," It has something to do with Chrome."
"43900","46240"," I'm having issues streaming this morning."
"46360","49160"," I'm having issues with Chrome and logins and all over the place. "
"49660","50800"," Here are indicators down."
"51180","54080"," I've had to contact different services this morning."
"56240","60380"," My frustration level is at peak levels right now. "
"61440","62680"," So bear with me this morning."
"63300","65780"," I don't like being stressed out especially after a nice long weekend."
"65940","66600"," The weekend was awesome. "
"68300","70160"," So I'm a little good morning, everybody."
"70340","76400"," If you're actually, I've tried to put this live stream up three times now in all three, but kind of"
"76400","76760"," a disaster."
"77220","78340"," So I'm going to try this one more time. "
"78720","83980"," Give me just a second here because I got to get on Twitter and delete some posts that said this"
"83980","88040"," is the live stream and it's not going to delete this one."
"89640","91980"," I'm even having trouble with Twitter this morning."
"92200","94380"," Having trouble all across social media. "
"95840","99780"," Google having problems, having problems with brokerages, all kinds of nonsense."
"100140","101260"," I don't know exactly what's going on."
"101580","102840"," I don't know if it was a Chrome thing. "
"104220","112040"," When the Chrome thing came out, I wiped out my history and then started reset passwords and then I"
"112040","112520"," don't know"
"112520","124360"," if"
"124360","124360"," it was lag."
"124360","125800"," Whatever it is."
"126780","128160"," So fucking be it, I guess. "
"128639","131440"," So that's what's happening for this morning."
"131840","134220"," We are blasting above some resistance this morning."
"134280","135180"," We got a bunch to go over. "
"135640","137260"," Dude, I don't even know what that's about."
"137260","141940"," I got like fucking crazy, crazy town going on this morning."
"142040","144280"," I've got like stuff, not. "
"145180","148720"," Oppa forms or it could."
"149420","151100"," I got some more trick going on."
"151700","155260"," Like I got placards, not fucking uploading. "
"156460","156860"," Whatever."
"157200","158820"," So we're just going to do it like this this morning."
"161960","163220"," Oh, we see here. "
"163320","163760"," Give me a second."
"164600","165900"," We're going to do it live."
"170900","172380"," Thanks, I bear with me here. "
"186620","187100"," All right."
"188360","190040"," Pile in this morning, boys and girls."
"190200","191120"," Hope you all had a great weekend. "
"192420","194460"," We have a little chit chat session this morning."
"195160","196420"," We got a lot to go over."
"199860","204720"," Okay, so we are breaking above that this resistance this morning, right?"
"204860","205740"," We held for 10. "
"206000","207080"," We dipped a little bit down."
"207080","209440"," I think it was like 409, 81 or something like that."
"210940","212960"," And we are trading higher at 415 12. "
"213520","215260"," We'll be looking to make a support here."
"215840","217180"," Turn this for 14, 415."
"218240","219800"," I'm left scratching my head this morning. "
"221300","222940"," You know, 410 P's."
"223200","225120"," They've been loading up on these things since the bell."
"225300","227500"," They're now down to 69 cents, 67 cents. "
"227920","230260"," They're like two fucking dollars on the bell this morning."
"231220","233900"," But crack smoking, if you think you're going to buy that shit."
"235160","235880"," Crack smoking. "
"236960","241040"," That's probably a place today to buy some puts, but not two fucking dollars."
"242360","244060"," They're bouncing around right now."
"244060","246000"," But we'll talk about that. "
"246160","249340"," We're going to talk about that this today and the rest of the week we have lining up."
"249880","254100"," I do want you to see here right off the bread off the bat this morning, seen as I'm a"
"254100","254800"," little late here."
"256779","259140"," You got some major resistance above here. "
"259200","260600"," It's not quite showing up here."
"261460","261920"," Right there."
"263540","265700"," So right where we are right now, okay, you've got sellers. "
"268600","275180"," You've got sellers over here between where we are currently in this 417 level, but they're weak"
"275180","275580"," sellers."
"275580","279040"," You can see right here, we're following my curse right inside the weak sellers."
"279240","279800"," Forget about the heroin. "
"279800","282060"," I don't know why it's not working right now."
"283960","286500"," Major sellers are above, though, at 420, okay?"
"287980","289640"," And we could reverse any point in here."
"289760","292100"," We could reverse between here and 417, 420, whatever. "
"292220","292780"," It doesn't matter."
"292940","295720"," This is kind of like a trapping type environment."
"296080","302060"," The one fear here is this, is that if you're a bull in early, you could get trapped. "
