"start","end","text"
"26840","31490"," Yeah, baby, back out of one more day."
"32150","33090"," Good morning, Chaz."
"33370","33590"," How are you?"
"34490","35270"," Morning Joshua?"
"36150","37130"," Morning Jake, you?"
"37650","38730"," Where we roamed?"
"38870","39110"," Good morning. "
"40010","40570"," Teagan, good morning."
"41230","41970"," How's everybody doing out there?"
"42650","43750"," You guys all hanging in out there?"
"46190","48050"," Morning D.O., morning fisted."
"49630","54590"," Yeah, I've got hopefully I got some coffee, I asked for some coffee, but hopefully I can get a"
"54590","59850"," couple of my throat's a little sore too, so I hope I'll talk about that later. "
"60450","63390"," Good morning Lofi, or Lofi."
"65170","66270"," Morning fazed on."
"70070","72510"," How's that Spidey senses out there Teagan?"
"73630","74830"," I said old crispy"
"74830","86570"," old"
"86570","90470"," man I hope you all closed your calls last night. "
"91290","95390"," I hope we're saving some of you some money out there."
"97750","105930"," Morning Desperado, blind nest owl, BTCCK, Ryan Mihai, where we roamed, and this is the end of"
"105930","108430"," season we trust, Chantu, and Billie S."
"108650","113850"," Bugcat, boy I'm on Twitter and I'm looking around and I'm like man, Twitter is getting slow these"
"113850","117050"," days, especially Fintuit, weeding them out left and right."
"118550","121630"," Trying to find out who's gonna make it through all this shit show, right?"
"122210","122610"," Billie S."
"122850","126330"," Bugcat, Bagholder, Ace Man, Samuel, Binky, good morning. "
"128009","130810"," Shit's gonna hit the fan, huh?"
"131650","133510"," Jason, my brother, good to see you."
"134770","135170"," HP."
"138090","141730"," All right, so we are going to switch over. "
"141730","142670"," We got a lot to talk about this morning."
"142790","147830"," I did, I was watching, if I was reading, trying to keep up on discord this morning, someone had a"
"147830","153290"," great question and they asked about Flow Algo and you know it's a great question."
"159650","163910"," We're gonna quickly talk about Flow Algo, okay?"
"164730","169510"," And the reason that I like Flow Algo is because when I'm on some other flow sites, I'm not"
"169510","171590"," affiliated at all with Flow Algo. "
"172350","177330"," You guys don't have to buy it, it's expensive, whatever you use that works for you, stay with it."
"177770","180750"," The reason I use it on the question that was asked was, what is he using?"
"180970","188350"," It's because from looking for the most direct information that's impacting the market and"
"188350","188810"," currently."
"189710","194490"," And for me, I find that there's a story that's told by Flow Algo each day. "
"195470","199050"," So each day you'll see a bunch of calls, let's see a bunch of calls come out right at the"
"199050","203910"," bell, you'll see a bunch of quick pumps on individual tickers, and then those tickers sometimes"
"203910","204850"," will fall off, right?"
"205590","207910"," But then you'll see a story get written throughout the day."
"208270","213390"," You'll start to see specific tickers over and over and over again in the course of a day."
"213490","218750"," So this is from yesterday and you'll start to see the same tickers come up as the day progresses. "
"219750","224230"," You'll see the algo score here on the right-hand side with these blue bars that give it a higher"
"224230","227010"," score depending upon a bunch of different factors, right?"
"227870","232230"," And then when there's moments of weakness in the market, you'll start to see some put flow in"
"232230","233370"," between these moments, right?"
"233950","238090"," And I'm going to show you one other thing here to just try to give it to you in a"
"238090","239350"," more concise manner."
"239690","247090"," You can see the flow ratio up here as well, but what's key about Flow Algo is you'll see each"
"247090","251730"," day I'm telling you, hey remember we looked at this, hey remember we looked at that, right?"
"252190","254090"," And you're going to see some weird things, right?"
"254270","258370"," You're going to see an example for yesterday was Joby, J-O-B-Y."
"258490","262070"," We don't ever see call Flow on Flow Algo for Joby. "
"262530","265950"," So we'll see if we see something unusual like this, right?"
"266110","270950"," It sticks right up on our screener and we're saying, why is there so much interest in Joby this"
"270950","271130"," afternoon?"
"271890","273790"," Why is there interest in open this afternoon?"
"274370","276210"," Why is there interest in SC this afternoon?"
"276450","278010"," Why is there interest in Roblox today?"
"278590","279290"," That doesn't carry it."
"279410","285490"," Sometimes if you don't see the flow, if you see the flow all day long, you don't see a day"
"285490","287290"," two, three, four, five days down the road."
"288290","294010"," But if you're seeing that action that day, you can usually guarantee that action is important for"
"294010","294570"," that day, right?"
"294810","299510"," You're of mine to a stock, Roblox, a good example, but let's see you buy into a stock, you see"
"299510","304490"," some flow into it, you buy into it, and the second day everybody leaves your stock, right?"
"305390","309410"," So if you start to see reaction right away that day, we trade it that day. "
"309670","316050"," If you don't see any reaction that day, you should then hold for a longer period of time and track"
"316050","320090"," those options and make sure that there's still interest in them over time."
"321650","325090"," But you'll see, you see space here yesterday with 18 orders yesterday."
"325990","327230"," Very unusual for space. "
"327430","329130"," We don't see flow like this, right?"
"329550","331770"," So this is clear, concise, actionable flow."
"332470","337370"," I know I've used all the flow services out there, and this is the one for me that I can"
"337370","338810"," that I can pee into."
"339130","342050"," So if you're listening to me all morning long and you're like, why does it keep mentioning space?"
"342590","343810"," Why does it keep mentioning space?"
"344110","345590"," Why does it keep mentioning space, right?"
"346150","347310"," It's because it's unusual. "
"347650","351850"," It's because we've got multiple orders of that space flow, right?"
"352530","354210"," But it's something to key and target into."
"354490","355770"," Now this doesn't hit everything."
"355770","359830"," You'll see some tickers fly all day long, and it will all go miss it. "
"360150","365170"," But consistently over time, if you were to use flow server, all right, well me using flow services,"
"365450","369870"," I've had the most success overall by using flow agos."
"370050","372930"," So when I'm calling out tickers to, it's not all the flow that comes through."
"373490","378970"," This is, I'm picking from flow that's already been handpicked over from the larger sites. "
"379010","383770"," When you start seeing all this information across other sites, they're condensing it, and then I'm"
"383770","388830"," condensing it down even farther for you from my experience with flow ago over time."
"389370","390570"," So I'm going to keep that short."
"391230","398370"," I'm sure that somebody else can answer those questions for you more clearly in another in a discord"
"398370","402590"," or somewhere else where you can you can even get a trial for it and then just don't sign up"
"402590","402950"," for it. "
"403550","406510"," Cleaning the trials like 30 bucks, seeing at least going to feel for it."
"406610","412170"," If you ever get this for the first time, it took me like at least a month to be able"
"412170","416230"," to start following along and find out which flow was worth it and which flow was not worth it."
"417450","419210"," Next thing for today, it's already 917. "
"419710","421810"," Next thing for today, we had Shopify earnings this morning."
"422510","423910"," No Bueno, right?"
"424010","428870"," We've got Nvidia earnings after the Bell today, which is big quantum scape, Matterport, Marathon,"
"429670","431990"," Cisco, DoorDash, Fastly."
"432130","433650"," So we'll be tracking these today. "
"434650","437350"," We've got Palantir on Thursday before the Bell."
"437570","440770"," We'll take a look at the market profile for this one again."
"441510","443890"," We know Palantir, the support right now is down at 10 bucks. "
"444070","447510"," We have Walmart, Roku, Fiver, Dropbox, Sunrun."
"448010","455290"," We saw some movement yesterday in these alternative energy stocks and ETFs."
"455330","463750"," We saw movement as well yesterday in, I think it was in, what is it, semiconductors?"
"464310","465970"," We got Yeti Quiddell as well. "
"466530","467290"," Redfin still."
"467770","472210"," So we still have some big movers this week for DraftKings and John Deere on Friday before they"
"472210","472470"," open."
"473490","476610"," Today, the big news, we've got some oil news coming out. "
"476710","477630"," I think it's 10, 10, 30."
"477870","479870"," And then we've got a roll of contracts coming out on oil."
"480330","481410"," I believe that's on Thursday. "
"482730","484450"," And then we already had most of our news today."
"484530","486830"," The big news today is of course going to be FMC minutes."
"487230","490710"," The only thing I want to say about that is there was no reaction to PPI. "
"491230","499030"," We had a reaction on CPI, but we don't know if in the minutes there was a discussion saying, hey,"
"499310","506410"," if CPI was hot and PPI was hot, maybe we're going to use our tools more aggressively."
"507250","511409"," And so that I think is where some of the volatility lies in the market right now."
"511870","514549"," So just be conscious of that for waiting for that 230 hour. "
"515010","520990"," I typically end up trading FMC minutes against whoever has more calls or more puts, whoever has the"
"520990","521590"," most to lose."
"522150","524130"," So we'll track this as we get closer to the 230 hour today."
"524910","527470"," Next thing we're going to go to a spot again report for this morning. "
"529190","536850"," Futures are trading at $44.54 down from over the highs of $44.83. Models to continue to estimate"
"536850","542230"," high volatility resistance at $44.70. And then $4500."
"542430","544730"," Support is at $44.50 and $4400."
"544870","545930"," We know about these support levels. "
"547130","552230"," We've seen a shift higher in the gamut tied to $4500 and view that as resistance into Friday's"
