"start","end","text"
"1540","3120"," Why do I fail to post?"
"4260","6260"," What is going on with this stream?"
"7580","12080"," I don't know what is going on."
"13400","14420"," I think I'm live."
"14780","15219"," I'm not sure. "
"16360","18200"," If you can see me out there, let me know."
"32220","33100"," Failed to post."
"33520","33520"," Okay. "
"37740","38760"," So frustrating."
"41720","43020"," Can you see me?"
"44520","45760"," Can YouTube see me?"
"45860","46900"," I hope that YouTube can see me."
"48680","49440"," Sorry about that. "
"49480","50840"," I'm having issues this morning."
"56140","57840"," Yeah, I'm having, I'm having issues."
"58060","59800"," This is YouTube issues. "
"63739","65660"," Just saying is we are selling this morning."
"108140","112180"," According to the White House, he is President Biden will make remarks on the job stay throughout 10"
"112180","113620"," 45 a.m. Eastern time."
"128160","128780"," Fair with me. "
"128860","129520"," We're just a minute here."
"129680","131800"," We are selling right now this morning right off the bell."
"132020","133460"," Not, not even waiting this morning. "
"134280","135200"," Give me just a second here."
"135220","136100"," Leave this up for you."
"136380","138240"," And I'll be right back with you in here in just a minute. "
"179540","181400"," Having some issues this morning."
"182400","183300"," Just a second here."
"193460","198820"," Is anyone having an issue logging into anybody a thicker swim customer?"
"199840","201280"," Maybe having an issue this morning. "
"201620","203300"," I'm having issues with YouTube as well."
"218500","220280"," Yeah, I'm having issues all over the place."
"230850","232090"," Give me just a second here. "
"252200","253460"," How's everybody doing this morning?"
"253660","255180"," Some of you made a lot of money yesterday."
"255399","256459"," I know that for sure."
"257779","259220"," Myself not so good. "
"259500","261380"," This is probably going to be my one."
"262020","264600"," Losing first losing we could have had some time."
"265300","266200"," So not a half. "
"266340","267520"," Definitely not happy today."
"267980","270220"," It actually bought the clothes yesterday."
"270220","276560"," And I have Netflix calls for today and I have spy calls that I bought. "
"277480","279640"," Maybe a minute at the close yesterday."
"280180","283680"," I don't think I said that in stream yesterday, but I'm not doing well on those right now."
"284060","288180"," As a matter of fact, I can't log into a couple brokerages right now. "
"288180","289560"," I'm going to find out what's going on."
"294300","296860"," But I think it's I think it's just something on my end."
"306740","309000"," We have a lot to talk about this morning. "
"309860","311200"," We're going to talk about."
"312340","313420"," Upload thumbnail."
"314260","314880"," Please let me do that. "
"315080","319420"," Just noting as well as the banking sector continues to suffer on this SVP."
"319760","320020"," Yeah."
"320600","324420"," Deutsche Bank and Avonza Bank shares and credit suites will extend losses. "
"324880","327600"," I want to warn you eight and nine spots, six percent collectively."
"327600","332820"," I was saying this yesterday, it closed yesterday for the top of the hour where we are expecting"
"332820","334540"," comments from the president of God."
"336980","340380"," There's kind of a so I'm a little bit older here. "
"341100","343840"," I'm not going to tell you my age, but I'm a little bit older."
"345260","349620"," And yes, the last half hour of the stream yesterday or so."
"352570","354490"," And then after the stream yesterday. "
"357750","360870"," I was talking in stream yesterday, heading into the close yesterday."
"366430","368490"," And about about the market, right?"
"368830","371430"," And one of the fascinating things about the market yesterday was that."
"371770","375610"," We'll just start talking about this right now for a brief moment. "
