"start","end","text"
"26560","27840"," Good morning, your wife's boyfriend."
"28040","28500"," Good to see you, brother."
"29320","29820"," As usual. "
"31900","32840"," Good morning, Joe."
"33500","35180"," Good morning, Jafar."
"35840","36760"," Joe, I got a talk to you. "
"36900","37500"," I'm going to give you a call today."
"39220","40420"," Juice 389, good morning."
"42780","44000"," How's everybody doing, Richard?"
"45020","45680"," Morning, brother. "
"46020","46320"," How are you?"
"48560","49600"," Good to see everybody."
"50660","51860"," Hey, Zon, good to see you."
"54840","56320"," Everybody's awake this morning, right?"
"56900","57480"," That's what I was thinking. "
"57680","58620"," Everybody's awake this morning."
"59520","60580"," Big, huge day today."
"62000","63780"," Big, huge day today. "
"65280","68940"," Big, big morning."
"75890","78030"," I have an alarm going out."
"78410","79390"," Good morning, Mihai. "
"80910","85990"," I wanted to say thank you, Mihai, for the support of the channel yesterday."
"90020","92980"," So it looks like extensions are going down in Rushview, Ukraine, right?"
"93220","93800"," Is that right or wrong?"
"94960","96040"," Morning, Josh, how are you?"
"96240","98060"," GP, JMac, Dilius."
"98360","99460"," Can you turn my alarm off, please?"
"100900","104780"," No, I can't hear it, but my headphones. "
"105720","106280"," Thanks, Lavi."
"107700","109440"," That may be my intern."
"110800","112500"," Good morning, not a suit, morning, Dilius. "
"113560","114860"," Alright, what are we going to do here?"
"115380","119100"," We're going to talk about this morning, we're going to have to go over."
"121200","127199"," We're going to talk about CPI, the number that everybody's thinking about."
"131090","134230"," Yeah, you have to go have a wonderful morning. "
"135750","136990"," The guy's been very busy."
"137170","138690"," He's got a bunch going on right now."
"141210","142670"," Oh, thank you, thank you, Mihai. "
"143650","145350"," Alright, so we're going to switch over this morning."
"145350","149150"," And we're going to take a look at some information."
"149150","150910"," I'm going to bring something else up here. "
"152110","153170"," Let's start here."
"155690","156750"," The Rusk is active."
"157070","158090"," Yeah, I saw that, right?"
"158550","160290"," The Diploats to leave. "
"160490","161350"," I saw that this morning."
"161670","162590"," Good morning, Euroboomer."
"162970","163270"," How are you?"
"167160","168040"," Yeah, later, donut. "
"168400","168700"," Good."
"168800","170220"," It's got a bunch of stuff going on right now."
"170460","171080"," He's busy. "
"171080","175120"," So we've got a, we'll start right away."
"175500","177780"," We have a lot to get out before 830 this morning."
"178400","184580"," Everybody knows that today is CPI, why the market is where it's at right now for CPI. "
"185860","189420"," We're going to roll into a bunch of information for you this morning."
"190340","193460"," Just a side note, some great earnings, right?"
"194060","198580"," We saw some great reports overnight and then again this morning, some great reports as well."
"198580","205000"," I was listening into some of the guidance calls and same story, right?"
"205140","206040"," Everybody's had a great year. "
"206660","207480"," Everybody's raising prices."
"208160","210360"," Their concerns are still in shortages and inflation."
"211180","212460"," It was interesting this morning. "
"213000","219660"," Some people are looking forward to shortages and inflation going down this year, whether there were"
"219660","223800"," hopes of that happening this year and a lot of the reports or the guidance reports that I was"
"223800","227000"," listening to, which is similar to what Teslas said, right?"
"227200","231520"," They hope that shortages are going to go down and then inflation decreases."
"234760","235820"," Rather calm out here."
"235980","236240"," Trust me. "
"236340","236440"," I live."
"236860","237340"," Oh, you do."
"238400","239820"," You live a hundred twenty kilometers away. "
"239940","240500"," It's very close."
"241820","242560"," That's concerning."
"244960","246140"," That's very, very close. "
"246420","248840"," 120 kilometers is not far away at all."
"250380","251300"," Bill, good morning."
"251540","251780"," How are you?"
"255450","256649"," Trying to get my coffee on. "
"258029","258670"," All right."
"259329","261610"," So we got some information out there for you this morning."
"262290","264990"," Now, with that all said, right, we saw some great reports this morning. "
"265170","266810"," Indexes didn't weren't phased by it."
"267290","268890"," They weren't hearing anything that had to do with it."
"269170","273810"," I do want you to see this fine profile chart here. "
"274670","280350"," And it was a 15-day, 15-minute chart, but I want you to see where we are right now."
"281890","283750"," And we're going to come back to this later."
"283990","286730"," We're going to touch on this on the regular chart here. "
"287290","293890"," If we get a good report this morning, we are looking for a good report to trade higher."
"294610","297230"," Like the report, the CPI report has to be good."
"297450","299490"," It has to be higher than expected. "
"300470","302730"," Let me see if I can get some for a little while."
"303070","305570"," I should say lower than expected, not higher."
"307090","309450"," I mean better or under. "
"309830","311990"," So we have a report that's under this morning."
"312690","318630"," We should trade much higher if we have a report this morning that is in line with estimates."
"319530","322990"," There's a fair chance that we're going to trade back down in here. "
"324110","328450"," Now, Spock, I have my thinks claiming 45-20 is support."
"328630","333830"," And it's right where this iceberg begins down here, but it wouldn't shock me if we had a report"
"333830","337270"," that was in line to have some consolidation down in here."
"339830","342170"," You guys remember back when we go back to events?"
"342910","345290"," We go back to the last minutes that we had. "
"346070","348330"," And it was kind of a thank you for playing kind of a moment."
"349590","353930"," They rolled everything up and then they traded higher or lower a day or two later."
"354750","356610"," And the report means nothing, right?"
"357810","359030"," So be careful for that this morning. "
"359070","364970"," If we get a report that's in line, we could wind up consolidating in here the next couple of days"
"364970","370190"," with maybe in a Friday with a ship, a move higher or lower, a Friday or Monday."
"371650","372930"," Now, three poor comes in lower."
"373410","374850"," We'll blast off higher. "
"375030","376690"," We're going to go rip and hire probably to."
"377610","381230"," I think Spock, I was saying 4600, but I think we can trade as high as 4640."
"382010","385510"," That's what I did a retracement on it. "
"385690","387710"," And that's what we tagged at 4640."
