"id","start","end","text"
"ybmoBce3Yd0","0","2520"," I'm so happy because I'm a gummy bear, gummy bear!"
"ybmoBce3Yd0","2520","20240"," Hey everybody, Captain Jim James here with your weekend brief."
"ybmoBce3Yd0","20240","25300"," I think the last video I did was on Friday or over the weekend."
"ybmoBce3Yd0","25300","28360"," So, I figured I'd do one more for Monday morning."
"ybmoBce3Yd0","28360","31660"," and just wanted to talk about the economic calendar quickly."
"ybmoBce3Yd0","31660","34160"," Well, first off, I hope you all had a great weekend"
"ybmoBce3Yd0","34160","35660"," where I'm living."
"ybmoBce3Yd0","35660","39460"," We've lost power for, I think, five days now."
"ybmoBce3Yd0","39460","43160"," And then it turned back on earlier today for about an hour"
"ybmoBce3Yd0","43160","44660"," and then it shut off again."
"ybmoBce3Yd0","44660","47560"," So I'm grateful that I have generators,"
"ybmoBce3Yd0","47560","50760"," although I did have to break out some portable ones as well."
"ybmoBce3Yd0","50760","53660"," But I don't know, I've got neighbors with no generators,"
"ybmoBce3Yd0","53660","58260"," no solar, and so I do feel for them"
"ybmoBce3Yd0","58260","60960"," and there are trees down everywhere."
"ybmoBce3Yd0","60960","62460"," But I'll fucking tell you what,"
"ybmoBce3Yd0","62460","64160"," I heard this argument this week"
"ybmoBce3Yd0","64160","68760"," that our state was too large to bury power lines."
"ybmoBce3Yd0","68760","71960"," What's crazy is the 10 states that are larger than us"
"ybmoBce3Yd0","71960","73960"," all have buried power lines."
"ybmoBce3Yd0","73960","78460"," You run the big transmission lines in the sky."
"ybmoBce3Yd0","78460","84760"," But from my perspective, it's definitely greed, corporate greed,"
"ybmoBce3Yd0","84760","86460"," and then union greed."
"ybmoBce3Yd0","86560","89160"," And I like unions, I'm not anti-union,"
"ybmoBce3Yd0","89160","91460"," but everyone's there to make a buck."
"ybmoBce3Yd0","91460","92760"," Everybody's making a buck."
"ybmoBce3Yd0","92760","96960"," And they up rate charges when these events happen."
"ybmoBce3Yd0","96960","101060"," So anyways, it just sucks mostly for the consumer."
"ybmoBce3Yd0","101060","103360"," So anyways, I'm moving on from that rant."
"ybmoBce3Yd0","103360","104960"," Hope you all had a great weekend."
"ybmoBce3Yd0","104960","109060"," Coming up this week, we do have some economic news"
"ybmoBce3Yd0","109060","111060"," to look forward to."
"ybmoBce3Yd0","111060","113460"," You know, the big ones are the Home Builders Index,"
"ybmoBce3Yd0","113460","115760"," or at least to me, the Home Builders Index."
"ybmoBce3Yd0","115760","117960"," Building permits, housing starts."
"ybmoBce3Yd0","117960","122560"," The FOMC meeting minutes on Monday are big right over here."
"ybmoBce3Yd0","122560","126560"," And then of course, it got claims and continuing claims on Thursday."
"ybmoBce3Yd0","126560","129760"," Now, on Tuesday, it's not listed here,"
"ybmoBce3Yd0","129760","136760"," but we do have a conversation with the chair at 130 on Tuesday with Chair Powell."
"ybmoBce3Yd0","136760","138560"," It's a virtual town hall."
"ybmoBce3Yd0","138560","142260"," You know, I would expect some volatility leading into this."
"ybmoBce3Yd0","142260","144360"," I guess the only real unknown would be"
"ybmoBce3Yd0","144360","149360"," are the people asking the questions pre-screened for this event or not."
"ybmoBce3Yd0","149360","153660"," If they're not pre-screened and you get someone from Main Street up there,"
"ybmoBce3Yd0","153660","156560"," you know, they have potential to the last show."
"ybmoBce3Yd0","156560","161460"," So I'm interested in the conversation with Jay Powell on Tuesday."
"ybmoBce3Yd0","161460","163660"," And then of course, the meetings on Wednesday."
"ybmoBce3Yd0","163660","167860"," I think this does set us up this week for a down week,"
"ybmoBce3Yd0","167860","174260"," but I do not think this is the pullback that everyone thinks we're going to."
"ybmoBce3Yd0","174260","177960"," I don't think it's necessarily getting started this early."
"ybmoBce3Yd0","177960","178960"," I have this."
"ybmoBce3Yd0","178960","181860"," Well, I think that we're going to have a down week"
"ybmoBce3Yd0","181860","186160"," and then we're going to keep going up for until September."
"ybmoBce3Yd0","186160","189660"," So I know that everyone's talking about this is the top."
"ybmoBce3Yd0","189660","193760"," This is the top where we're having a pullback right now or it's begun."
"ybmoBce3Yd0","193760","197360"," And, you know, if you look at futures, you know, futures show that same thing"
"ybmoBce3Yd0","197360","200360"," that we look like we're going down here this week."
"ybmoBce3Yd0","200360","205760"," I don't think it's going to be as severe as some would expect."
