"start","end","text"
"97610","98890"," Check one for you."
"113500","114700"," Good morning out there."
"129080","130820"," Okay, almost there. "
"134380","135760"," Right into it this morning."
"137000","138380"," All right, good morning."
"139800","141460"," Give me just a second here. "
"141920","142960"," A few things you got to do."
"148500","149520"," We got here."
"151740","154900"," All right, we're going to talk about a few things before the open this morning. "
"155820","160000"," We're going to look at some stuff as well in the background here for you."
"163080","165580"," Bring up the old trading view."
"165700","170620"," We're going to take out spy and Tesla this morning almost right away. "
"171160","175820"," We likely can predict some of the moves this morning, this Monday morning at some point."
"177060","180960"," So we're going to try to get this going really as fast as possible here."
"184000","186100"," I'm going to give you guys. "
"194360","197580"," 408.52 is a huge number this morning."
"200920","204060"," Actually tag the the Saturday."
"204300","207620"," I think a Saturday I gave you guys this this right here to be looking for. "
"210600","219620"," 408.52. Okay, so, um, 5.407 16."
"227770","230510"," I was moving everything over earlier."
"231010","241330"," I want you to know that right in here 408.52. Kind"
"241330","245230"," of a big deal for bulls right now where that little blue box is right there. "
"254300","265560"," And then our one is 409.32. Off"
"265560","266120"," the bell."
"273880","279880"," Just off the or just for this week we don't have real big huge or not expected huge range"
"279880","280400"," expansion."
"282120","284040"," Coming into the early part of this week. "
"285480","293900"," No, we've got our two at 410.59 or at least the options market is not expecting a huge move."
"293900","295920"," They're expecting a larger move later in the week."
"295920","300660"," Our three four twelve seventy five way up here. "
"303660","304960"," And then down below."
"308620","313580"," S one four seven seventeen four five eighty nine."
"316280","317200"," Press one. "
"318220","322360"," You can see some of this stuff is four three seventy three."
"326480","327540"," There's s two."
"328960","331500"," And then s three this morning is that. "
"333340","335680"," Some real walking is going on this morning."
"336140","338660"," My set up still my new set up is still not working."
"339440","340980"," Four of two forty six. "
"343780","349620"," Still just so you guys know you might see some weirdness this morning still still like still trying"
"349620","351360"," to work on the hardware solution here."
"351620","354940"," Just before just before open for you guys this morning."
"355560","360720"," So you know there's a there's a couple things you want to be looking at here this morning. "
"360720","363320"," We've got a nine minutes left."
"363320","370640"," So the first thing would be of course you see all of these gaps down below the market loves to"
"370640","371340"," close these gaps."
"371560","379280"," It'd be really nice to see those gaps get closed right off the bell. "
"379460","381440"," I don't know if that's going to happen."
"381960","387560"," I have a sneaking suspicion that we're going to go back up and retest the HD the H line above"
"387560","387980"," here."
"388480","394560"," Might squeeze up here and tag that then come back down and tag these below these gaps that we have"
"394560","395220"," down below here. "
"395280","396440"," So we do have some gaps down below."
"396480","398780"," We'll write those in right now."
"399600","401840"," Now we might just get off and running this morning. "
"401840","402800"," It's very possible."
"403380","406800"," And I'll show you why here in a few moments why you might opt you off and run them."
"406920","408680"," I don't like leaving them behind either. "
"408840","411540"," When we leave them behind we tend to come back to fill them."
"411700","415940"," We could fill them later in the week with the volatility that we have ahead of us."
"415940","420880"," Now we also have the closing price which is right where this gap is right here. "
"421380","424660"," We have the first previous low from."
"424820","428560"," This is your first one right there from yesterday."
"428560","432320"," So I've got these pivots above and below to close this morning. "
"432960","441360"," We're going to look at the one minute here and 408.52. Let me take a look at this right"
"441360","441560"," here."
"443560","445900"," On the one minute there's no gaps but there they are."
"445980","446860"," I promise you they're there. "
"449720","452140"," We'll just leave that as a nice small little box in here."
"452360","453940"," Bulls want to defend that completely."
"463080","464620"," There's some little gaps down here. "
"464740","467200"," Let me put a box in for those gaps that we see."
"469160","472460"," Just before the oval pop box in for these gaps down below."
"473760","481210"," And we'll make it like a dotted line so you know it and then we'll do a little fade like"
"481210","481470"," that. "
"482070","485230"," You can see where those gaps are on the one minute this morning."
"488660","489940"," And there's a couple gaps above."
"490220","491860"," Do you see one gap here in the one minute?"
"492000","492900"," There's a gap above here. "
"494060","501420"," And there's a pre-market high here at 409.54. If you want to know what I think is going"
"501420","505620"," to happen we'll take a look real quick at the spy here."
"507480","510020"," And we're going to talk about the spy this morning."
"510980","513240"," So already know what I could do is I'll bring it up here. "
"513960","515940"," Make it easy so you guys can see it."
"516200","518220"," We can even trade this today if you want to."
"518280","522600"," We can trade this chart today. "
"522720","524000"," Try this chart out if you want."
"524140","526520"," Let me know in the stream if you want to trade this chart today."
"527540","528820"," This is pretty big for the Bulls. "
"529060","530380"," I got to give it to him right now."
"530440","531640"," We're in the one minute chart right here."
"531660","535060"," We can trade this today and see how this works for you. "
"535060","535680"," It's pretty badass."
"538320","542560"," What we're looking for here is you're looking for, let me close this up here."
"545250","546910"," Get rid of this right here for you. "
"547830","549470"," It's kind of a big deal for the Bulls."
"549750","552890"," The Bulls, this is the green line here is the daily, okay?"
"553450","555490"," So you can see this is the daily right here."
"555970","560770"," And then down below we have, excuse me, this is the hourly, excuse me, this is the money line. "
"561590","563210"," So this is an hourly trigger right here."
"563210","565090"," Down below is the daily, okay?"
"565530","569170"," We bounced off the, you can see we hit in velocity."
"569170","570470"," We hit a bottom down here. "
"570590","574510"," If you look down below at the bottom of the screen, I see the bottom in velocity where my cursor"
"574510","577530"," is like the, Mr. Yang says, right?"
"578170","579250"," Viable bottom down here."
"579870","584970"," And this is like a viable and hold bottom down below in the daily trigger."
"585610","587850"," And we have a three trigger cluster right in here, right?"
"588090","592770"," And what Bulls want to do here, you see volatility take place when we hit these clusters. "
"592770","595610"," So we've got five minutes left."
"595890","598130"," What Bulls do need to do here is hold."
"598810","605950"," If Bulls can hold this hourly trigger here, it can trigger a sustainable rally. "
"607330","610210"," And you see this, you see this top up here."
"611150","613430"," This is back in pre-market, right?"
"614690","617770"," You could wind up seeing a blast up higher, come back down."
"619350","622310"," Till those gaps that we move even higher here in the open. "
"622690","627010"," Now, if we come back down here, close those gaps and we're off and running, we'll know it."
"627170","632450"," We'll see the one minute and the five minute come underneath to trade this higher."
"632690","636590"," If the bears are looking for some kind of rejection here in the early, we'll pay attention to that"
"636590","636810"," too. "
"637170","641950"," If we see a cross of price below the one in five minute, we'll trade it down too."
"642730","645230"," So we'll take a look at that this morning as well, right off the bell."
"645230","651330"," Now, if the Bulls can defend this hourly trigger, right, it's going to trigger a move higher, a"
"651330","655170"," substantial move higher, something that could be sustained, believe it or not. "
"656270","660410"," And we'll try to take a look back here and see what kind of a rally that can sustain."
"661250","662150"," And it's pretty massive."
"662430","669930"," I mean, in previous time periods, talking about a pretty nasty move higher here that can be"
"669930","670450"," sustained. "
"670450","679790"," And we also have weekly and monthly figures down below momentum, just screaming higher, right?"
"680610","684870"," Bears need to get underneath that to start getting that bear case on, right?"
"684990","690290"," Get underneath that daily moving average, get underneath that weekly, get underneath that monthly"
"690290","694250"," and until they do, and that's below right now, it's now higher."
"694890","699830"," It's now at 397 and 396 flat."
"700510","705190"," Bears have a ton of work to do for them to start calling for that bear case. "
"705230","706190"," You want that bear case?"
"706390","708610"," I was going to make a video last night, but I forgot it was Super Bowl."
"709010","710030"," I was off and running it."
"710130","712410"," Did anybody on the internet or the news or anything?"
"713650","718130"," But if we get, if you're a bear and you want to get underneath this stuff, to even begin to"
"718130","721730"," start talking about a bear case until that happens, this has been raging. "
"721890","726070"," This has been raging in the background for quite some time."
"726070","732310"," If you're, if you're looking at on a larger timeframe here, if you're looking at, if you're looking"
"732310","734750"," at the bear case, right?"
"735110","737490"," Talking about something that started way back here, right?"
"737870","740310"," We traded above right here the daily."
"740670","743990"," As soon as we started trading above this daily like this, boom, defend it. "
"744210","745130"," Boom, right?"
"745530","746850"," Boom, boom, swoop back down."
"747090","750810"," The key difference here is it didn't get defend or rejected, right?"
"751490","755470"," And you saw in market breath here, we saw in market breath."
"755470","758550"," That price wasn't following breath down. "
"758910","761270"," We saw that again this week, price did not."
"761450","768510"," We didn't see velocity in price on the way down in breath in the market this past week."
"768670","769230"," We didn't see it. "
"769250","770070"," We looked at it on Saturday."
"770510","771810"," Didn't see it again."
"772550","776750"," And you're seeing a successful defense of that daily trigger. "
"777190","782410"," You're also seeing a turning point in weekly and monthly momentum underneath."
"782410","790030"," This starts to begin to look like we're pushing away from monthly triggers, weekly triggers to a"
"790030","793530"," daily trigger to a more less volatile market."
"793810","794530"," Does that go?"
"794610","798230"," I don't know how that plays out on the volatility we have coming this week?"
"798450","798990"," No idea. "
"799550","805830"," But as of right now, what's taken place this morning heading into this morning is a rejection"
"805830","809330"," against the bear thesis."
"810170","812250"," It was bought this morning, right?"
"812630","818550"," Bears wanted to wake up this morning with futures putting it underneath the daily trigger to then"
"818550","820370"," attack the weekly and monthly."
"820510","822770"," And that did not happen this morning at all. "
"823530","826310"," And so we're looking for that as the bell opens, right?"
"826450","830170"," You're saying, hey, cap, wow, how do I get that bearish thesis going?"
"830610","837390"," The truth is you have to get back underneath the hourly, defend the hourly if you're a bear."
"837390","838470"," You see this above there?"
"838710","841590"," It's where the bears come in and they defend it, right?"
"842030","844690"," We're trying to defend it, defend it, defend it."
"844750","846430"," And the bears need to do that again today. "
"846890","849090"," This is not a good look right here."
"849710","851450"," For bears, this is not a good look."
"851630","855350"," You had your chance to come down here and you were told, no, right?"
"855550","860990"," You've got demand down here on the daily and they stepped right in and said, nope, nope, nope,"
"861350","861850"," we're going higher. "
"862350","868170"," And I'll tell you what, when you see stuff like that and you see declining, you see declining"
"868170","869130"," supply, right?"
"869310","870110"," Supply is coming down."
"870230","873250"," This is the best bet that the bears have."
"873630","875250"," It's not a good look. "
"875430","878330"," Overall, not a good look for the bears."
"879050","881210"," They wanted to see follow through in price."
"881670","883430"," They didn't get follow through in price. "
"884270","885910"," They need to see that."
"886230","888830"," Now, we're on the one minute chart right here, right on the open."
"889450","891770"," And we're going to see exactly what happens here. "
"891770","893330"," And you can see the defense immediately."
"893330","898850"," If you watch price here and price go above the one minute here, right?"
"899050","901990"," And in a sustained move and you end up seeing."
"904430","905210"," Hold on. "
"907390","912190"," You end up seeing this one minute come above and you see this red line right here."
"912330","917370"," And we'll change this on the we both chart so that you guys can follow along on both sides."
"917970","923130"," You see this five minute coming underneath and you see price hold, right?"
"923130","928810"," If price can hold right here, you're going to see a rocket ship for spy. "
"929150","931130"," So we're going to let this play out in the opening bell."
"931330","936850"," We're going to see if they can come back down and tag any of these prior lows, tag any of"
"936850","940310"," these prior highs in pre market, close some of these gaps."
"940910","946570"," And if we can get back up here, these bulls are going to take this, take this money line for"
"946570","949130"," a ride this morning, hands down. "
"951830","952350"," Unreal."
"953250","959510"," What I expected was expected futures to be up and then cash market to sell it down."
"960310","965090"," But no way shape or form that I expect to see the bulls out here this morning. "
"965550","966590"," Just smashing it."
"966750","967830"," Futures didn't do it."
"968010","970290"," Cash market did it for four futures. "
"971270","973290"," And you're watching it take place right now."
"974290","976010"," You're watching it take place right now."
"976130","979430"," You're watching the bulls stepping on the daily and saying, nope, we're going higher. "
"980210","981570"," Much stronger, right?"
"981950","985950"," The daily, the daily, the, the daily triggers is, is nothing to be trifled with."
"986130","987530"," Absolutely nothing to be trifled with."
"987790","992230"," If the, if the hourly and the daily and the monthly and the weekly, weekly, we're coming down on"
"992230","995770"," top of price, I would, I would say have a different view on this. "
"996330","1001570"," I'd be like, hell no, bulls are in some deep due to, but this morning, you're seeing, and you saw"
"1001570","1005490"," yesterday, you saw the daily trigger come right up underneath like a shark."
"1005870","1008530"," You see the weekly and the monthly coming right up like a shark."
"1009390","1011390"," You better have some bigger news then. "
"1012130","1015110"," You have to have some bigger news than I think the bear market started."
"1015950","1018330"," I'm a shot call on the top because you know what?"
"1018430","1020550"," I'll tell you what was on YouTube, right?"
"1020670","1024069"," And I looked around YouTube talking about people that have videos that have a hundred thousand"
"1024069","1031510"," views, a hundred million followers, 200,000 followers and non stops in October 12th, non stops in"
"1031510","1032369"," October 12th."
"1032390","1036410"," It's been doom, doom, doom, doom, doom, doom, doom, doom, doom. "
"1036410","1041170"," The entire rally doom, doom, doom, doom, doom, doom, doom, doom."
"1041170","1042290"," All over the place."
"1042569","1042930"," Never ending. "
"1043190","1045490"," Just non stop garbage out of their mouths."
"1046430","1046810"," Unreal."
"1048370","1048670"," Non stop. "
"1049150","1049370"," Never ending."
"1049770","1050090"," Non stop."
"1050330","1050750"," Non stop. "
"1051010","1051410"," Non stop."
"1052590","1054150"," Non non non stop."
"1054550","1055050"," Unreal. "
"1055530","1056950"," I can't even imagine."
"1057750","1060270"," I can't even imagine as a trader or an investor."
"1061430","1063350"," Do you get phone calls?"
"1063950","1069830"," Do you get phone calls out there from your broker saying, yeah, sorry, Mr. Jim James, you've been"
"1069830","1071170"," short since 345. "
"1072190","1073710"," We're going to carry that for you."
"1073830","1074910"," Don't worry if we go to 420."
"1075850","1076850"," Don't worry if we go to 460. "
"1077890","1079290"," We'll carry all that short for you."
"1079890","1080230"," Bullshit."
"1080570","1081110"," That's what I say. "
"1081370","1081830"," Bullshit."
"1082790","1083530"," Not happening."
"1084830","1085770"," Not happening. "
"1085770","1088970"," You want to do the bear case or anything like that out there."
"1089110","1090590"," You want to do a bear case out there."
"1091010","1095310"," Don't talk to me unless we break underneath the weekly and the monthly, the daily. "
"1095830","1096150"," Seriously."
"1096890","1097810"," That's where it is."
"1098310","1100940"," You got to get underneath 396, 397. "
"1101570","1102230"," You got to reject."
"1103010","1106710"," You can't even wait there if you get underneath 396 and 397."
"1107970","1109290"," You get underneath there, right?"
"1109770","1112210"," You can't just reject it and hold that hang out there. "
"1113170","1114730"," You got to get underneath it."
"1114730","1118530"," You got to reject it and start heading down in price velocity."
"1118990","1121650"," If you can't do that, I don't want to hear it. "
"1122010","1123110"," And it hasn't happened."
"1123470","1125730"," It hasn't happened since October 12th."
"1126870","1129630"," So you've got literally, we're in what days today?"
"1129890","1131590"," February 13th. "
"1133730","1135010"," February 13th."
"1135450","1141650"," And you've got people nonstop since October 12th saying this is the top."
"1142150","1143630"," This is the top. "
"1143630","1145210"," This is the top."
"1145510","1149550"," When all they had to do, all they have to do to call a top."
"1150690","1151810"," What do they have to do?"
"1153650","1154310"," It's easy. "
"1154930","1156750"," I can tell you it's easy."
"1158090","1159110"," It's so easy."
"1159330","1160330"," It's super easy. "
"1162910","1163850"," Super easy."
"1164610","1164990"," What is it?"
"1165870","1170150"," A successful defense of the hourly."
"1170150","1172130"," A break of the daily. "
"1172530","1173310"," Just the daily."
"1174650","1175770"," I mean, look at it."
"1177110","1177670"," Right?"
"1177830","1178790"," You don't see that here. "
"1179170","1183370"," You see it's slightly here, but you lost price velocity in here, right?"
"1184730","1188190"," The hourly followed you down and we fought against the hourly."
"1189210","1189310"," Right?"
"1189550","1191210"," Here's the daily trigger right here, right?"
"1191770","1192990"," But you lost velocity."
"1193190","1194590"," You've lost velocity of price. "
"1195090","1197190"," We had velocity of price in 2022."
"1199030","1199470"," Right?"
"1199710","1202930"," You're looking for those things in breadth and we're not seeing them."
"1203510","1204790"," So we haven't seen it. "
"1205790","1209490"," So not only do you need to get underneath the daily in the hourly."
"1210030","1211450"," So even if you get down here."
"1213510","1213950"," Right?"
"1214170","1214970"," And you're like, this is the top. "
"1215130","1215710"," This is the top."
"1216290","1218170"," You can't have this happen in like a week."
"1218690","1220110"," This shit has to happen in like three days. "
"1221010","1222090"," You need like blood baths."
"1222770","1223930"," You think that's a blood bath?"
"1224270","1225310"," I can prove that it isn't."
"1225310","1227130"," I can show you blood baths. "
"1227450","1229890"," I can show you what they look like in 2022."
"1230950","1236010"," You would have seen you would have seen price down here in like one day in an overnight."
"1236410","1240170"," A rejection up here in another down move in an overnight. "
