"start","end","text"
"1220","23370"," You see me in chat, oh, the"
"23370","27490"," stream is going to work this time!"
"29190","36010"," Okay, now I have to go back and delete the other stream."
"39880","50890"," It's like sometimes some mornings it does not want anything to do with me."
"54530","57410"," Sometimes streamlabs is like, I want nothing to do with you. "
"58450","62230"," If you can see me right now, hopefully you can see me in stream right now."
"63910","64930"," Give me just a second here."
"64990","68830"," I've got some technical technical stuff going on in the background here. "
"72950","78010"," On Monday, if streamlabs takes a weekend off, it is not happy."
"79890","82350"," You give streamlabs a couple days off."
"82510","83430"," They come in on a Monday sometimes. "
"85050","86230"," It's all fucked up."
"88510","90250"," All the cameras are fucked up."
"90810","92630"," All they call my audio is dead. "
"94570","97610"," It is just like, sorry, redo all this."
"97850","99650"," Okay, let's do it."
"102740","109140"," And then trying to get live this morning has been the challenge of itself. "
"111080","111760"," Let's see."
"115420","117820"," This thing is fired up and going."
"118720","120060"," I guess that's enough time to read that. "
"122480","124820"," Subscribe is only any duration."
"126160","126600"," Save."
"130490","131210"," There we go. "
"131470","132410"," This right here, top chat."
"132630","133710"," We're going to go to live chat."
"135910","137430"," I apologize for that. "
"141490","143110"," Let's try this live stream again."
"151180","153560"," I don't know if it's that I don't stream."
"154000","160100"," In the weekends, if I take a couple days off, I come back in on a Monday and it oftentimes. "
"164980","169020"," Oftentimes, for some reason, streamlabs will reset itself."
"169420","180490"," Reset's all my cameras, resets, audio stuff, live"
"180490","181050"," stream."
"182230","183870"," The stream doesn't actually post. "
"184710","186170"," It like kicked me off this morning."
"187110","188510"," So we'll see how this one goes."
"188710","190270"," If we have any issues again this morning. "
"191790","195910"," If we have any issues this morning, if the stream ends or the stream health dies."
"196810","197850"," Something like that."
"198070","203270"," Well, I'll try to reset the router on the whatever the bucket is. "
"204250","204950"," Good morning."
"205150","206230"," Hope you all had a great weekend."
"207250","208770"," Everybody had a wonderful weekend here. "
"210870","214010"," I'm going to set up some stuff for you this morning."
"214010","221130"," I do want to let you know that there was a news piece this morning."
"221330","227850"," Traders are betting on a hawkish fed as may hike odds revert to 50%. "
"229770","234890"," On Monday morning, traders placed hawkish bets on Federal Reserve policy and secured overnight"
"234890","241210"," financing rate options and federal funds futures as implied by swaps."
"241210","248770"," The odds of rate hike at the U.S. Central Bank's May meeting rolls back towards 50-50."
"250630","260810"," And all I can think about is the nightmare that's become, you"
