"start","end","text"
"17030","32980"," Alright, get set up a link, this time"
"32980","65740"," the stream is public, and let's"
"65740","73140"," see if the last one came up, failed to post the tweet."
"75780","77360"," How do we fail to post the tweet?"
"77500","78160"," Hey, good morning everybody."
"78720","79240"," How are you all doing?"
"79500","80280"," You guys are finding me alright?"
"81820","86620"," Let's see if it says I failed to post the tweet. "
"87760","89460"," Four minutes ago, let's see."
"91340","92860"," It's in legit right now or no."
"101000","102880"," Okay, yeah, so this is working. "
"102880","103940"," You guys are coming in this morning."
"104620","105320"," Good morning everybody."
"107320","108400"," Let's see who we got here. "
"109840","110980"," Good morning, you three."
"111360","112740"," Good morning, your wife's boyfriend."
"112740","114320"," Good morning, Andy. "
"114460","114980"," Good morning, James."
"115380","115980"," Good morning, Eric."
"116360","119700"," Good morning, Dio, Ryan, Guacata. "
"120040","120460"," Good morning."
"120700","130760"," In light productions, Ben Godfrey, Danny, STT, Philip, Jafar, Paul, B.D., Chaz, baby,"
"131180","141420"," F1, or Fisted, Mihai, or Mai Hai, Alex, Eric, Euro, Boomer, Angie, Felgen,"
"141860","142500"," Omar, A."
"142500","143880"," Run, where we roam."
"144700","149800"," G Chen, Herment, Paul, Azul, Blue, baby, good morning. "
"151200","159080"," Good morning, Nicholas, Abdul, Mohasan, I suck at words, names sometimes."
"159080","163960"," But hey, it's good morning, Al, Rick, Alexa, good morning, how are you?"
"168440","172500"," Hello, four trader, good morning, Patrick."
"173120","173560"," How are y'all doing?"
"177120","178820"," I've got a really great cup of coffee this morning. "
"179540","180400"," Good morning, Johnny Five."
"182560","183260"," Yeah, I know."
"183720","185880"," Your wife's boyfriend, I got to say it every morning, right?"
"186720","187420"," Good morning, Joel. "
"188260","189000"," How's everybody doing?"
"189000","191140"," Morning, T-Crown."
"193720","194120"," Howdy."
"197680","201520"," So we had a nice little bounce this morning, right off 4.65. I was trying to get the live"
"201520","203100"," stream up for you guys to see that this morning. "
"204160","207560"," And I was just having some tech more, or we added more lights this morning."
"207820","211720"," So it's not as dark as yesterday, trying to get everything set up."
"211720","216380"," Yeah, let's get some bread this morning, and, and, wreak, kaval. "
"216760","217400"," Let's get some bread."
"218680","223000"," Low four trader, Lofa."
"224460","225540"," Good morning, Hemmett. "
"226280","228060"," Case, good morning, K-C, good morning."
"229740","230960"," Hutch has hood calls."
"231880","232480"," Yeah, good morning, Josh. "
"232960","234360"," Yeah, the hood calls are a good idea."
"235500","237180"," Matter of fact, I'm going to check right now."
"237420","242100"," You know, I keep failing buying hood calls for some reason. "
"243240","245080"," I think I just have to buy them naked or something."
"245320","245600"," I don't know."
"248380","250200"," We're at 14.80 on hood. "
"251060","253920"," So I guess my real question on hood is, what's the bottom?"
"256060","258060"," And when does it rip, right?"
"258920","263660"," So that was my question was, do you buy outside the money 10 cent calls every month?"
"264420","265380"," Until it rips."
"269080","270720"," I made a duck ton off our puts."
"271020","271200"," Yep. "
"271960","273940"," Yeah, the coffee is delicious this morning."
"275600","277620"," You have spy calls."
"277720","283980"," Yeah, so we definitely have a localized bottom this morning on spy. "
"284520","294850"," I do want you guys to see that the buy the dip number is 463.43. There"
"294850","296090"," are more sellers than buyers."
"296150","298630"," There are more put buyers this morning."
"299610","306370"," We are still in a salvage rip situation unless the Fed comes out. "
"306550","308310"," I wouldn't trust anything coming from the government."
"308950","310230"," I wouldn't trust the Senate."
"310470","311390"," I wouldn't trust the President. "
"312010","313090"," I guess to a point you could."
"313690","317250"," But in reality, who has the control is the Fed?"
"318750","320830"," Yeah, there should be a ton of volatility today."
"321250","322630"," Just so you guys know. "
"322630","324350"," We're in 70 point going to print."
"324950","325770"," 75p going to print."
"327350","330710"," Yeah, there's no floor on anything out there right now. "
"330770","331530"," What you guys all to?"
"331850","333870"," We'll rehash a little bit of yesterday."
"335190","339490"," But what you really need to know out there, if you're a trader, you only need to know a couple"
"339490","339810"," things."
"340570","346190"," And that is that when they said yesterday, you know, it's one thing to have. "
"352020","353840"," Tapering and rate increases."
"354640","356660"," And you know, there could be some added volatility."
"357000","361540"," If you were to increase rate increases, let's say you say we're going to do two or three. "
"361940","364140"," We're going to do four or five or something and saying like that, right?"
"364660","370340"," But the real problem, of course, is that the moment that you say we're also turning the spigot off,"
"370640","371720"," that's the issue."
"375540","376540"," Test levels on book map."
"376660","377420"," Yeah, we'll do look at Tesla. "
"378640","380900"," Yeah, it's definitely it's definitely a fake pump."
"381360","385920"," Just in case any of you don't know that this is a fake pump this morning."
"386940","389720"," And if you have the if you're along in anything. "
"390980","395560"," What I would say to you is take the opportunity to get out of whatever you're in."
"397040","400900"," And you know, at the end of the day yesterday, we said, do you grab lungs into the clothes and"
"400900","401540"," the answer is no."
"402960","404800"," No, you don't grab lungs into the clothes. "
"405780","408400"," If you're along this market, you get out of your lungs."
"411400","412120"," You just do."
"412440","412920"," You have to. "
"413160","418020"," And the reason that you have to is because unless they come in and say something different."
"418400","423340"," They have to come in and say, oops, by the way, we're going to keep the money at least flowing."
"423600","427440"," If they don't, if they don't keep the money flowing, this is sell the market. "
"429160","434020"," And there's nothing that the Senate can say or the President can say."
"434020","436000"," We know that you couldn't pass."
"436200","440240"," There's no way that you that you could pass when we were in the depths of COVID. "
"441180","443680"," Direct injections of cash into businesses."
"444800","449040"," And so even proposing that yesterday is absurd at this point."
"450040","452140"," Or even if you do it, let's say you did it, right?"
"452500","454980"," You'd have to have the Senate flip full Democrat. "
"455840","459560"," You wouldn't you couldn't do it until November right till the elections."
"465820","470860"," We talked at the end of the day yesterday as well that you should be looking for companies that did"
"470860","472840"," not participate in the sell off."
"473980","475780"," Or at least heavily, right?"
"476340","479820"," And you saw that in some companies yesterday saw that in Tesla Amazon. "
"480500","484500"," I was surprised that Tesla didn't sell off as much as it as it could have."
"485220","488340"," It means that it's not as speculative as it once was."
"489140","494080"," But if you are in anything long that doesn't actually produce something. "
"494500","496040"," So HUD produces something."
"496300","498520"," Whether we like what Robinhood does or not."
"499600","501660"," They still provide a service out there. "
"502220","503340"," They still have customers."
"503660","505020"," They still have money rolling in."
"505140","510660"," You can't be inside of companies right now that like a Rivian, let's say, right?"
"511539","512919"," That doesn't actually make vehicles. "
"513799","516500"," You can't be inside of any companies at this moment."
"516500","521400"," I would say that or long any companies right now that don't actually produce something."
"527600","529200"," No, do not buy the dip. "
"530240","532680"," Do not buy the dip."
"533760","540940"," I would say to you that if you're long that you are trying to get out of whatever happened"
"540940","541640"," yesterday, right?"
"544110","545610"," I don't care if we go to 480."
"546110","548370"," Unless someone comes, unless someone, have I missed something?"
