"id","start","end","text"
"z8AtnlIdtPI","0","3000"," I don't know what it hurts."
"z8AtnlIdtPI","3000","7000"," Thank you for making some noise for the richest man in the world."
"z8AtnlIdtPI","30000","37000"," Cheers and good luck."
"z8AtnlIdtPI","37000","44000"," Good luck."
"z8AtnlIdtPI","44000","49000"," Good luck."
"z8AtnlIdtPI","49000","55000"," Good luck."
"z8AtnlIdtPI","55000","58000"," Good luck."
"z8AtnlIdtPI","58000","61000"," We're expecting this, will ya?"
"z8AtnlIdtPI","61000","62000"," Oh, man!"
"z8AtnlIdtPI","62000","67000"," It seems like some of the people you find are in the audience."
"z8AtnlIdtPI","71000","77000"," Go, go, go!"
"z8AtnlIdtPI","77000","81000"," Hey, wait a minute. Those people will win."
"z8AtnlIdtPI","81000","84000"," Whoo!"
"z8AtnlIdtPI","84000","87000"," Whoo!"
"z8AtnlIdtPI","87000","92000"," Whoo!"
"z8AtnlIdtPI","92000","96000"," Tough on the hand, I can say."
"z8AtnlIdtPI","96000","97000"," I know."
"z8AtnlIdtPI","97000","101000"," But you know this Monday, all those people are booing,"
"z8AtnlIdtPI","101000","104000"," and I'm just, I'm just going out the audience."
"z8AtnlIdtPI","104000","108000"," You have terrible seats. I don't understand."
"z8AtnlIdtPI","108000","112000"," It's all coming from where they're making the last minute."
"z8AtnlIdtPI","112000","116000"," Now I'm planning to make this boo."
"z8AtnlIdtPI","116000","120000"," Boo!"
"z8AtnlIdtPI","120000","123000"," Boo!"
"z8AtnlIdtPI","123000","125000"," Whoo!"
"z8AtnlIdtPI","125000","127000"," Listen."
"z8AtnlIdtPI","127000","130000"," Whoo!"
"z8AtnlIdtPI","130000","132000"," Whoo!"
"z8AtnlIdtPI","132000","134000"," Whoo!"
"z8AtnlIdtPI","134000","135000"," Whoo!"
"z8AtnlIdtPI","135000","139000"," This thing is not even trying to die on Earth."
