"id","start","end","text"
"zQuDa_e8OD8","0","2000"," Yee-hoo, doggy!"
"zQuDa_e8OD8","2000","4000"," We're up and running again."
"zQuDa_e8OD8","4000","6000"," Oh, I gotta change all these, uh..."
"zQuDa_e8OD8","6000","8000"," left here..."
"zQuDa_e8OD8","8000","10000"," ...and..."
"zQuDa_e8OD8","10000","12000"," ...and..."
"zQuDa_e8OD8","12000","14000"," ...and..."
"zQuDa_e8OD8","14000","16000"," ...and..."
"zQuDa_e8OD8","16000","18000"," ...and..."
"zQuDa_e8OD8","18000","20000"," ...and..."
"zQuDa_e8OD8","20000","22000"," ...and..."
"zQuDa_e8OD8","22000","24000"," ...and..."
"zQuDa_e8OD8","24000","26000"," ...and..."
"zQuDa_e8OD8","26000","28000"," ...and..."
"zQuDa_e8OD8","28000","29000"," ...and..."
"zQuDa_e8OD8","29880","31880"," ...this leader is provided to permit refrigeration."
"zQuDa_e8OD8","31880","33880"," Like chatted chants to complete a just-wailed focus."
"zQuDa_e8OD8","33880","34880"," ...and sound level."
"zQuDa_e8OD8","34880","36880"," You'll have to do the full-time begins."
"zQuDa_e8OD8","38720","40720"," Do-do-do-do-do..."
"zQuDa_e8OD8","45840","47840"," I'm all baby-squeezed it up!"
"zQuDa_e8OD8","47840","49840"," Gotta get up over, uh..."
"zQuDa_e8OD8","51040","53040","... Forty-eighths hundred..."
"zQuDa_e8OD8","59000","74600"," right through that right there good morning good morning out there how you're gonna do it"
"zQuDa_e8OD8","74600","80720"," and if you look at the your bottom chart down here this is SPX I'm circling or"
"zQuDa_e8OD8","80720","85080"," waving it around down the bottom here this is SPX your gamma flip is right here"
"zQuDa_e8OD8","85080","92640"," hey it's January 31st"
"zQuDa_e8OD8","97920","110200"," it's a 478 and then 470 right there so I'll put spread right now dated for January"
"zQuDa_e8OD8","110200","119880"," 31st 478 470 that's a long put at 478 short put at 470 cost is $225 pays out"
"zQuDa_e8OD8","119880","144800"," $575 just doing like a 480 to 470 put spread and then if it does go if we do"
"zQuDa_e8OD8","144880","150720"," blood down to 460 or 450 day trade that stuff so"
"zQuDa_e8OD8","154880","163400"," all right place this tree right now man I'm long good it's an American divide it"
"zQuDa_e8OD8","163400","166760"," kind of puts you know I'll chase it up I mean the one thing I'll say is this is"
"zQuDa_e8OD8","166760","176600"," not really a fan here of a large downside move I was talking yesterday to who"
"zQuDa_e8OD8","176600","179280"," yesterday I was talking to chase yesterday and he was said where do you"
"zQuDa_e8OD8","179280","182360"," think it comes down to hey good morning game how are you he's like you're"
"zQuDa_e8OD8","182360","187960"," expecting a big downside move and I was said to him at worst 450 460 possibly"
"zQuDa_e8OD8","187960","194480"," but just doing like a 480 to 470 put spread and then if it does go if we do"
"zQuDa_e8OD8","194480","202920"," blood down to 460 or 450 day trade that stuff so between now and the 31st I"
"zQuDa_e8OD8","202920","207480"," think I'll I'll be able to capture this trade at some points now if we trade up"
"zQuDa_e8OD8","207480","212560"," from here we break above 4800 and we trade 4900 I'll just day trade that all"
"zQuDa_e8OD8","212560","218000"," the way up as well and I could also cut the the sold puts on one side of the"
