"start","end","text"
"120","5440"," We have an certification sooner rather than later and we need that aircraft and it's a wonderful"
"5440","5920"," aircraft."
"6420","13140"," I want to thank Bob for coming on the set and Phil for visiting us because I've been negative in"
"13140","16980"," the stock as you know, but that's, I've changed that stance."
"17360","20420"," It's just too of an opportunity to make a place that we appreciate it. "
"20720","21540"," Thank you all for the time."
"21780","22140"," Thank you Jim."
"23300","26900"," When we come back I'll get Kramer's mad dash, count down to the opening bell, take a look at"
"26900","33120"," futures here holding in 10 years, still sub four and the 30 year, just about 11 basis points away. "
"33280","33680"," Don't go away."
"172860","181790"," The futures remain green, so many interesting numbers this morning, 10 year 396, VIX is right at"
"181790","188070"," 12, the dollar index almost back to 102, and of course the all time closing high on the S&P"
"188070","192030"," 4796 would be just about 90 points away."
"192530","193850"," We'll get the opening bell in four minutes. "
"193850","382490"," Let's get"
"382490","383250"," to a mad dash."
"384030","385430"," You have a very little amount of time."
"385550","386930"," We got an opening bell in 45 seconds. "
"386950","387270"," Okay all right, all right."
"387410","391610"," Look Raj, you're a comedian, it's not getting the recognition you should, if that acts."
"392210","396170"," Burnsy today just talks about, can Fedex continue to put points on the board and again, working?"
"396350","396890"," Yes they can. "
"397310","401810"," This is about a transformation Fedex and I think that this stock is as high as it is."
"401890","404230"," It goes higher because Raj is doing a killer job."
"404650","405450"," It's just crushing it. "
"405690","406790"," Raj is going up?"
"406850","407070"," Yes."
"407850","411730"," And Raj, the Fred Smith bill, the fake company, the time for new blood."
"412250","415250"," Raj is taking it into overdrive, this baseball drive. "
"415790","418630"," I like the stock for the very, very much."
"420690","423350"," Let's get the opening bell and see if he'll kind of change."
"423690","429770"," The big boy that is here there, celebrating the sponsorship of Brian Harsh, one of the best places"
"429770","432090"," in New York City and the Windsor Village there. "
"432370","436510"," I've been asked to act out and go and act for business and land management company."
"437170","439930"," Jim has worked a 47-23 today."
"440170","441250"," Yeah look at it. "
"441990","443650"," I think that there's a big pivot."
"443850","445950"," You got to watch Max 7 versus everything else."
"446550","452010"," Watch a science bank, but watch a bank like Comerico, which everybody's really worried about. "
"452130","454210"," Watch Swab, which at one time people are worried about."
"454490","456450"," Those are the ones that I think can really have it move."
"457030","460190"," And then even though they're big, the home builders will do better. "
"461010","463670"," But I just think that this is also a Home Depot market."
"464490","468810"," Like if you start feeling better, you're going to remodel and renovate."
"469010","471550"," And a lot of people were not remodeling and renovating. "
"471810","474570"," That stock may be another stock that you want to be."
"474670","475910"," What did land go on say yesterday?"
"476130","483570"," Of course he's one of the old founders of the returns on that company's stock since inception are,"
"483910","486130"," since the one public are amazing."
