"start","end","text"
"140","1480"," Let's see if we can have this right."
"6330","11550"," This leader is provided to permit the projectionist to complete adjustment of focus and sound level"
"12010","13270"," before the film begins."
"16450","17910"," All right, close that up. "
"19290","20490"," There's multi-stream."
"34600","36940"," Check one, two, check one, two, like check."
"39400","77280"," It might"
"77280","79280"," start, it might, this might crash. "
"84530","86270"," See, why is that so fucking loud?"
"92220","99900"," That's a lot as fuck to Can't see me see any of the chat right now we're gonna find out"
"104140","113860"," Hey good morning out there Almost afternoon if the stream might crash not the market the"
"113860","123600"," stream might crash No, let's go let's talk directly to you really quick So"
"123600","132360"," just just a heads up that uh No, no the stream could crash because I've been making some changes"
"134900","142560"," And you're not I like I think the last stream you're watching is not the new stream But I don't"
"142560","149040"," know if they crashes it's going to be because I'm trying to run too much data at one time So"
"149040","158720"," we're gonna find out right now We're gonna find out right now if they crashes And"
"158720","160860"," give me just a second here."
"161280","168560"," I gotta do one one or two quick things here We're gonna find out here, so we have a new"
"168560","178000"," stream format that we're running and Think that we'll switch over to the full chart here"
"178000","186920"," we got their main screen Main screen and that's wrong already"
"186920","200520"," having issues Apple"
"200520","206800"," coming back Walmart coming back misfits Google and meta One second here."
"206820","216760"," I got somebody had a work on here Title"
"216760","226660"," of this broadcast is yeah, so even the camera is kind of wrong Boogie stories to tell"
"226660","233980"," each other in the dark Spooky spooky stories for Bulls to whisper to each other. "
"234240","240380"," I had a panic attack in the middle night last night like three o'clock in the morning and I"
"241220","247460"," Was like, yeah, I'm gonna check this euro open and see what they do So it's talking to David AMS"
"247460","252080"," in the middle of the night on Glow back the glow next channel in the middle of the night last"
"252080","252400"," night."
"252580","256680"," I'm like yeah, I'm like They should buy this here."
"259450","265410"," I'm like that back on May 23rd I go I go back on May 23rd. "
"265610","272170"," They rolled it really fast I was like they bounced it on the on the 23rd right into the clothes"
"272170","282010"," Then they rolled us down into the following day until about 1130 in the morning and so Dave looked"
"282010","286450"," at it and he was like yeah, I totally remember that I was like yeah Man, they did it for"
"286450","292230"," one more morning And so I'm here awake with you at two o'clock in the morning to see if"
"292230","297650"," we can buy this and I assumed that so my assumption here."
"297750","298430"," We'll take a look here."
"300450","304450"," So my assumption here was that Yeah, that's all wrong. "
"306360","316430"," My assumption here was that That we would run this up Into the overnight Say"
"316430","318370"," like it's called like three o'clock in the morning, right?"
"319290","321050"," Two three in the morning something like that."
"321190","328190"," We grabbed that we grabbed like the two two fifty three or so Like 2 a.m. They'd 2 a "
"328190","332470",".m. They would buy it run it up to like four six o'clock more than sell it down by"
"332470","335650"," the opening bell here What's the expectation?"
"338210","347420"," Now we're gonna look at a Hold on here."
"347540","357060"," I want to make sure it's right This is a yes Nice"
"357060","367040"," bounce off daily trigger But I want to show you the May 23rd"
"367040","378540"," incident Right here And"
"378540","380400"," this is like this nice new screen. "
"380580","381140"," I got for you guys."
"381200","383540"," It's gonna be awesome around here Which you see all the stuff I've got for you."
"384260","392880"," So I May 23rd we came down slammed into the daily trigger and Then and then we closed the day,"
"393060","394520"," right four o'clock came close today. "
"394680","395100"," What do they do?"
"395460","403840"," Whoop straight down blast off Full recovery off and running back to the upside again So this was"
"403840","413680"," this bounce here was 330 in the afternoon on May 23rd And I got caught in that I"
"413680","421880"," got caught in that I Like woke up the next morning and we had rolled over the middle of the"
"421880","429100"," night They said euro opens sold it 11 30 came in boom bought it back up and we went up"
"429100","437480"," a Substantial amounts we went up three percent right here three percent right here that's six"
"437480","444500"," percent and Then of course this monster run up here for like another ten percent So I think it's a"
"444500","448640"," total of a 16 percent move higher On May 23rd."
"448700","449160"," So last night."
"449280","451320"," I'm in the I'm in the Globex channel. "
"451920","453180"," Oh my gosh shit."
"453280","457500"," I'm gonna have to sell this stuff down well, that's all down like I'm gonna buy it and run it"
"457500","464900"," up in the middle of the night and It bounced at 2 a.m and then David and I were"
"464900","473100"," we're trading and and You could see the liquidity leave futures and then some asshole had like a"
"473100","480300"," stink bid for a hundred contracts Way way way way down in the depths of hell So we're in the"
"480300","480600"," discord."
"480840","483840"," I'm like ah shit Here they go. "
"483860","491460"," They're gonna do it Boom they blasted it down the middle of the night Then like 4 a.m. They're"
"491460","497280"," down there just hammer and hammer and hammer in the hammer in the The daily trigger."
"497720","498860"," There's hammering on it."
"499020","504760"," Just like just like a bunch of like bunch of like Bunch of savages down there trying to break"
"504760","505680"," through the daily trigger. "
"505880","513260"," They're not they weren't going to break through it But they sure shit tried They tried so hard."
"513380","518780"," Let me say how hard they tried Let me just look at that down there."
"519020","528980"," Hold on here They tried all right So here's the daily trigger and"
"528980","538270"," they were like wam wam wam wam in the middle of the night The 4 a.m. They were down"
"538270","543290"," there like a bunch of construction workers trying to get the jackhammer out and Breakthrough. "
"543410","544570"," I mean just look at this here."
"544770","546090"," Look at the sauce right here."
"546730","553030"," So this is spy This is actually the chart that I posted yesterday a little green box on it and"
"554430","556310"," I mean just look at that down there. "
"556470","562550"," They were just down there with like hammer drills and Oil rig drills trying to get through it and"
"562550","573940"," trying to do all they could They didn't succeed Now"
"573940","583020"," they did sorry I'm lost my wish they did try to succeed They did their darndest."
"587850","595350"," They sure as hell did their darndest So but that is important too."
"595350","601910"," We have to we have to realize that They did try to sell this market at what to end they"
"601910","604450"," sold it, but then at a 4 a.m. Specifically. "
"604930","613830"," They were just down there with jackhammers Didn't work I didn't quite get the PT of 4.47 It did"
"613830","623690"," trade 4.47 point 37 in cash market so 37 cents off They did get it though this morning at"
"623690","631470"," at 10.35 And back in May we bounced and we end up going up 16% So about I"
"631470","633510"," think it was 16% so I'll try to check it right now."
"633550","637850"," I'll give the I'll give the full This is a measure how much percentage points we went up from that"
"637850","647700"," May 23rd instance We're also going to talk about I said it was"
"647700","650820"," May 23rd, but it wasn't oh it wasn't May 23rd."
"651380","655320"," I think it was May 23rd on I'll try to figure out. "
"655320","662540"," I think it was like six six and like ten percent To the upside S&P 500 pairs losses last"
"662540","668480"," down zero spot one two percent Dow pairs losses last down zero spot zero three percent thing."
"668480","674600"," I can tell you one second my chat box doesn't belong there My chat box blocks over here next to"
"674600","684990"," me next to me next next to my face So"
"684990","687410"," what are the expectations here right regardless?"
"687410","693010"," We didn't get up to the hourly trigger and sell off of it futures did sell it down We did"
"693010","700330"," slam into the daily trigger So now we're looking to find out that what the reaction is on spy And"
"700330","707910"," see where we expect to go and if we get any resistance now right now we are trading off The"
"707910","715900"," half hour right now Or we're trading off the half hour, but it is in the Bulls favorite"
"715900","723060"," breakthrough here So I expect us to break through this and above believe it or not Shortly"
"723060","729300"," expecting the results of the Freddie Mac mortgage rate statistics We're gonna talk about what the"
"729300","737970"," 4107 we're gonna trade this up here."
"737970","749960"," I believe pretty high confidence that we're gonna trade this Hourly trigger up here pretty high"
"749960","758060"," confidence That we're gonna trade this we're gonna come back down here And we're gonna trade this"
"758060","762520"," hourly trigger right now We're trade 41 and some change now. "
"763900","775280"," I did change the broadcast format We're"
"775280","782000"," going up to we're going up to 451 I guarantee it that minimum That's the that's the minimum that"
"782000","786040"," we're going up You weren't able to break through daily trigger, which is good now."
"786180","795820"," You did try now in previous examples Of that attempt I'm always looking for the closing bars"
"796610","809550"," underneath daily trigger That not happening right now It doesn't look good a seller's"
"809550","817030"," not done here though so if you are bearish Below the daily trigger you are looking for the"
"817030","824540"," rejection and Then closing bars are any daily daily trigger like this isn't good enough."
"824640","828840"," You can't come down here kiss it If you do that, then it's all over rights by the dip move"
"828840","833420"," on That's what I think it is I think you tag daily trigger. "
"833800","840300"," That's your pullback that you get Now if at any point we start having closing bars underneath daily"
"840300","848720"," trigger We have to start talking about 425 like a big US 30 a fixed rate mortgages 6.9 Week"
"848720","859130"," versus 6.8 1% the prior week that is ridiculously loud Freddie"
"859130","866350"," Mac says home prices are rising despite higher rates Very low Unsold in Ridiculously feedback"
"866350","872430"," inside my try to change the format here the economic data and US government credit rating downgrade"
"872430","877920"," is causing rates to rise I'm gonna turn this down here."
"878060","885800"," Hold on Freddie Mac 15 year fixed rate mortgage average to 6.25 percent as of August 3rd So you've"
"885800","888280"," got scary stories being told in the dark as well."
"888580","895500"," So I had Bloomberg on in the overnight and I was shocked at The doom that was being sold in"
"895500","895800"," the overnight. "
"896080","898920"," I was like my god I was like these people are acting like it's the end of the world I"
"898920","902040"," was like they are acting like it's a world war fucking three out there."
"902060","910840"," I'm like this is insane so I was a little concerned with Some of the some of the doom being"
"910840","919580"," sold And then I looked up some of the people that are being interviewed So one of the stories I"
"919580","929540"," read last night was from CNBC and They're like this guy was that's got this guy"
"929540","938780"," was on the team They're like this guy was on the team For the Miss me and find it right"
"938780","938940"," here."
"939040","939720"," Well, hold on a second here. "
"939760","949620"," I'm assuming I find it I mean they pulled out no stops like CNBC had a story about The"
"949620","959540"," credits downgrade So I'm like well, this must be important So like anything with"
"959540","959820"," CNBC."
"960560","968320"," I looked up who they're interviewing Then one of these things so one of these stories was from CNBC"
"968320","976920"," the fifth US rating cuts Cut is here to stay It says analysts who worked on the S&P downgrade"
"976920","982460"," in 2011 So I'm like, okay, let's find out who this fucking guy is."
"982800","992290"," This guy's name is a Hentov, H-E-N-T-O-V"
"992290","994510"," You look this guy up. "
"996570","998010"," I'm like Hentov, huh?"
"1004760","1005760"," So I look this guy up."
"1005920","1015480"," This guy has like predictions He throws them out there on on Twitter Like a big one's like one two"
"1015480","1020900"," three four five six seven eight nine ten Yeah, and he was wrong on every fucking one of them."
"1021160","1022140"," Here's what gets crazy. "
"1022460","1032640"," I looked at his professional profile This guy has been in the market for 12 years 12 So"
"1032640","1040589"," that means he was like a year one or year two graduate of of university He was like 20 something"
"1040589","1048270"," years old or something he's like a first or second year graduate of university and He was he was"
"1048270","1054020"," where he worked on the team for the downgrade You should look at this article."
"1054020","1062900"," I'll post it for you right now So I'm always trying to figure out what I'm actually watching Hold"
"1062900","1063240"," on a second."
"1063240","1063920"," I got some other stuff. "
"1064080","1069540"," I gotta do I'm always trying to figure out a Hold on."
"1069580","1079100"," I guess there's stuff I gotta do in the background I'm always trying to figure out who I'm who I'm"
"1079100","1089840"," listening to who's giving me my information Why I'm getting that information I'm"
"1089840","1092700"," gonna post the link to this article just from CNBC."
"1100980","1101500"," Yes. "
"1101640","1120660"," I just posted it on YouTube I'm gonna post it on I'm gonna post it on twitch right now Okay,"
"1139650","1144830"," so I think I got all that set so I Just posted a link to this right this guy was"
"1144830","1154190"," like a second year during the during the during the the last down Or the last"
"1154190","1157230"," downgrade this guy was like a second year person."
"1157670","1164950"," I'm gonna tell you something There ain't no fucking way say just work again There ain't no fucking"
"1164950","1170930"," way that this fucking guy was anything other than a coffee grabber That's what this guy was he went"
"1170930","1178490"," and grabbed coffee There ain't no there ain't nobody out there You're smoking crack If you think"
"1178490","1184710"," that some guy a prestigious graduate of great University, but You're out of your mind if you think"
"1184710","1195350"," some guy a second year graduate was having anything to do with discussion thinking Breathing With"
"1195350","1204050"," the previous downgrade That we had In 2011 look this guy up."
"1204230","1207670"," Can we have his prep his bio guys been a professional for 12 years?"
"1207970","1214470"," We're in the year 2023 That was like a year and a half out of school and he's on CNBC"
"1217250","1227470"," He's an expert on CNBC about the last credit downgrade so Well, I do question Then"
"1227470","1236150"," what's fascinating too is how he's quoted in this story On CNBC is like quoted talking about the"
"1236150","1245590"," politics And how it will stick until The politics change in the US government so I went and looked"
"1245590","1250050"," up his history and you know This this guy is like now. "
"1250150","1255230"," I don't care if he's a Republican Democrat But you know who he is and you know he's pushing a"
"1255230","1262310"," political Point in a time where we have a reflect an inflection point In our political system"
"1262310","1264050"," that's going to become public in the courts."
"1264250","1274430"," This stuff does impact our stock market He specifically says in this article About"
"1274430","1282090"," not like he first he highlights the deterioration of The fiscal deterioration the next three years"
"1282090","1291730"," but specifically talks about how Our politics is The reason that the rating won't be improved"
"1293050","1300370"," Until I think there's a quote in there somewhere about About more or our politics being more"
"1300370","1300810"," predictable."
"1301490","1311210"," I do agree with that statement Our stock market That like the the seven eyes Or six"
"1311210","1314710"," eyes, you know, I don't know if you know who those people are but there are people that run our"
"1314710","1324450"," stock market In the background there are That they call them the bond Vigilantes These people they"
"1324450","1331310"," are the secret strings that technically pull the First strings like the bill Ackman's out there and"
"1331310","1339690"," you've got car lichens out there these people Provide liquidity to our market they remove liquidity"
"1339690","1349510"," from our market and they love They love gridlock And they love our"
"1349510","1354110"," government to be secretive Doesn't matter if they're democrats republicans. "
"1354210","1361270"," They don't like airing dirty laundry in public And they really don't like uncertainty In our"
"1361270","1365390"," elected officials bill cashman Came out or cashman came out."
"1365550","1369190"," They've sent that they will have cash from like every election in the morning like three four in"
"1369190","1375510"," the morning They're like We're very happy here, you know in Wall Street down here in the pits and"
"1377070","1380130"," You know he talks about how They like that gridlock."
"1380290","1386670"," They love Uh when the senate is split When the house is split Even if there's one deciding vote"
"1386670","1395420"," anything like that And they like that because um the more they can't get done The more they can't"
"1395420","1402220"," get done in in our um political system The easier it is for our financial system to run uh"
"1402220","1410360"," unadulterd and um And unmolested by politicians and they certainly don't want to see you as uh bob"
"1410360","1417340"," on main streets Seeing the underpinnings of our of anything coming out in a court Of our court or"
"1417340","1419600"," court and this guy pretty much says it too. "
"1419620","1425540"," So I agree with him on that statement He's kind of blunt about it but the doom and gloom that's"
"1425540","1433420"," being sold and using this guy as a uh, I guess you would say like a Decidable source as a"
"1433420","1435980"," coffee fetcher is kind of scary, right?"
"1436160","1442730"," You got a guy saying hey, I'm uh I'm uh And eat this guy uh puts on predictions all the"
"1442730","1444990"," time With a certain political leaning."
"1445270","1448790"," So I don't know he's got a lot of geopolitical background too."
"1448810","1456010"," So I looks to me like a lot of damage control It also looks to me like uh the fear"
"1456010","1465690"," from this downgrade is a little exaggerated um There's a lot probably a lot in the background Uh"
"1465690","1473310"," from very powerful people That uh That have motivations that have not shown themselves yet someone"
"1473310","1479290"," in a discord last night said Why does cap want to buy t lt?"
"1480010","1485430"," It's burning to the ground And i'm like that i'm like that's an amazing uh that's amazing amazing"
"1485430","1492350"," comment to see inside the discord Why does cap want to buy t lt if it's burning to the ground?"
"1492790","1497650"," I mean if it's burning to the fucking ground somebody wants to buy a dirt fucking sheep. "
"1497970","1511830"," I don't know who that is I don't know who's upside down Who's"
"1511830","1521790"," the woman in the photo behind cap So we do have so I just wanted you to be aware"
"1521790","1529630"," of that is uh, I think the thumbnail today to today's video was about Halloween in august I don't"
"1529630","1535410"," know exactly what I wrote on that but it's something about uh drinking the kool-aid At two o'clock"
"1535410","1536350"," in the morning last night."
"1536370","1537110"," This is the true story."
"1537250","1541990"," It's like two or three I think it was like four a.m Because we were slamming down on that"
"1541990","1546870"," daily trigger I was like they're really trying to get through this they're really breaking their"
"1546870","1550790"," ass right now Trying to break through this And i'm like there. "
"1550870","1554590"," I can't believe a hundred contracts you can sell the whole entire fucking market and break through"
"1554590","1555650"," here I mean this is a disaster."
"1556210","1562670"," There's someone there that wants to get through uh, and the other thing was that When you're"
"1562670","1567610"," talking about apple right they didn't sell they didn't sell 65 million shares of apple in the"
"1567610","1571510"," overnight last night You got to be out of your fucking mind if you think they thought that they did"
"1571510","1577250"," that at last night between four and 9 p.m. Or even at four a.m. This morning that that"
"1577250","1578170"," was going to happen yet."
"1578190","1584090"," You're out of your fucking skull Um, you're gonna shave off billions and billions of dollars on a"
"1584090","1590750"," hundred content I mean kind of overstaggerate in here, but pretty much don't the truth Millions out"
"1590750","1593110"," of the stock market anything like that. "
"1593370","1594030"," That's not gonna happen."
"1594030","1599930"," I'm sorry uh Matter of fact, there was a uh, do you guys remember when they had a uh, something"
"1599930","1602950"," happening at the pentagon the last time we had a rollover?"
"1603550","1611350"," And then yesterday you had more um false threats against uh, the pentagon this time That was"
"1611350","1611550"," yesterday."
"1611550","1612670"," You don't find that coincidence. "
"1612870","1616070"," No or yes, or no, it's not a coincidence, is it?"
"1617570","1619970"," Um, now anyway, let's move on from that for a moment."
"1620050","1627270"," The point here stands though, um About uh, not drinking the kool-aid whenever we're selling off you"
"1627270","1632610"," want to be doing two things You want to be checking tickers that are not selling off And you also"
"1632610","1640190"," want to be Uh, looking for where the money is going while we're selling off And uh, you also want"
"1640190","1644730"," to be trying to parse What stuff actually means?"
"1645650","1646730"," Is it as serious?"
"1647890","1656390"," uh, as as the News is portraying it Um Is it really that ugly?"
"1656610","1657490"," Is it really that dangerous?"
"1657990","1659730"," Who are the people they're citing as sources?"
"1660530","1666350"," Um, to be trusting this guy is untrustable Yeah, I don't know who that guy is or I mean kind"
"1666350","1672770"," of know who he is, but Uh, that guy was a nobody Uh, that that guy's not a source that"
"1672770","1684400"," you trust Uh for the downgrades that we have And"
