"id","start","end","text"
"zqj-zpYXNSk","0","4080"," We'll find out if this is working. This might work."
"zqj-zpYXNSk","4080","9360"," Please tell me this is going to work. Check 1, 2, check."
"zqj-zpYXNSk","30000","47240"," Check 1, 2, see if that works. Turn that off. Turn that on."
"zqj-zpYXNSk","47240","52240"," Let's see what's going on. Hey, what's going on?"
"zqj-zpYXNSk","52600","56760"," Having some technical issues today."
"zqj-zpYXNSk","56760","61760"," A second air."
"zqj-zpYXNSk","61760","65240"," Trying to get on."
"zqj-zpYXNSk","65240","69240"," You have something to talk about too. I'm glad I'm able to get on."
"zqj-zpYXNSk","69240","76240"," One quick second air. I'm going to switch over."
"zqj-zpYXNSk","76240","81240"," One quick second air."
"zqj-zpYXNSk","81240","89240"," All right."
"zqj-zpYXNSk","89240","94240"," Save this here. Hang tight one quick second."
"zqj-zpYXNSk","94240","102240"," We have to have a chat right now because we're going to take a look at the charts here."
"zqj-zpYXNSk","102240","106240"," One quick second. I've got some stupid stuff I have to do."
"zqj-zpYXNSk","106240","113240"," Everybody do it. Good to see y'all. How's everybody doing out there?"
"zqj-zpYXNSk","113240","122240"," One quick second. I didn't get a chance to put a thumbnail up."
"zqj-zpYXNSk","122240","126240"," Members. Save."
"zqj-zpYXNSk","126240","129240"," All right. Give me one quick second share."
"zqj-zpYXNSk","129240","133240"," Copy. Close."
"zqj-zpYXNSk","133240","140240"," I've got some streamlabs failing to post my live stream all morning."
"zqj-zpYXNSk","140240","144240"," We're going to see how this works. See if this does it or not."
"zqj-zpYXNSk","144240","147240"," Send that right now."
"zqj-zpYXNSk","147240","152240"," Today is a trend day. Today is a trend day down."
"zqj-zpYXNSk","152240","157240"," We're going to take a look at the Webull full screen here."
"zqj-zpYXNSk","157240","164240"," We need to show you two things that are important here."
"zqj-zpYXNSk","164240","170240"," On trend since last 15 minutes here."
"zqj-zpYXNSk","170240","173240"," So stay on trend here."
"zqj-zpYXNSk","173240","175240"," What's going on?"
"zqj-zpYXNSk","175240","178240"," To stay on trend here."
"zqj-zpYXNSk","178240","184240"," You're looking for bulls to buy this dip."
"zqj-zpYXNSk","184240","186240"," Now."
"zqj-zpYXNSk","186240","189240"," We are under the hourly trigger here."
"zqj-zpYXNSk","189240","192240"," Right here is the early trigger HD."
"zqj-zpYXNSk","192240","196240"," And we always know that if price is below."
"zqj-zpYXNSk","196240","201240"," Trend not to trust it. It's more of a sell."
"zqj-zpYXNSk","201240","204240"," Than a buy. So."
"zqj-zpYXNSk","204240","207240"," I need to get this. I need to say I'm kissing a kicked off."
"zqj-zpYXNSk","207240","210240"," Streamlabs again. Just hold on one second here."
"zqj-zpYXNSk","211240","215240"," So I do want to express to you that we are below the hourly trigger here."
"zqj-zpYXNSk","215240","218240"," And why does this matter?"
"zqj-zpYXNSk","218240","222240"," The first reason this matters is a 15 minute chart here."
"zqj-zpYXNSk","222240","224240"," You can see."
"zqj-zpYXNSk","224240","227240"," A bear plane forming here in the 15 minute."
"zqj-zpYXNSk","227240","232240"," But even scarier for a bull here is."
"zqj-zpYXNSk","232240","234240"," On a one hour."
"zqj-zpYXNSk","234240","236240"," Trend."
"zqj-zpYXNSk","237240","242240"," This is the place where bulls have been getting caught."
"zqj-zpYXNSk","242240","248240"," So let me explain the last time that bulls got caught here."
"zqj-zpYXNSk","248240","251240"," Was right."
"zqj-zpYXNSk","251240","255240"," It was right in here. Just a quick failure."
"zqj-zpYXNSk","255240","258240"," Right failure to catch trend."
"zqj-zpYXNSk","258240","260240"," Come underneath the 20 70 a man."
"zqj-zpYXNSk","260240","265240"," The early and that was it right sell off from it sell off from it to the downside."
"zqj-zpYXNSk","265240","268240"," And I want you to just to bring your attention here."
"zqj-zpYXNSk","268240","271240"," You can see how the hourly trend is right here."
"zqj-zpYXNSk","271240","274240"," And just continued lower. This is the one 29."
"zqj-zpYXNSk","274240","276240"," And right in here."
"zqj-zpYXNSk","276240","278240"," Same kind of a deal right."
"zqj-zpYXNSk","278240","281240"," Got the early trend right there."
"zqj-zpYXNSk","281240","287240"," And if you get the reversal into this closed down here and being under the hourly trigger."
"zqj-zpYXNSk","287240","292240"," There could be a pretty significant bull trap here."
"zqj-zpYXNSk","292240","294240"," Into the rest of this week."
"zqj-zpYXNSk","294240","296240"," Just be cautious here."
"zqj-zpYXNSk","296240","298240"," Into this close."
"zqj-zpYXNSk","298240","301240"," What has to happen for bulls here."
"zqj-zpYXNSk","301240","307240"," Is that they need to regain this close if they don't."
"zqj-zpYXNSk","307240","311240"," Regain this close right now."
"zqj-zpYXNSk","311240","317240"," There is a bull trap in here is a bull trap set up for tomorrow."
"zqj-zpYXNSk","318240","322240"," Death doom destruction into Wednesday Thursday."
"zqj-zpYXNSk","322240","325240"," Waiting for bulls."
"zqj-zpYXNSk","325240","327240"," So are you aware of this out there?"
"zqj-zpYXNSk","327240","330240"," I don't know if you're aware of this right now or not."
"zqj-zpYXNSk","330240","334240"," You guys watching this right now."
"zqj-zpYXNSk","334240","338240"," Let me know in the comments if you're watching this right now."
"zqj-zpYXNSk","338240","340240"," You're paying attention to this stream."
"zqj-zpYXNSk","341240","349240"," I suck at this. That's Casey Kizzle."
"zqj-zpYXNSk","349240","354240"," Casey Kizzle just said I suck at this."
"zqj-zpYXNSk","354240","359240"," Yeah, you're listening. Okay. So."
"zqj-zpYXNSk","359240","362240"," Seven out of eight trades have gotten bad for you."
"zqj-zpYXNSk","362240","363240"," We had it."
"zqj-zpYXNSk","363240","365240"," We had a great trade on the open today."
"zqj-zpYXNSk","366240","372240"," I ended up adding calls with somebody at the belly yesterday for 14 or 15 cents."
"zqj-zpYXNSk","372240","375240"," To the to the position I already had. I took them."
"zqj-zpYXNSk","375240","378240"," You guys already know that I take the money and run on the ballot."
"zqj-zpYXNSk","378240","379240"," No matter what."
"zqj-zpYXNSk","379240","381240"," Anyways, you don't need me to tell you that anymore."
"zqj-zpYXNSk","381240","386240"," So I was a great trade on the open this morning. How are you seven out of eight trades?"
"zqj-zpYXNSk","386240","388240"," No, look."
"zqj-zpYXNSk","388240","391240"," You guys are fucking hilarious."
"zqj-zpYXNSk","392240","397240"," Watching learning, hating life."
"zqj-zpYXNSk","397240","401240"," So I want to show you some pay attention here. Okay."
"zqj-zpYXNSk","401240","405240"," So pay attention here."
"zqj-zpYXNSk","405240","409240"," So today we're going to look at a couple of things here, but."
"zqj-zpYXNSk","409240","411240"," Just pay attention here. Okay."
"zqj-zpYXNSk","411240","414240"," Bull's not getting lift off today. Okay."
"zqj-zpYXNSk","414240","418240"," We're saying one more time. I'm going to go over this one more time with you."
"zqj-zpYXNSk","419240","423240"," Now, traditionally, if you're looking at traditional charting,"
"zqj-zpYXNSk","423240","427240"," you can see it right here. Okay. Here's 27 EMA. This is our trend."
"zqj-zpYXNSk","427240","434240"," We know that our trend will produce results for one to three days minimum."
"zqj-zpYXNSk","434240","437240"," Could be five days."
"zqj-zpYXNSk","437240","442240"," So just inside here, you don't want to see price the end of this."
"zqj-zpYXNSk","442240","446240"," You'll end up having a bad time."
"zqj-zpYXNSk","447240","450240"," We'll end up trading."
"zqj-zpYXNSk","450240","453240"," That weekly trigger."
"zqj-zpYXNSk","453240","456240"," Which is right down here. Okay."
"zqj-zpYXNSk","456240","460240"," Into this close, you'll end up trading that weekly trigger here."
"zqj-zpYXNSk","460240","462240"," You can see it right now."
"zqj-zpYXNSk","462240","466240"," Trend is beginning to break lower into this close."
"zqj-zpYXNSk","466240","469240"," This is all they want right here on Friday."
"zqj-zpYXNSk","469240","475240"," They get there for 26 bulls need to get above the hourly trigger like right now."
"zqj-zpYXNSk","475240","477240"," They don't have a chance. They have a choice."
"zqj-zpYXNSk","477240","483240"," They don't have a chance if they close below here."
"zqj-zpYXNSk","483240","485240"," Now we are on trend."
"zqj-zpYXNSk","485240","487240"," If you're like a traditional chartist or whatever,"
"zqj-zpYXNSk","487240","490240"," you're like, yeah, I'm looking to buy all these dips here."
"zqj-zpYXNSk","490240","492240"," Yeah. Who I bought the dip. Yeah. Who I bought the dip."
"zqj-zpYXNSk","492240","494240"," And now I'm ready to buy the dip again."
"zqj-zpYXNSk","494240","501240"," So you're looking for like some extreme push higher up into this close here."
"zqj-zpYXNSk","501240","504240"," But not good enough if we close below this."
"zqj-zpYXNSk","504240","511240"," This will be setting up a pretty significant down move into tomorrow's open."
"zqj-zpYXNSk","511240","514240"," Now we're also going to take a look."
"zqj-zpYXNSk","514240","519240"," Yeah, let me see if I can switch this over here."
"zqj-zpYXNSk","519240","526240"," We're also going to take a look at the previous example of this happening here."
"zqj-zpYXNSk","526240","528240"," So we're going to take a look at another chart right now."
"zqj-zpYXNSk","528240","535240"," Give me one quick second trigger screen."
"zqj-zpYXNSk","535240","537240"," So just inside of here."
"zqj-zpYXNSk","537240","543240"," I also want to draw your attention to something else in here."
"zqj-zpYXNSk","543240","547240"," And this is last time it rolled over was right here."
"zqj-zpYXNSk","547240","557240"," And you can see that you have that little bit of an up day and then rolled it right under right here."
"zqj-zpYXNSk","557240","559240"," See it."
"zqj-zpYXNSk","559240","565240"," Rolled it right under down here and we're seeing that same setup right here."
"zqj-zpYXNSk","565240","571240"," To then begin to roll it under one more time to the downside. So."
"zqj-zpYXNSk","571240","578240"," At least from at least from my perspective here, it's risky."
"zqj-zpYXNSk","578240","584240"," I would say to you if you're a buyer."
"zqj-zpYXNSk","584240","589240"," I'm going to switch back over to this main screen."
"zqj-zpYXNSk","589240","594240"," I'm going to say to you that if you're a buyer for the rest of the week, if you're trying to buy a dip here."
"zqj-zpYXNSk","594240","597240"," You have no dip by here."
"zqj-zpYXNSk","597240","598240"," Okay."
"zqj-zpYXNSk","598240","604240"," So if you're a buyer, not a seller, I'm going to show to you this way right here."
"zqj-zpYXNSk","604240","609240"," This hourly trigger, this break below hourly trigger today."
"zqj-zpYXNSk","609240","615240"," Until you're able to get back above this hourly trigger, you have no trade too risky."
"zqj-zpYXNSk","615240","619240"," If you're a seller, you are in charge right now."
"zqj-zpYXNSk","619240","626240"," If you're a seller from this point into Thursday as long as price stays below here."
"zqj-zpYXNSk","626240","631240"," Even if it squeezes back up and begins to sell down any of this action right here."
"zqj-zpYXNSk","631240","633240"," You are poised."
"zqj-zpYXNSk","634240","636240"," To trade."
"zqj-zpYXNSk","636240","642240"," The weekly trigger that target down below is right now 427 flat."
"zqj-zpYXNSk","642240","646240"," So if you're looking for that 427 into the rest of the week."
"zqj-zpYXNSk","646240","649240"," We're trading four thirty seven sixty three right now."
"zqj-zpYXNSk","649240","654240"," You are looking you are targeting that four twenty seven into."
"zqj-zpYXNSk","654240","662240"," End of week right now."
"zqj-zpYXNSk","662240","667240"," Apparently I needed you to say sell the open. I'm part two stubborn."
"zqj-zpYXNSk","667240","670240"," Always take all you like."
"zqj-zpYXNSk","670240","675240"," So if you're the reason that you always take the open is because it's a zero date."
"zqj-zpYXNSk","675240","678240"," So it's directionally going to make you that money."
"zqj-zpYXNSk","678240","681240"," The moment that that direction stops, you lose the money."
"zqj-zpYXNSk","681240","683240"," So you should take the money on the opening bell."
"zqj-zpYXNSk","683240","688240"," Well, maybe like five seconds after the opening bell so that at least registers."
"zqj-zpYXNSk","688240","693240"," And then you renegotiate that trade if it's going to continue higher with like cheaper,"
"zqj-zpYXNSk","693240","695240"," cheaper calls."
"zqj-zpYXNSk","699240","702240"," So let's see what you guys are saying."
"zqj-zpYXNSk","702240","706240"," You really want to wind like a mule right now."
"zqj-zpYXNSk","711240","714240"," Man, dude, you're killing me."
"zqj-zpYXNSk","715240","718240"," I sold."
"zqj-zpYXNSk","718240","724240"," I sold Wednesday calls yesterday and then one day calls."
"zqj-zpYXNSk","724240","725240"," I sold."
"zqj-zpYXNSk","725240","730240"," Then I went back in and bought twenty cents one dates and then they."
"zqj-zpYXNSk","730240","733240"," They were bleeding into like the last fifteen minutes on stream here."
"zqj-zpYXNSk","733240","736240"," Someone was like, Hey, man, those calls are bleeding."
"zqj-zpYXNSk","736240","737240"," So I was like, fuck that."
"zqj-zpYXNSk","737240","738240"," I'm going to buy more."
"zqj-zpYXNSk","738240","740240"," So I bought fifteen cents."
"zqj-zpYXNSk","740240","743240"," It was like four ten or something like that yesterday afternoon."
"zqj-zpYXNSk","744240","747240"," So we're going to find out here what happens."
"zqj-zpYXNSk","747240","749240"," We're going to find out into this close."
"zqj-zpYXNSk","749240","751240"," I'm kind of fascinated here."
"zqj-zpYXNSk","751240","755240"," To see what the setup is for the close because."
"zqj-zpYXNSk","755240","758240"," The idea here would be."
"zqj-zpYXNSk","758240","761240"," Two fold right that you get."
"zqj-zpYXNSk","761240","763240"," Some kind of a."
"zqj-zpYXNSk","763240","764240"," Yeah."
"zqj-zpYXNSk","764240","765240"," Hables."
"zqj-zpYXNSk","765240","766240"," Everything's going to be fine."
"zqj-zpYXNSk","766240","769240"," And they kind of tease you with the hourly trigger here into the close."
"zqj-zpYXNSk","769240","774240"," But yeah, it's just another another another another reason to sell this market off."
"zqj-zpYXNSk","774240","775240"," So."
"zqj-zpYXNSk","775240","777240"," You really need to be above this age."
"zqj-zpYXNSk","777240","779240"," If you're if you're a bull."
"zqj-zpYXNSk","779240","781240"," You got nothing here."
"zqj-zpYXNSk","781240","783240"," You're you're a seller."
"zqj-zpYXNSk","783240","784240"," You're in heaven right now."
"zqj-zpYXNSk","784240","787240"," This is this is the setup right here for."
"zqj-zpYXNSk","787240","792240"," Significant down more significant significant more downside to come."
"zqj-zpYXNSk","792240","796240"," So if you're if you're a bear out there, you should be."
"zqj-zpYXNSk","796240","800240"," This is everything that we want for the next few days."
"zqj-zpYXNSk","800240","804240"," Yeah, this is this is nothing right here."
"zqj-zpYXNSk","804240","806240"," Like this is."
"zqj-zpYXNSk","806240","810240"," I guess if you're like, oh, this is probably we're probably done to going down."
"zqj-zpYXNSk","810240","812240"," Nope, we got another hundred points."
"zqj-zpYXNSk","812240","814240"," We can go down from here."
"zqj-zpYXNSk","815240","816240"," Bear music."
"zqj-zpYXNSk","816240","818240"," No, bear music until you get four."
"zqj-zpYXNSk","818240","822240"," You get no bear music for me unless you get four four twenty seven."
"zqj-zpYXNSk","822240","824240"," Then you get a bear music from me."
"zqj-zpYXNSk","824240","826240"," You don't get bear music for being right here."
"zqj-zpYXNSk","826240","828240"," This is where the dip is to be bought."
"zqj-zpYXNSk","828240","832240"," Like this is the place to buy the dip, not sell the rip."
"zqj-zpYXNSk","832240","834240"," So if you're a bear, you're a bear."
"zqj-zpYXNSk","834240","835240"," You're a bear."
"zqj-zpYXNSk","835240","836240"," You're a bear."
"zqj-zpYXNSk","836240","838240"," You're probably done to going down."
"zqj-zpYXNSk","838240","839240"," Mm."
"zqj-zpYXNSk","839240","840240"," Nope."
"zqj-zpYXNSk","840240","842240"," We got another hundred points we can go down from here."
"zqj-zpYXNSk","842240","844240"," That's all the rip."
"zqj-zpYXNSk","844240","852240"," It's so like, let's look at this again."
"zqj-zpYXNSk","852240","854240"," So if so, let's go over."
"zqj-zpYXNSk","854240","856240"," Let's go over a rule here."
"zqj-zpYXNSk","856240","858240"," Let's go over a rule here."
"zqj-zpYXNSk","858240","862240"," Hold on a second here."
"zqj-zpYXNSk","862240","864240"," Okay, so."
"zqj-zpYXNSk","864240","868240"," Here are the rules."
"zqj-zpYXNSk","868240","870240"," If you're going to buy a dip, where do you buy it?"
"zqj-zpYXNSk","870240","872240"," Right here, right?"
"zqj-zpYXNSk","872240","874240"," Hold on."
"zqj-zpYXNSk","874240","876240"," Move this over."
"zqj-zpYXNSk","876240","878240"," Hold on a second."
"zqj-zpYXNSk","878240","880240"," So if you're going to buy a dip, where is it?"
"zqj-zpYXNSk","880240","882240"," It's right here, right? Yeah, you buy that dip."
"zqj-zpYXNSk","882240","886240"," I guarantee people are like, I ain't buying that shit."
"zqj-zpYXNSk","886240","890240"," And then people are like, I ain't buying that shit either."
"zqj-zpYXNSk","890240","892240"," Right?"
"zqj-zpYXNSk","892240","894240"," And then you're like, I ain't buying this here."
"zqj-zpYXNSk","894240","898240"," Now, why would I recommend to not buy this versus buy that and buy this?"
"zqj-zpYXNSk","898240","900240"," Do you know the reason?"
"zqj-zpYXNSk","900240","904240"," It's because this little green arrow, right?"
"zqj-zpYXNSk","904240","906240"," This little green box right here was lower."
"zqj-zpYXNSk","906240","910240"," It's like down here and we were over it."
"zqj-zpYXNSk","910240","912240"," Right?"
"zqj-zpYXNSk","912240","916240"," And so you're kind of looking for that same thing first here."
"zqj-zpYXNSk","916240","920240"," Where you begin to think about the dip by here."
"zqj-zpYXNSk","920240","922240"," There's no dip by here unless."
"zqj-zpYXNSk","922240","926240"," There's no dip by here unless we get above that."
"zqj-zpYXNSk","926240","928240"," There's a trap here for bulls."
"zqj-zpYXNSk","928240","934240"," There's a trap here for bulls because you're going to want to buy this."
"zqj-zpYXNSk","934240","938240"," If I was just looking at a traditional tribe like, hell yeah, I'm buying this right here."
"zqj-zpYXNSk","938240","940240"," And we're going to be good to go."
"zqj-zpYXNSk","940240","942240"," But I don't want to get trapped in here. I need to see it."
"zqj-zpYXNSk","942240","944240"," Get above."
"zqj-zpYXNSk","944240","946240"," We need to see the reversal."
"zqj-zpYXNSk","946240","950240"," In a confirmation trade that it's going up here."
"zqj-zpYXNSk","951240","954240"," Yeah, a hundred points."
"zqj-zpYXNSk","954240","956240"," A hundred points to the downside."
"zqj-zpYXNSk","956240","958240"," If you can get this close here."
"zqj-zpYXNSk","958240","964240"," If you're a seller and you can get this close right here, you should get a hundred points to the to the downside here."
"zqj-zpYXNSk","964240","968240"," So you're just looking to stand underneath that hourly trigger and you're going to get it hands down."
"zqj-zpYXNSk","968240","970240"," Hands down."
"zqj-zpYXNSk","970240","974240"," Same setup as this is the same setup as."
"zqj-zpYXNSk","974240","976240"," I'm just going to do the one hour here."
"zqj-zpYXNSk","976240","978240"," Same setup as right here."
"zqj-zpYXNSk","978240","980240"," You should get a hundred points to the to the downside here."
"zqj-zpYXNSk","980240","984240"," So you're just looking to stand underneath that hourly trigger and you're going to get it hands down."
"zqj-zpYXNSk","984240","986240"," Hands down."
"zqj-zpYXNSk","986240","990240"," Same setup as this is the same setup as."
"zqj-zpYXNSk","990240","994240"," I'm just going to do the one hour here."
"zqj-zpYXNSk","994240","996240"," Same setup as right here."
"zqj-zpYXNSk","996240","998240"," Show this team."
"zqj-zpYXNSk","998240","1000240"," Move that over."
"zqj-zpYXNSk","1000240","1002240"," Same setup as right here."
"zqj-zpYXNSk","1002240","1006240"," Just right here."
"zqj-zpYXNSk","1006240","1008240"," Nice awesome day."
"zqj-zpYXNSk","1008240","1010240"," Slam it up into the close."
"zqj-zpYXNSk","1010240","1016240"," We actually got the continuation this time to a great open."
"zqj-zpYXNSk","1016240","1018240"," Sold some calls right here, right?"
"zqj-zpYXNSk","1018240","1020240"," Immediately starts to sell down."
"zqj-zpYXNSk","1021240","1024240"," And as soon as you're underneath that."
"zqj-zpYXNSk","1024240","1028240"," As soon as you're underneath that that that twenty seven E.M. and hourly."
"zqj-zpYXNSk","1028240","1029240"," It's just sell off."
"zqj-zpYXNSk","1029240","1030240"," It's sell off."
"zqj-zpYXNSk","1030240","1031240"," It's sell off."
"zqj-zpYXNSk","1031240","1032240"," It's so right now."
"zqj-zpYXNSk","1032240","1036240"," You have the initial price selling."
"zqj-zpYXNSk","1036240","1040240"," So you're going to be expecting a rejection here."
"zqj-zpYXNSk","1040240","1044240"," On this hourly as we kind of this close."
"zqj-zpYXNSk","1044240","1046240"," So even right here."
"zqj-zpYXNSk","1046240","1050240"," See this hourly triggers right here."
"zqj-zpYXNSk","1050240","1054240"," You're going to expect any kind of."
"zqj-zpYXNSk","1054240","1058240"," Any kind of trade higher to be met with."
"zqj-zpYXNSk","1058240","1060240"," Selling to the downside."
"zqj-zpYXNSk","1060240","1064240"," So even right now."
"zqj-zpYXNSk","1064240","1074240"," Four thirty eight sixty one."
"zqj-zpYXNSk","1075240","1079240"," Even right now this this line right here is becoming resistant."
"zqj-zpYXNSk","1079240","1083240"," So even though this is saying hourly triggers up here."
